sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,615,1509,2523,3607,195,286,357,439
0.015,689,1500,2509,3667,217,338,340,423
0.025,726,1574,2473,3683,220,345,361,443
0.035,730,1594,2502,3744,233,322,358,464
0.045,690,1667,2448,3732,223,329,366,455
0.055,699,1643,2411,3725,258,324,365,421
0.065,657,1601,2448,3720,243,298,392,436
0.075,675,1588,2482,3730,267,314,377,460
0.085,689,1596,2534,3724,255,300,344,434
0.095,713,1597,2582,3809,274,302,347,449
0.105,696,1707,2573,3917,215,331,369,469
0.115,719,1726,2482,3913,267,330,338,453
0.125,803,1713,2593,3963,263,352,333,480
0.135,877,1719,2562,3940,295,356,320,497
0.145,907,1712,2529,3932,277,369,360,486
0.155,901,1695,2495,3924,254,360,360,474
0.165,893,1668,2462,3954,265,368,340,485
0.175,920,1635,2430,3987,277,344,345,480
0.185,939,1596,2401,3941,262,349,336,439
0.195,865,1555,2376,3920,270,316,355,413
0.205,873,1512,2355,3966,273,348,347,415
0.215,833,1471,2340,4010,304,338,343,420
0.225,685,1432,2332,4024,324,306,310,438
0.235,500,1400,2332,4029,321,312,307,480
0.245,394,1382,2343,4090,259,312,345,470
0.255,378,1388,2368,3940,259,303,328,458
0.265,416,1425,2410,3760,239,298,317,436
0.275,439,1494,2469,3680,226,281,314,404
0.285,460,1586,2536,3666,205,259,285,397
0.295,488,1695,2599,3641,199,261,291,379
0.305,491,1805,2647,3639,197,263,306,373
0.315,469,1899,2681,3642,177,260,315,397
0.325,495,1970,2704,3624,208,257,304,387
0.335,499,2019,2718,3612,196,252,291,382
0.345,516,2052,2727,3593,218,256,301,389
0.355,488,2070,2734,3585,210,266,304,396
0.365,482,2074,2736,3573,204,261,294,382
0.375,462,2061,2732,3563,219,238,318,390
0.385,429,2030,2721,3572,222,246,315,394
0.395,402,1996,2700,3570,220,247,314,393
0.405,465,1976,2669,3578,253,260,302,428
0.415,292,1977,2624,3587,241,281,325,432
0.425,233,1982,2575,3597,214,298,334,420
0.435,210,1973,2537,3645,209,294,346,425
0.445,203,1951,2526,3647,211,319,349,406
0.455,304,1939,2543,3683,286,399,347,396
0.465,353,1955,2571,3766,267,338,330,433
0.475,326,1992,2598,3652,249,300,352,441
0.485,336,2020,2607,3591,249,278,358,401
0.495,342,2020,2591,3562,226,277,329,356
0.505,236,1996,2558,3564,226,257,333,357
0.515,243,1961,2521,3610,225,270,348,359
0.525,300,1926,2489,3662,222,264,365,373
0.535,362,1902,2465,3783,219,276,359,386
0.545,386,1897,2449,3897,222,321,348,398
0.555,332,1901,2443,3934,239,340,313,404
0.565,231,1903,2443,4040,281,338,304,401
0.575,167,1897,2447,4009,293,321,346,476
0.585,151,1881,2451,4070,318,360,344,487
0.595,164,1854,2453,4189,315,368,320,473
0.605,184,1815,2453,4333,304,366,325,455
0.615,200,1768,2453,4406,272,352,326,441
0.625,211,1719,2451,4327,304,354,300,404
0.635,216,1672,2450,4261,295,321,345,407
0.645,215,1632,2448,4272,289,333,389,430
0.655,207,1601,2440,4202,296,316,335,447
0.665,195,1571,2422,4245,250,336,326,426
0.675,180,1526,2391,4287,220,333,367,448
0.685,165,1454,2348,4263,243,347,335,453
0.695,154,1363,2298,4201,256,334,356,436
0.705,153,1270,2246,4110,242,334,369,447
0.715,169,1194,2201,3930,186,373,384,478
0.725,207,1146,2175,3643,174,391,377,491
0.735,268,1123,2183,3414,178,373,340,438
0.745,350,1117,2226,3408,194,357,342,353
0.755,446,1120,2286,3446,196,336,343,384
0.765,539,1128,2343,3453,203,314,331,375
0.775,608,1140,2384,3487,204,309,327,378
0.785,651,1152,2407,3488,208,307,330,375
0.795,675,1164,2411,3479,210,310,325,374
0.805,688,1176,2398,3519,213,308,324,376
0.815,694,1194,2375,3490,208,304,328,374
0.825,696,1221,2348,3482,209,313,330,365
0.835,694,1263,2325,3486,207,322,315,377
0.845,688,1323,2309,3477,199,323,325,369
0.855,680,1395,2299,3444,213,330,331,376
0.865,667,1468,2294,3442,202,319,332,387
0.875,650,1533,2292,3514,209,297,338,388
0.885,626,1585,2294,3521,208,273,354,386
0.895,594,1627,2303,3486,182,267,359,401
0.905,555,1665,2319,3488,162,253,350,380
0.915,512,1701,2344,3570,185,288,335,386
0.925,468,1735,2377,3627,194,268,324,363
0.935,427,1765,2411,3614,209,254,334,352
0.945,393,1790,2443,3601,199,253,334,357
0.955,365,1808,2466,3655,207,255,345,369
0.965,343,1819,2479,3776,217,279,354,364
0.975,326,1823,2486,3893,208,279,386,376
0.985,312,1821,2489,3963,258,314,349,373
0.995,301,1814,2490,3964,312,342,336,447
1.005,293,1803,2490,3996,309,346,307,458
1.015,288,1790,2490,3944,278,343,338,466
1.025,284,1775,2489,3939,275,326,353,447
1.035,283,1760,2489,3889,306,356,350,453
1.045,285,1742,2489,3912,351,356,392,472
1.055,289,1721,2490,3896,332,361,361,465
1.065,296,1695,2491,3743,357,347,327,410
1.075,306,1663,2493,3677,306,370,345,414
1.085,316,1625,2495,3614,251,380,351,406
1.095,325,1578,2497,3559,253,374,360,392
1.105,332,1526,2497,3622,274,361,337,387
1.115,335,1469,2497,3721,255,305,367,393
1.125,334,1409,2494,3741,213,367,365,418
1.135,332,1347,2490,3755,256,339,338,401
1.145,331,1286,2483,3751,268,320,342,396
1.155,332,1227,2474,3824,265,328,328,428
1.165,336,1172,2461,3945,228,304,358,456
1.175,345,1120,2444,3846,248,321,352,468
1.185,355,1074,2423,3818,237,345,365,499
1.195,366,1032,2397,3862,202,324,383,473
1.205,376,994,2367,3779,252,292,406,450
1.215,383,955,2330,3731,263,317,396,425
1.225,390,915,2288,3778,251,325,341,415
1.235,396,869,2242,3812,256,331,356,424
1.245,401,820,2197,3886,230,345,347,476
1.255,406,773,2160,3808,189,373,401,501
1.265,412,739,2138,3716,153,390,345,533
1.275,419,723,2137,3593,147,381,345,528
1.285,428,729,2146,3468,144,373,353,507
1.295,439,750,2152,3344,125,352,354,478
1.305,453,776,2140,3276,113,371,336,451
1.315,434,802,2099,3196,102,375,328,461
1.325,434,829,2038,3142,113,360,336,432
1.335,434,855,1972,3073,117,336,362,435
1.345,419,879,1919,3038,131,318,366,420
1.355,419,902,1880,2994,126,320,387,412
1.365,419,922,1847,3039,164,283,376,423
1.375,419,941,1814,3116,196,279,378,438
1.385,465,959,1782,3098,214,284,406,425
1.395,541,975,1752,3129,232,274,386,411
1.405,541,994,1723,3112,270,307,413,403
1.415,541,1021,1697,3094,247,286,395,404
1.425,480,1059,1678,3085,255,275,411,402
1.435,541,1109,1666,3062,259,276,403,407
1.445,600,1163,1662,3021,272,261,395,397
1.455,549,1213,1664,3005,278,250,401,408
1.465,485,1255,1667,3035,262,254,434,408
1.475,472,1289,1667,3108,250,228,427,424
1.485,519,1312,1661,3184,213,291,398,390
1.495,515,1326,1649,3224,204,325,337,398
1.505,504,1331,1634,3235,190,309,274,439
1.515,488,1330,1618,3277,186,299,288,441
1.525,465,1325,1603,3343,184,321,317,435
1.535,469,1317,1591,3417,197,284,310,464
1.545,461,1309,1586,3441,193,262,312,500
1.555,511,1302,1589,3448,183,251,292,523
1.565,530,1297,1601,3472,176,250,304,522
1.575,552,1295,1620,3498,184,262,320,515
1.585,538,1297,1643,3662,253,263,314,495
1.595,548,1302,1667,3748,250,264,335,519
1.605,560,1313,1690,3876,239,273,344,527
1.615,556,1329,1708,3963,237,285,366,529
1.625,566,1349,1719,4093,246,258,358,489
1.635,541,1369,1728,4124,222,267,376,472
1.645,540,1386,1738,4190,216,277,350,446
1.655,518,1400,1752,4290,226,281,353,457
1.665,447,1406,1775,4286,231,270,343,479
1.675,484,1401,1810,4256,234,282,387,493
1.685,549,1385,1861,4171,197,272,415,497
1.695,484,1361,1932,4103,210,300,377,472
1.705,426,1346,2027,4078,246,248,367,454
1.715,429,1359,2149,4134,283,221,375,474
1.725,465,1417,2303,4164,270,188,390,449
1.735,480,1525,2491,4146,291,280,357,431
1.745,487,1666,2496,4133,306,275,364,437
1.755,498,1823,2602,4089,298,286,365,429
1.765,490,1977,2672,4021,324,308,329,459
1.775,523,2116,2708,3938,327,324,326,471
1.785,579,2222,2731,3903,316,308,322,468
1.795,655,2288,2731,3888,344,280,334,470
1.805,733,2318,2743,3945,318,303,346,484
1.815,721,2324,2767,4040,262,324,358,460
1.825,666,2314,2790,4097,259,341,341,439
1.835,683,2298,2825,4090,277,340,344,431
1.845,644,2286,2825,3964,285,347,388,406
1.855,658,2275,2825,3938,316,323,386,409
1.865,692,2257,2825,3912,290,325,357,404
1.875,745,2224,2825,3839,301,317,365,402
1.885,813,2167,2883,3800,310,344,354,399
1.895,876,2084,2864,3788,266,319,377,378
1.905,873,1984,2851,3800,239,305,347,371
1.915,983,1879,2909,3769,281,321,362,380
1.925,1035,1781,2982,3634,255,323,389,393
1.935,937,1702,3046,3653,191,350,380,401
1.945,958,1645,3116,3648,223,305,362,406
1.955,890,1608,3116,3639,240,303,306,430
1.965,938,1588,3107,3619,253,300,319,441
1.975,956,1583,3083,3644,257,334,341,475
1.985,973,1590,2952,3739,256,336,376,454
1.995,931,1606,2854,3763,249,356,415,433
2.005,883,1629,2783,3874,242,383,400,477
2.015,828,1655,2726,3896,217,382,413,495
2.025,850,1683,2647,3852,228,370,402,491
2.035,914,1710,2612,3890,222,387,369,520
2.045,807,1733,2658,3967,215,379,361,498
2.055,796,1749,2668,4032,215,344,374,479
2.065,805,1789,2611,4095,219,347,346,489
2.075,767,1863,2552,4094,213,361,363,472
2.085,768,1953,2481,4080,250,366,402,480
