sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,637,1558,2460,3602,275,317,283,390
0.015,730,1715,2499,3645,235,363,283,410
0.025,704,1889,2589,3717,221,353,297,412
0.035,723,1915,2625,3766,245,329,313,419
0.045,726,1961,2672,3812,257,324,302,429
0.055,709,1991,2648,3882,252,316,340,459
0.065,752,1961,2731,3895,269,329,318,460
0.075,833,1901,2773,3939,284,306,362,468
0.085,802,1860,2792,4032,267,306,376,461
0.095,707,1837,2726,4046,272,322,358,456
0.105,653,1882,2661,3995,247,330,334,473
0.115,664,1917,2593,3933,282,339,309,446
0.125,553,1910,2664,3803,294,351,290,440
0.135,507,2047,2644,3838,276,347,293,451
0.145,440,2064,2653,3829,251,341,301,449
0.155,325,1970,2676,3734,222,315,354,442
0.165,311,2013,2740,3683,205,298,348,460
0.175,362,2031,2778,3684,207,294,338,466
0.185,358,2050,2799,3619,200,294,348,459
0.195,391,2025,2821,3638,212,295,314,463
0.205,406,2018,2798,3691,209,285,309,459
0.215,410,2006,2818,3715,191,283,309,440
0.225,409,2044,2796,3698,205,283,303,459
0.235,395,2027,2701,3691,209,259,306,483
0.245,410,1910,2568,3642,205,240,328,427
0.255,403,1810,2405,3568,220,243,386,436
0.265,345,1832,2261,3646,256,372,312,424
0.275,282,1820,2236,3794,257,355,304,440
0.285,295,1807,2233,3923,208,332,305,466
0.295,325,1838,2222,3946,199,310,303,468
0.305,299,1676,2229,4012,205,307,313,447
0.315,343,1564,2238,3949,191,304,307,467
0.325,371,1499,2267,3917,203,316,322,477
0.335,472,1481,2291,3824,200,296,334,487
0.345,515,1507,2286,3677,194,284,303,465
0.355,515,1574,2334,3574,172,280,326,458
0.365,523,1672,2350,3520,174,272,317,468
0.375,509,1777,2359,3468,157,270,320,452
0.385,506,1864,2383,3372,164,274,299,431
0.395,518,1922,2434,3400,168,275,286,425
0.405,520,1959,2471,3501,186,315,274,428
0.415,520,1980,2509,3590,183,349,239,445
0.425,516,1992,2546,3704,189,382,243,468
0.435,471,1996,2575,3756,188,363,274,502
0.445,417,1994,2607,3799,216,354,285,495
0.455,380,1988,2659,3827,230,364,299,501
0.465,389,1979,2682,3898,221,351,304,500
0.475,416,1967,2710,3952,216,310,338,441
0.485,525,1953,2748,3990,176,251,350,444
0.495,573,1935,2767,4013,174,244,351,481
0.505,570,1912,2767,3982,176,239,330,507
0.515,586,1885,2734,3866,175,270,313,506
0.525,592,1851,2692,3809,180,267,307,509
0.535,601,1810,2626,3727,164,288,306,505
0.545,645,1761,2584,3637,203,299,325,490
0.555,690,1634,2565,3557,196,295,327,470
0.565,678,1606,2509,3497,190,328,326,431
0.575,653,1550,2457,3522,173,287,320,408
0.585,639,1536,2393,3549,184,314,319,403
0.595,582,1485,2355,3565,175,297,309,412
0.605,550,1405,2320,3526,165,282,329,446
0.615,554,1311,2240,3386,201,298,330,447
0.625,519,1274,2120,3419,194,270,320,481
0.635,493,1236,1956,3467,178,271,331,503
0.645,459,1190,1853,3545,193,291,345,482
0.655,421,1166,1801,3616,203,307,367,464
0.665,473,1157,1750,3811,193,304,358,455
0.675,493,1138,1731,3864,212,324,345,460
0.685,530,1133,1708,3971,221,298,343,493
0.695,513,1129,1694,4086,184,313,343,508
0.705,536,1133,1694,4186,175,295,339,503
0.715,575,1143,1717,4274,167,285,358,491
0.725,614,1166,1736,4304,181,319,353,522
0.735,663,1194,1815,4301,185,309,350,511
0.745,679,1213,1918,4294,154,351,344,532
0.755,672,1246,2045,4298,156,310,346,525
0.765,665,1288,2087,4285,161,325,347,517
0.775,686,1349,2190,4274,201,326,326,541
0.785,668,1377,2195,4270,183,316,313,515
0.795,646,1402,2298,4215,178,341,301,536
0.805,646,1428,2312,4175,168,320,298,537
0.815,586,1438,2368,4115,179,321,311,527
0.825,604,1475,2387,4054,201,298,344,500
0.835,577,1517,2381,3961,169,292,362,500
0.845,531,1531,2436,3858,166,283,370,476
0.855,520,1588,2462,3798,172,283,366,484
0.865,467,1606,2485,3785,177,289,367,491
0.875,431,1620,2495,3893,187,288,340,498
0.885,411,1639,2518,4033,206,295,340,511
0.895,437,1653,2534,4105,195,309,330,482
0.905,392,1663,2532,4147,236,332,308,427
0.915,374,1663,2546,4137,309,337,288,402
0.925,364,1663,2546,4253,302,345,291,427
0.935,355,1672,2542,4303,341,335,302,422
0.945,355,1677,2546,4361,322,328,331,421
0.955,345,1677,2551,4359,299,314,344,418
0.965,345,1716,2556,4436,291,310,363,411
0.975,341,1677,2546,4484,328,292,361,439
0.985,355,1672,2546,4452,278,314,385,407
0.995,336,1672,2542,4421,303,308,381,424
1.005,350,1672,2537,4248,317,300,288,437
1.015,369,1633,2542,4097,319,306,265,453
