sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,662,1476,2575,3633,211,296,389,451
0.015,774,1458,2627,3692,218,309,384,444
0.025,772,1477,2687,3782,199,288,379,452
0.035,736,1588,2662,3806,175,355,382,438
0.045,773,1581,2677,3844,214,358,379,451
0.055,751,1559,2666,3884,172,337,364,470
0.065,785,1505,2619,3786,158,325,378,471
0.075,750,1481,2556,3766,168,346,368,455
0.085,687,1447,2582,3718,193,321,357,404
0.095,710,1407,2557,3598,246,324,379,364
0.105,729,1367,2608,3570,213,331,384,370
0.115,816,1329,2569,3645,235,308,355,377
0.125,875,1298,2620,3654,234,323,340,384
0.135,882,1278,2638,3630,232,305,334,394
0.145,825,1274,2570,3650,214,314,315,376
0.155,848,1288,2486,3666,283,264,332,363
0.165,667,1322,2425,3657,210,299,342,374
0.175,607,1377,2415,3651,170,316,315,375
0.185,652,1453,2442,3681,190,297,322,394
0.195,633,1550,2447,3674,168,293,326,424
0.205,570,1671,2470,3689,185,291,321,460
0.215,532,1692,2484,3710,189,280,320,470
0.225,494,1778,2484,3761,203,273,332,463
0.235,415,1856,2498,3871,206,283,315,460
0.245,359,1884,2486,3893,217,287,323,455
0.255,381,1993,2543,3903,209,310,327,460
0.265,284,2227,2575,3890,181,344,347,469
0.275,242,2305,2575,3907,199,337,352,485
0.285,267,2288,2611,4004,220,348,350,480
0.295,309,2294,2648,4064,250,364,320,469
0.305,337,2294,2690,4150,269,348,316,440
0.315,361,2295,2719,4197,233,363,321,460
0.325,386,2289,2723,4080,209,336,345,468
0.335,417,2254,2752,3973,202,307,316,460
0.345,439,2182,2728,3865,211,256,322,479
0.355,455,2083,2692,3845,192,258,316,469
0.365,456,1984,2676,3818,209,274,320,483
0.375,461,1930,2655,3805,194,285,308,494
0.385,472,1931,2653,3772,197,289,322,487
0.395,487,1944,2612,3720,195,301,315,497
0.405,489,1943,2592,3699,199,292,317,495
0.415,493,1935,2567,3682,184,296,307,491
0.425,485,1919,2519,3686,189,272,333,501
0.435,481,1889,2435,3717,189,282,314,496
0.445,438,1835,2411,3795,197,296,303,497
0.455,406,1751,2414,3897,208,324,303,467
0.465,394,1653,2386,3883,230,316,348,451
0.475,339,1589,2371,3892,244,307,382,464
0.485,356,1548,2323,3920,271,327,381,471
0.495,375,1497,2345,3982,291,358,335,467
0.505,403,1447,2390,4022,285,308,335,479
0.515,426,1423,2414,4077,258,304,314,466
0.525,431,1425,2409,4158,192,312,320,456
0.535,436,1433,2423,4172,184,309,321,446
0.545,473,1432,2451,4195,189,342,311,465
0.555,464,1422,2447,4207,214,337,302,452
0.565,395,1402,2417,4150,242,351,268,436
0.575,342,1367,2379,4131,231,358,280,463
0.585,319,1328,2333,4046,236,347,288,468
0.595,316,1304,2282,3975,213,373,262,485
0.605,333,1302,2254,3988,208,374,253,478
0.615,363,1323,2277,3963,208,356,280,466
0.625,451,1369,2325,3942,231,309,356,458
0.635,454,1445,2358,3945,272,310,343,427
0.645,468,1534,2371,4037,257,317,322,434
0.655,489,1609,2379,4089,249,310,328,454
0.665,500,1657,2403,4114,268,317,309,442
0.675,525,1674,2464,4264,277,313,291,473
0.685,557,1670,2528,4354,322,297,300,448
0.695,577,1663,2558,4318,309,305,280,445
0.705,595,1662,2564,4235,294,311,278,454
0.715,620,1665,2573,4239,285,364,310,430
0.725,641,1672,2593,4296,301,334,349,428
0.735,566,1677,2607,4179,244,316,302,428
0.745,498,1673,2601,4145,197,305,302,433
0.755,498,1655,2578,3996,208,339,328,453
0.765,525,1631,2548,3839,179,304,320,465
0.775,567,1614,2508,3708,185,299,296,459
0.785,588,1580,2451,3519,179,306,312,481
0.795,574,1511,2396,3329,166,296,353,480
0.805,570,1459,2332,3213,183,307,368,444
0.815,567,1441,2194,3192,184,297,354,378
0.825,525,1398,2048,3165,204,309,312,353
0.835,503,1332,1956,3208,200,323,307,362
0.845,474,1275,1892,3220,197,328,295,375
0.855,474,1229,1810,3199,212,323,330,389
0.865,448,1190,1723,3213,196,327,297,382
0.875,467,1154,1700,3182,220,298,304,394
0.885,506,1125,1717,3135,211,302,263,370
0.895,527,1107,1766,3145,203,306,296,408
0.905,529,1104,1887,3293,212,283,321,394
0.915,563,1121,2032,3407,206,286,343,381
0.925,600,1111,2145,3450,207,296,321,372
0.935,581,1106,2221,3536,185,322,328,377
0.945,582,1107,2285,3706,200,315,325,368
0.955,546,1116,2350,3833,198,294,322,349
0.965,437,1136,2410,3853,212,293,328,374
0.975,427,1168,2469,3880,223,314,365,421
0.985,420,1210,2527,3830,238,331,369,443
0.995,452,1261,2567,3859,251,318,353,433
1.005,514,1320,2569,3836,271,303,345,445
1.015,583,1382,2498,3894,285,324,316,459
1.025,694,1442,2521,3877,318,321,312,465
1.035,790,1493,2535,3760,259,312,324,448
1.045,855,1530,2627,3725,297,302,356,428
1.055,932,1550,2645,3630,270,354,354,368
1.065,946,1553,2691,3724,242,378,328,356
1.075,957,1539,2763,3733,260,358,322,397
1.085,941,1509,2706,3616,245,369,326,418
1.095,927,1463,2618,3540,245,329,327,435
1.105,753,1407,2522,3476,195,327,359,430
1.115,675,1349,2352,3299,207,317,368,438
1.125,535,1297,2221,3154,209,325,344,424
1.135,527,1253,2092,3184,193,323,327,386
1.145,530,1221,2083,3123,191,326,319,370
1.155,544,1200,2057,3208,205,328,289,367
1.165,566,1191,2088,3160,221,300,286,381
1.175,581,1194,2100,3188,226,294,308,382
1.185,589,1206,2114,3246,246,296,314,373
1.195,586,1224,2128,3318,244,300,336,367
1.205,565,1247,2142,3351,236,320,348,382
