sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,681,1588,2513,3626,212,321,384,431
0.015,749,1586,2491,3648,243,333,372,452
0.025,769,1604,2536,3710,230,311,377,475
0.035,827,1559,2530,3763,233,322,370,447
0.045,804,1603,2513,3858,200,345,346,457
0.055,834,1621,2478,3855,238,341,335,466
0.065,772,1651,2558,3842,282,297,352,453
0.075,850,1644,2519,3880,311,345,359,458
0.085,835,1648,2536,3889,265,344,343,455
0.095,719,1674,2535,3976,227,339,346,460
0.105,771,1670,2508,4062,224,340,368,489
0.115,771,1654,2527,4040,228,317,375,460
0.125,797,1516,2511,4037,266,296,347,473
0.135,705,1478,2550,4026,264,263,358,491
0.145,576,1479,2491,4037,205,346,361,480
0.155,521,1470,2477,4013,219,313,347,448
0.165,547,1477,2474,3906,223,328,340,404
0.175,558,1452,2453,3812,209,318,336,422
0.185,493,1359,2378,3929,262,289,272,375
0.195,445,1194,2397,3936,257,273,264,339
0.205,413,1062,2388,3921,267,305,286,319
0.215,417,984,2379,3898,270,298,275,315
0.225,406,944,2337,3777,251,309,300,344
0.235,416,974,2323,3620,224,306,328,357
0.245,444,1065,2323,3653,225,289,333,340
0.255,458,1125,2323,3662,199,287,337,336
0.265,472,1152,2337,3703,210,290,343,337
0.275,472,1181,2356,3741,190,311,357,340
0.285,477,1216,2402,3781,215,324,331,337
0.295,477,1248,2431,3792,212,315,336,336
0.305,477,1275,2473,3824,224,308,341,344
0.315,477,1304,2505,3889,217,308,339,368
0.325,477,1341,2529,3757,232,308,344,433
0.335,467,1384,2557,3907,249,306,349,410
0.345,467,1431,2562,4135,274,310,342,431
0.355,453,1476,2590,4188,262,340,338,423
0.365,453,1514,2590,4115,279,360,332,423
0.375,439,1540,2585,4010,275,377,326,434
0.385,434,1549,2557,3953,271,384,316,455
0.395,411,1540,2548,3896,260,346,251,451
0.405,406,1524,2534,3855,252,327,272,461
0.415,402,1510,2510,3794,281,322,290,446
0.425,406,1508,2356,3877,310,278,300,434
0.435,392,1512,2253,3912,299,258,324,437
0.445,392,1512,2206,3879,303,263,348,444
0.455,392,1499,2050,3884,302,254,381,449
0.465,392,1475,1916,3820,286,268,393,462
0.475,392,1443,1826,3812,296,259,351,449
0.485,392,1409,1769,3767,292,266,348,423
0.495,397,1381,1730,3753,310,238,320,395
