sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,618,1616,2463,3736,231,312,334,419
0.015,690,1683,2520,3812,231,317,348,440
0.025,737,1677,2529,3871,275,300,343,461
0.035,683,1698,2499,3819,254,328,342,473
0.045,739,1667,2492,3878,288,354,316,476
0.055,691,1666,2483,3890,265,319,343,487
0.065,693,1631,2485,3883,264,297,365,495
0.075,668,1611,2433,3903,300,331,328,461
0.085,632,1664,2402,3929,281,339,349,483
0.095,612,1738,2361,3916,262,335,367,486
0.105,618,1743,2382,3827,273,322,307,447
0.115,537,1712,2348,3730,300,314,312,458
0.125,459,1752,2418,3861,252,302,341,457
0.135,355,1772,2478,3790,196,292,325,456
0.145,404,1788,2514,3750,200,283,319,443
0.155,449,1768,2479,3695,193,275,334,427
0.165,416,1757,2439,3562,208,286,383,443
0.175,444,1735,2439,3576,232,271,353,425
0.185,435,1727,2408,3627,210,308,324,397
0.195,431,1685,2408,3690,221,321,293,415
0.205,430,1609,2388,3688,257,347,301,450
0.215,444,1567,2378,3688,280,357,297,460
0.225,444,1567,2338,3693,290,331,298,445
0.235,417,1558,2317,3616,290,327,305,434
0.245,417,1558,2307,3576,296,309,322,418
0.255,409,1558,2307,3589,246,294,311,417
0.265,374,1558,2256,3571,240,307,333,428
0.275,374,1550,2256,3517,270,318,351,451
0.285,383,1541,2256,3544,242,315,359,411
0.295,383,1541,2256,3523,228,328,347,431
0.305,365,1541,2256,3523,233,350,298,413
0.315,313,1533,2256,3484,271,314,307,402
0.325,324,1533,2256,3552,211,330,302,406
0.335,323,1533,2267,3545,215,311,322,428
0.345,276,1550,2277,3564,213,297,331,416
0.355,394,1550,2317,3625,266,314,301,391
0.365,377,1550,2317,3541,256,302,319,399
0.375,380,1550,2338,3496,221,279,297,380
0.385,388,1584,2378,3475,226,276,295,400
0.395,399,1592,2378,3445,210,287,294,429
0.405,409,1592,2378,3383,228,294,280,413
0.415,404,1612,2398,3406,204,269,271,417
0.425,420,1579,2419,3528,211,286,278,413
0.435,423,1553,2550,3796,193,292,285,453
0.445,449,1544,2632,3934,250,340,391,411
0.455,460,1482,2642,4037,267,321,405,443
0.465,467,1456,2642,4168,255,316,383,470
0.475,504,1477,2602,4167,270,317,288,430
0.485,497,1507,2558,4256,263,340,314,410
0.495,513,1512,2516,4312,285,360,334,398
0.505,502,1508,2534,4377,273,311,344,404
0.515,507,1510,2570,4290,289,307,355,407
0.525,481,1456,2633,4118,261,289,366,407
0.535,464,1436,2675,4043,224,305,383,408
0.545,405,1431,2607,3826,233,318,329,394
0.555,405,1424,2595,3791,230,310,335,412
0.565,406,1399,2574,3739,251,311,346,443
0.575,398,1341,2524,3656,257,314,343,459
0.585,367,1267,2488,3551,259,324,326,476
0.595,323,1203,2378,3461,233,314,323,474
0.605,281,1174,2337,3468,216,288,335,442
0.615,291,1177,2307,3525,212,308,352,441
0.625,267,1198,2307,3622,210,320,387,461
0.635,258,1224,2276,3768,208,316,352,452
0.645,269,1243,2276,3778,208,353,381,457
0.655,301,1252,2276,3709,214,297,382,456
0.665,423,1260,2256,3690,232,283,332,446
0.675,491,1275,2256,3547,243,310,323,466
0.685,538,1304,2256,3447,215,295,324,447
0.695,570,1356,2317,3437,206,297,327,413
0.705,590,1423,2337,3464,204,306,327,410
0.715,575,1494,2337,3523,193,288,333,412
0.725,567,1558,2358,3601,188,300,331,414
0.735,554,1611,2368,3631,186,273,331,406
0.745,566,1657,2378,3602,197,281,351,417
0.755,560,1695,2398,3633,187,294,352,414
0.765,540,1728,2418,3691,183,278,351,408
0.775,524,1756,2429,3730,189,272,346,410
0.785,519,1780,2449,3722,193,277,351,422
0.795,518,1801,2459,3695,203,275,354,424
0.805,507,1819,2499,3687,203,272,352,423
0.815,492,1835,2543,3644,200,255,359,431
0.825,488,1850,2516,3565,209,245,362,426
0.835,481,1865,2486,3512,202,254,350,401
0.845,485,1879,2462,3494,211,251,328,402
0.855,484,1894,2445,3492,215,261,326,395
0.865,482,1907,2422,3497,220,269,323,402
0.875,477,1920,2452,3502,207,275,313,402
0.885,448,1930,2459,3508,214,279,311,400
0.895,406,1938,2454,3554,205,273,340,410
0.905,396,1942,2415,3584,209,257,333,397
0.915,369,1943,2413,3623,231,244,333,391
0.925,355,1940,2417,3680,236,248,324,367
0.935,365,1932,2426,3686,225,262,326,367
0.945,365,1921,2498,3722,201,337,318,382
0.955,365,1906,2433,3776,190,327,316,411
0.965,365,1888,2267,3805,201,394,288,426
0.975,382,1867,2308,3758,210,409,266,413
0.985,382,1845,2376,3786,217,385,306,421
0.995,382,1822,2442,3738,200,354,322,411
1.005,382,1798,2493,3685,209,349,305,388
1.015,382,1773,2590,3753,221,294,300,405
1.025,412,1749,2661,3777,223,290,322,409
1.035,479,1726,2721,3859,193,268,331,413
1.045,447,1704,2753,3974,229,311,325,449
1.055,441,1683,2781,4025,220,259,358,461
1.065,440,1663,2762,3972,215,282,381,463
1.075,488,1643,2691,3876,227,331,372,419
1.085,518,1625,2706,3878,206,248,322,420
1.095,446,1607,2692,3805,204,271,338,427
1.105,443,1589,2638,3888,214,294,366,442
1.115,419,1573,2446,3897,257,335,370,461
1.125,422,1556,2369,4012,232,317,348,457
1.135,383,1541,2410,4077,272,330,306,436
1.145,418,1526,2364,4108,254,330,316,450
1.155,437,1511,2338,4124,246,351,280,441
1.165,429,1496,2385,4064,207,361,278,447
1.175,391,1482,2375,3891,219,347,282,419
1.185,446,1468,2412,3744,216,329,274,410
1.195,470,1454,2440,3771,236,331,292,418
1.205,455,1441,2388,3790,226,316,315,431
1.215,378,1427,2348,3742,233,305,292,417
1.225,426,1413,2327,3637,224,302,300,423
1.235,438,1396,2246,3608,216,297,299,436
1.245,446,1374,2135,3649,210,274,320,462
1.255,456,1345,1952,3725,202,261,340,484
1.265,463,1308,1790,3757,208,265,371,527
1.275,480,1262,1749,3734,199,274,402,556
1.285,491,1216,1699,3679,210,260,435,552
1.295,481,1178,1678,3628,207,271,469,559
1.305,488,1158,1689,3569,198,255,413,552
1.315,489,1162,1689,3482,206,253,433,533
1.325,486,1187,1719,3394,207,270,382,505
1.335,470,1227,1790,3373,213,291,368,475
1.345,442,1273,1871,3357,237,319,351,447
1.355,411,1317,2054,3492,253,309,327,433
1.365,382,1354,2165,3648,286,308,383,383
1.375,354,1380,2287,3809,316,324,394,402
1.385,364,1396,2469,3981,305,313,375,386
1.395,364,1400,2520,4011,257,336,388,400
1.405,347,1390,2510,4163,301,336,394,400
1.415,347,1365,2520,4184,293,326,414,381
1.425,347,1325,2540,4064,282,344,395,413
1.435,347,1276,2621,4023,299,314,402,451
1.445,364,1227,2631,4009,275,307,360,454
1.455,364,1190,2652,3836,279,308,315,477
1.465,373,1170,2662,3656,245,295,335,484
1.475,390,1162,2641,3573,228,288,319,467
1.485,425,1161,2641,3524,232,285,300,482
1.495,425,1159,2611,3462,257,290,323,481
1.505,434,1152,2566,3436,237,302,298,474
1.515,460,1136,2613,3416,222,326,286,446
1.525,504,1114,2632,3403,214,331,307,449
1.535,504,1089,2660,3423,207,331,273,450
1.545,495,1062,2660,3471,208,316,289,446
1.555,478,1036,2679,3548,216,296,287,435
1.565,451,1012,2707,3673,224,324,325,407
1.575,434,989,2764,3776,224,311,328,411
1.585,434,970,2764,3788,213,299,296,393
1.595,417,954,2754,3753,182,287,349,368
1.605,382,945,2764,3848,237,324,294,387
1.615,390,946,2726,3953,218,349,291,382
1.625,390,962,2613,3931,265,304,302,395
1.635,364,998,2633,3765,315,290,289,404
1.645,390,1056,2611,3744,336,268,274,384
1.655,373,1137,2646,3711,315,285,296,389
1.665,408,1223,2669,3637,242,335,320,354
1.675,408,1301,2696,3652,231,326,323,311
1.685,379,1356,2682,3744,201,328,327,320
1.695,384,1387,2656,3783,195,308,303,324
1.705,426,1401,2682,3860,210,330,293,367
1.715,425,1401,2617,3959,261,346,326,378
1.725,435,1395,2577,3926,282,341,385,400
1.735,435,1386,2579,3933,266,308,372,427
1.745,435,1379,2608,3969,290,333,350,430
1.755,443,1376,2665,4066,272,350,356,429
1.765,443,1379,2689,4042,312,332,381,431
1.775,426,1393,2697,3991,292,342,337,390
1.785,426,1418,2667,3894,300,369,363,424
1.795,435,1457,2641,3768,296,379,306,428
1.805,435,1508,2607,3844,324,325,340,411
1.815,443,1562,2619,3838,340,306,356,411
1.825,443,1611,2544,3903,281,344,309,422
1.835,443,1648,2547,4018,254,340,339,448
1.845,408,1666,2518,4008,200,351,292,472
1.855,408,1657,2443,3952,235,316,298,449
1.865,417,1623,2396,3900,250,361,288,455
1.875,417,1572,2292,3864,253,341,336,438
1.885,417,1513,2141,3794,257,302,377,467
1.895,408,1452,2057,3781,259,278,403,466
1.905,408,1397,1962,3681,288,286,443,517
1.915,408,1347,1840,3604,257,290,449,518
1.925,408,1303,1774,3489,240,285,479,525
1.935,408,1264,1755,3368,217,251,473,491
1.945,382,1231,1670,3264,204,271,454,452
1.955,382,1202,1651,3234,198,263,450,411
1.965,419,1178,1651,3194,209,236,406,389
1.975,453,1157,1651,3186,218,255,376,413
1.985,460,1139,1629,3109,197,278,331,409
1.995,455,1120,1661,3120,205,278,301,409
2.005,446,1102,1670,3095,196,295,329,407
2.015,425,1082,1689,3130,212,310,317,386
2.025,382,1059,1699,3167,199,332,312,385
2.035,356,1035,1727,3176,205,319,323,396
2.045,347,1010,1849,3219,208,310,353,394
2.055,338,985,1814,3244,208,327,335,403
2.065,338,961,1898,3295,232,327,294,384
2.075,338,940,1982,3326,219,326,290,391
2.085,330,922,2064,3373,239,315,284,413
2.095,338,909,2142,3417,215,337,301,406
2.105,330,899,2214,3329,177,353,372,403
2.115,356,893,2275,3299,173,309,383,386
2.125,382,888,2324,3291,211,301,378,395
2.135,382,885,2359,3343,210,328,379,374
2.145,382,882,2376,3333,213,314,404,386
2.155,399,879,2375,3330,214,346,406,372
2.165,399,876,2363,3324,216,328,425,397
2.175,443,876,2344,3321,219,326,416,363
2.185,425,879,2323,3315,233,318,380,384
2.195,425,888,2305,3313,232,320,379,385
2.205,460,904,2288,3305,216,319,354,382
2.215,469,930,2274,3300,226,324,315,384
2.225,478,966,2263,3320,224,337,306,389
2.235,504,1016,2256,3361,228,311,295,361
2.245,513,1077,2254,3393,210,326,283,378
2.255,513,1138,2256,3391,203,323,300,375
2.265,521,1190,2265,3445,199,325,295,401
2.275,521,1222,2282,3469,195,321,296,376
2.285,539,1236,2308,3519,196,318,284,361
2.295,547,1234,2344,3564,191,312,267,341
2.305,513,1222,2391,3606,188,310,272,355
2.315,504,1202,2445,3660,190,302,272,356
2.325,478,1179,2503,3709,196,304,285,368
2.335,460,1151,2560,3803,182,321,264,354
2.345,452,1114,2613,3783,174,299,258,350
2.355,443,1064,2659,3796,170,337,265,349
2.365,426,1003,2698,3857,165,336,268,345
2.375,408,948,2728,3886,160,328,297,344
2.385,408,917,2751,3910,166,297,301,331
2.395,408,920,2764,3818,173,304,304,322
2.405,408,953,2768,3862,189,304,318,351
2.415,399,1008,2765,3890,192,308,293,338
2.425,417,1079,2755,3804,211,317,293,381
2.435,452,1158,2742,3814,186,323,271,362
2.445,478,1240,2725,3743,157,306,313,368
2.455,504,1317,2708,3703,176,312,275,358
2.465,530,1384,2691,3765,184,301,281,370
2.475,552,1437,2677,3787,168,302,309,337
2.485,540,1478,2665,3759,166,308,305,361
2.495,510,1511,2654,3815,168,285,305,389
2.505,501,1536,2643,3886,167,298,315,372
2.515,492,1553,2632,3966,182,321,336,370
2.525,495,1559,2619,3979,221,350,294,427
2.535,448,1544,2604,3949,222,338,273,416
2.545,414,1506,2586,3954,255,298,282,451
2.555,404,1469,2564,3911,249,293,277,429
2.565,409,1454,2537,3919,238,303,301,461
2.575,427,1456,2505,3896,226,308,280,426
2.585,438,1466,2470,3897,210,333,341,416
2.595,431,1475,2436,3825,196,323,324,412
2.605,465,1483,2404,3784,213,329,327,424
2.615,487,1498,2377,3874,204,327,318,410
2.625,543,1529,2360,3875,207,341,324,403
2.635,618,1571,2354,3885,263,342,303,409
2.645,601,1612,2363,3843,312,294,319,439
2.655,654,1641,2389,3871,256,289,346,440
2.665,748,1655,2428,3925,304,323,338,472
2.675,887,1662,2471,3943,315,338,331,486
2.685,882,1667,2510,3911,266,327,324,461
2.695,918,1676,2540,3939,274,315,342,463
2.705,899,1690,2562,4041,277,314,378,463
2.715,919,1708,2579,4019,227,326,370,468
2.725,926,1730,2591,3976,190,348,340,456
2.735,972,1755,2599,3967,235,329,346,447
2.745,860,1781,2605,3977,246,308,356,437
2.755,688,1808,2611,4015,234,318,366,435
2.765,687,1832,2617,4048,239,328,368,429
2.775,683,1852,2626,4130,286,307,350,432
2.785,770,1864,2637,4163,256,296,354,436
2.795,794,1869,2653,4214,246,287,352,443
2.805,732,1868,2501,4202,241,268,334,440
2.815,596,1864,2453,4095,251,278,315,451
2.825,568,1861,2422,4004,225,283,312,455
2.835,557,1860,2352,3916,179,273,304,461
2.845,569,1860,2354,3890,182,290,332,464
2.855,567,1861,2355,3823,198,251,303,464
2.865,556,1862,2359,3787,188,286,313,447
2.875,535,1863,2357,3736,191,280,283,441
2.885,520,1864,2371,3678,186,260,292,463
2.895,523,1863,2372,3595,184,263,291,467
2.905,487,1836,2374,3533,182,242,296,451
2.915,460,1796,2400,3492,178,264,281,448
2.925,469,1760,2410,3473,181,272,299,446
2.935,469,1735,2421,3549,194,283,294,440
2.945,469,1667,2409,3571,203,297,284,426
2.955,478,1583,2374,3619,208,300,275,428
2.965,548,1474,2383,3538,203,317,311,467
2.975,600,1364,2310,3416,189,311,307,448
2.985,626,1288,2242,3475,194,304,309,409
2.995,652,1179,2212,3456,233,306,339,403
3.005,652,1154,2244,3476,235,307,315,378
3.015,661,1128,2273,3526,199,310,315,396
3.025,661,1069,2272,3507,190,299,311,404
3.035,661,1019,2269,3590,185,306,315,405
3.045,661,1019,2261,3554,197,304,334,391
3.055,661,1036,2229,3522,198,289,305,385
3.065,661,1027,2321,3591,204,302,318,385
3.075,652,1046,2314,3667,214,302,318,384
3.085,652,1063,2375,3711,213,307,279,353
3.095,652,1097,2357,3674,223,296,280,383
3.105,658,1146,2430,3715,212,310,288,396
3.115,609,1177,2387,3694,190,312,300,395
3.125,663,1224,2436,3760,226,283,284,396
3.135,696,1256,2458,3787,236,302,301,401
3.145,728,1272,2405,3761,214,338,321,403
3.155,650,1396,2480,3839,217,326,334,428
3.165,700,1431,2448,3869,227,309,360,419
3.175,706,1463,2387,3898,255,303,377,405
3.185,714,1546,2436,3863,253,350,346,414
3.195,797,1574,2487,3897,277,355,336,429
3.205,834,1579,2621,3973,252,367,350,436
3.215,829,1560,2726,3997,273,339,327,410
3.225,919,1596,2751,4129,264,375,378,400
3.235,986,1647,2824,4289,261,374,418,430
3.245,941,1743,2839,4141,241,393,413,397
3.255,964,1816,2869,4020,259,417,361,355
3.265,956,1801,2896,4009,265,398,349,373
3.275,946,1714,3009,4052,280,387,326,389
3.285,898,1682,3080,4086,293,420,315,418
3.295,927,1725,3080,4179,265,397,319,393
3.305,1005,1832,3053,4244,262,411,342,382
3.315,1016,1891,2976,4090,258,397,352,324
3.325,924,1903,3034,4005,224,388,311,344
3.335,1046,1942,3081,3990,253,378,323,377
3.345,1091,1982,3064,3897,267,376,365,388
3.355,1097,2090,3144,3955,229,377,358,345
3.365,1010,2063,3219,3947,227,349,365,326
3.375,1032,2018,3363,3960,201,349,349,380
3.385,995,1984,3308,4094,199,349,352,386
3.395,941,1921,3232,4197,180,344,354,430
3.405,846,1893,3110,4198,171,367,347,460
3.415,805,1847,3048,4125,198,342,368,462
3.425,818,1842,2951,4149,196,357,356,440
3.435,762,1839,2882,4156,170,352,337,453
3.445,817,1801,2842,4192,210,358,340,440
3.455,873,1835,2836,4304,209,363,348,467
3.465,839,1787,2815,4224,218,332,335,487
3.475,866,1749,2786,4209,236,341,350,480
3.485,756,1770,2823,4158,223,330,338,470
3.495,747,1777,2780,4135,286,323,350,457
