sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,559,1501,2511,3549,233,281,371,414
0.015,678,1534,2554,3645,243,306,352,446
0.025,762,1586,2522,3678,236,324,377,439
0.035,828,1616,2495,3729,252,341,363,437
0.045,846,1707,2519,3786,246,339,365,444
0.055,879,1791,2608,3833,265,324,364,446
0.065,913,1861,2662,3824,248,305,400,450
0.075,1021,1888,2669,3933,241,335,376,444
0.085,1014,1910,2683,4071,252,304,361,436
0.095,1006,1965,2642,4132,252,339,358,486
0.105,964,1855,2662,4166,252,328,346,465
0.115,878,1735,2719,4107,248,329,361,438
0.125,670,1611,2706,4087,242,325,336,453
0.135,617,1541,2662,3999,246,307,316,444
0.145,569,1504,2608,3857,239,310,312,428
0.155,438,1400,2539,3726,238,294,305,398
0.165,402,1328,2420,3655,255,311,305,384
0.175,372,1273,2218,3597,291,299,296,414
0.185,311,1206,2224,3628,319,354,202,466
0.195,296,1164,2227,3746,339,320,168,498
0.205,307,1113,2237,3844,341,305,147,498
0.215,357,1125,2269,3903,339,301,186,502
0.225,409,1091,2200,3887,304,312,169,468
0.235,361,1003,2252,3699,218,354,268,449
0.245,428,987,2363,3536,196,372,297,444
0.255,428,963,2447,3349,171,377,310,403
0.265,450,931,2523,3299,185,379,337,388
0.275,506,931,2610,3313,189,370,323,352
0.285,506,931,2729,3307,199,350,314,346
0.295,506,931,2830,3391,216,334,287,365
0.305,494,931,2847,3443,212,308,282,358
0.315,483,931,2865,3530,189,282,295,362
0.325,461,955,2918,3679,229,297,292,388
0.335,439,963,2967,3897,210,296,328,407
0.345,439,1051,3032,4134,238,288,387,398
0.355,416,1115,3003,4271,271,287,379,382
0.365,416,1179,3003,4296,292,301,370,363
0.375,416,1227,2968,4230,313,308,390,368
0.385,416,1251,2915,4192,320,315,384,357
0.395,416,1307,2906,4047,300,314,362,375
0.405,439,1403,2844,3961,308,311,354,387
0.415,439,1459,2791,3843,303,309,352,399
0.425,450,1563,2720,3752,284,343,301,390
0.435,450,1595,2631,3783,291,352,266,418
0.445,450,1675,2534,3834,290,330,288,431
0.455,472,1691,2401,3882,320,273,294,414
0.465,472,1699,2339,3880,289,276,312,442
0.475,472,1659,2198,3877,220,330,316,433
0.485,461,1603,2162,3890,278,304,352,448
0.495,461,1467,2065,3825,270,285,409,473
0.505,461,1395,2038,3732,264,304,405,499
0.515,450,1283,1950,3731,258,309,403,461
0.525,450,1163,1861,3754,266,301,404,454
0.535,450,1147,1853,3802,272,298,424,444
0.545,450,1147,1853,3799,306,294,426,435
0.555,450,1147,1844,3743,324,282,397,428
0.565,450,1219,1853,3828,333,245,378,445
0.575,434,1283,1870,3838,297,234,351,424
0.585,401,1563,1985,3809,239,230,320,416
0.595,391,1659,2136,3836,209,248,280,402
0.605,375,1811,2207,3838,210,268,249,391
0.615,363,1883,2286,3886,214,288,264,400
0.625,337,1923,2463,4014,226,281,260,421
0.635,345,1939,2508,4134,222,282,309,414
0.645,367,1955,2676,4309,226,295,344,406
0.655,414,1963,2817,4483,234,314,342,419
0.665,478,1963,2834,4602,265,345,337,431
0.675,460,1963,2863,4656,296,353,345,413
0.685,451,1955,2863,4690,288,345,365,411
0.695,438,1883,2858,4687,291,331,404,398
0.705,442,1843,2858,4725,309,323,404,380
0.715,509,1835,2844,4768,331,393,410,378
0.725,589,1771,2825,4590,302,410,413,367
0.735,512,1699,2774,4592,289,386,456,417
0.745,517,1707,2745,4427,236,345,425,403
0.755,485,1723,2717,4310,305,349,441,437
0.765,455,1731,2666,4299,334,387,440,401
0.775,354,1731,2642,4286,252,337,376,421
0.785,365,1731,2624,4238,229,319,351,441
0.795,354,1723,2469,4150,208,333,318,437
0.805,281,1723,2530,4137,187,352,310,436
0.815,320,1691,2557,4163,203,341,330,437
0.825,337,1683,2448,4155,203,390,324,454
0.835,327,1683,2364,4154,198,398,318,454
0.845,346,1699,2360,4166,206,407,312,461
0.855,499,1699,2461,4067,217,377,323,400
0.865,457,1779,2576,3951,268,386,342,412
0.875,469,1843,2654,3855,312,357,355,398
0.885,465,1883,2609,3776,318,364,343,400
0.895,463,1931,2662,3749,331,389,350,392
0.905,440,1947,2709,3819,311,415,290,407
0.915,436,1955,2700,3864,296,439,309,421
0.925,351,1955,2658,3823,292,427,340,439
0.935,314,1950,2596,3774,290,361,295,435
0.945,352,1962,2623,3770,248,311,282,440
0.955,406,1957,2561,3714,228,288,259,425
0.965,441,1936,2552,3694,209,264,252,422
0.975,447,1900,2481,3646,205,288,253,416
0.985,440,1848,2445,3622,207,280,294,420
0.995,438,1783,2420,3631,227,266,328,434
1.005,444,1704,2401,3701,207,277,284,476
1.015,445,1614,2387,3745,237,319,271,502
1.025,446,1521,2377,3760,269,359,266,452
1.035,449,1431,2372,3735,286,365,264,444
1.045,449,1354,2370,3709,249,335,252,423
1.055,449,1289,2372,3729,233,331,256,423
1.065,460,1235,2375,3685,227,337,283,391
1.075,460,1191,2380,3612,225,310,283,375
1.085,471,1158,2386,3629,233,284,276,363
1.095,471,1136,2393,3650,230,300,231,387
1.105,516,1125,2399,3663,197,307,196,389
1.115,527,1127,2405,3629,204,305,189,391
1.125,538,1143,2409,3591,225,306,194,393
1.135,572,1173,2412,3599,198,330,204,404
1.145,605,1213,2412,3612,206,335,215,410
1.155,605,1256,2409,3573,186,335,233,404
1.165,605,1293,2403,3557,185,334,252,403
1.175,605,1316,2396,3616,186,322,248,414
1.185,605,1324,2388,3633,208,334,223,392
1.195,605,1342,2381,3678,208,314,221,384
1.205,594,1396,2375,3749,241,313,235,402
1.215,583,1510,2372,3797,270,305,306,408
1.225,463,1680,2373,3872,269,324,310,445
1.235,374,1840,2377,3955,253,311,321,422
1.245,301,1943,2384,3971,281,299,376,430
1.255,296,1996,2392,3956,260,310,357,439
1.265,308,2012,2400,3918,246,357,342,433
1.275,312,2005,2406,3900,240,391,307,413
1.285,310,1988,2411,3897,232,373,312,411
1.295,356,1972,2411,3878,224,336,324,408
1.305,394,1946,2407,3996,230,312,318,388
1.315,383,1871,2400,4180,263,314,327,402
1.325,378,1725,2389,4271,256,303,348,379
1.335,349,1544,2375,4300,268,305,294,416
1.345,349,1384,2361,4291,293,263,272,418
1.355,405,1276,2345,4431,314,280,290,468
1.365,483,1207,2330,4523,327,304,363,447
1.375,505,1161,2317,4459,264,288,356,455
1.385,505,1124,2309,4341,262,247,347,486
1.395,494,1092,2312,4215,233,294,324,494
1.405,483,1063,2329,3994,246,293,294,467
1.415,471,1039,2363,3768,244,277,294,403
1.425,438,1018,2414,3781,237,293,304,387
1.435,427,999,2478,3771,230,291,311,394
1.445,371,982,2550,3766,233,266,329,439
1.455,304,966,2623,3828,218,294,378,435
1.465,304,949,2690,3890,252,267,374,441
1.475,304,935,2742,4071,265,340,413,439
1.485,304,926,2775,4215,255,307,388,433
1.495,349,928,2790,4340,298,303,413,392
1.505,360,945,2791,4499,271,334,440,383
1.515,371,980,2779,4514,267,332,418,373
1.525,360,1038,2758,4560,284,361,445,322
1.535,360,1115,2728,4463,264,360,397,352
1.545,360,1202,2693,4444,262,348,377,355
1.555,360,1290,2650,4275,278,353,371,356
1.565,360,1372,2596,4192,271,328,358,367
1.575,360,1440,2525,4184,291,313,326,381
1.585,371,1489,2436,4255,272,329,361,396
1.595,371,1513,2333,4178,295,331,349,400
1.605,371,1511,2225,4012,262,319,344,435
1.615,382,1492,2124,3813,218,295,321,448
1.625,382,1462,2039,3693,216,275,345,422
1.635,405,1429,1976,3629,202,260,338,405
1.645,405,1395,1930,3674,203,233,341,403
1.655,405,1361,1894,3706,197,231,343,408
1.665,416,1329,1864,3722,181,212,360,406
1.675,468,1301,1834,3691,192,194,396,389
1.685,465,1278,1805,3635,194,187,394,363
1.695,471,1262,1779,3654,195,188,358,375
1.705,490,1254,1759,3629,204,199,337,388
1.715,506,1251,1746,3599,214,218,357,394
1.725,506,1256,1744,3572,217,240,369,406
1.735,469,1266,1752,3512,192,236,397,416
1.745,453,1281,1768,3430,218,235,385,398
1.755,461,1302,1792,3395,237,247,350,415
1.765,493,1327,1823,3403,239,278,321,403
1.775,514,1357,1859,3501,226,309,307,394
1.785,469,1390,1901,3564,193,289,318,402
1.795,529,1427,1948,3639,219,295,318,409
1.805,570,1466,2001,3648,250,303,308,401
1.815,522,1508,2060,3672,235,277,319,390
1.825,550,1551,2123,3703,204,258,295,389
1.835,591,1594,2188,3711,222,268,282,414
1.845,526,1638,2253,3718,203,255,310,400
1.855,542,1682,2316,3755,211,235,252,384
1.865,552,1724,2375,3745,210,252,270,399
1.875,523,1764,2426,3750,199,283,284,396
1.885,455,1799,2465,3771,186,283,283,387
1.895,480,1828,2491,3741,219,286,272,394
1.905,482,1849,2499,3757,221,300,301,421
1.915,420,1861,2493,3758,196,303,314,373
1.925,430,1862,2475,3746,196,292,289,366
1.935,457,1851,2445,3752,218,297,297,383
1.945,451,1831,2408,3759,268,311,294,391
1.955,495,1803,2366,3781,258,311,325,409
1.965,546,1771,2323,3851,283,315,336,390
1.975,581,1737,2283,4013,326,292,350,397
1.985,610,1704,2247,4050,354,286,358,413
1.995,623,1674,2216,3957,347,271,319,437
2.005,620,1651,2187,3962,326,280,317,433
2.015,619,1633,2161,3929,291,274,354,454
2.025,662,1618,2137,3878,268,313,304,462
2.035,628,1605,2114,3718,230,299,328,441
2.045,593,1591,2091,3666,211,288,339,387
2.055,571,1575,2067,3612,198,307,265,376
2.065,571,1554,2042,3606,209,292,281,385
2.075,605,1527,2018,3554,216,299,290,404
2.085,627,1494,1997,3575,187,310,304,402
2.095,649,1458,1983,3547,189,305,278,404
2.105,660,1420,1980,3403,169,289,294,423
2.115,683,1382,1988,3276,176,301,306,419
2.125,683,1347,2006,3260,168,304,329,410
2.135,683,1317,2030,3311,162,325,314,442
2.145,683,1293,2059,3319,133,313,327,426
2.155,683,1275,2089,3323,148,303,357,391
2.165,672,1261,2118,3396,152,308,349,378
2.175,660,1251,2146,3562,184,325,309,379
2.185,638,1243,2173,3558,206,334,275,385
2.195,616,1236,2200,3633,223,317,267,436
2.205,538,1229,2228,3740,249,339,268,438
2.215,527,1221,2257,3797,278,362,251,441
2.225,516,1214,2288,3855,262,364,251,448
2.235,493,1205,2320,3898,249,362,271,439
2.245,493,1197,2353,4000,258,383,284,462
2.255,482,1189,2386,4137,253,369,340,497
2.265,504,1181,2419,4316,300,325,364,457
2.275,521,1173,2451,4513,274,326,348,449
2.285,483,1165,2482,4543,277,342,359,407
2.295,495,1157,2511,4657,280,336,376,394
2.305,531,1150,2538,4628,290,347,371,406
2.315,559,1144,2561,4570,280,353,373,445
2.325,589,1139,2581,4590,280,338,331,443
2.335,594,1136,2596,4618,292,334,323,438
2.345,571,1135,2606,4564,298,334,320,411
2.355,560,1136,2610,4481,260,367,329,427
2.365,549,1140,2608,4319,264,348,306,431
2.375,538,1148,2598,4226,232,319,286,457
2.385,527,1160,2583,4126,227,325,279,448
2.395,505,1175,2564,3940,216,333,288,441
2.405,505,1194,2543,3780,213,323,239,420
2.415,549,1216,2523,3759,182,320,214,422
2.425,616,1240,2504,3713,200,323,228,427
2.435,649,1267,2489,3692,177,332,265,428
