sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,544,1530,2508,3702,231,312,413,443
0.015,596,1481,2486,3744,302,302,418,461
0.025,697,1481,2510,3801,278,330,397,471
0.035,697,1582,2585,3790,255,291,388,482
0.045,621,1657,2624,3821,243,286,407,478
0.055,614,1640,2624,3830,243,324,358,468
0.065,578,1601,2610,3781,232,317,349,438
0.075,637,1522,2600,3674,240,305,372,441
0.085,603,1512,2638,3710,238,304,373,439
0.095,597,1562,2566,3746,235,334,360,433
0.105,584,1517,2501,3716,242,348,317,424
0.115,582,1469,2379,3620,274,353,321,442
0.125,624,1443,2383,3529,328,347,331,433
0.135,663,1435,2453,3412,333,332,330,414
0.145,717,1444,2547,3459,308,323,330,416
0.155,714,1467,2599,3593,296,335,303,425
0.165,787,1504,2562,3643,261,368,312,419
0.175,835,1550,2586,3746,251,384,276,448
0.185,626,1605,2614,3827,200,375,289,454
0.195,599,1667,2625,3808,229,361,287,440
0.205,619,1733,2624,3843,229,360,283,444
0.215,716,1801,2719,3903,279,387,258,441
0.225,691,1870,2760,3959,222,395,270,432
0.235,730,1937,2794,3990,276,417,332,460
0.245,773,2000,2822,4022,240,416,299,459
0.255,822,2057,2845,4033,253,407,299,454
0.265,831,2107,2862,3952,214,414,296,439
0.275,817,2147,2875,3981,243,391,288,433
0.285,714,2180,2884,4064,262,369,288,445
0.295,601,2205,2889,4125,262,352,273,429
0.305,528,2225,2891,4093,258,327,299,452
0.315,380,2240,2890,3935,240,298,357,422
0.325,302,2251,2887,3846,200,288,360,403
0.335,270,2259,2883,3846,205,289,349,416
0.345,304,2266,2877,3827,194,338,338,431
0.355,288,2271,2873,3844,187,316,316,420
0.365,296,2274,2873,3787,186,312,325,394
0.375,299,2275,2881,3814,186,320,318,379
0.385,273,2274,2899,3782,191,319,319,369
0.395,300,2272,2921,3767,201,304,316,368
0.405,281,2268,2943,3785,198,312,328,356
0.415,290,2262,2958,3774,188,311,317,361
0.425,288,2255,2959,3783,191,312,333,364
0.435,275,2246,2945,3794,192,305,328,370
0.445,297,2237,2919,3793,202,303,313,368
0.455,289,2226,2884,3799,197,306,312,361
0.465,328,2214,2846,3807,188,314,316,361
0.475,326,2202,2808,3813,187,319,324,361
0.485,364,2189,2774,3807,191,309,329,379
0.495,392,2177,2742,3791,191,310,305,395
0.505,403,2164,2711,3762,184,329,304,404
0.515,457,2149,2677,3695,171,341,293,398
0.525,460,2129,2638,3597,186,340,307,375
0.535,437,2102,2593,3536,217,335,307,405
0.545,536,2064,2545,3562,208,358,306,386
0.555,584,2013,2498,3489,203,363,323,374
0.565,606,1952,2453,3464,194,383,321,376
0.575,653,1886,2414,3410,205,385,324,402
0.585,656,1819,2381,3389,189,315,366,417
0.595,645,1754,2355,3401,162,296,338,388
0.605,619,1696,2337,3426,149,290,304,384
0.615,654,1645,2326,3450,166,296,320,395
0.625,642,1599,2322,3506,164,313,318,384
0.635,666,1559,2323,3510,184,309,309,401
0.645,588,1523,2327,3529,166,286,333,443
0.655,504,1489,2333,3597,178,304,345,444
0.665,479,1458,2339,3717,205,329,319,435
0.675,445,1428,2342,3859,228,299,323,468
0.685,438,1399,2340,3986,233,346,302,485
0.695,408,1370,2331,4068,255,321,279,519
0.705,331,1341,2313,4189,241,332,347,521
0.715,321,1312,2292,4315,214,328,380,483
