sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,556,1400,2559,3552,227,249,386,433
0.015,629,1465,2589,3466,218,291,419,407
0.025,672,1371,2573,3432,292,265,405,391
0.035,688,1430,2493,3478,298,286,404,379
0.045,738,1444,2473,3518,251,287,394,417
0.055,758,1392,2562,3543,267,292,368,436
0.065,771,1422,2574,3635,232,321,365,445
0.075,799,1373,2594,3675,233,293,381,451
0.085,833,1416,2603,3665,260,331,415,461
0.095,713,1471,2600,3703,225,324,417,479
0.105,803,1450,2495,3630,292,335,388,474
0.115,785,1543,2549,3619,260,317,360,492
0.125,840,1390,2562,3606,215,325,379,448
0.135,803,1298,2730,3520,244,316,399,430
0.145,804,1105,2854,3460,227,319,383,402
0.155,742,1010,2907,3578,215,311,349,414
0.165,793,1055,2963,3587,232,314,323,438
0.175,792,1062,2805,3660,247,331,320,447
0.185,768,1084,2806,3595,174,332,313,497
0.195,798,1057,2803,3641,186,330,337,495
0.205,719,1066,2726,3628,180,326,355,466
0.215,657,1048,2628,3661,218,314,361,454
0.225,585,1048,2526,3644,223,317,378,443
0.235,544,1066,2369,3607,236,290,350,419
0.245,533,1066,2270,3629,229,304,313,431
0.255,523,1075,2284,3692,234,299,324,428
0.265,523,1093,2208,3704,219,310,327,419
0.275,523,1093,2198,3632,195,304,340,407
0.285,523,1103,2160,3587,191,310,324,417
0.295,544,1103,2112,3648,176,299,279,442
0.305,564,1103,2112,3643,192,292,305,455
0.315,564,1103,2083,3614,204,272,341,448
0.325,564,1103,2035,3571,209,269,330,446
0.335,585,1121,2060,3608,204,277,331,445
0.345,585,1139,1973,3552,192,298,326,439
0.355,595,1148,1937,3525,178,312,316,434
0.365,595,1148,1942,3507,178,276,349,424
0.375,615,1148,1981,3450,198,304,335,414
0.385,615,1130,2047,3462,222,289,298,403
0.395,595,1130,2132,3466,252,313,316,421
0.405,595,1112,2228,3571,184,330,286,422
0.415,595,1112,2328,3648,202,325,289,438
0.425,595,1093,2427,3820,168,345,318,450
0.435,595,1093,2518,3973,165,342,334,471
0.445,595,1084,2595,4012,201,356,299,438
0.455,595,1075,2657,4143,209,349,290,420
0.465,595,1066,2705,4217,189,331,297,415
0.475,585,1066,2743,4270,178,320,283,409
0.485,585,1039,2774,4180,213,301,330,405
0.495,554,1020,2802,4206,223,310,349,414
0.505,554,1030,2828,4292,225,306,299,430
0.515,554,1020,2854,4158,218,314,293,424
0.525,554,995,2878,4231,214,288,291,422
0.535,543,938,2900,4253,221,304,331,411
0.545,543,889,2918,4238,195,300,315,413
0.555,543,850,2933,4249,186,316,302,408
0.565,513,821,2945,4228,162,289,315,384
0.575,482,804,2955,4192,186,284,261,375
0.585,482,799,2963,4111,165,269,294,370
0.595,482,809,2964,4039,179,280,326,390
0.605,482,838,2947,3970,205,292,343,389
0.615,471,889,2897,3922,219,316,362,394
0.625,502,964,2806,3772,222,309,378,415
0.635,502,1064,2697,3716,226,302,365,402
0.645,502,1187,2612,3702,203,307,336,371
0.655,482,1309,2582,3753,175,323,328,371
0.665,482,1407,2592,3699,200,327,340,348
0.675,482,1488,2615,3661,216,301,345,395
0.685,471,1566,2633,3782,217,308,327,383
0.695,471,1644,2645,3807,199,302,319,390
0.705,471,1715,2650,3823,235,319,329,429
0.715,482,1774,2650,3855,205,342,318,408
0.725,500,1820,2649,3824,196,327,314,399
0.735,472,1859,2647,3855,172,307,309,406
0.745,472,1894,2647,3820,177,322,278,402
0.755,479,1930,2652,3842,179,324,270,391
0.765,464,1972,2660,3818,185,312,271,384
0.775,462,2018,2672,3835,180,306,296,374
0.785,450,2065,2689,3869,186,307,284,355
0.795,448,2106,2709,3825,186,326,279,338
0.805,451,2141,2731,3895,184,338,278,357
0.815,417,2173,2750,3855,189,347,269,359
0.825,412,2206,2764,3887,184,317,295,375
0.835,408,2243,2772,3889,167,332,281,395
0.845,392,2287,2774,3904,166,350,263,392
0.855,408,2307,2772,3938,169,344,273,401
0.865,418,2260,2768,3955,181,355,246,402
0.875,468,2168,2765,3980,187,335,284,401
0.885,430,2111,2764,3986,194,327,302,408
0.895,462,2110,2767,3974,191,333,273,395
0.905,474,2138,2772,3947,198,327,268,392
0.915,450,2169,2779,3957,180,345,272,387
0.925,416,2197,2787,3988,173,347,285,385
0.935,401,2218,2795,3992,164,360,317,372
0.945,398,2232,2803,3986,168,341,323,390
0.955,416,2242,2808,4031,177,350,304,394
0.965,409,2254,2808,3989,186,353,293,382
0.975,391,2269,2800,3852,192,349,285,393
0.985,411,2279,2777,3822,197,340,280,396
0.995,369,2271,2737,3844,198,340,279,361
1.005,384,2235,2677,3796,196,351,279,352
1.015,372,2211,2599,3783,208,339,313,359
1.025,317,2238,2510,3737,223,315,322,376
1.035,374,1948,2418,3759,195,286,359,409
1.045,355,1173,2327,3793,191,354,345,428
1.055,351,1000,2240,3823,238,353,321,437
1.065,356,989,2156,3829,280,338,297,456
1.075,369,957,2076,3808,265,350,292,458
1.085,385,931,2000,3802,280,348,298,463
1.095,401,921,1931,3822,278,333,337,436
1.105,413,931,1872,3888,312,311,315,440
1.115,419,952,1825,3878,240,308,354,469
1.125,415,973,1793,3899,285,295,352,506
1.135,399,996,1765,3876,279,328,338,496
1.145,379,1028,1732,3918,238,279,375,505
1.155,371,1079,1682,4050,286,286,384,521
1.165,382,1157,1637,4124,258,268,375,496
1.175,407,1253,1656,4132,257,273,375,468
1.185,440,1345,1780,4123,247,306,368,474
1.195,471,1411,1943,4039,216,284,372,440
1.205,490,1449,2073,3997,214,275,366,459
1.215,487,1468,2175,3864,201,293,343,436
1.225,466,1472,2260,3823,215,332,298,398
1.235,432,1466,2338,3906,224,332,263,423
1.245,391,1453,2409,4012,239,337,254,448
1.255,347,1438,2468,4134,250,336,262,490
1.265,306,1423,2515,4243,249,344,268,475
1.275,272,1411,2545,4359,244,341,257,433
1.285,249,1407,2562,4366,225,346,250,404
1.295,239,1413,2569,4361,229,343,268,417
1.305,239,1433,2570,4312,242,355,309,420
1.315,245,1469,2568,4383,238,330,353,424
1.325,253,1469,2569,4432,259,319,353,412
1.335,260,1469,2572,4503,287,309,362,401
1.345,267,1507,2577,4580,284,323,339,431
1.355,275,1541,2584,4602,307,359,395,420
1.365,285,1519,2593,4641,296,357,354,421
1.375,300,1524,2602,4531,237,356,319,403
1.385,319,1562,2611,4502,208,347,339,438
1.395,339,1480,2620,4436,213,287,347,482
1.405,356,1503,2628,4349,228,320,351,486
1.415,369,1469,2632,4327,212,303,396,491
1.425,372,1441,2631,4214,194,327,374,421
1.435,366,1441,2624,4151,203,366,359,423
1.445,354,1423,2610,4120,194,356,344,446
1.455,341,1423,2586,4210,305,361,349,449
1.465,333,1423,2553,4246,338,346,333,430
1.475,334,1423,2510,4319,329,304,296,443
1.485,347,1423,2460,4353,325,303,294,441
1.495,372,1423,2409,4264,261,328,313,427
1.505,409,1423,2359,4193,210,341,333,421
1.515,454,1423,2313,4093,195,348,318,442
1.525,487,1405,2274,3996,212,368,337,461
1.535,482,1414,2243,3862,219,326,353,486
1.545,437,1423,2222,3749,218,349,303,480
1.555,376,1423,2212,3629,224,302,293,458
1.565,325,1423,2214,3571,210,335,317,452
1.575,301,1423,2224,3496,210,314,339,454
1.585,302,1423,2241,3549,238,316,342,430
1.595,323,1475,2261,3568,221,299,338,405
1.605,359,1605,2283,3646,226,313,315,413
1.615,405,1688,2305,3700,201,315,293,401
1.625,457,1706,2328,3732,189,303,298,408
1.635,457,1770,2350,3707,200,291,293,395
1.645,450,1806,2370,3678,190,302,312,379
1.655,482,1825,2388,3693,204,297,319,363
1.665,474,1816,2405,3647,204,292,309,359
1.675,460,1816,2424,3618,207,275,298,353
1.685,486,1816,2446,3614,215,290,307,354
1.695,502,1770,2472,3609,214,301,314,350
1.705,482,1697,2506,3624,206,298,300,359
1.715,471,1541,2546,3677,206,324,294,376
1.725,451,1432,2589,3694,212,315,309,387
1.735,441,1276,2631,3714,212,313,324,401
1.745,441,1194,2670,3664,217,310,349,417
1.755,441,1130,2704,3679,226,290,362,419
1.765,461,1048,2734,3729,239,300,358,440
1.775,441,1030,2759,3742,219,281,349,429
1.785,441,1021,2781,3741,226,289,336,437
1.795,441,1021,2796,3654,237,300,322,438
1.805,430,1011,2803,3647,224,292,337,410
1.815,399,1011,2800,3686,215,305,357,403
1.825,389,1011,2789,3701,211,305,347,406
1.835,379,993,2775,3757,168,351,341,417
1.845,379,957,2765,3646,181,317,351,416
1.855,389,884,2766,3675,212,323,366,433
1.865,410,874,2779,3711,235,335,351,418
1.875,430,820,2802,3779,134,377,322,417
1.885,430,810,2832,3699,109,393,331,346
1.895,399,801,2865,3763,132,367,294,312
1.905,325,792,2900,3752,164,304,294,332
1.915,317,792,2932,3761,150,313,290,334
1.925,317,792,2961,3819,179,300,322,382
1.935,317,792,2984,3881,205,307,302,393
1.945,317,792,3002,3929,211,300,296,372
1.955,325,792,3014,3960,224,306,316,377
1.965,333,810,3023,4060,228,300,312,401
1.975,349,874,3034,4109,257,309,324,427
1.985,357,938,3049,4131,271,315,343,425
1.995,365,1002,3066,4099,246,352,364,406
2.005,365,1103,3076,4065,263,357,370,403
2.015,389,1176,3071,4041,308,335,360,408
