sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,579,1436,2428,3639,252,280,360,419
0.015,595,1437,2505,3663,293,259,378,418
0.025,617,1430,2533,3755,292,284,378,412
0.035,608,1431,2551,3831,267,308,386,430
0.045,568,1449,2582,3876,317,268,328,395
0.055,602,1395,2544,3898,330,264,346,394
0.065,636,1342,2489,3975,335,270,341,388
0.075,651,1371,2494,3950,321,273,317,391
0.085,708,1328,2416,3909,303,314,301,387
0.095,678,1399,2420,3821,311,305,312,418
0.105,635,1426,2448,3844,278,288,328,385
0.115,626,1467,2495,3851,311,289,327,369
0.125,622,1513,2481,3862,303,290,353,395
0.135,676,1502,2548,3877,322,322,325,432
0.145,723,1466,2495,3852,297,340,338,429
0.155,735,1410,2571,3803,295,319,332,415
0.165,725,1449,2501,3740,299,308,352,419
0.175,655,1445,2475,3702,333,282,335,364
0.185,581,1511,2421,3760,266,319,331,372
0.195,551,1527,2446,3789,260,338,347,403
0.205,452,1467,2418,3740,272,337,336,418
0.215,348,1403,2399,3769,243,345,308,434
0.225,357,1263,2411,3773,243,347,304,430
0.235,379,1302,2459,3720,231,320,288,391
0.245,333,1342,2493,3670,237,303,288,398
0.255,369,1371,2501,3592,221,318,282,404
0.265,441,1458,2501,3504,235,341,291,401
0.275,476,1517,2501,3495,229,344,272,452
0.285,504,1604,2501,3555,233,326,250,480
0.295,498,1623,2433,3573,216,316,294,469
0.305,458,1623,2413,3535,203,271,288,452
0.315,438,1614,2374,3513,213,254,302,443
0.325,424,1565,2229,3371,207,284,300,430
0.335,435,1419,2141,3284,232,349,328,413
0.345,456,1332,2054,3211,250,369,336,417
0.355,428,1206,2054,3210,207,364,347,411
0.365,360,1060,2054,3292,202,351,351,412
0.375,297,1021,2035,3460,191,309,339,433
0.385,276,992,2005,3503,185,323,349,443
0.395,299,992,1986,3484,174,317,362,474
0.405,349,1002,1957,3437,160,295,382,508
0.415,394,1051,1811,3400,174,277,334,520
0.425,413,1070,1695,3369,192,264,308,508
0.435,407,1070,1578,3358,198,244,322,513
0.445,380,1080,1559,3363,208,232,314,510
0.455,354,1186,1559,3453,226,228,299,501
0.465,337,1322,1578,3508,231,212,336,485
0.475,333,1410,1607,3509,251,271,350,511
0.485,344,1517,1799,3499,241,284,346,452
0.495,361,1676,1983,3530,298,334,317,427
0.505,376,1711,2116,3513,370,364,317,426
0.515,381,1721,2209,3540,350,402,313,376
0.525,381,1760,2269,3516,351,410,334,369
0.535,376,1789,2305,3607,364,406,327,370
0.545,371,1808,2324,3653,359,383,319,383
0.555,367,1808,2337,3763,327,363,290,400
0.565,367,1808,2348,3808,296,347,301,400
0.575,375,1789,2359,3805,263,322,305,421
0.585,392,1789,2373,3733,292,273,327,428
0.595,421,1779,2392,3673,280,300,317,380
0.605,447,1779,2416,3679,240,308,262,394
0.615,479,1760,2446,3617,203,294,265,412
0.625,467,1731,2479,3608,213,311,240,413
0.635,458,1721,2511,3564,215,303,267,414
0.645,452,1711,2537,3591,200,297,253,438
0.655,444,1721,2555,3633,220,300,258,414
0.665,438,1770,2566,3670,201,295,271,395
0.675,429,1818,2570,3647,200,275,282,380
0.685,423,1828,2568,3724,225,278,300,365
0.695,418,1847,2561,3790,218,296,285,400
0.705,386,1847,2551,3940,239,305,324,389
0.715,349,1847,2537,4058,271,331,350,424
