sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,590,1486,2509,3588,238,285,390,409
0.015,609,1519,2465,3605,293,288,370,420
0.025,603,1546,2524,3660,304,286,359,443
0.035,649,1562,2591,3661,274,302,373,437
0.045,770,1539,2614,3661,272,356,333,459
0.055,795,1682,2672,3723,293,291,356,440
0.065,857,1784,2653,3788,290,314,374,419
0.075,895,1843,2709,3942,219,350,339,454
0.085,968,1830,2667,3927,229,359,345,455
0.095,967,1785,2663,3877,250,320,377,446
0.105,1005,1741,2591,3785,263,350,366,434
0.115,949,1705,2432,3734,259,374,331,397
0.125,896,1552,2417,3746,264,331,367,387
0.135,813,1562,2489,3734,258,310,335,446
0.145,779,1543,2429,3707,280,308,318,407
0.155,735,1443,2424,3703,315,345,279,413
0.165,548,1345,2447,3677,323,313,261,406
0.175,442,1242,2341,3818,250,304,277,408
0.185,444,1307,2375,3902,217,313,315,389
0.195,451,1246,2411,3953,235,320,340,388
0.205,377,1240,2411,3999,251,314,314,396
0.215,346,1394,2411,4034,230,322,343,398
0.225,346,1427,2411,4003,257,282,359,414
0.235,346,1422,2396,3913,284,307,370,431
0.245,377,1351,2286,3937,269,285,359,455
0.255,346,1205,2111,3897,252,355,345,440
0.265,346,1044,2028,3798,223,368,352,430
0.275,356,939,1996,3726,209,328,349,425
0.285,346,882,1980,3655,207,297,350,433
0.295,366,826,1968,3637,210,313,324,402
0.305,356,774,1956,3659,223,302,305,400
0.315,366,742,1942,3682,219,305,321,401
0.325,366,733,1922,3727,203,290,307,390
0.335,408,745,1898,3748,219,324,284,423
0.345,366,775,1870,3725,198,284,314,405
0.355,356,817,1838,3714,217,292,319,402
0.365,377,866,1807,3694,195,266,293,400
0.375,377,913,1781,3695,220,260,349,393
0.385,398,958,1764,3680,212,293,291,404
0.395,398,997,1750,3610,248,265,328,415
0.405,398,1032,1736,3507,271,257,306,429
0.415,439,1061,1733,3428,249,277,311,429
0.425,491,1080,1761,3360,237,288,295,410
0.435,523,1086,1828,3345,227,301,263,400
0.445,502,1074,1929,3534,238,275,311,402
0.455,502,1043,2055,3763,215,290,281,403
0.465,460,997,2192,3920,225,306,272,374
0.475,471,944,2326,4041,231,294,294,360
0.485,398,891,2439,4034,257,334,332,435
0.495,335,844,2512,4075,245,297,328,468
0.505,273,813,2548,4073,248,312,320,442
0.515,273,804,2564,4161,234,299,320,430
0.525,304,823,2571,4058,243,288,286,401
0.535,325,868,2576,4132,232,282,339,411
0.545,335,936,2571,4068,234,305,295,336
0.555,335,1022,2552,4081,229,274,284,320
0.565,423,1116,2532,3983,216,300,277,319
0.575,387,1205,2532,4000,217,294,297,319
0.585,406,1276,2555,4090,208,274,301,322
0.595,377,1319,2568,4097,205,264,306,317
0.605,358,1328,2550,4080,220,260,288,310
0.615,388,1319,2523,4074,225,291,308,372
0.625,361,1313,2505,4083,251,310,335,417
0.635,377,1324,2496,4158,266,315,384,409
0.645,426,1351,2489,4191,289,292,352,407
0.655,445,1388,2483,4317,295,292,403,430
0.665,464,1430,2475,4349,320,270,382,407
0.675,486,1473,2467,4235,325,245,386,415
0.685,527,1510,2458,4135,356,255,389,394
0.695,517,1537,2449,4120,354,250,376,409
0.705,539,1549,2439,4154,322,314,362,441
0.715,562,1561,2430,4187,270,312,311,424
0.725,597,1561,2422,4098,301,297,362,397
0.735,583,1530,2414,4054,318,273,357,386
0.745,558,1530,2408,4108,299,284,344,412
0.755,523,1530,2401,4091,314,246,351,418
0.765,540,1530,2388,4086,315,245,362,419
0.775,540,1530,2363,4062,314,302,338,423
0.785,556,1436,2322,4052,222,334,328,419
0.795,580,1332,2260,3996,236,327,307,442
0.805,650,1259,2190,3961,234,325,292,456
0.815,658,1197,2140,3932,210,322,290,450
0.825,658,1186,2134,3900,208,318,271,461
0.835,658,1186,2156,3870,222,280,289,473
0.845,658,1186,2176,3842,238,291,300,491
0.855,658,1176,2170,3840,238,292,296,493
0.865,642,1176,2149,3832,235,290,288,474
0.875,650,1176,2135,3894,232,298,303,441
0.885,658,1176,2147,3996,227,303,319,427
0.895,658,1176,2207,4126,226,291,314,421
0.905,642,1176,2335,4237,214,310,315,400
0.915,642,1186,2409,4321,210,308,330,408
0.925,615,1238,2401,4348,204,351,338,415
0.935,640,1301,2431,4318,277,315,352,381
0.945,630,1311,2482,4349,326,295,365,372
0.955,638,1332,2570,4329,361,312,387,378
0.965,603,1321,2604,4328,349,331,364,347
0.975,533,1321,2616,4358,319,333,330,420
0.985,501,1311,2635,4213,335,291,333,424
0.995,494,1311,2607,4146,290,302,354,406
1.005,470,1290,2550,4108,294,308,352,407
1.015,431,1248,2544,4046,301,297,340,397
1.025,407,1248,2429,3995,287,300,340,413
1.035,400,1259,2379,3965,293,317,309,417
1.045,392,1259,2326,4095,196,321,288,412
1.055,392,1259,2407,4023,203,304,294,343
1.065,360,1259,2434,4110,237,298,268,363
1.075,360,1176,2457,4133,217,329,287,385
1.085,329,1103,2460,4019,213,329,271,385
1.095,306,988,2478,3975,218,325,283,391
1.105,306,936,2418,4015,224,329,272,381
1.115,313,842,2409,4058,218,339,256,385
1.125,306,832,2396,4047,203,331,267,396
1.135,321,832,2352,4025,213,309,300,395
1.145,360,852,2338,3967,214,284,290,401
1.155,415,915,2354,3934,224,306,286,392
1.165,470,1092,2335,3997,253,294,315,392
1.175,486,1186,2350,4045,242,317,293,399
1.185,501,1436,2377,4071,210,308,300,405
1.195,501,1520,2374,4122,195,307,334,400
1.205,451,1666,2435,4105,173,300,317,386
1.215,450,1677,2450,4128,202,318,306,369
1.225,401,1822,2521,4097,191,310,310,358
1.235,370,1906,2626,4116,197,293,312,339
1.245,380,1916,2643,4136,188,355,307,349
1.255,368,1916,2660,4178,189,326,360,379
1.265,337,1864,2678,4270,234,349,297,394
1.275,329,1906,2704,4237,257,374,260,380
1.285,321,1906,2704,4245,188,379,318,412
1.295,298,1875,2721,4220,223,379,309,398
1.305,298,1875,2730,4162,258,358,350,412
1.315,298,1875,2747,4124,239,350,384,415
1.325,298,1864,2747,4042,245,384,361,430
1.335,282,1864,2747,3895,281,355,304,428
1.345,337,1960,2747,3853,316,325,271,406
1.355,368,1966,2747,3809,314,336,240,419
1.365,392,1986,2765,3779,333,304,294,388
1.375,399,1963,2800,3776,324,290,308,399
1.385,423,2007,2852,3727,316,313,322,410
1.395,454,2036,2932,3851,283,294,315,440
1.405,470,2042,3040,3955,258,271,357,421
1.415,486,2058,3086,4021,241,261,367,404
1.425,564,2054,3161,4100,219,255,363,418
1.435,622,2038,3182,4167,213,259,346,421
1.445,622,2047,3195,4230,212,256,340,414
1.455,614,2035,3225,4292,202,255,323,411
1.465,637,2038,3218,4318,213,264,334,405
1.475,638,2062,3223,4328,208,259,342,399
1.485,634,2073,3186,4293,218,271,340,395
1.495,646,2099,3184,4241,216,275,313,379
1.505,640,2123,3176,4205,215,278,310,357
1.515,614,2093,3121,4079,221,293,313,366
1.525,595,2062,3022,3949,228,326,335,365
1.535,585,2000,2947,4022,252,295,398,345
1.545,556,2000,2790,4179,258,363,412,361
1.555,469,1958,2704,4267,232,354,379,389
1.565,414,1875,2827,4305,223,359,356,413
1.575,377,1864,2857,4277,215,339,383,423
1.585,369,1854,2931,4177,204,334,383,444
1.595,408,1791,2955,4086,241,316,329,424
1.605,355,1781,2896,3982,262,305,287,422
1.615,328,1770,3019,3890,279,287,325,460
1.625,343,1781,3053,3880,276,358,326,469
1.635,419,1802,3047,3949,221,279,334,430
1.645,477,1823,3005,3922,195,290,342,393
1.655,489,1812,3063,3865,206,288,359,393
1.665,494,1802,3062,3786,209,306,337,400
1.675,530,1864,3064,3808,222,304,371,379
1.685,548,1906,3089,3839,222,302,396,377
1.695,565,1958,3091,3880,239,273,417,392
1.705,621,2000,2982,4071,261,261,429,394
1.715,620,2010,2726,4190,257,279,414,381
1.725,630,2031,2597,4381,258,297,368,357
1.735,558,2031,2538,4380,236,310,336,326
1.745,529,2031,2493,4429,269,325,322,336
1.755,478,2031,2503,4404,277,323,310,369
1.765,443,2031,2669,4434,281,357,321,396
1.775,409,1989,2706,4473,271,364,288,383
1.785,401,1991,2637,4397,300,378,284,382
1.795,384,1965,2624,4408,335,416,313,373
1.805,411,1978,2654,4449,358,421,273,357
1.815,470,1954,2659,4416,338,425,280,377
1.825,400,1981,2621,4384,298,412,291,384
1.835,415,1995,2634,4349,289,403,287,401
1.845,415,1980,2648,4384,214,322,328,387
1.855,400,1999,2623,4328,212,339,323,400
1.865,407,1992,2617,4221,173,358,316,421
1.875,407,1925,2724,4191,204,369,322,405
1.885,400,1936,2661,4161,183,380,311,388
1.895,400,1903,2623,4170,180,377,298,411
1.905,400,1882,2551,4148,160,383,300,424
1.915,407,1908,2492,4214,143,357,384,448
1.925,400,1874,2451,4205,160,337,385,416
1.935,384,1801,2513,4223,160,351,341,412
1.945,384,1739,2571,4258,186,352,329,400
1.955,384,1645,2558,4238,183,345,332,382
1.965,384,1520,2570,4243,167,357,321,400
1.975,392,1426,2608,4202,175,327,335,394
1.985,407,1332,2599,4142,166,365,317,419
1.995,415,1239,2578,4076,178,351,349,427
2.005,447,1134,2437,3995,197,371,356,432
2.015,439,1093,2358,3949,197,385,369,462
2.025,470,1082,2326,3929,152,421,351,452
2.035,470,1040,2258,3900,110,455,332,419
2.045,501,1020,2173,3876,131,445,313,415
