sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,620,1523,2456,3588,248,342,391,449
0.015,655,1591,2524,3593,239,314,390,429
0.025,723,1599,2465,3672,230,344,355,426
0.035,708,1514,2503,3728,272,297,349,428
0.045,815,1475,2399,3770,255,335,323,451
0.055,848,1480,2467,3828,280,302,299,432
0.065,860,1461,2448,3752,296,323,314,427
0.075,792,1470,2501,3716,244,335,298,439
0.085,791,1522,2535,3717,236,311,291,468
0.095,690,1592,2522,3680,298,304,324,464
0.105,572,1482,2493,3669,308,349,295,453
0.115,385,1358,2438,3619,269,332,310,438
0.125,356,1295,2266,3586,226,293,305,442
0.135,369,1335,2292,3606,224,301,339,420
0.145,393,1369,2302,3658,208,292,331,418
0.155,443,1397,2328,3745,213,314,334,404
0.165,478,1359,2357,3839,226,304,328,434
0.175,471,1371,2376,3859,221,308,341,407
0.185,470,1339,2385,3792,251,345,322,416
0.195,463,1412,2434,3866,236,305,329,387
0.205,474,1456,2438,3859,212,310,336,394
0.215,447,1418,2397,3913,270,311,323,403
0.225,467,1441,2447,3991,256,305,305,416
0.235,527,1396,2438,4128,270,353,293,454
0.245,546,1424,2416,4297,290,314,292,463
0.255,571,1483,2423,4491,306,319,297,453
0.265,651,1415,2461,4650,311,324,300,438
0.275,650,1415,2510,4657,329,308,315,440
0.285,648,1397,2551,4637,311,310,332,427
0.295,650,1359,2523,4704,305,327,329,409
0.305,678,1350,2613,4573,317,332,322,425
0.315,683,1322,2590,4538,273,340,339,451
0.325,687,1304,2583,4500,282,325,344,449
0.335,624,1294,2592,4317,250,308,323,464
0.345,566,1239,2522,4167,158,325,347,444
0.355,546,1192,2448,3959,187,329,324,447
0.365,546,1202,2383,3827,210,319,317,472
0.375,546,1192,2394,3713,225,288,326,439
0.385,546,1192,2364,3680,203,306,334,375
0.395,546,1192,2369,3615,204,293,318,379
0.405,546,1174,2322,3656,207,299,305,393
0.415,556,1155,2313,3705,208,297,300,426
0.425,556,1155,2328,3655,196,308,306,387
0.435,556,1100,2307,3595,171,291,283,399
0.445,566,1109,2275,3599,180,300,288,406
0.455,566,1100,2271,3601,195,301,303,375
0.465,576,1109,2251,3631,201,297,298,396
0.475,616,1165,2212,3658,206,291,309,400
0.485,586,1183,2169,3676,203,302,300,401
0.495,606,1228,2167,3713,211,304,287,409
0.505,626,1248,2211,3798,215,308,315,389
0.515,616,1294,2236,3802,227,314,302,362
0.525,616,1332,2244,3847,227,293,318,359
0.535,626,1350,2284,3889,231,286,311,340
0.545,595,1387,2390,3966,231,272,316,330
0.555,569,1415,2423,3977,232,281,320,322
0.565,504,1448,2453,4078,241,279,318,303
0.575,441,1434,2459,4225,246,295,311,335
0.585,409,1443,2442,4168,266,327,316,395
0.595,412,1358,2433,4258,258,313,321,403
0.605,400,1430,2480,4263,245,310,340,400
0.615,423,1447,2498,4240,266,350,304,422
0.625,433,1450,2458,4264,267,349,305,444
0.635,425,1451,2504,4255,258,360,278,435
0.645,435,1441,2500,4248,257,345,309,434
0.655,339,1368,2462,4285,172,344,357,438
0.665,372,1322,2384,4327,178,351,351,423
0.675,380,1266,2229,4374,179,356,348,432
0.685,387,1201,2073,4334,175,364,352,434
0.695,399,1164,2015,4208,171,380,361,447
0.705,419,1183,1879,4268,192,341,384,437
