sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,615,1580,2475,3637,235,329,339,424
0.015,640,1640,2474,3620,258,334,337,436
0.025,698,1637,2521,3587,284,337,330,432
0.035,798,1631,2581,3616,283,333,327,464
0.045,803,1715,2642,3619,285,309,344,462
0.055,819,1722,2658,3648,228,325,350,435
0.065,864,1677,2583,3684,221,319,360,455
0.075,871,1662,2519,3734,242,265,371,453
0.085,846,1758,2487,3722,244,269,414,457
0.095,850,1679,2407,3727,322,239,410,453
0.105,926,1689,2280,3720,306,248,365,469
0.115,954,1699,2152,3789,283,246,382,477
0.125,852,1613,2099,3766,260,248,384,493
0.135,629,1651,2012,3733,225,271,356,487
0.145,590,1575,1914,3726,193,240,356,474
0.155,509,1532,1830,3624,192,257,346,445
0.165,509,1490,1786,3599,194,238,333,414
0.175,509,1448,1799,3607,199,239,330,435
0.185,491,1400,1824,3621,216,265,319,431
0.195,473,1277,1783,3619,230,288,331,438
0.205,455,1135,1636,3626,261,312,365,471
0.215,365,1023,1489,3629,266,311,405,436
0.225,365,974,1434,3720,239,296,400,452
0.235,378,981,1457,3753,216,347,408,461
0.245,352,1028,1524,3760,254,381,427,483
0.255,318,1102,1622,3745,223,351,406,477
0.265,327,1190,1747,3740,222,299,384,466
0.275,438,1284,1893,3796,245,323,349,450
0.285,414,1375,2051,3815,249,330,318,464
0.295,380,1465,2212,3856,287,358,318,462
0.305,344,1554,2366,3840,331,394,308,454
0.315,297,1642,2499,3938,322,411,293,454
0.325,245,1719,2598,4026,321,408,301,436
0.335,241,1774,2647,4018,253,404,288,417
0.345,306,1796,2639,4064,248,364,321,415
0.355,284,1786,2586,4043,226,340,330,440
0.365,338,1750,2506,4028,243,337,327,463
0.375,338,1694,2416,4035,281,376,339,467
0.385,338,1623,2322,4014,363,399,330,463
0.395,356,1544,2217,3991,342,378,333,475
0.405,338,1461,2091,3965,329,352,333,469
0.415,338,1382,1950,3927,316,377,324,466
0.425,392,1311,1817,3845,311,353,315,462
0.435,401,1253,1721,3706,267,268,388,463
0.445,392,1213,1672,3533,307,252,427,446
0.455,410,1196,1657,3422,286,242,444,395
0.465,446,1204,1663,3426,305,242,416,395
0.475,437,1231,1673,3482,290,257,391,407
0.485,437,1268,1683,3533,269,265,368,417
0.495,437,1305,1695,3633,263,263,327,445
0.505,437,1344,1711,3764,264,229,308,467
0.515,437,1388,1735,3832,266,267,303,441
0.525,455,1442,1777,3825,288,345,357,419
0.535,464,1504,1845,3903,327,380,308,414
0.545,482,1558,1933,3994,349,383,345,400
0.555,482,1587,2034,4088,359,357,365,430
0.565,518,1576,2138,4129,310,320,347,420
0.575,509,1538,2237,4100,304,292,332,447
0.585,509,1491,2325,4020,264,319,321,417
0.595,509,1455,2397,3975,242,331,341,449
0.605,545,1437,2450,3926,238,318,354,461
0.615,554,1431,2480,3951,235,361,347,471
0.625,554,1431,2494,3986,195,348,340,448
0.635,554,1432,2501,3927,259,336,303,446
0.645,554,1441,2511,3876,262,292,326,446
0.655,518,1468,2532,3834,243,313,319,407
0.665,537,1524,2570,3903,201,297,318,400
0.675,497,1610,2619,3900,179,290,305,389
0.685,502,1708,2671,3837,183,304,314,378
0.695,490,1797,2719,3828,191,299,308,360
0.705,509,1864,2756,3810,202,306,307,359
0.715,501,1912,2780,3809,201,307,306,369
0.725,498,1947,2790,3824,197,307,307,359
0.735,511,1977,2785,3775,201,294,303,347
0.745,505,2006,2764,3784,196,281,310,357
0.755,498,2028,2729,3767,191,283,311,361
0.765,526,2032,2681,3715,210,278,328,371
0.775,511,2010,2627,3677,186,259,349,382
0.785,498,1959,2569,3671,193,242,371,368
0.795,475,1888,2508,3656,197,244,360,355
0.805,438,1807,2440,3646,230,291,347,385
0.815,450,1727,2362,3524,204,287,383,391
0.825,383,1658,2279,3544,249,291,342,402
0.835,365,1599,2201,3527,290,311,318,443
0.845,347,1548,2126,3630,270,303,328,449
0.855,338,1498,2030,3613,277,275,318,445
0.865,338,1446,1919,3486,331,286,328,413
0.875,338,1391,1815,3453,337,267,335,385
0.885,347,1337,1743,3470,279,279,332,400
0.895,356,1290,1706,3564,264,301,325,400
0.905,374,1255,1695,3686,264,310,347,399
0.915,374,1235,1699,3733,226,277,373,437
0.925,410,1234,1709,3652,255,254,345,438
0.935,410,1248,1719,3692,265,243,341,437
0.945,428,1267,1728,3730,289,223,319,419
0.955,428,1286,1737,3830,290,200,332,433
0.965,428,1305,1746,3922,286,197,334,457
0.975,427,1333,1757,3986,259,210,335,473
0.985,405,1375,1775,3938,243,249,316,456
0.995,395,1437,1805,3909,271,307,308,431
1.005,355,1516,1854,3794,344,412,286,426
1.015,352,1599,1926,3799,339,370,262,415
1.025,415,1676,2018,3860,329,340,260,418
1.035,461,1740,2125,3974,328,323,255,429
1.045,495,1788,2241,4006,317,314,287,432
1.055,493,1817,2355,4036,319,323,282,437
1.065,512,1823,2439,4080,333,296,295,457
1.075,528,1804,2469,3946,378,281,329,449
1.085,573,1767,2447,3877,379,315,333,461
1.095,544,1715,2388,3820,385,357,331,483
1.105,553,1655,2308,3803,337,351,330,468
1.115,553,1592,2220,3841,311,330,344,455
1.125,553,1531,2133,3809,283,304,378,451
1.135,562,1466,2048,3849,303,297,338,455
1.145,562,1394,1970,3811,281,300,341,450
1.155,562,1323,1904,3743,277,298,334,439
1.165,499,1278,1864,3600,295,219,366,433
1.175,463,1286,1875,3494,282,218,337,388
1.185,418,1369,1938,3478,266,236,329,393
1.195,391,1514,2031,3445,224,244,345,371
1.205,437,1677,2129,3461,217,249,374,343
1.215,429,1815,2218,3468,255,234,394,293
1.225,402,1939,2293,3523,232,241,359,279
1.235,375,2067,2346,3566,238,268,334,350
1.245,359,2167,2380,3670,247,297,345,407
1.255,401,2197,2399,3732,286,252,369,376
1.265,473,2154,2407,3775,281,278,340,418
1.275,594,2054,2410,3711,277,302,339,418
1.285,664,1915,2411,3747,255,323,343,427
1.295,743,1756,2413,3751,241,308,331,428
1.305,709,1571,2420,3791,226,315,322,427
1.315,659,1365,2431,3793,221,330,331,425
1.325,539,1199,2446,3795,195,321,350,368
1.335,576,1111,2464,3741,211,323,364,381
1.345,603,1081,2486,3820,247,312,360,388
1.355,564,1079,2511,3789,196,346,385,389
1.365,522,1078,2538,3756,207,330,386,405
1.375,527,1056,2566,3745,188,340,374,415
1.385,532,1019,2594,3834,220,332,371,434
1.395,573,975,2620,3887,204,335,338,418
1.405,535,937,2644,3937,200,349,307,421
1.415,526,913,2663,3923,210,348,318,434
1.425,508,911,2677,3813,253,335,326,466
1.435,499,934,2685,3700,252,332,335,474
1.445,499,985,2685,3728,235,325,352,502
1.455,499,1068,2681,3689,223,316,360,479
1.465,499,1192,2677,3682,207,322,323,464
1.475,499,1382,2680,3681,219,340,299,438
1.485,499,1731,2694,3726,209,305,283,412
1.495,508,2032,2718,3763,224,294,302,409
1.505,508,2100,2748,3741,200,305,296,376
1.515,508,2074,2777,3675,222,293,274,381
1.525,508,1992,2798,3648,238,313,269,399
1.535,508,1841,2806,3585,251,323,270,424
1.545,517,1651,2801,3469,231,322,280,426
1.555,517,1468,2783,3374,205,328,309,402
1.565,517,1338,2757,3381,196,334,317,387
1.575,517,1267,2726,3380,178,319,329,412
1.585,517,1188,2692,3388,141,313,345,419
1.595,526,1086,2658,3404,187,330,354,433
1.605,526,1055,2625,3492,221,312,325,449
1.615,526,1055,2595,3644,242,336,317,439
1.625,526,1063,2568,3770,238,306,293,473
1.635,526,1029,2546,3819,246,312,287,472
1.645,416,1036,2528,3749,228,339,289,449
1.655,368,1052,2516,3768,241,337,320,457
1.665,361,1106,2505,3724,224,371,312,449
1.675,371,1191,2492,3764,245,339,340,455
1.685,378,1206,2473,3725,290,316,323,456
1.695,359,1268,2444,3701,266,325,324,443
1.705,320,1360,2407,3748,245,313,329,445
1.715,292,1445,2378,3768,230,274,329,434
1.725,309,1476,2374,3636,228,308,314,397
1.735,402,1584,2404,3670,211,298,302,378
1.745,531,1591,2451,3654,213,299,315,379
1.755,555,1684,2493,3632,208,286,334,386
1.765,522,1846,2517,3631,214,280,340,383
1.775,499,1892,2526,3591,220,267,339,387
1.785,489,2008,2528,3541,203,274,327,388
1.795,489,2093,2529,3539,206,297,326,404
1.805,489,2231,2536,3687,222,331,352,407
1.815,482,2231,2548,3795,225,374,325,425
1.825,458,2224,2564,3981,202,363,318,445
1.835,418,2208,2583,4085,221,353,333,426
1.845,418,2177,2604,4081,245,299,331,458
1.855,418,2108,2627,4086,303,320,319,470
1.865,409,2046,2650,4167,314,303,334,459
1.875,391,1969,2673,4246,341,312,350,437
1.885,400,1969,2693,4370,322,321,379,437
1.895,409,1969,2710,4415,316,304,337,470
1.905,409,1969,2722,4462,323,276,358,463
1.915,409,1977,2727,4518,314,283,343,468
1.925,382,1992,2724,4489,295,297,375,429
1.935,355,2000,2713,4473,273,319,367,438
