sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,573,1569,2403,3507,254,351,367,431
0.015,586,1510,2427,3534,297,327,337,409
0.025,627,1532,2477,3538,292,325,358,421
0.035,678,1521,2526,3567,265,306,353,419
0.045,776,1516,2559,3702,248,322,290,448
0.055,800,1571,2491,3754,274,324,329,440
0.065,804,1642,2512,3810,253,338,344,453
0.075,798,1712,2637,3775,260,318,366,483
0.085,820,1754,2660,3817,278,319,350,475
0.095,930,1789,2605,3809,261,352,352,479
0.105,925,1834,2572,3720,248,333,368,441
0.115,878,1891,2566,3722,266,317,366,411
0.125,759,1917,2629,3842,298,271,335,424
0.135,560,1958,2679,3767,250,274,322,394
0.145,474,1952,2746,3766,221,270,320,372
0.155,476,1961,2646,3827,211,286,310,363
0.165,462,1961,2646,3627,211,278,319,398
0.175,475,1917,2603,3692,215,288,331,381
0.185,457,1900,2603,3738,198,266,330,360
0.195,451,1848,2603,3693,222,289,359,352
0.205,440,1778,2540,3678,234,294,358,358
0.215,379,1717,2519,3561,232,297,376,354
0.225,324,1682,2485,3567,234,320,385,399
0.235,340,1548,2379,3675,215,345,363,408
0.245,339,1457,2428,3843,211,341,365,443
0.255,319,1472,2363,3955,209,386,313,381
0.265,357,1462,2370,3905,219,416,279,376
0.275,352,1438,2361,3984,221,393,300,399
0.285,335,1386,2381,4098,221,407,307,374
0.295,315,1397,2356,4149,219,400,302,388
0.305,320,1392,2255,4157,220,392,306,377
0.315,365,1420,2213,4146,232,388,305,387
0.325,376,1342,2170,4068,268,389,327,373
0.335,461,1316,2149,3826,262,360,328,453
0.345,509,1351,2149,3583,226,347,319,414
0.355,521,1560,2329,3536,189,292,347,385
0.365,498,1647,2360,3511,183,290,348,400
0.375,505,1778,2456,3488,194,288,331,396
0.385,490,1830,2477,3437,184,292,325,412
0.395,507,1856,2477,3441,188,278,322,396
0.405,490,1909,2477,3471,202,272,337,401
0.415,463,1952,2477,3546,182,265,333,400
0.425,475,1952,2487,3491,204,286,321,402
0.435,459,1952,2519,3351,201,289,313,404
0.445,410,1943,2529,3270,198,296,308,391
0.455,421,1943,2593,3367,215,313,310,415
0.465,283,1935,2603,3507,214,296,323,431
0.475,267,1856,2551,3651,206,314,323,469
0.485,399,1865,2551,3832,216,383,265,493
0.495,377,1830,2551,4089,235,374,269,474
0.505,377,1786,2551,4234,238,366,273,408
0.515,389,1708,2551,4233,229,333,261,382
0.525,371,1691,2551,4205,247,333,296,397
0.535,371,1656,2540,4179,272,340,311,408
0.545,377,1569,2530,4083,262,347,279,422
0.555,377,1525,2498,3896,270,321,298,440
0.565,395,1508,2445,3714,290,350,297,455
0.575,419,1447,2435,3531,282,359,330,416
0.585,431,1403,2382,3486,242,352,379,402
0.595,443,1342,2361,3445,194,357,382,377
0.605,479,1257,2350,3438,184,331,392,370
0.615,479,1238,2350,3518,202,303,404,374
0.625,479,1212,2350,3571,192,303,367,388
0.635,473,1192,2339,3558,216,301,320,389
