sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,668,1399,2435,3396,266,352,352,452
0.015,717,1355,2525,3433,256,342,300,426
0.025,811,1311,2513,3423,241,319,314,406
0.035,798,1351,2519,3437,239,315,313,419
0.045,789,1463,2491,3465,245,316,305,421
0.055,701,2125,2433,3530,264,326,300,410
0.065,717,2150,2435,3501,286,330,324,430
0.075,674,2185,2513,3520,295,314,337,419
0.085,575,2227,2536,3529,268,320,329,417
0.095,506,2277,2639,3506,185,373,302,419
0.105,527,2334,2706,3584,212,421,306,432
0.115,545,2396,2772,3642,232,464,301,449
0.125,509,2464,2692,3800,234,450,280,445
0.135,403,2534,2715,3959,253,462,251,472
0.145,340,2594,2788,4028,282,471,310,505
0.155,336,2630,2679,3962,271,390,340,495
0.165,399,2646,2683,4023,259,383,341,460
0.175,330,2655,2785,4070,231,422,337,457
0.185,369,2667,2922,4155,205,416,289,427
0.195,352,2695,3171,4199,171,387,279,421
0.205,385,2728,3202,4232,185,382,263,408
0.215,392,2653,3211,4230,173,404,243,397
0.225,463,2628,3159,4296,192,360,228,402
0.235,487,2605,3093,4354,174,340,232,413
0.245,476,2543,3039,4345,159,326,241,393
0.255,485,2410,2955,4278,157,313,265,377
0.265,499,2354,2777,4182,169,305,276,345
0.275,498,2274,2778,4185,159,293,271,339
0.285,490,2142,2817,4181,169,306,290,353
0.295,499,2069,2827,4173,183,306,311,360
0.305,505,2034,2804,4130,190,307,301,370
0.315,509,2025,2780,4098,191,308,272,369
0.325,510,1985,2887,4157,187,293,277,365
0.335,529,1996,2914,4239,179,291,258,374
0.345,531,2026,2964,4328,177,299,271,365
0.355,524,2030,2988,4395,161,306,278,355
0.365,524,2055,2989,4480,164,312,301,362
0.375,510,2046,3057,4483,169,307,302,361
0.385,524,2031,3090,4431,163,292,323,370
0.395,534,2043,3122,4415,166,284,356,368
0.405,559,2039,3152,4467,199,305,355,360
0.415,571,2035,3185,4498,223,348,316,385
0.425,580,2040,3226,4506,198,335,293,398
0.435,601,2046,3251,4561,185,334,316,381
0.445,629,2048,3268,4545,185,328,312,381
0.455,655,2047,3287,4515,187,321,280,388
0.465,673,2046,3308,4453,200,301,379,380
0.475,684,2055,3323,4377,206,299,381,374
0.485,695,2080,3315,4440,230,304,405,380
0.495,711,2118,3297,4464,212,300,375,367
0.505,739,2139,3293,4464,198,302,324,373
0.515,747,2149,3295,4468,198,332,318,374
0.525,755,2158,3282,4423,192,297,310,375
0.535,768,2166,3220,4442,179,306,316,386
0.545,778,2174,3250,4418,194,299,308,378
0.555,761,2169,3236,4419,188,314,291,380
