sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,564,1507,2405,3475,238,304,358,429
0.015,636,1445,2486,3363,265,298,310,437
0.025,685,1437,2506,3436,273,305,308,431
0.035,666,1529,2414,3537,288,286,319,435
0.045,757,1520,2423,3520,287,280,348,434
0.055,865,1574,2422,3487,234,320,330,454
0.065,835,1624,2483,3555,228,297,362,445
0.075,812,1674,2502,3650,223,303,373,466
0.085,795,1669,2545,3672,235,315,382,458
0.095,817,1672,2564,3845,291,293,393,471
0.105,852,1710,2569,3932,279,334,402,478
0.115,917,1716,2659,4034,248,340,378,478
0.125,950,1756,2671,3972,223,335,353,451
0.135,991,1820,2688,3999,246,334,373,466
0.145,939,1808,2763,3958,288,271,343,422
0.155,868,1836,2754,4003,263,295,345,439
0.165,793,1820,2786,4148,238,313,337,465
0.175,663,1736,2774,4246,229,322,281,428
0.185,529,1846,2783,4346,198,309,282,408
0.195,508,1914,2843,4325,169,277,281,379
0.205,500,1918,2843,4331,160,262,288,381
0.215,501,1924,2869,4339,164,288,300,377
0.225,504,1921,2879,4355,166,265,297,373
0.235,516,1911,2871,4372,177,283,306,348
0.245,526,1894,2864,4414,169,276,281,368
0.255,523,1872,2856,4494,164,292,271,383
0.265,510,1844,2804,4560,152,314,267,395
0.275,523,1815,2731,4531,162,304,286,403
0.285,524,1787,2659,4528,205,338,330,435
0.295,552,1763,2603,4472,257,327,367,482
0.305,583,1735,2562,4402,276,368,340,481
0.315,604,1699,2532,4263,309,342,323,468
0.325,621,1671,2510,4258,325,343,326,448
0.335,646,1661,2493,4210,312,369,301,418
0.345,671,1655,2486,4172,308,310,311,425
0.355,690,1644,2494,4311,297,339,304,461
0.365,699,1633,2511,4230,302,334,331,476
0.375,700,1628,2528,4237,254,332,319,465
0.385,700,1629,2542,4212,219,352,321,445
0.395,702,1630,2553,4306,248,355,341,452
0.405,703,1631,2561,4414,256,332,338,433
0.415,703,1639,2608,4381,257,310,353,399
0.425,696,1656,2734,4453,233,293,389,380
0.435,682,1674,2781,4481,226,345,356,390
0.445,657,1674,2804,4505,196,301,310,423
0.455,619,1729,2847,4524,214,336,333,400
0.465,627,1765,2895,4546,211,335,343,408
0.475,590,1788,2968,4528,214,320,357,404
0.485,546,1790,2997,4500,213,302,361,415
0.495,487,1759,3005,4534,193,314,351,441
0.505,451,1704,3009,4509,196,303,343,435
0.515,467,1640,3004,4445,205,316,338,457
0.525,410,1582,2985,4506,219,330,408,473
0.535,352,1533,2946,4574,234,337,428,485
0.545,289,1495,2924,4583,285,351,438,447
0.555,259,1465,2869,4590,332,349,426,466
0.565,249,1443,2851,4575,327,375,423,468
0.575,244,1428,2789,4523,336,327,369,463
0.585,241,1420,2734,4438,318,344,389,439
0.595,240,1419,2641,4429,301,356,378,463
0.605,239,1423,2642,4358,272,335,312,431
0.615,239,1431,2599,4324,299,298,309,447
0.625,240,1444,2546,4161,348,299,280,466
0.635,240,1461,2490,4096,319,354,305,416
0.645,243,1480,2477,4035,307,310,316,422
0.655,258,1501,2461,4033,284,306,319,466
0.665,295,1524,2449,4008,252,338,299,444
0.675,362,1548,2480,4045,232,311,316,440
0.685,431,1572,2524,4010,238,303,315,397
0.695,469,1596,2551,4030,233,265,327,384
0.705,499,1618,2629,4064,221,268,340,384
0.715,536,1639,2705,4110,191,270,344,376
0.725,572,1658,2768,4162,187,286,325,381
0.735,594,1673,2832,4206,190,290,307,380
0.745,601,1685,2873,4275,192,291,310,382
0.755,656,1692,2893,4283,186,284,291,374
0.765,695,1694,2926,4261,198,296,294,377
0.775,712,1691,2964,4338,243,343,273,411
0.785,717,1681,2971,4405,255,332,252,418
0.795,717,1664,2959,4411,249,318,231,413
0.805,722,1623,2939,4360,223,312,247,421
0.815,729,1536,2916,4283,239,311,302,388
0.825,728,1514,2894,4334,246,302,315,364
0.835,712,1583,2878,4359,236,307,330,366
0.845,671,1686,2875,4402,229,309,325,366
0.855,590,1804,2887,4413,222,310,324,341
0.865,562,1857,2903,4411,213,295,329,339
0.875,533,1845,2912,4425,213,300,297,354
0.885,508,1821,2906,4436,207,312,324,377
0.895,492,1817,2890,4442,226,322,360,402
0.905,482,1826,2873,4358,191,312,331,453
0.915,476,1835,2860,4303,228,338,320,462
0.925,473,1844,2851,4284,234,324,357,456
0.935,471,1852,2840,4100,260,317,352,448
0.945,469,1860,2822,4145,309,328,335,462
0.955,465,1868,2800,4177,332,324,338,444
0.965,459,1875,2780,4275,322,341,309,441
0.975,456,1881,2785,4369,279,337,295,461
0.985,459,1887,2807,4320,311,360,314,420
0.995,464,1893,2811,4326,280,339,338,387
1.005,465,1897,2805,4298,291,333,417,373
1.015,461,1901,2800,4254,294,316,339,406
1.025,451,1904,2795,4299,265,321,306,405
1.035,440,1905,2782,4306,253,309,322,409
1.045,431,1903,2762,4239,187,303,314,369
1.055,427,1896,2735,4219,187,280,312,364
1.065,428,1895,2708,4235,190,280,295,337
1.075,431,1911,2688,4151,187,298,305,339
1.085,434,1909,2665,4085,176,288,279,353
1.095,436,1816,2638,4004,203,309,324,389
1.105,412,1681,2611,3983,231,327,348,438
1.115,406,1601,2586,3955,252,347,355,479
1.125,402,1590,2556,3933,306,373,395,493
1.135,401,1580,2477,3839,266,336,377,479
1.145,402,1545,2409,3777,210,314,377,504
1.155,406,1529,2405,3808,247,329,358,472
1.165,415,1581,2424,3865,239,328,357,449
1.175,430,1725,2433,3862,220,320,319,402
1.185,455,1862,2443,3972,221,322,314,387
1.195,494,1944,2472,4046,204,352,277,379
1.205,480,1989,2519,4114,197,301,294,357
1.215,506,2011,2571,4187,199,270,280,363
1.225,479,2019,2617,4230,174,280,283,356
1.235,493,2015,2655,4262,189,275,291,354
1.245,458,1990,2686,4329,184,263,285,361
1.255,473,1934,2712,4322,186,275,305,353
1.265,443,1882,2731,4376,188,301,294,354
1.275,469,1869,2745,4281,197,282,312,347
1.285,483,1906,2754,4286,181,273,322,375
1.295,496,1992,2763,4272,185,258,332,393
1.305,475,2079,2773,4333,175,253,334,379
1.315,496,2119,2787,4316,190,257,347,357
1.325,496,2113,2801,4312,190,251,331,369
1.335,503,2090,2810,4337,193,267,340,371
1.345,488,2070,2810,4338,193,261,337,379
1.355,497,2059,2799,4330,193,252,357,391
1.365,487,2061,2783,4357,166,258,348,381
1.375,492,2066,2764,4347,174,259,358,365
1.385,493,2057,2744,4373,183,270,345,379
1.395,493,2024,2727,4365,183,278,329,359
1.405,485,1982,2711,4380,183,283,312,371
1.415,479,1947,2697,4409,180,287,296,367
1.425,474,1920,2685,4402,176,307,280,381
1.435,465,1901,2675,4466,197,296,294,390
1.445,466,1885,2668,4458,199,312,321,417
1.455,463,1874,2642,4416,192,305,378,440
1.465,459,1866,2616,4432,191,318,357,438
1.475,455,1861,2587,4405,177,346,380,418
1.485,453,1858,2566,4328,176,319,379,444
1.495,452,1858,2549,4306,204,323,374,448
1.505,453,1859,2534,4299,271,333,348,424
1.515,455,1861,2517,4265,266,327,307,428
1.525,457,1864,2499,4280,317,321,301,404
1.535,458,1867,2484,4299,322,306,324,403
1.545,452,1869,2477,4292,317,337,335,401
1.555,441,1870,2481,4262,300,303,354,439
1.565,433,1870,2490,4266,306,357,328,423
1.575,429,1866,2496,4248,336,346,346,401
1.585,429,1860,2495,4253,268,349,320,426
1.595,430,1851,2494,4250,282,342,326,419
