sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,612,1432,2408,3559,252,337,349,447
0.015,693,1461,2409,3549,236,349,295,446
0.025,703,1483,2422,3561,259,315,302,436
0.035,687,1556,2394,3608,228,358,311,427
0.045,706,1622,2499,3675,264,317,324,446
0.055,765,1659,2492,3694,293,325,329,457
0.065,812,1652,2508,3663,282,329,331,446
0.075,799,1687,2491,3657,275,332,330,421
0.085,817,1671,2650,3741,265,312,335,425
0.095,825,1743,2613,3711,287,320,346,400
0.105,865,1777,2633,3774,239,323,372,443
0.115,871,1823,2642,3870,256,308,368,449
0.125,830,1835,2710,3931,266,326,357,432
0.135,905,1825,2770,3954,272,332,368,436
0.145,960,1861,2862,4050,253,334,364,414
0.155,974,1966,2943,4077,272,345,366,405
0.165,1018,1995,2945,4078,282,350,329,374
0.175,1033,2108,2969,3979,296,359,336,399
0.185,1004,2177,2869,3984,291,372,329,383
0.195,990,2244,2944,4065,300,377,339,381
0.205,947,2304,3015,4132,315,365,325,412
0.215,917,2348,3088,4201,288,385,275,399
0.225,871,2379,3129,4151,285,339,309,398
0.235,972,2405,3138,4210,291,347,323,461
0.245,867,2438,3138,4276,272,353,324,481
0.255,662,2487,3137,4291,219,401,294,498
0.265,570,2550,3166,4235,226,412,252,455
0.275,536,2602,3215,4182,238,425,239,431
0.285,517,2652,3226,4124,235,420,249,428
0.295,517,2714,3265,4104,240,422,223,433
0.305,516,2752,3296,4092,237,425,234,433
0.315,506,2809,3315,4066,233,425,223,441
0.325,494,2873,3348,4078,231,426,236,444
0.335,487,2923,3370,4074,216,427,232,437
0.345,475,2983,3391,4074,207,422,240,443
0.355,463,3010,3477,4066,209,429,233,441
0.365,448,3013,3561,4078,207,433,242,453
0.375,451,3013,3602,4078,213,430,228,448
0.385,448,3007,3612,4116,210,423,244,448
0.395,447,2976,3620,4170,208,436,229,461
0.405,436,2905,3623,4226,206,444,240,454
0.415,400,2816,3567,4242,222,430,328,459
0.425,350,2672,3478,4237,223,378,382,471
0.435,330,2499,3401,4187,185,376,371,443
0.445,304,2397,3321,4242,173,354,375,454
0.455,300,2314,3247,4303,201,373,389,458
0.465,322,2254,3210,4397,184,340,404,499
0.475,284,2192,3210,4278,177,366,371,443
0.485,297,2180,3161,4200,212,379,337,408
0.495,321,2180,3011,4094,234,353,342,394
0.505,393,2182,3000,4045,262,329,347,420
0.515,407,2177,2998,4102,304,332,347,424
0.525,432,2206,2975,4192,297,333,369,412
0.535,450,2233,2998,4157,286,328,347,375
0.545,442,2220,3014,4135,285,338,381,364
0.555,370,2227,2926,4101,276,318,379,360
0.565,280,2205,2823,4030,229,328,406,430
0.575,267,2096,2807,4128,192,320,377,485
0.585,262,2011,2742,4235,185,325,355,506
0.595,290,1983,2638,4379,201,329,331,474
0.605,301,1901,2531,4459,199,325,302,445
0.615,294,1781,2482,4469,195,348,277,420
0.625,299,1727,2476,4451,193,355,282,426
0.635,365,1717,2349,4410,232,349,313,437
0.645,390,1628,2284,4344,231,368,318,475
0.655,299,1589,2286,4194,248,340,344,467
0.665,278,1525,2321,4199,225,307,335,444
0.675,295,1596,2382,4142,231,314,353,432
0.685,262,1573,2468,4092,267,300,347,440
0.695,289,1577,2561,4083,322,296,337,488
0.705,337,1616,2655,4080,328,323,301,485
0.715,380,1599,2756,4069,338,298,342,468
0.725,444,1469,2847,3985,276,324,340,449
0.735,501,1299,2909,3957,209,332,328,410
0.745,537,1233,2917,3978,214,314,311,398
0.755,575,1238,2903,4008,227,303,305,399
0.765,605,1241,2889,4041,218,303,295,392
0.775,634,1226,2846,4023,235,293,286,393
0.785,676,1230,2844,4006,235,291,289,421
0.795,704,1227,2839,3995,227,298,312,444
0.805,749,1229,2863,3990,224,303,317,454
0.815,742,1250,2891,3963,206,307,308,464
0.825,718,1241,2933,3949,211,308,308,471
0.835,762,1236,2966,3950,216,309,318,448
0.845,775,1229,3042,3954,208,317,314,434
0.855,755,1208,3117,4071,216,312,323,428
0.865,744,1203,3154,4182,216,303,319,429
0.875,751,1204,3164,4243,211,300,313,413
0.885,711,1174,3172,4301,198,314,303,409
0.895,687,1203,3144,4352,189,300,308,402
0.905,684,1248,3065,4370,198,295,333,406
0.915,624,1290,3023,4388,210,323,345,450
0.925,591,1312,2955,4309,251,338,372,455
0.935,537,1346,2883,4210,292,340,390,431
0.945,535,1412,2868,4268,325,315,390,413
0.955,534,1472,2823,4365,319,307,403,405
0.965,545,1534,2766,4494,287,308,377,459
0.975,561,1540,2616,4550,263,329,378,488
0.985,560,1538,2614,4627,268,353,371,435
0.995,557,1523,2557,4659,227,348,351,433
1.005,563,1535,2462,4661,275,350,361,452
1.015,570,1550,2486,4620,232,322,365,458
1.025,558,1577,2556,4476,254,313,327,434
1.035,520,1630,2586,4620,240,315,374,456
1.045,476,1673,2694,4740,161,303,419,468
1.055,469,1747,2895,4795,186,274,426,423
1.065,464,1816,3067,4815,205,290,365,408
1.075,489,1820,3110,4805,189,305,312,403
1.085,487,1842,3133,4843,192,312,305,399
1.095,475,1853,3154,4808,197,297,300,383
1.105,450,1902,3169,4845,181,280,294,423
1.115,440,1904,3179,4864,198,283,307,416
1.125,404,1907,3151,4831,202,316,337,407
1.135,402,1863,3119,4782,205,308,357,387
1.145,384,1948,3068,4767,205,317,371,409
1.155,371,1951,2950,4729,214,335,351,426
1.165,368,1974,2813,4677,240,356,344,450
1.175,417,2027,2755,4585,280,345,359,428
1.185,456,2082,2754,4554,305,342,382,433
1.195,431,2119,2770,4545,276,357,382,461
1.205,453,2127,2770,4505,274,336,411,435
1.215,412,2105,2786,4610,200,320,437,457
1.225,460,2081,2940,4790,204,274,404,458
1.235,463,2082,3073,4878,205,294,378,385
1.245,452,2050,3149,4862,197,298,314,368
1.255,433,2050,3166,4795,194,303,323,366
1.265,402,1990,3176,4730,201,310,332,393
1.275,409,1990,3182,4644,232,339,360,438
1.285,422,1933,3156,4684,273,355,355,430
1.295,424,1899,3144,4758,331,351,362,450
1.305,419,1847,3059,4725,331,361,341,418
1.315,426,1776,3002,4736,297,333,348,424
1.325,476,1794,2941,4732,342,363,386,421
1.335,516,1799,2901,4558,340,363,386,413
1.345,528,1744,2851,4471,324,340,313,459
1.355,609,1733,2846,4337,328,359,343,458
1.365,575,1765,2702,4316,334,354,357,447
1.375,595,1714,2594,4214,336,335,356,453
1.385,666,1696,2544,4212,323,358,354,436
1.395,770,1717,2598,4130,268,374,354,425
1.405,905,1796,2749,4088,254,398,359,429
1.415,982,1840,2918,4037,263,373,411,434
1.425,952,1790,2959,3982,252,363,381,392
1.435,915,1666,3074,4068,246,402,383,437
1.445,787,1473,3249,4267,193,422,383,465
1.455,695,1345,3287,4430,217,337,348,465
1.465,643,1390,3302,4515,221,302,336,455
1.475,612,1483,3259,4557,182,329,308,426
1.485,670,1619,3260,4586,204,368,325,433
1.495,680,1800,3239,4573,211,391,317,425
1.505,649,1975,3208,4538,236,389,313,428
1.515,563,2126,3211,4508,236,377,287,442
1.525,487,2198,3211,4425,211,387,254,442
1.535,454,2261,3232,4363,182,375,275,438
1.545,444,2418,3241,4392,162,360,285,438
1.555,458,2556,3250,4473,152,355,275,429
1.565,458,2613,3275,4556,141,339,262,433
1.575,456,2623,3251,4617,159,317,318,459
1.585,437,2513,3258,4677,200,291,344,448
1.595,488,2267,3184,4673,257,317,366,417
1.605,512,2178,3155,4691,290,302,389,420
1.615,578,2190,3153,4683,276,306,410,420
1.625,661,2211,3202,4688,326,329,385,406
1.635,768,2249,3211,4616,347,306,380,419
1.645,851,2277,3211,4596,307,331,378,453
1.655,861,2235,3199,4492,307,348,352,468
1.665,926,2164,3170,4403,286,319,377,497
