sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,513,1513,2488,3649,248,290,352,438
0.015,541,1548,2489,3642,271,326,327,458
0.025,581,1544,2387,3585,304,320,311,437
0.035,576,1575,2411,3546,295,304,350,452
0.045,604,1540,2464,3553,303,311,324,442
0.055,644,1580,2414,3523,322,304,341,392
0.065,638,1642,2469,3543,298,272,354,397
0.075,655,1596,2435,3475,294,304,349,425
0.085,706,1546,2488,3466,292,299,340,412
0.095,724,1535,2540,3548,283,301,343,408
0.105,789,1524,2491,3611,273,327,326,416
0.115,852,1571,2576,3630,273,310,338,435
0.125,868,1700,2617,3669,269,316,364,445
0.135,942,1712,2661,3847,280,339,348,483
0.145,1017,1705,2652,3894,283,318,366,439
0.155,948,1781,2665,3842,224,339,372,467
0.165,947,1729,2729,3772,245,343,367,487
0.175,916,1670,2640,3765,249,361,350,453
0.185,805,1606,2618,3761,250,361,363,451
0.195,730,1530,2514,3771,288,389,374,452
0.205,552,1200,2433,3791,263,345,369,464
0.215,473,1122,2360,3748,252,266,386,505
0.225,427,1124,2490,3696,225,294,361,460
0.235,417,1255,2673,3795,223,333,364,436
0.245,424,1427,2771,3952,246,371,339,422
0.255,414,2371,2835,4087,263,426,251,394
0.265,401,2588,2935,4171,247,428,225,392
0.275,381,2740,3053,4171,237,418,246,397
0.285,405,2826,3185,4175,221,411,230,390
0.295,383,2831,3325,4152,231,403,229,401
0.305,393,2913,3377,4156,226,405,246,396
0.315,381,2978,3451,4152,228,398,225,401
0.325,381,2961,3498,4177,231,387,228,403
0.335,367,2903,3508,4198,242,393,235,408
0.345,366,2824,3501,4192,240,397,219,406
0.355,352,2744,3518,4215,241,407,230,416
0.365,345,2675,3376,4251,240,423,272,444
0.375,327,2654,3293,4288,236,419,323,441
0.385,354,2653,3269,4312,220,421,328,456
0.395,384,2658,3259,4181,253,428,299,445
0.405,419,2653,3274,4114,243,395,350,467
0.415,440,2629,3338,4006,205,412,295,433
0.425,443,2655,3412,3925,194,413,258,418
0.435,492,2699,3449,3929,195,410,227,419
0.445,494,2833,3457,3895,192,410,224,427
0.455,491,2869,3415,3925,198,411,202,443
0.465,498,2867,3395,3969,217,413,196,478
0.475,490,2862,3321,4044,259,393,273,500
0.485,462,2854,3226,4078,219,374,297,477
0.495,450,2841,3178,4122,200,370,295,464
0.505,450,2802,3176,4129,197,359,323,471
0.515,446,2744,3177,4166,205,355,330,464
0.525,475,2705,3177,4161,198,361,304,459
0.535,519,2678,3188,4154,205,396,278,488
0.545,528,2633,3200,4150,203,373,278,474
