sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,637,1617,2385,3722,193,341,389,425
0.015,682,1606,2329,3738,223,340,360,429
0.025,712,1602,2322,3827,257,354,336,454
0.035,714,1654,2385,3929,287,319,387,468
0.045,697,1712,2359,4042,276,326,350,443
0.055,735,1803,2408,4158,248,351,352,447
0.065,805,1824,2422,4193,270,353,352,436
0.075,762,1862,2457,4200,226,331,354,446
0.085,759,1885,2499,4193,253,339,359,449
0.095,805,1897,2559,4138,259,324,383,435
0.105,810,1977,2583,4094,223,329,377,453
0.115,832,1970,2709,4029,235,323,370,453
0.125,804,2018,2780,3910,239,309,365,474
0.135,851,2088,2857,3883,275,276,387,447
0.145,886,2130,2959,3942,236,289,375,467
0.155,897,2096,3002,3972,239,306,352,479
0.165,776,2126,2926,3907,213,319,319,462
0.175,791,2045,2862,3892,269,339,313,466
0.185,808,1948,2860,3884,232,357,304,455
0.195,831,1915,2825,3887,218,351,329,456
0.205,816,1786,2746,3841,235,347,305,434
0.215,941,1813,2708,3923,237,360,321,456
0.225,1068,1825,2600,3943,231,375,267,478
0.235,995,1838,2604,3817,208,348,340,500
0.245,897,1794,2657,3754,226,336,360,480
0.255,788,1755,2668,3787,222,327,350,454
0.265,786,1699,2805,3803,218,323,336,411
0.275,868,1772,2701,3778,281,303,317,427
0.285,827,1878,2667,3777,254,299,339,448
0.295,779,1959,2685,3716,257,305,343,477
0.305,748,1985,2738,3642,229,313,328,476
0.315,645,1993,2810,3547,185,316,355,476
0.325,611,1992,2883,3452,157,331,352,439
0.335,583,1991,2941,3429,138,346,350,416
0.345,537,1992,2977,3430,130,336,383,388
0.355,501,1991,3055,3437,132,333,378,408
0.365,480,1991,3173,3447,149,379,348,398
0.375,517,1991,3207,3478,151,391,331,399
0.385,517,1993,3198,3470,151,394,333,409
0.395,517,1997,3191,3566,168,360,353,420
0.405,517,2005,3212,3644,203,326,355,437
0.415,517,2016,3247,3706,223,319,344,467
0.425,517,2032,3283,3754,210,367,335,465
0.435,517,2051,3307,3740,238,352,302,446
0.445,517,2071,3320,3726,276,319,322,433
0.455,517,2092,3323,3812,243,346,320,446
0.465,516,2111,3322,3816,261,344,311,431
0.475,516,2132,3319,3765,244,343,312,448
0.485,517,2159,3318,3769,246,364,325,468
0.495,518,2194,3319,3801,235,373,310,469
0.505,517,2231,3319,3779,218,388,341,486
0.515,514,2261,3314,3771,242,410,313,477
0.525,510,2280,3305,3732,251,384,293,442
0.535,507,2292,3290,3612,224,418,279,394
0.545,506,2303,3269,3608,222,439,260,350
0.555,508,2319,3244,3552,233,457,304,369
0.565,505,2346,3212,3569,229,449,285,352
0.575,493,2384,3177,3579,226,441,258,361
0.585,477,2415,3146,3557,228,451,285,378
0.595,463,2436,3133,3509,242,454,285,396
0.605,453,2450,3132,3449,258,444,291,398
0.615,448,2457,3137,3418,265,419,303,377
0.625,446,2459,3140,3365,251,363,385,398
0.635,450,2452,3141,3335,256,388,383,392
0.645,428,2434,3140,3425,207,360,383,388
0.655,437,2399,3137,3500,229,321,358,391
0.665,440,2325,3133,3523,260,337,318,411
0.675,490,2171,3133,3519,285,337,301,428
0.685,425,1965,3140,3569,277,304,335,440
0.695,490,1817,3155,3599,200,345,360,440
0.705,486,1711,3177,3579,180,299,395,429
0.715,495,1611,3201,3644,195,330,424,430
0.725,511,1495,3223,3707,190,312,429,413
0.735,524,1372,3242,3787,192,363,434,412
0.745,527,1287,3254,3844,207,332,434,417
0.755,514,1133,3259,3929,191,344,415,432
0.765,492,1029,3259,4027,175,344,411,446
0.775,469,988,3257,4018,162,356,393,439
0.785,450,959,3254,4050,166,374,358,452
0.795,437,936,3254,4068,225,355,352,446
0.805,431,914,3253,4118,191,378,346,432
0.815,431,887,3249,4271,135,361,375,420
0.825,432,795,3237,4323,102,349,393,385
0.835,433,911,3219,4275,141,322,420,353
0.845,432,894,3199,4292,145,288,398,368
0.855,432,884,3182,4267,185,323,408,406
0.865,432,1022,3170,4328,169,337,431,438
0.875,432,1339,3162,4395,151,379,408,432
0.885,432,1402,3158,4484,159,383,365,428
0.895,432,1830,3158,4569,172,412,298,427
0.905,431,2125,3159,4605,177,390,298,443
0.915,431,2195,3157,4570,170,375,296,467
0.925,431,2318,3152,4494,163,337,284,505
0.935,433,2372,3148,4333,156,319,303,490
0.945,436,2383,3147,4162,171,295,336,452
0.955,439,2372,3148,4082,175,295,318,418
0.965,442,2366,3148,4087,185,305,312,418
0.975,443,2358,3147,4093,193,291,320,422
0.985,442,2336,3154,4127,204,301,324,446
0.995,439,2286,3189,4192,220,311,329,443
1.005,435,2212,3251,4187,215,307,329,406
1.015,431,2154,3308,4195,209,265,332,409
1.025,431,2120,3328,4145,183,289,322,423
1.035,434,2066,3322,4069,181,309,333,449
1.045,445,1983,3408,4084,200,331,342,500
1.055,462,1916,3404,4127,259,354,361,481
1.065,485,1878,3471,4276,290,347,320,485
1.075,511,1854,3506,4381,293,363,351,506
1.085,538,1832,3519,4328,311,379,392,474
1.095,562,1802,3515,4304,335,403,403,478
1.105,581,1765,3504,4326,333,342,409,503
1.115,596,1728,3492,4400,346,353,402,522
1.125,609,1694,3482,4457,313,371,368,441
1.135,620,1667,3470,4457,262,374,327,503
1.145,631,1647,3454,4465,252,350,341,497
1.155,641,1634,3429,4523,209,368,354,511
1.165,650,1622,3395,4508,208,312,384,450
1.175,656,1611,3353,4553,140,300,431,457
