sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,657,1364,2526,3671,234,289,356,423
0.015,652,1421,2530,3705,230,350,375,451
0.025,596,1516,2580,3710,240,310,403,447
0.035,604,1492,2491,3641,288,320,362,443
0.045,643,1513,2441,3671,278,338,323,449
0.055,616,1525,2434,3688,296,321,316,444
0.065,606,1527,2366,3676,274,336,315,443
0.075,592,1605,2443,3728,256,328,356,465
0.085,681,1596,2392,3762,251,369,330,469
0.095,648,1542,2436,3778,279,326,335,477
0.105,668,1571,2453,3795,242,342,318,474
0.115,630,1632,2416,3730,206,375,326,480
0.125,551,1508,2474,3797,198,380,344,458
0.135,447,1308,2455,3895,153,388,381,471
0.145,545,1155,2498,4031,156,373,423,517
0.155,424,1213,2630,4172,198,313,441,483
0.165,489,1378,2778,4258,195,323,391,454
0.175,511,1579,2814,4200,194,363,354,443
0.185,484,1638,2755,4106,222,379,326,460
0.195,478,1624,2700,4013,249,413,294,484
0.205,475,1609,2681,3883,255,424,287,482
0.215,471,1617,2621,3818,250,440,340,517
0.225,465,1569,2534,3807,274,378,357,470
0.235,456,1502,2471,3746,317,357,351,477
0.245,445,1399,2445,3748,297,332,332,448
0.255,438,1434,2323,3825,281,307,330,443
0.265,436,1404,2336,3866,262,317,325,484
0.275,439,1408,2369,3966,289,316,318,468
0.285,448,1408,2385,4012,258,319,327,482
0.295,461,1577,2330,3984,261,364,321,504
0.305,478,1580,2346,4001,279,315,309,510
0.315,500,1620,2393,4038,248,297,333,503
0.325,529,1650,2427,4207,279,329,320,502
0.335,572,1626,2521,4390,249,341,336,474
0.345,616,1673,2462,4440,263,297,374,491
0.355,646,1483,2443,4427,221,316,404,456
0.365,674,1457,2520,4377,204,310,421,406
0.375,709,1329,2633,4358,203,308,401,385
0.385,751,1220,2777,4278,209,359,402,360
0.395,798,1086,2917,4172,205,347,395,393
0.405,852,1039,3019,4080,207,304,366,397
0.415,845,1023,3061,4035,202,311,341,389
0.425,846,1038,3039,4027,197,294,320,387
0.435,846,1103,2979,3984,195,314,304,383
0.445,846,1195,2992,3944,203,300,294,375
0.455,846,1283,2913,3954,196,293,276,361
0.465,845,1379,2826,3983,190,310,290,358
0.475,833,1498,2743,4038,185,301,298,354
0.485,803,1617,2704,4101,182,309,317,367
0.495,770,1773,2777,4140,185,307,304,388
0.505,743,1908,2822,4266,178,291,321,385
0.515,710,2036,2875,4342,186,310,318,416
0.525,676,2091,2931,4400,196,313,322,435
0.535,648,2205,2990,4430,203,309,334,420
0.545,624,2255,3047,4431,193,298,327,410
0.555,603,2323,3101,4450,204,287,319,390
0.565,586,2343,3152,4430,188,296,318,359
0.575,574,2381,3201,4459,188,314,320,355
0.585,567,2377,3250,4476,198,331,322,375
0.595,564,2395,3299,4448,180,343,314,407
0.605,564,2416,3339,4415,149,354,280,414
0.615,565,2431,3365,4397,120,365,279,421
0.625,570,2465,3374,4398,124,359,283,432
0.635,596,2498,3365,4401,133,341,289,420
0.645,628,2509,3339,4347,139,332,295,410
0.655,648,2516,3298,4315,157,338,271,400
0.665,660,2543,3250,4298,150,375,229,410
0.675,664,2520,3198,4285,150,356,238,400
0.685,664,2502,3144,4249,158,352,231,399
0.695,665,2464,3084,4228,165,348,252,408
0.705,672,2362,3015,4202,192,328,284,427
0.715,687,2257,2935,4115,196,350,329,438
0.725,705,2166,2847,4122,249,359,345,451
0.735,727,2101,2755,4140,255,358,331,430
0.745,749,2025,2665,4094,311,340,386,435
0.755,770,1915,2578,4120,330,337,382,435
0.765,787,1824,2495,4177,315,327,370,455
0.775,791,1763,2418,4155,333,332,355,446
0.785,781,1700,2345,4192,292,333,371,478
0.795,767,1628,2276,4091,253,346,340,496
0.805,759,1561,2210,3984,243,363,347,483
0.815,757,1506,2146,3787,211,365,359,457
0.825,754,1460,2084,3707,219,359,362,432
0.835,743,1415,2014,3729,234,377,337,405
0.845,715,1363,1930,3711,266,346,329,386
0.855,662,1308,1823,3795,284,281,357,408
0.865,591,1265,1717,3774,283,253,407,422
0.875,549,1218,1647,3721,296,272,407,441
0.885,537,1169,1629,3647,318,252,402,433
0.895,539,1150,1651,3619,310,227,398,389
0.905,544,1150,1697,3604,295,206,389,371
0.915,548,1155,1760,3636,294,220,373,368
0.925,548,1159,1837,3665,274,252,360,370
0.935,547,1167,1924,3715,257,300,341,375
0.945,547,1184,2014,3743,240,339,350,380
0.955,553,1214,2100,3743,217,369,338,406
0.965,568,1259,2183,3771,214,394,352,395
0.975,589,1317,2261,3880,225,423,371,463
0.985,608,1379,2341,4119,195,399,381,461
0.995,621,1430,2432,4253,209,410,374,448
1.005,628,1470,2545,4257,228,439,310,420
1.015,628,1508,2670,4160,228,453,281,398
1.025,626,1554,2774,4076,219,436,261,406
1.035,628,1596,2835,4047,211,428,230,386
1.045,639,1625,2854,4012,207,414,240,371
1.055,651,1643,2838,3958,195,409,238,389
1.065,653,1654,2792,3954,208,417,220,402
1.075,637,1660,2726,3954,216,401,213,406
1.085,598,1662,2656,3970,221,393,195,410
1.095,560,1663,2597,3964,231,395,220,407
1.105,536,1662,2550,3962,248,394,264,412
1.115,515,1661,2512,3976,219,350,316,423
1.125,503,1667,2479,4033,198,297,338,422
1.135,547,1685,2457,4109,209,312,319,428
1.145,664,1724,2463,4155,211,312,307,399
1.155,750,1780,2513,4001,211,305,300,347
1.165,805,1850,2621,3970,206,314,320,348
1.175,877,1929,2748,4017,204,310,325,367
1.185,945,2013,2847,4031,204,310,315,370
1.195,979,2098,2914,4058,202,306,322,378
1.205,985,2176,2967,4112,208,307,333,390
1.215,966,2243,3015,4192,207,305,354,404
1.225,914,2287,3055,4244,203,347,350,428
1.235,825,2303,3078,4288,212,355,341,443
1.245,757,2295,3077,4328,229,358,327,471
1.255,652,2273,3045,4343,199,317,343,480
1.265,566,2248,2973,4284,219,278,403,489
1.275,533,2226,2942,4258,225,309,391,503
1.285,516,2204,2904,4264,258,324,381,513
1.295,492,2182,2892,4277,313,313,399,506
1.305,468,2155,2846,4233,314,296,417,498
1.315,455,2122,2920,4237,333,316,403,493
1.325,455,2080,2955,4127,292,326,375,515
1.335,454,2028,2988,4058,289,296,383,485
1.345,446,1970,2928,3986,259,294,376,456
1.355,433,1907,2900,3931,273,260,372,465
1.365,420,1842,2865,3930,307,241,371,470
1.375,411,1779,2873,3923,251,313,336,471
1.385,408,1720,2992,4033,219,306,343,457
1.395,412,1666,3045,4191,191,301,331,433
1.405,425,1616,2976,4301,222,321,388,464
1.415,448,1565,2907,4291,255,261,380,490
1.425,484,1507,2849,4292,300,338,376,465
1.435,578,1438,2713,4267,249,348,380,476
1.445,664,1362,2663,4197,255,344,373,477
1.455,776,1290,2603,4203,296,320,374,464
1.465,872,1226,2513,4196,197,290,421,448
1.475,828,1168,2558,4166,247,320,404,413
1.485,660,1115,2582,4103,247,349,381,437
1.495,528,1066,2555,3952,171,352,417,455
1.505,513,1021,2553,3818,151,332,432,458
1.515,547,980,2480,3754,183,257,446,451
1.525,547,947,2400,3726,160,305,450,427
1.535,556,926,2324,3721,156,282,443,402
1.545,560,920,2239,3755,163,292,426,400
1.555,540,921,2183,3837,162,280,413,418
1.565,511,912,2154,3923,174,293,403,454
1.575,454,872,2216,4037,173,288,379,464
1.585,393,869,2193,4105,210,328,359,456
1.595,385,956,2206,4200,190,355,376,440
1.605,406,1102,2271,4195,202,359,373,422
1.615,411,1306,2355,4270,224,342,381,450
1.625,462,1406,2440,4329,261,352,342,453
1.635,471,1494,2489,4398,272,314,363,472
1.645,469,1500,2565,4434,269,315,386,463
1.655,466,1464,2566,4350,277,347,362,402
1.665,484,1445,2545,4323,250,342,314,413
1.675,513,1419,2566,4182,252,324,313,447
1.685,534,1444,2469,4135,266,327,332,444
1.695,517,1523,2412,4110,304,302,324,466
1.705,605,1591,2481,4033,276,322,339,455
1.715,562,1612,2540,3939,303,316,327,449
1.725,539,1514,2501,3937,312,329,336,436
1.735,565,1377,2363,3945,279,373,369,460
1.745,602,1125,2287,3754,176,374,414,440
1.755,556,922,2284,3709,152,347,422,410
1.765,578,872,2262,3760,159,254,404,373
1.775,542,875,2261,3834,157,285,404,357
1.785,433,827,2267,3843,156,268,410,359
1.795,452,820,2282,3930,171,310,400,341
1.805,471,844,2286,3934,177,308,389,349
1.815,485,853,2300,3962,179,305,385,358
1.825,468,907,2345,4006,200,296,375,434
1.835,537,923,2340,4099,172,278,385,412
1.845,589,1002,2356,4127,172,280,395,387
1.855,611,1017,2380,4088,170,252,399,374
1.865,604,1009,2392,4106,174,239,408,401
1.875,597,988,2389,4120,189,237,419,401
1.885,597,933,2414,4095,204,261,424,401
1.895,588,862,2439,4038,208,280,425,398
1.905,580,823,2471,3941,208,330,427,408
1.915,526,831,2516,3859,172,287,432,412
1.925,508,780,2552,3797,175,339,437,404
1.935,527,767,2595,3744,182,319,434,369
1.945,543,783,2699,3741,178,324,432,387
1.955,563,822,2837,3778,192,319,442,398
1.965,607,875,3020,3837,211,322,424,392
1.975,588,935,3183,3873,216,311,379,389
1.985,628,994,3254,3923,213,304,340,394
1.995,664,1046,3253,3960,194,304,317,389
2.005,696,1090,3228,3966,203,295,307,401
2.015,723,1126,3186,3979,205,301,293,407
2.025,744,1156,3125,4004,188,293,272,418
2.035,759,1182,3040,4034,206,274,270,433
2.045,767,1209,2879,4012,185,286,292,417
2.055,767,1245,2765,3990,205,288,302,413
2.065,760,1289,2646,3937,216,287,330,416
2.075,744,1330,2456,3872,229,298,339,399
2.085,721,1354,2236,3791,199,307,336,410
2.095,688,1349,2074,3688,221,314,312,400
2.105,645,1311,1890,3638,225,307,304,400
2.115,592,1235,1784,3573,231,291,357,408
2.125,620,1117,1719,3633,245,274,324,399
2.135,508,952,1743,3688,237,294,338,416
2.145,456,808,1882,3717,245,282,366,462
2.155,446,805,1979,3751,224,291,365,452
2.165,446,840,2100,3718,211,287,350,464
2.175,465,875,2095,3742,193,288,353,455
2.185,459,870,2029,3776,188,305,335,446
2.195,467,907,1952,3751,184,285,319,470
2.205,490,909,1882,3814,178,296,323,459
2.215,514,940,1860,3844,192,313,308,428
2.225,519,1007,1871,3886,201,299,298,435
2.235,501,1100,1967,3851,219,301,299,418
2.245,485,1102,2176,3797,233,277,310,416
2.255,491,1105,2398,3807,206,273,289,395
2.265,517,1113,2624,3913,214,285,301,409
2.275,520,1034,2784,3944,201,323,297,418
2.285,533,987,2900,3974,216,306,276,423
2.295,524,962,2997,4033,209,301,274,434
2.305,504,937,3079,4084,226,299,283,440
2.315,500,901,3117,4143,216,309,277,437
2.325,489,844,3202,4190,213,309,279,437
2.335,480,767,3237,4192,206,304,281,446
2.345,465,709,3218,4278,194,307,306,444
2.355,480,720,3255,4298,189,288,314,441
2.365,490,772,3189,4261,192,293,321,439
2.375,443,925,3073,4122,217,316,359,473
2.385,451,1139,3000,4022,221,339,318,443
2.395,525,1447,2937,3971,273,329,352,440
2.405,634,1493,2856,3982,291,306,359,450
2.415,740,1523,2795,4037,312,300,333,456
2.425,872,1643,2662,3962,320,313,341,447
2.435,1034,1722,2619,3982,295,335,330,450
2.445,1095,1811,2634,3953,236,342,318,442
2.455,1088,1855,2691,3994,200,339,372,484
2.465,1086,1927,2714,3951,221,352,358,487
2.475,1113,1919,2802,3922,234,315,361,462
2.485,1063,1896,2875,3871,215,324,356,447
2.495,1072,1912,2867,3932,225,336,332,417
2.505,1015,1994,2879,3946,240,333,354,425
2.515,1065,1905,2917,3936,256,303,361,447
2.525,1019,1857,2878,4010,251,279,362,458
2.535,1013,1873,2784,4016,257,332,367,452
2.545,1038,1790,2805,4075,253,323,351,459
2.555,994,1765,2796,4074,198,327,360,424
2.565,982,1711,2755,4036,215,332,362,460
2.575,1014,1611,2672,3931,224,329,365,434
2.585,989,1453,2605,3934,189,352,337,452
2.595,907,1292,2552,3935,217,330,346,473
2.605,898,1204,2484,3954,230,307,380,473
2.615,860,1245,2458,4025,228,326,394,465
2.625,878,1275,2472,4016,242,331,360,453
2.635,819,1265,2558,4007,225,320,341,441
2.645,722,1360,2519,4057,237,335,365,456
2.655,654,1340,2498,4098,222,310,393,476
2.665,600,1369,2437,4058,232,347,337,455
2.675,605,1364,2424,4093,204,341,349,457
2.685,654,1385,2445,4101,191,337,332,448
