sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,626,1515,2337,3558,283,349,360,390
0.015,773,1509,2314,3584,288,346,310,351
0.025,877,1563,2393,3556,280,318,325,351
0.035,875,1678,2373,3557,247,349,352,370
0.045,944,1765,2407,3596,226,378,336,365
0.055,1024,1809,2441,3616,222,395,338,400
0.065,978,1874,2440,3620,187,373,336,409
0.075,986,1857,2540,3608,223,348,377,416
0.085,1011,1872,2503,3507,229,351,376,400
0.095,996,1796,2565,3498,214,332,371,413
0.105,1008,1807,2520,3533,229,310,366,398
0.115,882,1899,2529,3523,184,324,359,422
0.125,847,1901,2541,3663,255,290,354,428
0.135,863,1922,2549,3740,317,269,361,438
0.145,859,1952,2555,3811,309,286,335,440
0.155,837,1983,2627,3886,291,282,376,449
0.165,898,2005,2755,3930,266,335,379,465
0.175,513,2016,2870,4010,300,309,390,446
0.185,522,2029,3017,4068,263,349,353,438
0.195,528,2061,3062,4128,261,386,349,415
0.205,532,2104,3094,4170,244,388,351,406
0.215,535,2136,3115,4204,265,374,346,396
0.225,536,2156,3131,4254,290,372,337,402
0.235,536,2168,3144,4346,261,382,349,402
0.245,536,2178,3161,4378,249,381,336,411
0.255,536,2191,3179,4271,258,374,319,403
0.265,536,2212,3194,4215,285,343,306,418
0.275,536,2245,3201,4214,258,359,315,411
0.285,537,2292,3196,4223,270,354,289,428
0.295,536,2343,3181,4204,277,356,288,436
0.305,533,2386,3162,4257,274,377,290,444
0.315,528,2416,3144,4283,275,393,275,450
0.325,519,2437,3126,4256,249,409,258,431
0.335,507,2451,3109,4268,211,410,224,424
0.345,523,2461,3091,4335,197,436,220,419
0.355,533,2469,3076,4369,184,370,249,403
0.365,538,2473,3066,4425,181,334,305,400
0.375,557,2473,3062,4509,189,309,320,416
0.385,540,2466,3068,4574,203,293,325,428
0.395,542,2450,3086,4589,209,284,342,453
0.405,525,2428,3115,4449,203,293,316,458
0.415,505,2406,3157,4423,230,299,349,479
0.425,466,2384,3204,4382,293,320,363,482
0.435,502,2354,3250,4295,316,327,336,485
0.445,462,2315,3289,4250,323,310,352,456
0.455,431,2276,3315,4261,345,328,380,464
0.465,408,2244,3328,4306,344,307,401,441
0.475,394,2216,3333,4281,311,321,387,475
0.485,386,2188,3332,4232,332,310,383,510
0.495,385,2157,3331,4181,352,338,327,490
0.505,386,2125,3330,4162,349,343,350,502
0.515,385,2085,3331,4207,371,356,375,464
0.525,381,2016,3331,4107,353,363,369,440
0.535,379,1907,3330,3913,320,376,315,414
0.545,385,1804,3325,3869,262,352,314,426
0.555,403,1762,3314,3778,188,268,283,396
0.565,429,1746,3290,3827,207,289,278,359
0.575,457,1712,3269,3873,205,300,268,313
0.585,481,1641,3240,3830,196,262,270,318
0.595,506,1614,3207,3810,205,297,307,324
0.605,541,1624,3181,3786,219,314,358,367
0.615,584,1637,3172,3832,240,284,389,431
0.625,631,1637,3172,3781,257,305,429,494
0.635,689,1633,3173,3864,245,309,453,480
0.645,765,1631,3164,3867,230,292,481,465
0.655,837,1633,3142,3895,219,291,432,459
0.665,890,1636,3107,3951,210,300,397,438
0.675,934,1641,3066,4011,198,287,361,422
0.685,972,1649,3036,4007,191,302,342,407
0.695,999,1661,2992,4065,196,276,337,425
0.705,1010,1677,2964,4076,197,304,327,402
0.715,999,1703,2963,4105,192,289,337,404
0.725,1032,1731,2953,4062,197,308,346,403
0.735,1030,1753,2934,4028,206,280,361,403
0.745,1034,1768,2926,4052,195,297,369,417
0.755,1006,1777,2928,4114,180,286,365,413
0.765,993,1783,2932,4074,198,295,360,400
0.775,1003,1787,2935,4091,204,306,375,408
0.785,976,1792,2937,4092,205,278,350,400
0.795,970,1799,2941,4098,193,313,360,404
0.805,971,1808,2950,4074,181,293,354,400
0.815,962,1814,2966,4073,171,319,358,408
