sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,625,1510,2434,3622,232,300,363,436
0.015,664,1519,2472,3658,250,307,324,451
0.025,654,1540,2484,3638,236,301,324,444
0.035,657,1529,2473,3615,249,312,323,461
0.045,579,1515,2437,3664,313,319,334,435
0.055,571,1534,2443,3704,305,322,340,438
0.065,567,1630,2458,3710,290,317,311,438
0.075,606,1615,2517,3799,284,333,297,428
0.085,592,1503,2599,3946,283,331,288,438
0.095,589,1481,2599,3958,241,325,286,430
0.105,519,1547,2593,3961,241,325,328,457
0.115,572,1616,2561,3984,205,327,375,459
0.125,627,1581,2527,4053,262,328,388,473
0.135,713,1539,2464,4052,283,314,365,460
0.145,806,1604,2436,4052,271,329,339,455
0.155,810,1755,2889,4193,210,348,351,481
0.165,693,1830,2888,4349,202,331,368,464
0.175,674,1880,2890,4489,193,334,367,452
0.185,664,1933,2891,4543,208,324,362,431
0.195,681,1981,2891,4545,208,313,371,425
0.205,711,2087,2889,4520,191,300,384,420
0.215,739,2132,2886,4532,176,309,390,415
0.225,758,2133,2889,4530,151,321,400,419
0.235,772,2107,2904,4556,142,321,403,421
0.245,786,2071,2918,4538,176,340,396,422
0.255,803,2043,2923,4573,209,348,391,440
0.265,822,2027,2923,4531,247,318,386,413
0.275,833,2020,2922,4564,229,294,401,425
0.285,832,2018,2923,4453,224,298,392,454
0.295,831,2019,2923,4493,207,296,372,444
0.305,830,1987,2922,4473,221,316,378,458
0.315,824,1989,2918,4536,213,296,404,457
0.325,813,2006,2917,4504,211,305,392,456
0.335,799,1977,2926,4564,213,295,393,431
0.345,781,1969,2945,4584,206,299,418,426
0.355,762,1947,2967,4592,203,293,425,419
0.365,741,1952,2981,4595,194,285,430,431
0.375,721,1952,2987,4623,165,294,422,439
0.385,701,1942,2994,4638,177,281,421,446
0.395,682,1902,3011,4604,195,312,345,442
0.405,666,1846,3047,4599,234,325,339,438
0.415,654,1791,3115,4577,298,363,358,449
0.425,647,1726,3180,4460,377,350,357,442
0.435,646,1631,3223,4275,349,320,342,438
0.445,647,1562,3223,4188,310,335,344,438
0.455,648,1552,3224,4121,293,327,341,400
0.465,647,1552,3224,4169,274,311,336,433
0.475,646,1551,3222,4170,314,290,331,443
0.485,647,1565,3221,4131,292,334,320,434
0.495,655,1587,3230,4181,257,353,348,451
0.505,668,1603,3247,4206,280,338,363,456
0.515,687,1618,3262,4305,244,328,386,458
0.525,710,1643,3267,4426,204,334,374,484
0.535,736,1687,3252,4498,187,324,345,468
0.545,759,1747,3241,4466,182,336,337,432
0.555,767,1815,3221,4464,182,354,344,444
0.565,749,1891,3209,4471,181,343,349,440
0.575,690,1972,3202,4484,172,330,331,444
0.585,638,2042,3199,4467,165,310,342,448
0.595,633,2088,3200,4390,162,322,345,439
0.605,617,2123,3201,4321,162,322,333,427
0.615,591,2155,3203,4289,162,321,296,407
0.625,573,2184,3204,4282,170,338,281,459
0.635,576,2208,3208,4293,167,340,262,432
0.645,574,2224,3217,4232,171,350,273,439
0.655,592,2234,3230,4216,165,359,283,434
0.665,571,2224,3247,4255,166,345,286,428
0.675,566,2222,3263,4187,171,345,290,421
0.685,577,2157,3277,4093,167,332,310,406
0.695,605,2091,3290,4095,170,299,327,419
0.705,631,2004,3306,4009,171,331,347,409
0.715,655,1966,3328,3995,221,307,396,414
0.725,677,1975,3359,3915,227,297,407,456
0.735,699,1901,3398,3865,230,311,397,440
0.745,721,1838,3436,3777,242,285,402,423
0.755,750,1776,3465,3782,218,289,427,380
0.765,794,1735,3485,3849,224,293,412,352
0.775,834,1716,3490,3810,224,295,393,359
0.785,842,1697,3467,3820,207,295,379,381
0.795,833,1730,3415,3893,215,307,370,384
0.805,825,1757,3354,3970,203,292,397,377
0.815,825,1814,3307,4063,211,311,372,387
0.825,830,1846,3296,4142,206,290,346,409
0.835,838,1862,3314,4217,206,278,328,426
0.845,833,1904,3283,4325,225,303,351,428
0.855,798,1959,3260,4414,187,304,345,441
0.865,740,1993,3257,4466,179,304,317,407
0.875,680,2007,3258,4521,166,279,320,390
0.885,639,2007,3247,4568,160,285,329,404
0.895,615,2007,3222,4617,167,318,309,387
0.905,594,2022,3191,4624,184,340,308,399
0.915,571,2064,3163,4513,236,350,329,442
