sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,559,1524,2480,3654,249,302,354,449
0.015,615,1539,2405,3728,266,323,321,438
0.025,610,1544,2422,3680,271,304,313,411
0.035,675,1506,2489,3677,299,312,302,415
0.045,711,1607,2499,3706,256,306,307,419
0.055,733,1576,2538,3717,267,325,332,451
0.065,707,1576,2594,3714,260,320,333,437
0.075,748,1524,2549,3710,283,310,327,422
0.085,805,1540,2559,3614,281,281,331,425
0.095,797,1644,2546,3692,269,299,313,426
0.105,860,1647,2517,3720,266,319,339,428
0.115,895,1643,2515,3844,271,314,326,433
0.125,912,1683,2492,3904,236,349,322,448
0.135,823,1822,2448,3893,168,391,307,487
0.145,748,1927,2458,3859,134,376,339,492
0.155,772,2034,2543,3854,178,337,353,494
0.165,792,2077,2621,3880,174,334,370,469
0.175,785,2101,2647,3966,170,324,341,473
0.185,738,2057,2742,3937,177,336,338,464
0.195,723,2015,2814,3956,163,310,329,447
0.205,750,1995,2829,4007,189,306,310,458
0.215,741,1990,2845,4038,184,319,277,476
0.225,681,1993,2862,3999,176,304,284,482
0.235,694,1995,2881,4015,178,297,323,501
0.245,608,1993,2903,4122,156,260,323,549
0.255,590,1987,2928,4288,171,297,331,526
0.265,547,1975,2957,4488,196,311,352,558
0.275,481,1961,2981,4679,189,302,311,494
0.285,474,1952,2990,4842,209,283,342,444
0.295,449,1952,2979,4848,226,285,387,405
0.305,426,1954,2947,4749,244,307,395,413
0.315,406,1954,2912,4720,293,344,376,446
0.325,389,1953,2888,4760,292,334,361,469
0.335,371,1953,2867,4707,296,323,367,441
0.345,351,1956,2837,4680,320,363,328,475
0.355,330,1962,2798,4673,319,366,330,459
0.365,309,1970,2756,4577,328,368,329,481
0.375,290,1979,2723,4413,335,375,336,448
0.385,277,1989,2710,4384,326,363,319,448
0.395,273,1998,2709,4380,294,354,313,445
0.405,266,2012,2711,4402,268,335,348,438
0.415,252,2037,2713,4389,278,327,297,446
0.425,244,2119,2716,4212,290,332,323,472
0.435,245,2173,2723,4135,261,304,345,469
0.445,248,2220,2736,4065,248,297,389,448
0.455,251,2264,2756,4005,244,321,365,456
0.465,255,2310,2791,3987,258,311,356,454
0.475,260,2360,2847,4005,265,274,392,473
0.485,271,2420,2924,4127,296,333,411,482
0.495,288,2492,3004,4206,289,350,358,465
0.505,318,2571,3068,4172,219,364,328,432
0.515,327,2647,3098,4107,200,375,303,402
0.525,344,2708,3220,4082,194,358,298,389
0.535,368,2749,3577,4037,186,348,292,385
0.545,368,2775,3689,3981,185,325,298,377
0.555,385,2792,3694,3992,182,328,302,360
0.565,389,2806,3724,4014,190,311,287,373
0.575,387,2818,3751,4015,189,310,305,391
0.585,407,2820,3728,4009,192,317,286,407
0.595,391,2801,3625,4050,194,317,268,412
0.605,392,2756,3587,4095,191,334,227,433
0.615,361,2692,3467,4099,206,340,212,480
0.625,360,2615,3139,4041,207,294,291,506
0.635,353,2536,3211,4093,200,301,308,485
0.645,327,2458,3267,4210,209,326,344,443
