sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,619,1530,2489,3571,233,320,353,422
0.015,657,1505,2388,3484,270,290,341,393
0.025,662,1529,2443,3472,281,305,356,390
0.035,660,1564,2424,3450,294,302,346,412
0.045,679,1455,2473,3476,301,332,311,414
0.055,630,1504,2445,3497,236,320,319,383
0.065,639,1511,2459,3481,297,273,316,396
0.075,667,1524,2523,3460,295,300,311,400
0.085,689,1480,2575,3589,297,296,308,415
0.095,769,1558,2549,3597,254,330,311,411
0.105,808,1642,2500,3655,279,308,327,404
0.115,863,1708,2603,3831,274,310,320,411
0.125,929,1764,2716,3920,270,300,346,438
0.135,952,1920,2749,3896,256,328,357,460
0.145,870,2044,2958,3887,218,354,342,457
0.155,794,2236,2899,4022,241,343,348,436
0.165,707,2253,2927,4139,300,367,288,433
0.175,480,2333,3005,4158,311,398,283,414
0.185,271,2391,3136,4129,270,414,279,407
0.195,261,2458,3254,4104,193,391,298,405
0.205,279,2528,3343,3967,200,374,314,371
0.215,255,2593,3412,3942,191,355,307,391
0.225,258,2617,3479,3978,194,360,308,345
0.235,235,2775,3552,3971,201,330,367,335
0.245,248,2808,3577,3975,194,370,335,319
0.255,252,2891,3574,4013,189,366,341,339
0.265,249,2970,3579,4002,192,372,371,372
0.275,265,3000,3561,4114,194,394,340,379
0.285,292,2992,3507,3991,201,378,341,389
0.295,310,2966,3427,3964,197,375,324,433
0.305,325,2816,3337,3984,190,377,317,402
0.315,325,2738,3273,4029,188,382,280,394
0.325,338,2619,3204,4040,191,385,269,404
0.335,327,2517,3051,4057,197,353,269,402
0.345,326,2371,2975,4090,195,341,258,410
0.355,325,2190,2899,4067,205,342,289,383
0.365,321,1945,2790,4067,205,381,286,376
0.375,333,1686,2692,4116,210,358,272,402
0.385,329,1572,2667,4176,205,358,264,395
0.395,336,1445,2714,4169,206,306,280,388
0.405,357,1275,2788,4178,208,302,286,395
0.415,345,1174,2844,4245,204,295,297,380
0.425,349,1116,2892,4346,204,294,303,377
0.435,345,1070,2917,4349,200,270,318,348
0.445,365,1146,2902,4345,204,298,300,345
0.455,353,1323,2851,4316,205,306,303,391
0.465,353,1423,2793,4325,225,315,312,403
0.475,353,1641,2786,4330,257,329,314,426
0.485,353,1849,2787,4320,278,326,280,417
0.495,353,2057,2788,4390,273,358,267,432
0.505,354,2352,2827,4367,255,379,286,425
0.515,353,2492,2855,4261,264,399,292,409
0.525,343,2558,2894,4188,233,383,308,421
0.535,335,2576,2969,4139,267,376,311,403
0.545,289,2572,3062,4131,226,398,323,411
0.555,296,2607,3146,4178,242,391,261,414
0.565,291,2608,3188,4153,223,396,240,411
0.575,304,2607,3202,4112,217,404,299,419
