sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,400,1567,2543,3673,244,302,354,448
0.015,401,1567,2528,3738,279,331,346,463
0.025,437,1608,2589,3708,259,312,348,462
0.035,513,1594,2591,3680,251,333,352,454
0.045,545,1485,2566,3647,282,339,386,445
0.055,677,1442,2512,3583,282,323,352,440
0.065,770,1434,2507,3518,258,322,323,440
0.075,764,1477,2523,3526,221,324,293,442
0.085,832,1464,2554,3573,239,342,274,434
0.095,722,1451,2636,3572,237,359,273,469
0.105,742,1362,2614,3569,249,350,317,494
0.115,662,1402,2639,3567,229,327,344,501
0.125,531,2101,2667,3623,255,335,349,494
0.135,376,2119,2677,3717,174,325,323,517
0.145,440,2107,2760,3771,198,337,327,531
0.155,476,2064,2857,3942,217,335,313,531
0.165,532,1990,2867,4124,217,345,275,522
0.175,579,1928,2869,4236,217,347,286,500
0.185,622,1848,2904,4349,198,346,295,425
0.195,667,1780,2969,4307,176,362,372,412
0.205,716,1726,3025,4219,169,352,367,395
0.215,755,1688,3067,4133,179,332,358,407
0.225,776,1704,3068,4060,196,316,345,406
0.235,794,1592,3039,4008,207,318,334,395
0.245,816,1607,2994,3994,187,339,346,389
0.255,833,1655,2946,4041,200,355,337,376
0.265,839,1738,2899,4071,205,343,334,377
0.275,834,1854,2864,4043,202,373,321,378
0.285,819,1950,2859,4002,214,365,305,395
0.295,796,2052,2885,4047,199,383,295,400
0.305,767,2118,2933,4103,199,374,286,408
0.315,738,2207,2981,4208,189,383,279,424
0.325,710,2335,3026,4332,181,385,260,428
0.335,671,2381,3081,4423,175,348,292,444
0.345,612,2391,3133,4484,182,332,297,441
0.355,553,2354,3172,4439,226,309,376,451
0.365,530,2288,3200,4537,226,334,383,503
0.375,528,2211,3210,4474,282,332,371,431
0.385,527,2139,3196,4414,300,335,375,438
0.395,531,2074,3175,4375,287,339,374,443
0.405,552,2001,3153,4384,318,342,388,472
0.415,588,1953,3112,4411,334,305,390,508
0.425,617,1939,3076,4481,330,280,413,470
0.435,633,1917,3060,4414,298,321,368,478
0.445,644,1819,3047,4400,282,302,391,464
0.455,659,1725,3022,4332,308,263,351,473
0.465,680,1649,2977,4255,324,275,367,502
0.475,696,1605,2936,4191,306,278,354,488
0.485,703,1607,2906,4136,294,335,341,477
0.495,698,1645,2874,4173,272,353,340,453
0.505,680,1758,2834,4147,271,306,370,422
0.515,655,1851,2786,4213,280,271,346,444
0.525,638,1970,2752,4285,283,251,362,479
0.535,614,2005,2740,4256,241,269,333,495
0.545,634,1946,2734,4186,240,247,343,444
0.555,663,1876,2735,4113,282,250,355,407
0.565,703,1798,2761,4109,290,271,344,407
0.575,754,1724,2799,3963,261,265,331,399
0.585,813,1647,2836,3859,250,289,345,390
0.595,872,1663,2875,3778,219,283,383,391
0.605,887,1631,2911,3786,218,291,402,372
0.615,839,1636,2937,3820,212,303,388,362
0.625,862,1655,2955,3859,210,309,364,347
0.635,818,1667,2965,3888,215,305,361,346
0.645,760,1678,2964,3948,209,312,342,337
0.655,690,1713,2971,4039,206,337,344,349
0.665,671,1783,2984,4141,226,374,322,354
0.675,654,1861,3003,4310,218,401,275,415
0.685,628,1959,3035,4366,206,387,274,400
0.695,596,2110,3039,4339,214,356,281,406
0.705,563,2176,3027,4400,242,323,278,425
0.715,535,2230,3007,4477,283,301,274,448
0.725,515,2312,2989,4314,321,335,305,406
0.735,509,2393,2969,4259,319,337,336,401
0.745,510,2448,2939,4089,318,386,339,414
0.755,505,2474,2907,4005,344,407,299,458
0.765,500,2473,2883,3831,353,420,316,429
0.775,498,2450,2833,3787,354,381,317,396
0.785,499,2412,2769,3830,334,317,345,405
0.795,501,2366,2705,3876,337,310,317,410
0.805,503,2310,2648,3820,338,301,329,414
0.815,502,2244,2601,3900,312,301,340,413
0.825,497,2182,2570,3965,297,299,339,439
0.835,485,2221,2546,3994,282,299,343,452
0.845,463,2197,2519,3933,279,300,312,427
0.855,482,2203,2487,3902,189,307,311,387
0.865,468,2232,2493,3928,187,320,300,354
0.875,459,2276,2582,3982,182,313,298,326
0.885,469,2330,2714,3999,184,315,299,335
0.895,453,2385,2767,4014,186,294,293,335
0.905,474,2435,2792,4054,184,284,282,352
0.915,437,2476,2853,4083,176,292,285,367
0.925,438,2508,2933,4130,185,296,291,359
0.935,444,2531,2984,4142,186,303,295,352
0.945,443,2547,3012,4203,187,295,292,376
0.955,439,2559,3032,4233,181,307,287,363
0.965,446,2570,3050,4315,189,326,286,355
0.975,436,2584,3067,4330,179,339,277,348
0.985,418,2600,3083,4352,174,338,283,331
0.995,379,2619,3100,4408,182,335,330,365
1.005,342,2636,3113,4449,190,334,379,429
1.015,380,2647,3154,4422,222,352,331,481
1.025,368,2648,3175,4313,234,367,332,466
1.035,372,2634,3182,4227,270,361,334,461
1.045,378,2606,3180,4184,298,343,325,439
1.055,383,2565,3172,4138,306,329,332,424
1.065,387,2514,3163,4168,320,329,330,435
1.075,386,2456,3149,4153,338,359,327,431
1.085,390,2394,3128,4176,315,376,330,432
1.095,411,2335,3097,4219,320,345,346,441
1.105,450,2286,3063,4210,334,366,336,443
1.115,496,2251,3037,4276,342,404,361,461
1.125,541,2229,3022,4291,295,423,337,442
1.135,579,2217,3010,4356,266,375,342,430
1.145,607,2214,2995,4401,251,356,328,440
1.155,613,2218,2975,4389,218,362,335,437
1.165,569,2226,2952,4396,224,390,345,426
1.175,522,2240,2926,4331,241,382,315,425
1.185,504,2257,2894,4249,261,370,329,437
1.195,497,2278,2851,4156,258,354,338,462
1.205,483,2302,2771,3958,220,344,317,458
1.215,466,2329,2709,3842,275,427,311,479
1.225,486,2357,2710,3708,254,455,301,455
1.235,503,2386,2712,3652,207,431,288,414
1.245,488,2415,2710,3708,204,368,282,402
1.255,460,2444,2710,3770,197,362,276,404
