sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,537,1516,2483,3584,234,297,368,417
0.015,570,1533,2522,3521,276,275,360,447
0.025,552,1573,2466,3498,287,320,359,430
0.035,553,1578,2465,3589,280,325,318,428
0.045,572,1469,2439,3602,284,337,303,447
0.055,600,1424,2398,3546,295,325,298,445
0.065,630,1416,2549,3547,276,303,316,435
0.075,654,1472,2550,3607,266,326,272,422
0.085,637,1493,2577,3653,280,309,268,420
0.095,621,1540,2471,3747,256,337,266,439
0.105,540,1531,2509,3790,291,333,297,460
0.115,309,1488,2778,3910,235,345,272,494
0.125,823,1395,2949,4046,229,355,296,495
0.135,798,1411,2990,4255,207,360,265,482
0.145,790,1424,2995,4469,216,347,233,462
0.155,791,1524,2999,4566,227,343,276,422
0.165,792,1733,2958,4457,232,370,342,431
0.175,790,1800,2941,4426,204,313,341,422
0.185,795,1776,2886,4301,200,319,347,446
0.195,803,1713,2725,4189,224,302,360,451
0.205,803,1650,2758,4124,239,283,327,427
0.215,803,1561,2733,4074,229,297,278,426
0.225,797,1527,2753,4032,230,274,267,425
0.235,791,1481,2746,3991,231,285,259,415
0.245,792,1476,2780,3986,218,291,318,407
0.255,790,1484,2788,4019,212,291,295,402
0.265,790,1460,2821,4052,211,303,308,390
0.275,803,1457,2840,4096,202,291,286,383
0.285,824,1469,2840,4099,209,297,274,392
0.295,840,1463,2786,4115,210,302,298,392
0.305,854,1464,2712,4070,212,296,290,397
0.315,881,1483,2674,4049,206,311,297,400
0.325,930,1500,2640,4074,208,311,302,417
0.335,975,1538,2599,4165,211,316,313,432
0.345,999,1611,2632,4173,216,325,307,425
0.355,1010,1641,2692,4222,220,308,312,427
0.365,1013,1741,2709,4302,223,327,295,457
0.375,1013,1844,2707,4188,230,307,265,427
0.385,1003,1955,2711,4320,264,343,282,419
0.395,948,2033,2749,4407,264,377,297,396
0.405,850,2069,2796,4342,268,371,273,407
0.415,794,2086,2824,4327,260,368,282,395
0.425,766,2081,2799,4353,241,365,302,396
0.435,723,2065,2770,4350,212,330,332,380
0.445,673,1998,2767,4448,159,303,332,396
0.455,628,1838,2734,4450,161,298,331,388
0.465,600,1692,2767,4390,173,289,323,406
0.475,578,1541,2814,4355,173,282,313,403
0.485,556,1462,2827,4364,148,298,320,418
0.495,585,1352,2906,4415,149,311,344,432
0.505,590,1240,2991,4421,152,298,348,435
0.515,593,1197,3071,4472,169,304,341,426
0.525,563,1102,3155,4466,192,307,353,416
0.535,550,1097,3179,4474,192,304,353,429
0.545,529,1095,3208,4462,197,309,352,418
0.555,472,1066,3217,4446,198,378,363,459
0.565,423,1026,3247,4345,216,352,375,484
0.575,414,1005,3263,4412,215,347,383,487
0.585,424,1024,3222,4370,248,354,363,472
0.595,432,1089,3178,4324,296,358,395,460
0.605,441,1183,3134,4249,278,358,367,423
0.615,461,1258,3076,4180,268,331,352,403
0.625,494,1302,3014,4076,280,312,320,424
0.635,542,1384,2979,4042,287,332,306,418
0.645,610,1491,2966,4065,251,347,326,443
0.655,683,1560,2914,4039,266,369,345,426
