sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,669,1574,2400,3646,252,338,346,454
0.015,782,1700,2346,3620,213,362,337,483
0.025,923,1674,2253,3613,250,327,341,463
0.035,913,1668,2343,3750,245,318,344,453
0.045,805,1663,2421,3769,225,338,355,444
0.055,807,1654,2524,3732,249,334,340,440
0.065,774,1631,2584,3782,257,325,325,420
0.075,708,1652,2594,3786,236,323,353,421
0.085,683,1677,2574,3850,272,304,376,434
0.095,787,1640,2526,3892,290,312,361,473
0.105,839,1613,2537,4014,245,301,337,496
0.115,792,1626,2602,4168,239,306,318,465
0.125,894,1625,2699,4199,243,300,318,421
0.135,856,1633,2771,4269,200,317,323,419
0.145,826,1584,2817,4264,177,299,325,391
0.155,803,1577,2701,4202,154,304,312,394
0.165,781,1588,2614,4118,146,291,331,427
0.175,741,1615,2569,4079,161,319,318,421
0.185,681,1651,2542,4101,231,305,343,456
0.195,637,1692,2530,4088,240,327,333,451
0.205,627,1731,2516,4095,268,304,302,473
0.215,625,1756,2519,4071,280,346,281,470
0.225,627,1774,2603,4037,290,289,285,469
0.235,632,1798,2679,3982,288,293,284,492
0.245,637,1838,2681,3906,271,333,299,475
0.255,642,1869,2665,3868,267,293,298,470
0.265,649,1871,2680,3967,285,301,291,458
0.275,657,1866,2707,3973,250,301,309,445
0.285,656,1848,2683,4053,292,345,284,434
0.295,649,1808,2549,4143,277,298,344,440
0.305,640,1757,2367,4176,296,298,329,433
0.315,626,1647,2220,4275,268,279,294,436
0.325,603,1566,2171,4331,213,306,315,426
0.335,580,1525,2179,4378,202,310,309,421
0.345,559,1522,2191,4346,197,311,333,421
0.355,534,1518,2188,4346,160,321,335,429
0.365,510,1500,2183,4346,137,326,348,445
0.375,505,1490,2194,4264,115,317,365,432
0.385,508,1516,2225,4250,132,293,377,411
0.395,501,1513,2270,4207,144,298,380,389
0.405,520,1549,2319,4211,133,294,389,378
0.415,567,1584,2369,4217,135,296,382,379
0.425,591,1625,2421,4196,148,295,377,377
0.435,593,1678,2481,4186,168,304,320,397
0.445,629,1728,2558,4198,165,306,317,404
0.455,691,1758,2644,4215,172,287,331,420
0.465,736,1817,2724,4231,196,294,347,437
0.475,753,1886,2788,4226,217,308,311,443
0.485,762,1947,2842,4208,214,320,323,467
0.495,766,2006,2890,4236,196,317,316,459
0.505,766,2063,2937,4237,211,330,310,458
0.515,768,2128,2987,4247,225,338,342,486
0.525,768,2247,3036,4110,256,364,352,456
0.535,756,2353,3080,4035,310,340,353,426
0.545,728,2382,3184,3983,338,386,342,392
0.555,691,2432,3271,3957,329,389,345,389
0.565,656,2501,3406,3986,328,380,348,372
0.575,639,2504,3443,4129,317,363,325,366
0.585,636,2489,3434,4156,308,331,316,392
0.595,626,2458,3301,4091,279,340,311,394
0.605,580,2404,3120,4008,288,361,314,435
0.615,519,2368,3020,4014,292,380,296,428
0.625,494,2331,2951,3984,281,349,294,436
0.635,481,2163,2878,3891,187,304,348,444
0.645,465,2107,2793,3804,164,308,372,423
0.655,452,2027,2694,3860,161,298,369,368
0.665,452,1935,2590,3862,157,287,376,341
0.675,473,1884,2492,3947,160,298,352,364
0.685,498,1854,2415,3972,157,321,326,364
0.695,510,1888,2375,4004,153,329,303,375
0.705,518,1929,2370,4066,148,338,301,397
0.715,530,1953,2386,4101,148,341,290,406
0.725,540,1986,2407,4144,146,338,297,410
0.735,546,2022,2425,4158,154,343,290,405
0.745,547,2091,2471,4179,165,353,297,428
0.755,547,2145,2555,4144,166,345,305,416
0.765,565,2215,2637,4115,166,366,297,406
0.775,534,2249,2698,4119,156,354,297,433
0.785,561,2298,2742,4092,138,372,280,405
0.795,586,2341,2776,4136,163,384,282,421
0.805,561,2371,2815,4159,141,382,294,417
0.815,590,2387,2851,4140,155,382,302,415
0.825,586,2386,2938,4209,142,357,342,408
0.835,554,2356,3044,4333,143,341,343,424
0.845,509,2311,3062,4403,144,333,368,427
0.855,511,2274,3052,4573,163,327,387,461
0.865,500,2256,2987,4755,155,332,350,410
0.875,506,2237,2925,4812,167,331,343,391
0.885,509,2201,2894,4802,166,343,355,381
0.895,502,2156,2858,4693,177,342,364,383
0.905,568,2115,2814,4512,172,332,378,396
0.915,608,2077,2753,4451,142,337,346,415
0.925,608,2026,2728,4310,134,345,325,433
0.935,599,1946,2674,4156,139,318,343,453
0.945,573,1815,2593,4005,161,312,328,434
0.955,542,1730,2503,3962,166,284,323,420
0.965,518,1693,2452,3982,173,291,349,436
0.975,508,1654,2442,4115,215,347,333,448
0.985,498,1645,2424,4127,227,346,298,443
0.995,464,1739,2477,4205,258,356,298,437
1.005,427,1903,2556,4155,321,348,293,411
1.015,420,1971,2646,4198,291,359,294,457
1.025,431,2035,2716,4189,229,383,287,431
1.035,440,2093,2774,4204,234,397,279,419
1.045,428,2148,2836,4212,238,430,266,415
1.055,439,2202,2896,4222,224,416,234,419
1.065,423,2241,2924,4204,208,400,234,403
1.075,424,2282,2883,4210,173,370,244,400
1.085,430,2336,2860,4207,173,358,261,406
1.095,446,2345,2827,4205,174,344,267,407
1.105,440,2219,2767,4223,178,330,311,414
1.115,446,2207,2715,4224,179,322,323,404
1.125,465,2082,2693,4241,188,315,317,402
