sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,535,1452,2585,3641,231,286,357,444
0.015,506,1466,2600,3553,248,304,371,449
0.025,481,1423,2622,3473,300,298,350,450
0.035,469,1440,2643,3550,289,292,347,430
0.045,509,1471,2664,3530,281,327,316,412
0.055,552,1429,2686,3545,314,303,290,426
0.065,556,1500,2708,3577,290,294,292,445
0.075,634,1473,2733,3637,262,340,339,418
0.085,663,1536,2760,3596,241,340,334,439
0.095,661,1516,2790,3503,243,334,323,463
0.105,719,1485,2824,3411,228,374,268,486
0.115,761,1477,2862,3283,259,352,288,421
0.125,649,1491,2903,3334,247,330,258,376
0.135,511,1536,2947,3302,234,351,322,404
0.145,493,1625,2991,3224,189,363,359,395
0.155,488,1627,3032,3242,149,339,356,425
0.165,473,1862,3069,3255,163,332,370,412
0.175,470,1794,3101,3268,168,334,379,413
0.185,451,1757,3122,3322,158,348,381,420
0.195,452,1762,3130,3390,176,350,371,410
0.205,451,1820,3119,3451,188,351,351,403
0.215,442,1905,3087,3469,192,347,344,395
0.225,431,1954,3041,3520,203,324,353,395
0.235,394,1991,2988,3605,220,329,355,424
0.245,391,2005,2936,3556,273,319,329,425
0.255,388,1995,2891,3525,298,311,298,391
0.265,374,1972,2851,3491,294,352,298,383
0.275,368,1882,2815,3530,296,341,311,403
0.285,371,1817,2782,3573,252,349,329,389
0.295,368,1772,2751,3618,223,320,336,399
0.305,361,1728,2720,3644,178,287,367,410
0.315,370,1671,2689,3608,178,302,417,421
0.325,404,1637,2657,3650,185,299,410,439
0.335,418,1679,2623,3672,192,318,392,447
0.345,416,1718,2591,3660,215,323,387,452
0.355,431,1774,2568,3643,215,341,385,460
0.365,464,1860,2560,3788,249,330,345,463
0.375,495,1919,2568,3827,260,327,336,490
0.385,518,1944,2593,3949,234,325,340,493
0.395,539,1980,2636,4092,262,324,334,484
0.405,568,2013,2695,4167,258,341,353,444
0.415,600,2014,2766,4248,278,347,346,402
0.425,629,1982,2838,4246,257,393,348,386
0.435,646,1918,2904,4120,285,372,346,380
0.445,653,1827,2954,4036,294,365,344,382
0.455,656,1791,2981,4005,300,325,293,382
0.465,653,1653,2985,3871,257,313,286,424
0.475,645,1621,2970,3820,194,277,309,406
0.485,648,1558,2940,3847,170,300,313,402
0.495,625,1510,2899,3837,176,302,290,401
