sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,574,1457,2345,3482,265,292,382,443
0.015,570,1496,2385,3462,302,266,374,434
0.025,566,1529,2467,3457,286,269,370,426
0.035,617,1456,2427,3520,270,328,319,409
0.045,635,1467,2509,3591,272,319,308,413
0.055,612,1561,2530,3634,270,300,315,417
0.065,629,1559,2463,3613,269,316,319,450
0.075,674,1546,2416,3612,259,372,314,444
0.085,800,1470,2409,3597,262,352,306,425
0.095,799,1490,2523,3662,212,319,321,428
0.105,763,1555,2507,3818,195,343,307,433
0.115,855,1488,2455,3870,226,339,298,424
0.125,903,1416,2487,3872,247,326,324,458
0.135,822,1396,2581,3894,264,305,338,436
0.145,706,1366,2637,3961,230,287,343,442
0.155,602,1426,2689,3960,213,307,350,429
0.165,653,1456,2654,3958,172,318,342,413
0.175,695,1474,2687,4033,190,313,354,434
0.185,673,1539,2655,4040,205,307,323,415
0.195,654,1538,2488,4050,219,315,316,408
0.205,617,1479,2397,4215,244,325,257,468
0.215,577,1429,2367,4346,217,346,255,445
0.225,550,1327,2390,4450,239,335,246,475
0.235,536,1305,2376,4397,231,337,281,442
0.245,530,1289,2344,4413,250,324,264,452
0.255,527,1276,2401,4498,253,324,262,453
0.265,524,1406,2483,4449,257,310,299,444
0.275,519,1609,2507,4271,229,343,360,461
0.285,516,1677,2542,4148,280,341,275,446
0.295,515,1803,2604,4166,284,371,289,432
0.305,516,1905,2764,4152,259,393,247,415
0.315,517,2015,2811,4214,219,373,256,417
0.325,518,2143,2883,4235,178,355,311,411
0.335,515,2242,2904,4200,183,349,264,392
0.345,509,2281,2918,4256,195,340,289,393
0.355,510,2304,2910,4323,194,315,307,393
0.365,526,2304,2876,4353,183,305,297,400
0.375,542,2294,2850,4372,181,313,308,388
0.385,552,2255,2828,4362,187,314,297,380
0.395,553,2196,2862,4353,193,298,323,353
0.405,542,2108,2888,4307,181,276,307,334
0.415,524,2034,2975,4328,175,278,303,341
0.425,504,1856,3069,4343,180,299,306,357
0.435,489,1755,3127,4283,194,306,286,377
0.445,485,1648,3151,4185,207,287,270,364
0.455,489,1549,3178,4159,233,307,261,350
0.465,495,1436,3199,4121,237,319,256,362
0.475,501,1483,3222,4097,241,312,277,371
0.485,511,1486,3247,4135,236,312,276,384
0.495,531,1567,3261,4163,241,305,277,379
0.505,539,1699,3262,4203,237,303,279,383
0.515,537,1858,3226,4208,204,297,296,379
0.525,558,2020,3179,4187,185,331,303,384
0.535,591,2170,3138,4149,198,332,296,390
0.545,609,2297,3100,4064,210,369,255,389
0.555,628,2391,3033,3982,220,400,223,390
0.565,639,2444,2983,3958,206,423,235,383
0.575,637,2449,2941,3982,199,397,232,359
0.585,644,2459,2880,3988,184,370,271,363
0.595,669,2433,2870,3977,181,335,281,383
0.605,684,2378,2879,3983,188,311,290,394
0.615,682,2320,2875,4024,195,313,306,399
0.625,729,2258,2870,4077,196,302,300,392
0.635,715,2148,2878,4138,193,293,305,382
0.645,719,2059,2908,4148,177,285,309,372
0.655,734,1993,2918,4211,201,294,351,359
0.665,752,1916,2914,4289,219,316,379,378
0.675,768,1837,2919,4309,224,309,374,392
0.685,777,1766,2893,4210,208,281,383,368
0.695,781,1676,2831,4130,199,262,377,371
0.705,782,1629,2777,4077,215,256,350,405
0.715,774,1582,2766,3998,240,274,338,427
0.725,763,1559,2709,3884,250,241,346,431
0.735,758,1521,2522,3749,234,264,377,428
0.745,755,1483,2402,3684,260,277,374,387
0.755,746,1456,2271,3686,237,270,394,375
0.765,729,1433,2194,3647,231,266,392,379
0.775,716,1418,2154,3685,228,259,368,395
0.785,713,1417,2132,3723,229,267,347,385
0.795,715,1420,2120,3716,233,289,323,387
0.805,712,1420,2110,3691,219,306,310,387
0.815,702,1420,2105,3710,212,309,298,384
0.825,694,1419,2106,3704,204,312,319,394
0.835,695,1417,2104,3713,196,303,298,398
0.845,697,1426,2105,3713,193,326,309,385
0.855,696,1444,2112,3701,188,308,298,383
0.865,691,1455,2124,3704,190,325,295,382
0.875,685,1469,2137,3664,210,308,303,396
0.885,684,1497,2146,3662,196,309,291,400
0.895,686,1531,2155,3672,209,300,302,407
0.905,691,1556,2176,3726,204,306,293,406
0.915,698,1561,2208,3776,218,302,331,396
0.925,704,1554,2235,3835,206,297,309,399
0.935,706,1588,2253,3896,211,291,306,406
0.945,705,1615,2305,3909,215,290,309,417
0.955,704,1615,2429,3864,214,292,310,428
0.965,713,1662,2526,3869,227,315,309,431
0.975,740,1693,2619,3896,208,331,300,433
0.985,761,1736,2804,3936,210,350,321,434
0.995,761,1789,2877,4017,214,369,298,454
1.005,780,1796,2920,4131,193,374,288,487
1.015,807,1835,2984,4247,199,366,308,478
1.025,813,1908,3025,4416,221,349,316,466
1.035,803,1936,3045,4544,205,347,354,448
1.045,787,1963,3064,4543,210,355,349,433
1.055,760,2009,3076,4465,196,338,368,453
1.065,722,2031,3056,4476,239,338,364,439
1.075,681,2067,3021,4440,247,342,370,418
1.085,644,2104,2973,4373,253,354,369,422
1.095,603,2130,2905,4368,269,344,361,402
1.105,549,2142,2873,4378,276,392,352,378
1.115,492,2141,2866,4438,220,392,341,388
1.125,473,2126,2842,4500,214,354,350,409
1.135,467,2098,2796,4468,203,316,349,429
1.145,436,2064,2768,4493,204,289,333,418
1.155,413,2033,2755,4438,192,301,303,398
1.165,409,1980,2754,4377,183,295,309,384
1.175,413,1969,2753,4413,233,346,293,373
1.185,414,1950,2751,4440,204,341,350,393
1.195,414,1931,2757,4410,205,299,359,413
1.205,416,1927,2780,4502,185,320,285,390
1.215,423,1928,2816,4559,205,303,318,383
1.225,435,1908,2850,4640,167,274,293,382
1.235,452,1876,2858,4618,180,293,300,376
1.245,473,1849,2899,4593,173,302,289,373
1.255,497,1834,2876,4515,201,304,268,430
1.265,485,1835,2810,4488,261,371,346,447
1.275,524,1855,2745,4466,326,377,360,463
1.285,522,1882,2675,4450,308,354,338,456
1.295,582,1909,2629,4388,323,344,340,448
1.305,614,1935,2597,4328,279,341,347,478
1.315,637,1950,2599,4344,256,360,330,479
1.325,667,1959,2577,4273,253,365,328,480
1.335,716,1964,2525,4437,272,348,340,456
1.345,766,1962,2529,4533,249,356,376,413
1.355,805,1957,2526,4512,215,355,363,390
1.365,831,1956,2534,4503,218,328,321,379
1.375,845,1946,2567,4462,208,324,336,364
1.385,856,1892,2594,4365,200,297,367,403
1.395,870,1826,2597,4337,201,303,383,390
1.405,896,1785,2623,4388,183,298,374,389
1.415,910,1718,2662,4395,168,300,380,392
1.425,896,1653,2701,4364,172,304,352,392
1.435,887,1620,2735,4335,173,317,326,385
1.445,881,1617,2765,4347,175,307,331,365
1.455,886,1617,2792,4329,174,304,316,362
1.465,877,1617,2817,4346,172,294,322,362
1.475,867,1619,2839,4318,174,295,301,376
1.485,868,1625,2847,4310,178,292,295,382
1.495,859,1634,2842,4308,178,303,308,392
1.505,854,1646,2821,4350,158,303,337,398
1.515,841,1659,2792,4377,146,301,364,404
1.525,800,1674,2763,4421,139,272,390,402
1.535,753,1690,2742,4458,153,283,380,405
1.545,692,1711,2730,4516,161,280,365,380
