sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,643,1425,2373,3525,240,308,349,343
0.015,654,1447,2490,3495,232,347,323,385
0.025,613,1455,2490,3560,194,335,341,391
0.035,645,1541,2512,3668,181,347,337,425
0.045,758,1447,2474,3748,246,318,338,457
0.055,813,1402,2474,3780,269,304,358,468
0.065,850,1441,2381,3763,251,287,348,464
0.075,740,1568,2293,3653,203,356,307,470
0.085,832,1481,2373,3528,238,353,328,470
0.095,753,1510,2359,3510,242,334,356,448
0.105,785,1480,2335,3491,208,337,326,446
0.115,803,1415,2322,3547,239,311,329,439
0.125,576,1493,2322,3532,243,289,376,452
0.135,489,1348,2317,3491,192,311,354,454
0.145,550,1190,2409,3673,154,381,324,406
0.155,387,1000,2435,3694,149,380,294,411
0.165,399,885,2406,3607,180,323,271,400
0.175,422,864,2443,3555,213,287,265,418
0.185,438,865,2438,3578,221,312,279,397
0.195,438,878,2445,3528,212,299,303,433
0.205,435,891,2445,3633,208,308,319,412
0.215,435,897,2425,3537,215,282,325,405
0.225,438,906,2404,3458,219,286,317,415
0.235,442,921,2405,3442,218,288,314,399
0.245,445,941,2419,3594,207,304,309,415
0.255,446,970,2433,3620,219,305,308,405
0.265,446,1011,2466,3589,184,278,335,434
0.275,446,1041,2505,3693,201,308,345,458
0.285,438,1076,2524,3742,211,315,352,444
0.295,415,1170,2530,3752,198,355,346,418
0.305,379,1230,2528,3745,215,349,350,451
0.315,340,1288,2469,3772,214,355,370,453
0.325,309,1395,2410,3778,240,295,350,459
0.335,289,1466,2403,3769,260,327,358,442
0.345,279,1649,2409,3838,203,321,321,412
0.355,277,1849,2424,3891,206,361,282,398
0.365,280,2039,2421,3878,205,340,303,413
0.375,283,2180,2527,3979,199,316,263,396
0.385,284,2254,2586,3934,196,290,274,404
0.395,277,2273,2761,3784,193,318,314,416
0.405,270,2251,2896,3810,204,309,344,408
0.415,283,2202,2949,3838,230,318,386,424
0.425,323,2171,2980,3896,236,353,351,447
0.435,372,2174,2984,3914,255,366,340,458
0.445,412,2169,2973,3958,298,367,359,466
0.455,443,2174,2956,4036,314,367,380,461
0.465,468,2165,2922,4127,207,372,349,470
0.475,488,2067,2900,4094,187,335,323,454
0.485,504,2004,2823,3996,151,338,311,442
0.495,519,1941,2754,3977,186,361,318,482
0.505,535,1862,2705,3913,160,321,299,485
0.515,554,1793,2608,3911,185,286,324,467
0.525,577,1757,2557,3762,158,285,336,444
0.535,604,1699,2503,3678,189,305,322,447
0.545,635,1670,2452,3661,195,307,292,444
0.555,662,1615,2418,3666,180,303,269,453
0.565,683,1508,2393,3565,147,300,266,453
0.575,699,1464,2344,3556,150,294,287,453
0.585,707,1438,2296,3593,163,314,271,457
0.595,691,1422,2305,3609,170,291,317,433
0.605,698,1420,2341,3647,179,317,306,428
0.615,710,1420,2376,3564,180,307,314,411
0.625,719,1419,2398,3585,182,303,308,438
0.635,668,1429,2441,3622,171,320,309,438
0.645,683,1455,2480,3664,173,301,316,423
0.655,681,1488,2537,3693,163,315,308,414
0.665,661,1532,2539,3748,158,294,305,409
0.675,623,1582,2579,3822,155,281,316,418
0.685,608,1623,2634,3942,154,285,323,419
0.695,602,1673,2663,4050,144,279,317,414
0.705,572,1699,2693,4076,132,277,311,412
0.715,533,1728,2711,4110,156,277,307,471
0.725,503,1794,2730,4108,193,262,302,482
0.735,480,1847,2767,3961,190,282,287,456
0.745,445,1878,2791,3954,194,286,305,450
0.755,401,1925,2771,4027,213,296,332,463
0.765,364,1932,2737,4036,222,315,362,470
0.775,345,1937,2688,4061,238,336,399,476
0.785,348,1948,2622,4046,263,350,370,483
0.795,371,1957,2573,4060,316,356,362,471
0.805,402,1934,2569,4011,320,366,354,479
0.815,424,1861,2571,4042,293,360,349,483
0.825,427,1786,2563,3999,339,332,320,465
0.835,426,1738,2586,3942,301,332,355,479
0.845,422,1716,2659,3958,262,355,348,461
0.855,391,1708,2709,3945,276,334,364,451
0.865,349,1758,2751,3829,268,323,341,445
0.875,334,1823,2757,3792,281,309,342,429
0.885,340,1861,2777,3759,298,332,336,444
0.895,340,1972,2803,3644,287,360,317,417
0.905,340,2048,2800,3634,218,324,299,423
0.915,347,2046,2805,3621,196,316,291,386
0.925,360,2019,2793,3702,180,306,308,388
0.935,407,1992,2750,3742,185,292,322,385
0.945,476,1955,2729,3769,173,280,309,375
0.955,519,1920,2724,3820,193,298,297,390
0.965,551,1847,2722,3876,242,393,228,473
0.975,568,1781,2715,3938,230,405,279,446
0.985,572,1844,2713,4083,210,417,284,451
0.995,571,1859,2722,4156,213,365,291,483
1.005,572,1871,2737,4190,246,372,339,428
1.015,572,1914,2720,4148,248,369,311,421
1.025,562,1912,2672,4163,229,369,324,450
1.035,528,1879,2659,4084,170,348,313,428
1.045,480,1839,2637,3958,189,320,317,445
1.055,443,1741,2565,3921,195,294,312,433
1.065,419,1673,2518,3776,194,295,309,406
1.075,402,1652,2491,3722,207,302,317,401
1.085,388,1697,2440,3672,216,317,304,393
1.095,377,1825,2369,3629,213,317,321,385
1.105,371,1867,2356,3625,196,327,324,391
1.115,369,1902,2367,3571,195,313,327,416
1.125,368,1938,2393,3496,201,304,342,412
1.135,369,1979,2433,3497,199,299,362,395
