sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,560,1444,2533,3568,244,283,362,446
0.015,609,1498,2458,3662,269,302,343,456
0.025,658,1469,2401,3643,299,314,338,443
0.035,707,1468,2370,3659,278,319,307,404
0.045,656,1521,2404,3677,269,338,321,403
0.055,638,1474,2466,3663,278,320,335,417
0.065,713,1468,2460,3618,269,331,288,442
0.075,741,1595,2472,3573,252,341,299,396
0.085,834,1657,2515,3552,286,363,302,389
0.095,855,1744,2568,3572,256,398,301,377
0.105,844,1889,2636,3624,236,409,299,347
0.115,735,1976,2700,3603,250,400,319,328
0.125,531,2032,2810,3569,255,360,325,368
0.135,302,2253,3069,3701,221,350,336,380
0.145,307,2244,3139,3791,193,376,318,402
0.155,309,2238,3095,3764,171,388,333,384
0.165,305,2251,3140,3721,172,389,335,392
0.175,304,2293,3240,3709,175,379,337,374
0.185,320,2336,3321,3691,167,361,346,379
0.195,327,2354,3212,3733,182,364,361,374
0.205,367,2345,3155,3718,173,337,329,377
0.215,336,2292,2966,3763,184,319,307,369
0.225,350,2191,2798,3744,190,304,310,375
0.235,376,2085,2702,3803,197,299,314,400
0.245,394,1961,2590,3821,222,340,318,422
0.255,441,1814,2536,3837,231,330,327,447
0.265,501,1743,2495,3845,284,332,335,445
0.275,537,1726,2470,3831,255,305,360,453
0.285,571,1720,2464,3837,254,351,327,445
0.295,604,1725,2466,3827,223,325,343,470
0.305,622,1757,2473,3708,176,306,329,421
0.315,620,1819,2512,3623,190,299,343,408
0.325,614,1853,2561,3577,215,305,327,402
0.335,590,1850,2602,3705,246,314,231,468
0.345,553,1809,2673,3808,249,321,243,471
0.355,520,1741,2773,3922,261,305,204,473
0.365,499,1704,2788,4024,265,295,242,445
0.375,498,1702,2790,3915,228,290,246,427
0.385,514,1688,2775,3791,223,286,254,448
0.395,538,1667,2752,3843,211,286,255,462
0.405,563,1609,2697,4016,260,327,259,478
0.415,587,1548,2620,3969,213,300,290,430
0.425,609,1502,2629,3869,193,339,332,419
0.435,633,1432,2631,3806,190,297,316,408
0.445,661,1354,2627,3828,175,299,284,415
0.455,694,1337,2677,3835,171,333,267,458
0.465,727,1332,2700,3823,170,313,294,474
0.475,738,1300,2718,3818,166,306,297,468
0.485,740,1274,2736,3759,172,313,316,460
0.495,758,1293,2731,3709,175,314,315,455
0.505,776,1317,2731,3681,186,312,306,428
0.515,771,1364,2725,3646,184,320,298,434
0.525,763,1413,2696,3697,182,310,299,427
