sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,619,1511,2466,3711,243,328,326,425
0.015,709,1512,2458,3747,279,322,331,446
0.025,794,1523,2501,3720,275,304,317,423
0.035,830,1592,2488,3720,259,329,315,421
0.045,846,1624,2631,3742,255,282,355,428
0.055,848,1713,2650,3801,252,316,349,455
0.065,820,1742,2634,3849,265,299,365,445
0.075,818,1768,2632,3837,250,337,380,441
0.085,852,1790,2641,3853,213,338,370,447
0.095,807,1824,2622,3843,225,330,375,446
0.105,695,1904,2699,3740,233,319,380,474
0.115,694,1997,2679,3778,208,323,343,457
0.125,613,1974,2713,3766,201,314,305,492
0.135,560,1974,2720,3738,196,302,276,487
0.145,450,1939,2749,3750,252,294,304,485
0.155,518,1932,2641,3797,200,266,327,441
0.165,485,1972,2679,3652,193,290,325,457
0.175,517,1988,2677,3577,194,258,336,449
0.185,512,1930,2709,3570,193,274,336,415
0.195,507,1893,2702,3629,185,270,316,400
0.205,445,1860,2664,3609,184,295,321,379
0.215,357,1815,2622,3645,231,382,288,343
0.225,356,1764,2572,3738,249,396,300,354
0.235,365,1732,2538,3830,225,415,308,355
0.245,358,1727,2526,3716,198,415,305,401
0.255,340,1728,2527,3833,185,401,336,413
0.265,317,1727,2520,3988,194,368,360,447
0.275,303,1727,2550,4033,201,361,364,459
0.285,304,1726,2657,4008,213,357,352,469
0.295,304,1728,2766,3958,303,326,356,451
0.305,316,1732,2834,3962,309,309,371,430
0.315,362,1744,2913,4016,270,341,341,435
0.325,382,1765,2958,3980,227,367,327,451
0.335,384,1799,2936,3926,223,373,335,446
0.345,381,1843,2854,3833,249,377,328,458
0.355,380,1889,2775,3775,255,329,350,461
0.365,382,1932,2725,3688,277,314,346,429
0.375,383,1964,2641,3586,280,280,355,436
0.385,384,1982,2568,3512,250,251,357,412
0.395,382,1984,2531,3497,218,260,366,374
0.405,347,1980,2509,3559,226,277,343,366
0.415,314,1978,2464,3624,213,278,318,339
0.425,367,2015,2427,3671,212,289,297,357
0.435,280,1971,2414,3786,223,307,310,416
0.445,251,1986,2391,3802,207,312,302,423
0.455,250,2027,2363,3815,187,344,317,430
0.465,251,2069,2378,3905,218,328,338,450
0.475,250,2109,2440,3973,231,358,370,476
0.485,248,2149,2520,4007,246,347,361,473
0.495,239,2186,2587,3937,296,364,327,474
0.505,220,2219,2739,3838,281,371,364,460
0.515,204,2246,2981,3876,298,418,364,462
0.525,203,2263,2995,3965,285,412,365,449
0.535,225,2264,2982,3987,261,370,317,461
0.545,261,2228,2936,3953,264,371,306,465
0.555,299,2140,2864,3844,226,334,304,470
0.565,337,2036,2780,3750,200,282,314,489
0.575,376,1964,2694,3679,215,232,327,441
0.585,405,1968,2628,3712,193,212,342,422
0.595,414,1883,2606,3772,204,226,354,416
0.605,414,1840,2578,3801,205,231,362,412
0.615,414,1824,2530,3810,202,233,356,411
0.625,414,1851,2517,3825,206,258,344,404
0.635,414,1883,2543,3774,211,265,351,399
0.645,414,1905,2583,3808,208,282,345,388
0.655,414,1929,2611,3802,209,276,311,380
0.665,414,1964,2626,3925,219,307,332,423
0.675,415,2000,2698,3962,286,315,376,475
0.685,415,2020,2724,4066,330,332,343,494
