sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,631,1548,2417,3611,230,303,363,433
0.015,635,1613,2500,3651,223,292,336,457
0.025,604,1628,2462,3647,237,287,340,444
0.035,517,1517,2440,3636,271,336,326,465
0.045,459,1538,2451,3626,260,306,340,430
0.055,477,1503,2485,3682,287,322,324,439
0.065,588,1484,2386,3641,311,329,316,437
0.075,675,1523,2425,3677,284,325,322,453
0.085,704,1593,2505,3691,289,300,330,441
0.095,694,1650,2513,3695,255,348,315,463
0.105,731,1624,2532,3675,295,335,338,466
0.115,833,1612,2531,3723,303,349,315,455
0.125,890,1711,2547,3740,295,320,331,460
0.135,836,1745,2578,3770,260,320,363,457
0.145,823,1942,2557,3774,277,351,364,478
0.155,637,1785,2522,3746,291,314,359,483
0.165,469,1814,2483,3668,262,328,346,438
0.175,369,1841,2447,3664,223,291,352,404
0.185,313,1975,2420,3803,232,296,332,424
0.195,271,2049,2408,3819,207,281,320,439
0.205,286,2044,2410,3819,188,327,341,459
0.215,280,2105,2417,3755,194,362,363,466
0.225,276,2063,2419,3751,219,380,377,469
0.235,278,2037,2407,3720,252,356,360,452
0.245,285,2020,2452,3685,330,341,306,449
0.255,292,2009,2512,3706,327,298,287,444
0.265,295,1998,2599,3747,312,325,262,445
0.275,294,1981,2695,3767,266,365,292,434
0.285,293,1957,2757,3766,212,388,324,453
0.295,298,1935,2753,3751,240,392,326,451
0.305,311,1923,2769,3751,223,386,306,448
0.315,333,1917,2771,3712,204,383,307,430
0.325,363,1911,2742,3715,250,395,311,447
0.335,393,1901,2682,3626,216,336,304,426
0.345,414,1881,2626,3554,190,298,319,421
0.355,424,1846,2569,3470,206,256,354,418
0.365,434,1886,2524,3498,185,286,350,394
0.375,471,1853,2480,3471,201,272,361,386
0.385,504,1765,2431,3510,176,276,338,382
0.395,527,1659,2397,3574,194,311,320,381
0.405,567,1574,2337,3515,208,308,310,411
0.415,582,1483,2306,3519,242,276,317,413
0.425,618,1425,2310,3572,284,278,325,411
0.435,667,1348,2301,3584,312,265,329,439
0.445,694,1241,2299,3539,303,328,302,443
0.455,701,1186,2304,3594,301,324,328,415
0.465,690,1147,2323,3635,287,288,353,410
0.475,663,1069,2359,3655,253,333,351,415
0.485,627,936,2397,3614,209,357,366,412
0.495,586,884,2425,3615,196,359,357,416
0.505,546,844,2460,3664,115,354,323,418
0.515,516,829,2506,3684,124,349,311,437
0.525,503,832,2561,3669,192,307,276,467
0.535,470,840,2617,3569,217,328,259,455
0.545,427,859,2679,3532,237,341,257,445
0.555,421,899,2734,3574,245,314,260,397
0.565,424,947,2754,3637,251,313,239,393
0.575,403,976,2755,3692,239,318,255,407
0.585,371,1023,2754,3753,261,299,258,385
0.595,384,1086,2756,3791,262,291,269,366
0.605,418,1129,2756,3829,253,285,325,347
0.615,447,1164,2735,3775,211,280,345,327
0.625,498,1204,2701,3775,199,287,350,319
0.635,553,1254,2672,3771,181,290,353,318
0.645,585,1299,2654,3809,173,285,338,343
0.655,596,1326,2634,3850,170,287,313,331
0.665,598,1352,2609,3845,166,293,322,335
0.675,598,1383,2585,3920,162,293,307,344
0.685,595,1395,2568,3938,164,294,306,370
0.695,586,1405,2558,3954,203,311,300,397
0.705,572,1422,2588,3995,220,391,330,465
0.715,553,1440,2595,3977,219,346,342,474
0.725,539,1438,2596,3956,245,328,293,457
0.735,535,1436,2592,3953,264,310,309,447
0.745,538,1437,2575,3981,255,298,331,455
0.755,539,1436,2544,3947,247,325,350,455
0.765,533,1421,2512,3935,248,335,354,464
0.775,529,1394,2479,3894,220,307,336,437
0.785,535,1376,2448,3799,190,296,337,421
0.795,481,1366,2411,3745,187,304,358,417
0.805,401,1353,2384,3728,222,304,344,430
0.815,356,1335,2374,3735,188,362,377,430
0.825,327,1322,2348,3715,197,353,381,447
0.835,313,1316,2336,3723,228,317,377,457
0.845,312,1296,2358,3752,286,324,321,464
0.855,311,1258,2378,3730,296,318,312,471
0.865,311,1218,2389,3782,301,303,316,474
0.875,319,1188,2418,3859,259,339,362,491
0.885,331,1135,2452,3902,253,318,407,465
0.895,343,1047,2469,3999,285,310,388,448
0.905,356,1015,2488,4074,245,311,387,425
0.915,368,989,2514,4132,244,306,386,397
0.925,372,920,2540,4238,226,322,340,407
0.935,371,896,2562,4261,237,302,366,411
0.945,372,903,2574,4263,219,340,320,415
0.955,366,893,2578,4307,184,357,341,431
0.965,363,893,2579,4198,116,363,311,448
0.975,382,943,2579,4048,160,321,305,463
0.985,409,1011,2577,3969,218,282,285,450
0.995,438,1065,2570,3862,218,277,297,437
1.005,480,1109,2554,3802,222,282,291,415
1.015,518,1161,2511,3820,225,271,296,406
1.025,556,1217,2507,3786,221,268,295,400
1.035,612,1279,2485,3773,225,270,305,405
1.045,642,1309,2457,3752,222,272,309,388
1.055,649,1326,2433,3731,222,276,304,367
1.065,648,1326,2420,3734,214,275,303,341
1.075,651,1316,2419,3695,217,276,306,343
1.085,653,1301,2419,3669,220,275,304,361
1.095,640,1278,2420,3612,224,291,306,370
1.105,606,1222,2427,3560,225,302,309,387
1.115,554,1161,2444,3504,225,302,305,396
1.125,507,1090,2474,3499,220,329,310,397
1.135,474,1031,2504,3540,215,323,305,380
1.145,448,1009,2522,3508,225,316,315,399
1.155,430,983,2537,3501,232,314,315,418
1.165,427,979,2548,3565,228,306,295,397
1.175,429,985,2547,3548,231,314,302,407
1.185,427,988,2545,3549,223,324,296,392
1.195,431,986,2546,3592,218,320,303,404
1.205,451,980,2541,3594,224,303,298,402
1.215,473,983,2515,3605,209,302,301,409
1.225,485,1014,2457,3592,224,305,310,422
1.235,488,1055,2411,3550,218,304,332,423
1.245,489,1084,2380,3497,225,295,351,431
1.255,488,1100,2305,3401,235,299,365,410
1.265,488,1096,2230,3361,232,299,335,411
1.275,489,1084,2177,3349,211,312,315,394
1.285,486,1068,2136,3336,233,293,302,412
1.295,477,1020,2080,3357,235,304,296,417
1.305,471,1010,2021,3347,242,301,314,416
1.315,472,1025,1955,3377,231,298,310,422
1.325,469,1055,1892,3342,233,308,317,434
1.335,459,1111,1889,3308,227,296,320,442
1.345,451,1178,1914,3347,220,280,342,466
1.355,447,1240,2030,3609,197,269,402,480
1.365,442,1299,2122,3782,169,273,424,399
1.375,429,1412,2401,3792,209,316,316,373
1.385,405,1460,2509,3780,247,301,310,345
1.395,376,1458,2615,3740,256,300,318,356
1.405,368,1445,2640,3696,261,308,317,387
1.415,351,1445,2659,3762,234,325,325,418
1.425,340,1446,2635,3759,234,321,351,433
