sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,463,1505,2481,3692,266,316,345,438
0.015,435,1536,2491,3766,279,294,312,466
0.025,493,1545,2501,3825,269,306,300,468
0.035,558,1532,2519,3855,295,293,316,477
0.045,637,1512,2516,3875,307,312,319,478
0.055,649,1460,2557,3876,323,302,343,468
0.065,646,1569,2497,3913,279,311,336,474
0.075,685,1558,2419,3825,280,304,317,475
0.085,690,1584,2359,3698,309,296,305,466
0.095,672,1607,2378,3666,326,298,330,441
0.105,710,1661,2430,3633,310,298,341,423
0.115,784,1648,2478,3642,315,330,323,401
0.125,791,1743,2546,3676,270,330,353,412
0.135,861,1827,2494,3792,272,369,359,432
0.145,981,1856,2538,3856,275,360,351,425
0.155,990,1901,2530,3881,241,346,395,422
0.165,995,1929,2511,3948,240,336,391,430
0.175,1008,1887,2543,4050,246,325,371,437
0.185,1017,1917,2509,4177,243,308,400,445
0.195,996,1914,2590,4243,238,308,388,439
0.205,1014,1818,2709,4217,243,298,355,418
0.215,1046,1859,2733,4253,251,346,317,403
0.225,998,1953,2730,4289,229,319,350,413
0.235,1028,1902,2771,4250,251,303,352,421
0.245,1051,1830,2718,4167,284,341,330,431
0.255,1079,1869,2609,4160,253,308,323,427
0.265,1031,1911,2601,4122,280,259,363,428
0.275,1068,1927,2643,4136,268,307,365,445
0.285,1047,1912,2654,4057,249,303,339,427
0.295,1029,1899,2659,3974,240,317,373,437
0.305,1016,1922,2655,4021,237,324,349,420
0.315,1051,1908,2742,4144,236,283,391,458
0.325,1069,1990,2747,4238,223,319,375,458
0.335,1067,1896,2761,4196,242,323,324,432
0.345,1014,1962,2740,4163,215,335,364,399
0.355,1022,1940,2781,4121,231,327,360,418
0.365,1054,1910,2885,4051,232,324,331,435
0.375,963,1910,2971,4072,218,315,356,416
0.385,1010,1870,2915,4018,253,318,335,434
0.395,972,2002,2791,3988,257,335,354,414
0.405,979,1979,2856,4014,251,295,386,413
0.415,992,1969,2893,3987,257,304,358,421
0.425,941,1977,2851,4012,261,287,368,432
0.435,820,1885,2844,4048,261,301,352,432
0.445,968,1934,2722,4077,285,300,342,379
0.455,1047,1936,2623,4209,273,306,360,409
0.465,1031,1913,2575,4142,252,298,365,441
0.475,1030,1898,2616,4076,254,332,381,459
0.485,1026,1891,2597,4005,272,282,404,456
0.495,1011,1916,2652,3945,232,263,411,456
0.505,980,1929,2731,3972,223,262,386,463
0.515,978,1946,2804,3899,255,260,399,478
0.525,1004,1952,2914,3826,263,284,402,496
0.535,1010,1975,3007,3898,250,285,395,489
0.545,997,1855,3006,3895,261,307,352,478
0.555,986,1863,2804,3862,267,334,362,450
0.565,1029,1881,2738,3826,239,343,341,461
0.575,995,1949,2726,3777,265,303,346,460
0.585,1029,1845,2822,3934,257,274,364,463
0.595,1030,1885,2777,3872,279,283,391,437
0.605,952,1846,2825,3913,261,292,367,429
0.615,964,1858,2822,3842,273,315,375,428
0.625,1024,1912,2829,3795,261,313,400,437
0.635,1046,1985,2761,3809,256,312,394,426
0.645,1114,1973,2779,3851,243,285,398,425
0.655,1080,1893,2853,3949,236,300,390,422
0.665,1084,1843,2903,4030,279,276,385,449
0.675,1073,1775,2858,4064,253,285,372,421
0.685,968,1840,2809,4074,274,270,391,401
0.695,858,1793,2695,4096,272,275,390,375
0.705,756,1747,2587,4115,272,278,366,372
0.715,688,1693,2504,4088,273,281,320,389
0.725,713,1600,2478,4072,274,274,348,416
0.735,681,1659,2485,4036,286,253,366,437
0.745,689,1619,2511,4008,310,228,384,486
0.755,661,1548,2510,3903,295,256,349,454
0.765,677,1622,2424,3784,278,298,368,466
0.775,678,1669,2407,3726,256,270,334,431
0.785,669,1641,2409,3679,233,249,327,398
0.795,686,1632,2434,3659,234,278,327,382
0.805,716,1638,2537,3688,264,254,353,427
0.815,686,1585,2587,3708,287,254,352,396
0.825,711,1634,2580,3708,284,289,361,366
0.835,712,1558,2604,3742,280,279,337,378
0.845,699,1631,2573,3717,276,271,348,371
0.855,755,1605,2539,3659,291,244,373,382
0.865,702,1627,2535,3684,268,252,370,407
0.875,624,1525,2599,3680,263,271,354,380
0.885,579,1596,2647,3681,233,304,332,373
0.895,627,1610,2571,3705,233,289,335,395
0.905,665,1520,2561,3776,284,284,320,391
0.915,672,1530,2686,3807,324,266,338,431
0.925,712,1517,2716,3799,355,246,287,422
0.935,791,1532,2620,3727,352,296,295,397
0.945,814,1623,2592,3703,278,325,335,386
0.955,866,1569,2598,3748,265,312,356,406
0.965,892,1600,2568,3767,273,321,344,419
0.975,867,1615,2544,3761,252,334,329,394
0.985,925,1547,2551,3753,257,333,346,385
0.995,868,1453,2555,3766,226,335,352,383
1.005,856,1425,2434,3741,219,348,358,436
1.015,853,1356,2392,3652,219,325,334,424
1.025,691,1431,2415,3652,208,298,363,439
1.035,665,1462,2447,3657,225,324,353,428
1.045,719,1461,2447,3716,225,335,331,444
1.055,669,1429,2503,3641,255,307,330,406
1.065,619,1493,2465,3583,218,325,357,419
1.075,567,1448,2564,3605,215,314,334,415
1.085,489,1320,2595,3611,234,318,340,466
1.095,433,822,2791,3526,151,353,360,446
1.105,434,822,2783,3434,152,357,342,421
1.115,435,860,2752,3444,193,314,321,415
1.125,444,919,2699,3417,195,275,315,403
1.135,454,996,2649,3398,200,268,303,377
1.145,500,1113,2619,3357,210,285,311,344
1.155,528,1229,2572,3294,232,300,302,358
1.165,531,1307,2498,3253,223,289,282,424
1.175,531,1365,2450,3279,232,285,276,443
1.185,551,1433,2449,3297,209,290,255,462
1.195,561,1520,2533,3320,225,287,281,451
1.205,436,1578,2641,3294,200,287,307,408
1.215,456,1617,2681,3333,198,293,304,420
1.225,441,1615,2690,3361,185,285,312,423
1.235,510,1633,2675,3334,195,280,313,426
1.245,582,1645,2626,3339,190,282,317,420
1.255,599,1613,2612,3316,213,288,336,411
1.265,622,1553,2440,3261,212,294,363,389
1.275,650,1484,2377,3248,231,294,374,345
1.285,617,1401,2294,3220,271,281,399,349
1.295,554,1311,2215,3212,286,283,363,354
1.305,514,1226,2100,3153,285,288,352,386
1.315,466,1193,2017,3263,296,286,324,381
1.325,454,1187,1954,3251,313,304,307,407
1.335,493,1203,1916,3255,286,282,305,411
1.345,515,1251,1923,3200,285,302,295,399
1.355,509,1310,1982,3185,264,300,299,361
1.365,495,1348,2041,3190,256,304,297,316
1.375,464,1364,2145,3246,226,318,310,305
1.385,439,1375,2269,3285,218,299,325,343
1.395,420,1422,2367,3331,213,275,337,375
1.405,406,1459,2478,3375,188,297,308,405
1.415,428,1461,2556,3375,194,255,288,424
1.425,465,1467,2649,3466,215,302,285,447
1.435,489,1439,2611,3509,227,288,297,480
1.445,487,1405,2616,3602,209,301,313,467
1.455,497,1420,2618,3660,201,281,321,470
1.465,502,1461,2664,3532,207,271,295,443
1.475,495,1519,2655,3430,182,268,305,419
1.485,514,1573,2658,3391,198,276,327,407
1.495,524,1596,2637,3357,197,280,338,404
1.505,530,1598,2574,3337,191,279,339,387
1.515,530,1602,2475,3352,202,279,354,349
1.525,528,1562,2368,3333,197,288,347,350
1.535,527,1520,2311,3319,206,287,326,353
1.545,528,1465,2255,3350,215,306,301,348
1.555,533,1441,2202,3353,210,316,296,343
1.565,540,1406,2167,3443,218,310,286,364
1.575,540,1359,2120,3531,253,265,327,415
1.585,540,1325,2088,3614,285,280,345,437
1.595,540,1321,2103,3635,281,321,327,432
1.605,540,1291,2162,3650,266,345,297,414
1.615,540,1259,2224,3690,263,316,330,422
1.625,540,1242,2296,3782,281,289,321,419
1.635,540,1226,2373,3822,280,326,340,438
1.645,540,1195,2428,3859,244,311,383,432
1.655,541,1167,2455,3941,239,348,377,441
1.665,540,1159,2486,3966,236,345,348,430
1.675,536,1161,2521,3958,248,321,332,435
1.685,530,1155,2544,3977,246,314,359,425
1.695,529,1144,2552,3957,249,317,341,435
1.705,535,1141,2533,3895,247,327,328,425
1.715,540,1142,2476,3784,245,330,340,455
1.725,538,1138,2409,3621,213,347,323,452
1.735,554,1126,2389,3416,135,364,341,422
1.745,579,1115,2374,3371,182,365,340,375
1.755,584,1113,2380,3412,207,340,330,334
1.765,607,1105,2436,3394,218,302,317,309
1.775,650,1078,2514,3434,234,313,318,294
1.785,677,1061,2556,3451,233,306,302,283
1.795,686,1054,2580,3482,234,320,289,292
1.805,686,1050,2604,3498,235,313,283,285
1.815,700,1043,2621,3529,232,304,286,299
1.825,729,1029,2633,3499,227,291,285,294
1.835,734,1011,2635,3528,214,297,291,292
1.845,735,995,2628,3565,195,302,299,291
1.855,732,984,2619,3595,233,299,306,286
1.865,721,979,2616,3594,220,300,298,311
1.875,703,972,2627,3610,207,302,308,313
1.885,686,961,2655,3638,202,300,309,319
1.895,676,954,2686,3720,204,297,322,318
1.905,651,954,2718,3720,224,324,350,317
1.915,612,962,2750,3726,211,301,371,359
1.925,574,975,2760,3682,191,296,348,345
1.935,542,987,2764,3694,225,313,397,386
1.945,516,994,2739,3702,239,328,381,404
1.955,490,1043,2706,3845,272,317,374,444
1.965,463,1091,2677,4082,244,303,380,437
1.975,442,1180,2656,4219,300,290,360,429
1.985,433,1260,2660,4201,307,297,383,373
1.995,432,1296,2680,4178,288,309,362,355
2.005,435,1346,2703,4141,278,326,382,376
2.015,440,1404,2738,4121,276,309,374,376
2.025,443,1405,2782,4133,303,267,400,378
2.035,444,1401,2813,4212,284,302,368,408
2.045,442,1406,2830,4237,262,330,369,426
2.055,446,1345,2838,4243,260,292,378,424
2.065,467,1297,2840,4264,239,342,325,395
2.075,485,1287,2838,4256,273,320,323,410
2.085,482,1316,2818,4247,236,292,349,411
2.095,481,1355,2747,4184,203,285,307,401
2.105,482,1407,2662,4059,195,288,299,377
2.115,482,1459,2624,4024,184,280,322,383
2.125,482,1523,2626,3987,175,254,332,406
2.135,483,1592,2596,3966,187,243,365,437
2.145,479,1657,2539,3922,205,253,378,470
2.155,452,1705,2482,3916,212,283,371,505
2.165,469,1725,2438,3892,214,277,397,528
2.175,467,1716,2395,3849,220,259,415,540
2.185,479,1693,2344,3820,229,261,449,543
2.195,506,1652,2313,3830,210,243,440,542
2.205,499,1629,2270,3900,211,265,397,531
2.215,511,1606,2199,4045,248,297,341,509
2.225,539,1578,2190,4237,276,315,345,460
2.235,577,1553,2186,4404,303,352,338,437
2.245,617,1537,2194,4473,297,336,340,438
2.255,655,1521,2227,4472,265,346,353,425
2.265,703,1467,2269,4427,259,338,368,402
2.275,733,1431,2294,4342,217,338,371,409
2.285,736,1420,2297,4263,216,316,346,427
2.295,734,1395,2295,4271,219,285,349,450
2.305,735,1372,2276,4085,191,277,332,479
2.315,727,1377,2227,3964,177,283,329,432
2.325,718,1368,2191,3978,185,291,364,444
2.335,699,1333,2130,3942,202,301,361,464
2.345,681,1316,2119,3895,226,298,392,465
2.355,677,1323,2128,3812,240,307,387,457
2.365,673,1341,2186,3805,203,294,424,464
2.375,664,1362,2249,3893,209,289,407,481
2.385,655,1391,2343,4071,186,286,386,457
2.395,646,1425,2422,4168,143,276,412,453
2.405,635,1463,2514,4034,131,290,332,455
2.415,615,1499,2607,4000,170,275,345,444
2.425,588,1583,2651,4153,199,274,324,441
2.435,560,1632,2714,4295,152,249,316,456
2.445,521,1660,2778,4417,184,293,319,448
2.455,479,1710,2787,4391,215,312,317,421
2.465,466,1788,2764,4408,204,303,305,433
2.475,461,1811,2727,4398,214,316,296,433
2.485,448,1864,2672,4290,205,318,304,397
