sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,515,1515,2507,3637,240,289,357,482
0.015,530,1514,2462,3604,261,321,340,443
0.025,581,1550,2479,3592,282,312,326,435
0.035,598,1569,2537,3698,266,306,339,421
0.045,534,1543,2509,3766,292,306,334,422
0.055,445,1506,2510,3750,297,287,295,400
0.065,480,1496,2501,3715,265,333,299,413
0.075,498,1427,2487,3651,304,316,295,430
0.085,500,1432,2445,3614,306,299,315,447
0.095,573,1436,2435,3555,271,355,276,428
0.105,645,1400,2368,3424,276,344,269,398
0.115,690,1418,2311,3477,295,306,339,384
0.125,667,1488,2492,3522,269,289,346,415
0.135,686,1514,2590,3535,250,307,341,434
0.145,675,1590,2577,3605,286,311,371,435
0.155,699,1556,2631,3749,231,366,356,442
0.165,583,1614,2719,3915,218,324,317,439
0.175,464,1730,2799,3954,191,275,295,399
0.185,452,1704,2845,3939,183,245,293,383
0.195,461,1700,2872,4015,178,261,296,379
0.205,442,1697,2871,4086,186,274,310,395
0.215,470,1756,2912,4065,215,295,365,439
0.225,418,1682,2858,4162,267,299,345,415
0.235,466,1621,2759,4246,299,322,346,418
0.245,472,1586,2654,4282,259,318,381,424
0.255,533,1522,2603,4345,260,332,327,429
0.265,543,1490,2557,4397,273,314,330,431
0.275,576,1489,2494,4421,258,352,339,450
0.285,635,1510,2422,4321,279,321,307,486
0.295,664,1489,2392,4260,305,341,315,517
0.305,743,1428,2388,4235,303,330,315,481
0.315,676,1469,2384,4259,257,329,332,433
0.325,613,1424,2362,4358,249,342,317,440
0.335,441,1242,2463,4426,224,327,357,425
0.345,428,1100,2575,4500,213,298,390,418
0.355,418,1034,2721,4442,214,298,384,430
0.365,485,1051,2829,4314,207,274,332,447
0.375,472,1159,2775,4141,210,306,312,423
0.385,475,1368,2750,4066,221,325,314,407
0.395,407,1640,2805,4026,199,343,318,399
0.405,397,1889,2911,3950,199,318,332,394
0.415,376,2056,3041,3915,188,311,316,387
0.425,397,2159,3148,3911,197,312,317,366
0.435,402,2229,3118,3952,197,309,326,367
0.445,429,2238,2951,3924,200,308,340,371
0.455,447,2136,2773,3863,205,306,336,375
0.465,530,1971,2647,3883,223,325,327,395
0.475,571,1848,2586,3831,271,330,352,391
0.485,668,1762,2591,3753,312,369,352,402
0.495,733,1686,2653,3723,298,367,381,382
0.505,845,1633,2741,3744,321,350,352,404
0.515,864,1619,2815,3762,261,362,387,375
0.525,890,1638,2848,3939,235,376,365,391
0.535,940,1678,2852,3998,239,353,389,406
0.545,912,1726,2844,4045,259,307,369,449
0.555,931,1772,2840,4083,220,376,360,472
0.565,932,1816,2845,4081,226,373,381,474
0.575,846,1855,2861,4142,254,326,403,467
