sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,651,1561,2507,3687,227,289,361,437
0.015,680,1633,2510,3756,225,286,367,443
0.025,773,1677,2519,3751,216,330,342,446
0.035,801,1687,2532,3693,223,306,340,444
0.045,811,1721,2575,3756,184,314,335,421
0.055,800,1671,2625,3819,194,293,359,434
0.065,806,1672,2617,3809,251,316,356,440
0.075,870,1630,2598,3753,282,308,364,448
0.085,921,1681,2558,3745,269,340,341,434
0.095,941,1692,2531,3747,242,344,316,424
0.105,1010,1753,2551,3711,264,306,316,421
0.115,980,1661,2522,3745,224,304,340,412
0.125,985,1665,2513,3749,228,336,341,440
0.135,984,1744,2502,3786,238,338,339,436
0.145,978,1748,2591,3777,236,310,343,434
0.155,1016,1802,2688,3775,243,329,348,431
0.165,956,1900,2411,3787,241,308,342,431
0.175,949,1884,2390,3786,281,285,393,414
0.185,1013,1795,2338,3873,273,319,348,399
0.195,1066,1824,2264,3985,249,314,334,438
0.205,1064,1788,2176,3990,226,290,357,454
0.215,978,1584,2083,3969,232,284,370,472
0.225,908,1509,1993,3954,245,290,405,450
0.235,760,1452,1915,3881,264,281,451,493
0.245,664,1407,1852,3749,248,257,472,509
0.255,571,1363,1808,3617,251,234,452,481
0.265,506,1315,1785,3487,258,262,435,415
0.275,491,1258,1787,3371,243,286,410,410
0.285,484,1207,1814,3298,188,346,336,397
0.295,414,1180,1863,3252,207,319,315,398
0.305,431,1180,1931,3240,204,308,323,408
0.315,529,1202,2013,3290,188,321,341,423
0.325,548,1241,2106,3359,206,316,313,406
0.335,631,1289,2205,3372,248,278,341,390
0.345,636,1341,2308,3360,232,292,337,403
0.355,604,1388,2406,3559,257,320,351,362
0.365,567,1424,2487,3635,278,366,353,340
0.375,557,1450,2541,3674,308,374,291,354
0.385,574,1469,2562,3737,307,399,277,403
0.395,569,1484,2555,3689,332,405,298,405
0.405,540,1499,2527,3732,305,407,288,428
0.415,521,1517,2485,3675,313,390,298,422
0.425,580,1537,2436,3544,299,405,302,427
0.435,561,1558,2391,3488,263,371,297,410
0.445,540,1575,2353,3515,206,331,319,406
0.455,538,1587,2322,3515,183,300,320,380
0.465,567,1590,2297,3432,184,289,340,390
0.475,613,1589,2278,3419,199,288,343,370
0.485,649,1588,2265,3380,203,288,362,384
0.495,711,1590,2257,3349,210,287,370,373
0.505,738,1592,2253,3381,224,296,360,352
0.515,715,1590,2253,3392,215,298,345,355
0.525,711,1579,2256,3371,212,297,345,364
0.535,706,1559,2262,3418,206,308,335,372
0.545,719,1529,2271,3442,209,302,343,379
0.555,707,1487,2281,3460,207,312,336,367
0.565,688,1439,2292,3438,206,315,345,359
0.575,732,1395,2304,3432,203,306,354,381
0.585,726,1363,2316,3403,198,324,350,379
0.595,725,1338,2326,3431,186,304,356,381
0.605,693,1313,2336,3462,189,325,354,413
0.615,653,1283,2343,3369,172,343,368,492
0.625,651,1246,2350,3338,189,327,304,495
0.635,544,1206,2357,3294,184,359,326,433
0.645,505,1163,2363,3391,184,306,346,424
0.655,500,1127,2371,3438,206,315,331,390
0.665,548,1107,2379,3639,224,324,309,405
0.675,598,1114,2387,3722,242,349,328,428
0.685,638,1153,2394,3684,247,351,326,434
0.695,650,1194,2397,3590,230,337,318,404
0.705,574,1197,2394,3620,237,337,343,393
0.715,551,1122,2383,3589,233,309,352,407
0.725,563,1013,2364,3597,241,361,345,407
0.735,536,1027,2338,3608,238,312,330,392
0.745,532,1134,2311,3630,212,284,325,398
0.755,514,1200,2293,3673,203,264,317,379
0.765,520,1205,2292,3662,221,266,289,372
0.775,539,1183,2312,3660,218,292,269,362
0.785,553,1167,2343,3669,200,294,277,357
0.795,556,1191,2368,3697,214,310,286,345
0.805,542,1274,2370,3741,182,321,292,351
0.815,541,1373,2353,3771,187,299,291,355
0.825,514,1455,2333,3845,206,291,282,408
0.835,472,1517,2326,3909,229,321,257,463
0.845,360,1573,2334,3874,253,317,281,496
0.855,455,1634,2356,3809,302,348,283,498
0.865,523,1704,2388,3841,267,370,276,442
0.875,503,1782,2428,3908,296,377,283,431
0.885,402,1865,2470,3874,279,383,298,436
0.895,363,1948,2512,3858,268,386,288,432
0.905,316,2026,2549,3820,216,354,309,432
0.915,332,2095,2581,3735,210,326,324,446
0.925,334,2150,2607,3662,201,337,329,433
0.935,351,2185,2628,3651,204,341,317,380
0.945,366,2200,2643,3652,211,324,329,360
0.955,376,2197,2653,3639,207,302,344,354
0.965,389,2180,2659,3603,197,309,329,345
0.975,427,2152,2659,3605,210,317,325,346
0.985,427,2116,2655,3625,192,305,321,348
0.995,457,2076,2644,3623,210,294,339,349
1.005,480,2036,2629,3640,205,281,327,353
1.015,513,1998,2609,3672,198,271,339,344
1.025,551,1963,2586,3686,191,276,347,344
1.035,539,1928,2560,3725,168,264,331,335
1.045,559,1891,2534,3780,174,278,319,344
1.055,552,1848,2511,3789,195,306,366,414
1.065,533,1798,2493,3843,204,306,317,403
1.075,517,1739,2484,3757,244,366,407,408
1.085,346,1673,2487,3801,274,334,411,443
1.095,360,1606,2649,3820,250,319,393,448
1.105,443,1545,2579,3812,262,360,371,468
