sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,520,1532,2529,3644,234,293,373,432
0.015,484,1543,2447,3710,243,305,359,401
0.025,491,1525,2424,3745,262,290,321,399
0.035,535,1576,2445,3779,229,294,351,406
0.045,572,1585,2357,3754,226,328,316,408
0.055,618,1630,2293,3686,238,336,286,414
0.065,677,1665,2302,3679,268,318,316,443
0.075,682,1683,2287,3671,272,283,350,421
0.085,768,1735,2374,3668,294,333,312,461
0.095,856,1829,2452,3709,299,344,290,449
0.105,950,1801,2572,3805,274,345,309,432
0.115,989,1833,2661,3841,241,363,332,460
0.125,1006,1856,2696,3876,232,375,349,466
0.135,967,1922,2582,3849,238,317,350,481
0.145,892,1906,2471,3814,219,304,336,481
0.155,883,1812,2496,3736,248,324,341,477
0.165,811,1699,2457,3708,266,287,357,442
0.175,672,1693,2330,3646,268,264,377,434
0.185,508,1542,2267,3661,239,294,388,438
0.195,512,1621,2065,3651,157,239,415,386
0.205,538,1481,1898,3573,181,270,387,353
0.215,541,1479,1770,3637,209,296,346,354
0.225,565,1440,1658,3571,214,306,340,332
0.235,579,1375,1634,3548,202,298,325,354
0.245,568,1329,1638,3539,216,329,330,340
0.255,567,1303,1653,3557,201,316,330,333
0.265,567,1298,1647,3493,212,309,325,338
0.275,550,1316,1647,3516,205,306,319,347
0.285,553,1357,1717,3500,219,298,317,358
0.295,506,1421,1743,3514,193,277,314,342
0.305,498,1505,1832,3483,207,275,317,351
0.315,487,1587,1881,3510,194,262,314,358
0.325,493,1645,1963,3478,206,257,315,353
0.335,485,1668,2049,3527,190,244,301,338
0.345,503,1653,2162,3521,201,261,319,343
0.355,513,1627,2178,3530,193,248,300,342
0.365,522,1638,2143,3525,191,268,289,358
0.375,556,1681,2103,3457,200,271,319,357
0.385,493,1678,2100,3478,194,254,279,366
0.395,476,1563,2087,3471,193,309,280,357
0.405,463,1400,2018,3441,177,333,296,371
0.415,453,1276,1925,3443,173,344,285,360
0.425,448,1126,1843,3444,200,336,261,400
0.435,445,956,1785,3438,217,311,296,411
0.445,447,874,1748,3383,232,310,281,399
0.455,451,825,1732,3366,220,307,305,413
0.465,457,764,1733,3373,203,325,312,386
0.475,454,726,1751,3358,228,307,298,411
0.485,433,746,1783,3357,216,296,296,400
0.495,412,810,1830,3357,224,298,292,403
0.505,417,879,1891,3393,224,298,282,390
0.515,445,961,1966,3490,223,301,330,379
0.525,483,1095,2053,3561,219,301,328,394
0.535,522,1230,2134,3726,205,328,331,408
0.545,547,1283,2197,4009,228,306,354,409
0.555,525,1272,2298,4125,257,297,368,413
0.565,446,1243,2328,4264,262,356,349,410
0.575,386,1220,2486,4279,279,335,366,410
0.585,351,1209,2456,4281,266,313,370,403
0.595,330,1209,2406,4310,257,319,367,385
0.605,316,1217,2396,4361,288,328,316,395
0.615,306,1231,2364,4390,295,324,313,382
0.625,300,1248,2462,4310,259,308,325,408
0.635,297,1266,2475,4199,220,320,375,393
0.645,295,1283,2454,4113,235,345,347,411
0.655,294,1297,2449,4086,209,360,329,426
0.665,293,1308,2469,4020,248,345,323,398
0.675,291,1314,2471,3977,265,341,311,384
0.685,286,1315,2457,3931,273,302,347,421
0.695,274,1309,2390,3827,250,362,337,451
0.705,253,1296,2499,3700,277,300,340,482
0.715,224,1273,2559,3609,312,347,330,464
0.725,197,1237,2457,3566,295,388,364,429
0.735,181,1188,2355,3617,292,351,319,449
0.745,188,1124,2219,3488,257,342,339,457
0.755,230,1054,2147,3411,218,321,349,435
0.765,298,986,2072,3331,173,335,339,413
0.775,346,928,2068,3272,186,329,302,404
0.785,358,886,2138,3240,198,315,332,408
0.795,358,861,2159,3180,211,299,326,408
0.805,371,848,2176,3198,218,314,339,406
0.815,418,843,2146,3133,207,300,324,382
0.825,486,842,2166,3157,229,321,336,368
0.835,553,847,2172,3183,226,310,333,347
0.845,597,860,2168,3181,218,322,332,354
0.855,616,882,2153,3212,208,293,316,349
0.865,615,915,2181,3237,210,305,317,357
0.875,602,957,2205,3250,208,291,324,351
0.885,583,1005,2194,3260,217,302,312,351
0.895,564,1055,2177,3296,207,286,313,355
0.905,549,1098,2167,3305,208,294,330,369
0.915,539,1125,2163,3355,220,293,321,366
0.925,532,1132,2175,3413,208,288,322,375
0.935,529,1127,2174,3438,234,285,328,397
0.945,527,1116,2152,3440,228,294,311,382
0.955,527,1106,2160,3481,214,309,296,405
0.965,528,1106,2162,3505,195,322,349,395
0.975,529,1123,2266,3591,205,344,336,423
0.985,663,1171,2446,3674,233,328,325,431
0.995,758,1282,2544,3663,292,324,308,409
1.005,821,1484,2537,3786,245,331,321,445
1.015,854,1699,2507,3775,229,352,323,433
1.025,888,1738,2496,3758,237,345,347,443
1.035,957,1806,2536,3743,246,363,331,469
1.045,945,1817,2522,3706,259,341,355,458
1.055,919,1746,2588,3697,248,304,371,433
1.065,980,1702,2632,3750,242,340,345,426
1.075,902,1727,2593,3833,208,331,340,442
1.085,896,1787,2600,3801,229,301,346,449
1.095,954,1855,2560,3805,222,332,377,457
1.105,1012,1777,2586,3775,247,306,358,446
1.115,1035,1774,2569,3824,206,331,360,454
1.125,908,1851,2557,3847,229,307,396,462
