sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,535,1399,2454,3626,273,297,312,411
0.015,613,1437,2466,3681,254,360,280,437
0.025,639,1477,2486,3758,278,326,293,452
0.035,659,1471,2432,3705,291,342,310,456
0.045,617,1493,2397,3715,280,329,320,446
0.055,432,1528,2385,3703,282,339,309,458
0.065,245,1594,2421,3727,232,319,293,450
0.075,277,1565,2527,3769,218,299,300,429
0.085,256,1618,2533,3814,210,313,301,442
0.095,238,1619,2487,3835,199,355,288,442
0.105,227,1594,2527,3824,197,354,282,414
0.115,247,1599,2620,3830,198,310,305,428
0.125,269,1608,2527,3900,197,346,324,456
0.135,302,1602,2501,3788,201,337,312,440
0.145,464,1888,2497,3797,247,359,295,447
0.155,469,1874,2582,3793,263,363,308,466
0.165,392,1852,2607,3804,253,332,341,457
0.175,385,1826,2619,3746,218,311,340,443
0.185,357,1796,2611,3631,208,301,331,427
0.195,371,1769,2575,3640,211,287,344,417
0.205,394,1753,2518,3564,214,275,369,412
0.215,386,1750,2470,3574,202,226,357,397
0.225,387,1750,2424,3593,220,250,352,404
0.235,365,1747,2396,3611,219,246,337,396
0.245,353,1751,2393,3644,238,271,332,390
0.255,330,1769,2392,3668,246,249,317,400
0.265,324,1801,2398,3679,239,267,305,408
0.275,335,1845,2417,3686,223,294,327,406
0.285,310,1895,2445,3748,216,312,368,410
0.295,268,1943,2497,3779,212,280,369,408
0.305,260,1981,2577,3795,220,280,388,395
0.315,278,2005,2618,3836,225,293,378,393
0.325,272,2016,2769,3869,222,298,335,389
0.335,260,2023,2807,3933,220,261,318,386
0.345,274,2022,2749,3961,225,258,324,398
0.355,287,1995,2681,3933,234,211,372,435
0.365,303,1937,2618,3942,239,189,399,432
0.375,301,1883,2548,3988,236,186,382,455
0.385,298,1834,2430,3984,230,209,342,489
0.395,309,1743,2346,3958,229,289,328,502
0.405,306,1604,2309,3923,226,381,339,513
0.415,299,1490,2291,3922,221,343,337,530
0.425,300,1383,2286,3881,218,344,349,548
0.435,297,1319,2290,3874,213,350,345,550
0.445,299,1288,2298,3821,209,332,345,543
0.455,312,1273,2313,3713,209,304,351,512
0.465,317,1302,2332,3618,217,295,366,464
0.475,315,1398,2356,3516,216,320,396,421
0.485,337,1533,2383,3480,223,310,380,419
0.495,374,1682,2409,3426,258,332,342,402
0.505,406,1817,2438,3562,247,347,324,426
0.515,430,1926,2480,3552,207,334,329,432
0.525,444,2004,2534,3651,233,359,316,452
0.535,450,2049,2592,3722,197,327,301,440
0.545,449,2057,2642,3730,192,326,344,438
0.555,438,2129,2678,3725,223,308,328,433
0.565,427,2125,2704,3726,259,330,282,466
0.575,403,2124,2729,3623,238,302,295,482
0.585,374,2127,2762,3588,194,289,266,452
0.595,368,2126,2781,3546,208,256,315,455
0.605,369,2114,2775,3504,206,281,312,437
0.615,368,2099,2756,3462,226,282,308,408
0.625,370,2078,2737,3401,215,292,316,402
0.635,375,2047,2694,3380,205,285,325,414
0.645,379,2016,2617,3327,202,277,343,395
0.655,379,1997,2535,3294,229,282,340,398
0.665,378,1983,2434,3280,212,295,365,407
0.675,377,1961,2412,3260,181,293,311,410
0.685,378,1919,2361,3252,203,280,317,414
0.695,378,1890,2315,3241,180,261,294,413
0.705,386,1867,2276,3250,210,274,332,417
0.715,409,1825,2250,3243,188,270,297,413
0.725,427,1800,2241,3298,219,289,303,418
0.735,431,1781,2255,3357,212,300,312,430
0.745,429,1744,2293,3399,196,283,318,426
0.755,429,1703,2345,3440,194,289,345,420
0.765,431,1664,2398,3498,183,314,351,419
0.775,435,1612,2449,3564,198,300,372,408
0.785,441,1547,2510,3642,206,307,336,422
0.795,450,1478,2568,3632,217,306,305,441
0.805,463,1421,2577,3573,251,310,295,441
0.815,479,1379,2500,3547,257,297,288,458
0.825,480,1339,2404,3579,245,306,315,466
0.835,450,1305,2408,3602,242,286,330,459
0.845,416,1296,2381,3536,265,326,317,446
0.855,398,1304,2394,3512,262,305,299,417
0.865,376,1315,2395,3515,254,304,298,409
0.875,373,1333,2396,3559,235,325,306,389
0.885,379,1367,2415,3591,235,303,324,398
0.895,380,1407,2446,3643,224,309,320,391
0.905,382,1434,2466,3664,223,311,326,383
0.915,391,1444,2472,3665,249,314,364,412
0.925,404,1463,2480,3691,249,303,358,432
0.935,433,1500,2532,3634,226,334,362,453
0.945,460,1543,2554,3572,248,312,345,460
0.955,490,1575,2560,3617,263,306,365,441
0.965,525,1593,2566,3730,290,314,355,423
0.975,558,1597,2583,3802,248,306,352,425
0.985,575,1602,2596,3820,274,334,355,441
0.995,578,1618,2595,3823,284,307,374,456
1.005,574,1631,2587,3823,231,364,357,476
1.015,563,1634,2578,3924,235,346,341,456
1.025,545,1648,2575,3977,252,332,350,472
1.035,519,1655,2579,3975,227,346,330,467
1.045,485,1615,2581,4102,257,362,315,479
1.055,453,1514,2563,4133,266,284,317,468
1.065,431,1431,2517,4154,238,362,316,453
1.075,420,1347,2449,4207,234,353,345,455
1.085,419,1231,2390,4242,195,354,376,483
1.095,426,1099,2317,4174,155,363,438,511
1.105,431,1061,2180,4136,173,338,417,462
1.115,433,1036,2165,4154,181,323,343,413
1.125,447,1041,2069,4172,217,300,280,417
1.135,483,1078,2074,4195,224,300,266,437
1.145,533,1121,2094,4212,223,308,274,443
1.155,574,1168,2144,4183,227,324,284,438
1.165,604,1242,2213,4154,233,333,280,446
1.175,621,1381,2265,4078,225,308,293,441
1.185,612,1442,2344,4017,225,306,319,441
1.195,586,1496,2410,3980,220,307,350,445
1.205,553,1569,2457,3930,214,285,359,448
1.215,516,1652,2500,3920,206,283,358,448
1.225,479,1730,2514,3904,197,276,364,459
1.235,448,1782,2499,3857,219,272,357,466
1.245,432,1829,2454,3790,207,270,351,463
1.255,428,1838,2368,3686,244,288,360,447
1.265,402,1831,2312,3582,249,306,335,439
1.275,376,1809,2266,3534,266,320,304,452
1.285,355,1771,2218,3483,250,300,294,479
1.295,340,1725,2180,3397,259,316,316,466
1.305,339,1681,2156,3335,231,276,291,435
1.315,359,1658,2137,3426,234,263,336,417
1.325,391,1607,2122,3354,239,258,315,422
1.335,419,1526,2122,3259,243,276,279,443
1.345,444,1520,2149,3263,235,281,288,433
1.355,470,1438,2181,3292,235,307,256,416
1.365,502,1409,2178,3309,249,294,273,400
1.375,539,1363,2218,3310,212,332,281,390
1.385,569,1307,2220,3350,201,320,293,394
1.395,596,1270,2214,3447,210,313,306,399
1.405,623,1248,2195,3489,227,305,323,401
1.415,636,1206,2157,3506,228,300,333,393
1.425,633,1180,2162,3522,216,297,340,400
1.435,619,1156,2158,3544,223,291,330,402
1.445,594,1133,2151,3621,228,273,325,396
1.455,557,1109,2160,3698,233,270,318,391
1.465,515,1090,2187,3870,232,269,317,406
1.475,483,1088,2165,3959,273,286,312,386
1.485,468,1110,2189,4058,254,294,330,398
1.495,410,1157,2224,3997,228,311,338,414
1.505,376,1205,2241,3951,275,314,365,435
1.515,352,1233,2263,3853,285,301,387,451
1.525,326,1272,2295,3723,297,304,362,462
1.535,305,1285,2318,3665,317,369,290,452
1.545,307,1227,2328,3733,321,345,291,445
1.555,306,1167,2295,3729,295,348,332,441
1.565,299,1120,2176,3800,267,307,357,444
1.575,300,1066,2024,3886,252,258,399,485
1.585,318,1031,1908,4014,267,251,434,528
1.595,358,1018,1690,4157,265,226,385,494
1.605,400,973,1606,4211,252,234,380,452
1.615,443,973,1566,4224,254,235,369,450
1.625,505,1008,1562,4246,251,240,331,446
1.635,551,1069,1605,4256,229,257,320,442
1.645,581,1146,1690,4288,242,253,339,466
1.655,612,1244,1792,4257,234,249,328,499
1.665,651,1363,1897,4270,226,237,326,503
1.675,684,1454,1992,4319,216,209,341,511
1.685,686,1514,2127,4348,197,229,339,500
1.695,652,1628,2242,4447,204,271,343,500
1.705,628,1682,2289,4507,217,296,351,488
1.715,618,1795,2370,4498,229,295,358,502
1.725,606,1917,2444,4428,240,274,336,502
1.735,609,2001,2514,4456,279,288,335,501
1.745,618,2059,2564,4561,309,290,347,477
1.755,599,2094,2569,4574,303,304,380,455
1.765,586,2073,2542,4549,279,296,400,484
1.775,576,1987,2542,4478,228,266,402,481
1.785,555,1920,2541,4439,191,280,384,508
1.795,565,1870,2542,4423,177,269,388,520
1.805,553,1860,2541,4456,161,272,372,510
1.815,551,1871,2538,4471,192,288,377,503
