sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,525,1511,2568,3704,246,311,358,444
0.015,539,1471,2637,3632,278,298,348,446
0.025,589,1503,2629,3666,282,313,357,467
0.035,616,1575,2632,3653,307,312,365,472
0.045,657,1536,2558,3641,331,330,354,448
0.055,668,1561,2532,3656,302,329,381,441
0.065,699,1497,2576,3717,274,343,323,454
0.075,723,1495,2623,3732,278,322,313,451
0.085,785,1575,2619,3740,307,305,364,439
0.095,838,1637,2589,3781,273,327,353,441
0.105,896,1658,2611,3807,266,338,340,451
0.115,912,1651,2643,3762,264,332,341,443
0.125,996,1563,2646,3687,265,329,351,436
0.135,960,1548,2640,3539,246,305,387,413
0.145,868,1417,2539,3445,211,326,419,432
0.155,766,1286,2344,3476,255,309,365,409
0.165,373,1318,2318,3469,300,297,334,433
0.175,384,1313,2493,3398,316,322,314,399
0.185,425,1294,2463,3440,288,303,303,401
0.195,461,1280,2448,3478,216,331,279,372
0.205,472,1280,2442,3567,224,297,289,409
0.215,469,1284,2440,3535,212,309,281,397
0.225,461,1295,2438,3619,226,300,296,397
0.235,464,1330,2432,3691,208,314,294,383
0.245,488,1391,2425,3695,208,310,288,369
0.255,472,1442,2420,3663,217,288,288,366
0.265,482,1482,2419,3670,205,318,305,361
0.275,487,1541,2421,3644,220,337,318,357
0.285,465,1637,2424,3718,202,306,336,354
0.295,466,1743,2429,3694,212,303,345,357
0.305,427,1825,2439,3735,221,291,327,381
0.315,446,1874,2457,3780,228,292,334,412
0.325,425,1897,2486,3740,266,345,291,405
0.335,423,1908,2528,3710,330,351,288,382
0.345,437,1914,2557,3702,363,383,296,398
0.355,438,1923,2581,3798,366,351,300,399
0.365,437,1939,2619,3791,344,345,311,362
0.375,433,1958,2662,3867,359,342,315,381
0.385,424,1970,2695,3947,372,308,324,392
0.395,412,1964,2686,3914,364,327,314,406
0.405,397,1925,2618,3814,329,320,316,414
0.415,381,1854,2559,3889,291,336,297,427
0.425,368,1799,2532,3772,272,326,299,415
0.435,361,1790,2515,3746,235,295,293,402
0.445,358,1731,2502,3705,195,251,275,376
0.455,357,1575,2494,3600,213,307,312,405
0.465,357,1535,2490,3685,233,269,293,410
0.475,357,1453,2485,3729,220,323,335,419
0.485,360,1275,2476,3721,217,316,341,419
0.495,363,1179,2478,3768,231,321,339,435
0.505,365,1051,2520,3771,261,330,313,449
0.515,367,980,2598,3675,240,316,303,454
0.525,367,920,2659,3525,191,358,332,407
0.535,366,874,2687,3515,191,368,352,370
0.545,366,848,2715,3613,182,353,366,317
0.555,366,840,2753,3667,198,321,420,327
0.565,368,836,2787,3692,207,286,420,358
0.575,375,846,2804,3738,213,344,421,363
0.585,388,910,2800,3758,217,292,407,370
0.595,405,1022,2788,3782,250,298,352,360
0.605,424,1101,2777,3832,209,321,323,392
0.615,443,1202,2762,3888,210,321,343,424
0.625,461,1327,2735,3900,207,301,314,460
0.635,474,1393,2699,3859,198,271,303,457
0.645,484,1441,2668,3981,183,285,320,462
0.655,490,1486,2655,3967,189,285,319,467
0.665,494,1520,2652,3956,196,285,330,472
0.675,495,1530,2653,3921,199,289,332,488
0.685,492,1514,2656,3888,212,299,342,497
0.695,485,1469,2667,3876,270,309,390,535
0.705,476,1405,2687,3870,277,365,373,551
0.715,470,1381,2703,3830,266,343,359,498
0.725,467,1354,2692,3730,262,281,332,505
0.735,465,1352,2646,3577,277,316,319,493
0.745,462,1360,2588,3459,264,289,329,474
0.755,458,1394,2539,3399,249,320,333,413
0.765,455,1457,2506,3484,229,297,339,397
0.775,455,1512,2489,3618,210,299,335,377
0.785,456,1533,2484,3669,221,320,320,363
0.795,456,1524,2482,3704,246,313,311,347
0.805,450,1490,2473,3672,251,323,321,397
0.815,440,1454,2449,3688,204,312,323,420
0.825,427,1429,2400,3713,198,308,303,423
0.835,412,1405,2369,3739,234,325,285,445
0.845,399,1367,2348,3762,226,336,302,468
0.855,388,1315,2336,3759,214,347,287,451
0.865,383,1255,2332,3780,241,330,313,462
0.875,383,1200,2331,3763,235,295,335,496
0.885,385,1160,2332,3651,242,338,347,509
0.895,385,1121,2332,3572,263,303,332,479
0.905,384,1068,2332,3488,283,277,316,454
0.915,381,1010,2332,3409,280,267,299,424
0.925,382,971,2332,3366,236,276,280,413
0.935,395,950,2332,3368,221,292,301,392
0.945,419,942,2332,3423,223,334,362,397
0.955,439,941,2336,3322,223,313,355,439
0.965,447,944,2348,3352,266,290,345,406
0.975,464,937,2369,3401,213,294,353,406
0.985,493,972,2399,3432,231,305,337,395
0.995,515,989,2432,3448,234,299,338,403
1.005,522,985,2451,3455,223,290,325,384
1.015,525,1016,2450,3479,210,292,330,401
1.025,533,1023,2448,3490,234,305,349,377
1.035,547,1018,2447,3484,220,304,329,391
1.045,562,1063,2428,3499,211,304,333,373
1.055,573,1115,2381,3506,226,303,323,364
1.065,578,1123,2321,3531,209,320,313,362
1.075,579,1170,2277,3556,219,311,318,400
1.085,579,1211,2266,3578,216,309,325,410
1.095,578,1247,2282,3638,222,311,323,426
1.105,578,1282,2314,3708,243,305,273,407
1.115,580,1317,2345,3738,269,316,257,384
1.125,582,1356,2368,3724,250,339,254,343
1.135,581,1386,2394,3801,203,316,256,314
1.145,572,1396,2428,3745,207,312,267,321
1.155,554,1417,2465,3751,211,299,269,352
1.165,529,1442,2501,3761,227,322,284,355
1.175,503,1468,2529,3742,251,294,289,371
