sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,612,1426,2441,3646,248,294,365,441
0.015,603,1482,2390,3612,250,320,366,452
0.025,705,1444,2446,3627,289,292,335,463
0.035,742,1531,2438,3746,259,312,338,446
0.045,780,1610,2394,3817,236,334,328,452
0.055,790,1646,2378,3855,211,345,335,466
0.065,832,1645,2421,3838,226,339,340,493
0.075,920,1655,2419,3820,256,333,330,514
0.085,835,1718,2494,3776,244,326,349,495
0.095,783,1692,2584,3815,243,325,332,475
0.105,807,1671,2615,3885,277,311,346,461
0.115,901,1664,2584,3840,264,329,350,457
0.125,929,1682,2642,3923,266,350,342,425
0.135,919,1705,2569,3904,251,375,338,457
0.145,833,1687,2624,3976,255,358,348,442
0.155,896,1632,2640,3952,273,360,360,464
0.165,937,1641,2676,3910,249,362,388,481
0.175,923,1568,2763,3790,234,334,394,500
0.185,944,1513,2768,3723,240,390,410,473
0.195,792,1249,2782,3750,155,422,386,488
0.205,719,1219,2609,3761,141,396,375,470
0.215,497,1194,2568,3774,202,346,383,455
0.225,471,1154,2557,3690,225,307,334,466
0.235,464,1088,2563,3575,215,323,339,454
0.245,452,1030,2580,3542,211,323,311,465
0.255,429,999,2608,3530,215,324,332,451
0.265,410,961,2647,3579,203,314,327,449
0.275,412,921,2701,3614,207,301,290,461
0.285,408,900,2762,3607,209,307,311,459
0.295,420,861,2800,3588,197,292,261,461
0.305,447,824,2829,3610,195,319,292,430
0.315,448,809,2859,3643,192,348,323,398
0.325,445,805,2879,3654,208,376,346,391
0.335,447,807,2895,3677,204,358,360,366
0.345,444,816,2906,3660,210,361,391,382
0.355,430,845,2905,3703,241,364,417,355
0.365,413,895,2903,3649,210,294,391,359
0.375,404,951,2854,3672,227,287,368,365
0.385,416,1052,2793,3564,220,261,326,373
0.395,446,1193,2744,3552,212,294,325,382
0.405,457,1260,2668,3562,220,310,311,392
0.415,454,1505,2609,3621,211,308,330,380
0.425,455,1499,2574,3510,222,330,342,389
0.435,444,1434,2522,3505,242,284,337,378
0.445,429,1353,2487,3499,258,303,322,380
0.455,429,1315,2485,3513,254,319,313,395
0.465,424,1318,2485,3591,232,336,303,385
0.475,420,1314,2484,3574,245,354,320,380
0.485,420,1349,2494,3638,254,323,298,380
0.495,419,1389,2503,3650,229,341,322,364
0.505,420,1420,2502,3625,230,337,330,358
0.515,433,1465,2499,3583,215,317,345,388
0.525,457,1494,2464,3468,248,308,317,427
0.535,463,1443,2409,3305,245,323,330,406
0.545,460,1364,2354,3300,221,304,330,404
0.555,461,1330,2277,3316,213,292,353,426
0.565,467,1327,2242,3383,210,299,385,429
0.575,461,1327,2241,3489,200,271,363,434
0.585,437,1327,2216,3592,201,330,355,419
0.595,430,1326,2204,3640,225,307,329,446
0.605,428,1325,2210,3659,222,288,328,437
0.615,418,1329,2211,3732,221,300,315,439
0.625,410,1347,2209,3751,257,275,359,458
0.635,414,1391,2206,3675,270,313,331,471
0.645,426,1417,2204,3518,265,314,316,469
0.655,441,1428,2207,3451,242,281,358,410
0.665,456,1475,2215,3510,221,331,317,401
0.675,470,1515,2230,3536,190,296,319,420
0.685,482,1527,2249,3558,175,327,314,398
0.695,495,1529,2271,3558,191,301,333,396
0.705,509,1528,2299,3552,179,326,342,404
0.715,525,1528,2331,3641,207,307,306,394
0.725,540,1519,2365,3656,246,330,301,386
0.735,555,1493,2398,3710,236,269,359,422
0.745,568,1464,2430,3766,240,322,362,436
0.755,579,1438,2463,3828,247,339,378,426
0.765,592,1412,2489,3906,296,314,373,417
0.775,613,1385,2497,3934,318,319,368,433
0.785,642,1360,2491,4024,260,315,353,455
0.795,666,1346,2486,4197,279,304,358,460
0.805,675,1348,2488,4157,269,366,326,429
0.815,675,1364,2485,4099,270,355,311,435
0.825,672,1378,2462,4092,269,350,332,469
0.835,670,1377,2433,4031,289,317,343,454
0.845,671,1379,2412,4022,337,292,332,458
0.855,672,1386,2394,4011,321,302,341,468
0.865,672,1356,2351,4014,289,321,329,451
0.875,672,1308,2297,4099,257,315,319,462
0.885,672,1283,2267,4122,247,331,313,445
0.895,673,1188,2286,4063,258,331,299,441
0.905,668,1147,2315,4019,233,351,307,443
0.915,653,1069,2343,3998,194,381,289,436
0.925,632,995,2401,4040,187,377,357,468
0.935,618,961,2484,4082,222,376,348,445
0.945,615,949,2549,4183,210,375,302,416
0.955,611,924,2581,4148,185,360,318,407
0.965,605,924,2622,4097,107,399,375,422
0.975,606,930,2666,4125,126,383,377,421
0.985,604,949,2691,4122,181,324,347,434
0.995,588,987,2698,4121,209,274,337,454
1.005,568,1046,2690,4126,222,286,379,471
1.015,549,1121,2608,4020,219,277,370,477
1.025,537,1179,2538,3894,207,289,358,506
1.035,539,1233,2482,3798,210,318,346,498
1.045,529,1312,2443,3669,202,282,324,495
1.055,505,1411,2418,3522,200,315,332,464
1.065,487,1497,2419,3466,181,272,336,432
1.075,482,1588,2420,3507,204,307,338,420
1.085,469,1661,2395,3511,186,288,362,402
1.095,464,1697,2345,3511,204,263,361,407
1.105,453,1713,2280,3482,196,268,358,408
1.115,448,1718,2215,3401,194,265,365,411
1.125,452,1712,2161,3407,195,273,331,424
1.135,437,1696,2122,3331,186,239,350,429
1.145,426,1679,2085,3354,199,261,341,412
1.155,421,1667,2046,3356,202,264,338,423
1.165,419,1648,2013,3451,201,275,326,416
1.175,420,1609,1984,3480,205,284,300,414
1.185,421,1565,1961,3428,196,256,314,426
1.195,420,1544,1981,3338,195,272,298,453
1.205,417,1538,2044,3357,204,285,322,464
1.215,413,1518,2083,3400,188,289,324,440
1.225,411,1491,2112,3445,205,315,327,404
1.235,410,1472,2151,3492,226,309,294,404
1.245,411,1462,2203,3523,252,329,300,398
1.255,412,1461,2267,3584,264,334,299,397
1.265,412,1462,2309,3669,284,308,314,418
1.275,412,1461,2333,3796,255,282,307,444
1.285,412,1461,2363,3742,268,321,351,437
1.295,412,1461,2379,3631,269,292,351,415
1.305,412,1461,2377,3607,289,308,346,399
1.315,412,1461,2375,3658,272,337,346,386
1.325,412,1461,2376,3676,296,312,321,370
1.335,412,1462,2377,3658,290,314,311,427
1.345,412,1476,2377,3767,286,318,321,441
1.355,412,1504,2376,3768,321,293,333,407
1.365,411,1519,2376,3755,301,312,330,390
1.375,409,1525,2378,3780,260,292,324,395
1.385,406,1531,2376,3714,210,257,357,374
1.395,402,1541,2366,3707,185,267,338,351
1.405,396,1546,2343,3552,191,281,357,379
1.415,379,1522,2308,3492,216,340,328,419
1.425,351,1489,2264,3590,246,368,290,401
1.435,323,1483,2238,3638,200,346,266,433
1.445,308,1456,2245,3671,201,354,280,460
1.455,307,1463,2268,3649,230,351,261,451
1.465,312,1452,2302,3637,218,365,316,416
1.475,314,1459,2344,3702,197,392,323,396
1.485,313,1446,2402,3703,211,395,303,419
1.495,311,1501,2454,3606,272,350,302,446
1.505,310,1590,2467,3568,288,319,276,427
1.515,315,1656,2474,3560,323,328,255,403
1.525,329,1769,2476,3617,345,343,266,405
1.535,343,1761,2426,3659,338,339,252,412
1.545,356,1689,2330,3681,336,343,311,430
1.555,370,1558,2229,3723,295,315,311,422
1.565,391,1458,2131,3665,310,278,292,466
1.575,415,1371,2081,3577,277,291,283,481
1.585,432,1290,2077,3603,224,330,290,465
1.595,446,1161,2110,3570,232,294,294,476
1.605,480,1106,2164,3530,264,309,319,494
1.615,501,1076,2218,3478,247,308,328,491
1.625,505,1069,2244,3448,262,332,349,480
1.635,504,1111,2251,3430,275,326,353,460
1.645,504,1165,2247,3475,271,314,306,406
1.655,504,1218,2208,3439,263,302,315,398
1.665,495,1278,2159,3387,263,288,319,390
1.675,471,1332,2135,3349,256,282,324,415
1.685,428,1389,2133,3338,238,272,338,415
1.695,374,1500,2130,3352,224,287,376,437
1.705,331,1526,2118,3503,213,297,342,450
1.715,305,1557,2112,3500,248,259,356,442
