sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,617,1448,2533,3545,244,310,370,444
0.015,742,1436,2553,3563,254,308,409,425
0.025,818,1453,2558,3665,256,299,367,427
0.035,851,1518,2592,3720,218,323,395,458
0.045,848,1560,2606,3799,234,308,369,439
0.055,872,1579,2593,3900,226,296,346,443
0.065,882,1612,2570,3948,239,323,373,452
0.075,933,1565,2612,4022,224,322,402,488
0.085,914,1526,2674,4050,219,313,371,461
0.095,982,1524,2627,4015,249,319,356,445
0.105,901,1515,2598,4042,235,313,357,469
0.115,875,1479,2532,3975,253,321,384,473
0.125,817,1436,2471,3800,249,321,378,482
0.135,708,1313,2472,3701,227,307,364,494
0.145,708,1261,2382,3601,196,344,350,460
0.155,785,1184,2306,3559,195,308,331,437
0.165,793,1158,2313,3504,198,306,353,421
0.175,797,1204,2267,3443,199,317,356,416
0.185,789,1224,2242,3441,191,315,339,406
0.195,759,1268,2243,3477,197,311,331,395
0.205,726,1324,2252,3534,201,312,323,391
0.215,697,1387,2252,3596,198,311,325,399
0.225,683,1487,2252,3648,186,306,333,409
0.235,643,1579,2290,3710,174,285,347,426
0.245,594,1672,2371,3799,164,275,361,409
0.255,562,1667,2482,3875,176,296,346,399
0.265,511,1727,2592,3927,186,319,334,395
0.275,491,1771,2653,4039,187,337,349,410
0.285,455,1804,2716,4164,196,329,345,423
0.295,447,1828,2823,4221,215,351,327,410
0.305,429,1846,2849,4175,232,374,305,375
0.315,418,1860,2843,4223,306,392,328,379
0.325,412,1868,2786,4209,312,412,342,403
0.335,412,1870,2776,4217,306,363,349,397
0.345,414,1868,2784,4206,237,373,364,431
0.355,417,1869,2762,4084,236,361,350,402
0.365,420,1871,2700,3941,264,334,342,404
0.375,421,1871,2765,3866,274,336,342,411
0.385,419,1865,2755,3747,287,344,341,417
0.395,417,1852,2746,3827,285,324,346,436
0.405,419,1836,2738,3896,253,327,364,437
0.415,426,1821,2727,3948,190,341,374,436
0.425,437,1810,2713,4019,231,321,355,468
0.435,447,1799,2695,4024,270,305,347,475
0.445,454,1786,2674,4021,318,317,381,444
0.455,458,1768,2655,3967,283,309,354,434
0.465,462,1740,2639,3947,223,311,346,440
0.475,469,1704,2628,3872,214,341,343,439
0.485,479,1664,2622,3704,213,328,325,398
0.495,494,1632,2621,3722,206,310,308,364
0.505,514,1610,2624,3792,185,300,322,367
0.515,538,1595,2629,3780,186,305,330,401
0.525,564,1585,2627,3806,189,310,328,399
0.535,590,1576,2611,3842,179,303,324,403
0.545,616,1570,2584,3868,176,306,324,410
0.555,638,1567,2552,3895,174,305,329,422
0.565,657,1564,2525,3914,173,308,334,442
0.575,673,1556,2503,3923,155,308,339,432
0.585,684,1541,2486,3945,147,321,337,429
0.595,690,1521,2474,3953,161,322,342,428
0.605,694,1497,2466,3945,153,312,343,424
0.615,696,1475,2463,3923,153,311,331,411
0.625,697,1459,2462,3926,166,312,335,407
0.635,701,1453,2464,3960,161,317,345,420
0.645,709,1426,2466,3979,174,316,350,407
0.655,719,1374,2468,3999,167,317,363,400
0.665,729,1342,2469,4045,159,325,349,405
0.675,738,1328,2469,4093,164,339,343,402
0.685,743,1314,2466,4203,163,358,341,432
0.695,744,1287,2463,4224,218,304,332,423
0.705,743,1253,2460,4269,218,329,374,431
0.715,741,1226,2460,4291,260,325,334,386
0.725,739,1210,2465,4301,283,332,352,410
0.735,737,1198,2476,4369,280,345,352,388
0.745,736,1181,2493,4284,286,333,376,380
0.755,736,1156,2513,4216,285,342,350,400
0.765,737,1124,2534,4131,271,332,330,398
0.775,737,1088,2555,4066,290,319,331,435
0.785,738,1052,2576,3989,269,348,353,397
0.795,738,1024,2595,3907,267,308,373,416
0.805,737,1005,2614,3813,244,321,354,435
0.815,737,994,2630,3680,211,355,389,413
0.825,738,988,2641,3734,204,378,390,419
0.835,739,983,2645,3777,229,356,375,422
0.845,737,978,2640,3792,249,324,360,415
0.855,728,970,2623,3871,228,317,349,409
0.865,709,960,2599,3910,254,303,349,416
0.875,679,950,2574,3919,213,355,351,441
0.885,644,941,2551,3854,180,374,344,467
0.895,610,936,2530,3755,161,400,371,464
0.905,578,935,2509,3748,190,417,386,425
0.915,553,936,2486,3890,150,398,401,392
0.925,534,938,2460,3990,135,362,384,365
0.935,521,936,2433,3915,190,335,366,349
0.945,512,928,2408,3773,203,320,360,358
0.955,506,919,2388,3826,207,314,353,313
0.965,502,919,2371,3818,219,313,356,301
0.975,499,937,2353,3825,255,284,305,306
0.985,495,978,2331,3779,235,297,291,318
0.995,490,1035,2300,3773,216,301,287,336
1.005,484,1098,2265,3838,210,313,299,383
1.015,476,1160,2232,3922,199,327,313,404
1.025,468,1219,2208,4054,219,323,308,398
1.035,460,1276,2194,4154,253,317,287,419
1.045,454,1338,2190,4200,337,265,310,424
1.055,448,1411,2196,4170,331,274,297,408
1.065,444,1491,2212,4114,346,300,296,427
1.075,441,1560,2238,4066,340,251,338,463
1.085,439,1605,2271,3978,299,276,339,457
1.095,438,1631,2309,3981,336,306,332,478
1.105,438,1650,2350,3949,309,299,318,488
1.115,439,1671,2385,3910,288,326,296,495
1.125,441,1698,2412,3802,295,282,316,472
1.135,443,1728,2434,3781,272,280,355,426
1.145,445,1751,2452,3876,284,284,334,424
1.155,446,1718,2469,3957,244,264,361,436
1.165,447,1570,2488,3974,258,283,354,454
1.175,448,1493,2509,3977,269,289,340,437
1.185,447,1458,2534,3949,291,286,386,468
1.195,447,1403,2560,3956,266,280,431,493
1.205,447,1367,2584,3976,301,275,431,455
1.215,447,1363,2603,3973,327,268,453,412
1.225,447,1384,2617,4001,353,262,432,427
1.235,447,1422,2625,3983,286,295,427,398
1.245,447,1473,2630,3943,298,354,416,442
1.255,447,1531,2632,3954,337,382,398,456
1.265,446,1594,2631,3872,314,374,395,467
1.275,444,1660,2631,3909,296,356,338,462
1.285,442,1728,2630,3895,278,344,341,457
1.295,440,1800,2630,3849,307,312,324,473
1.305,437,1880,2629,3847,288,297,317,466
1.315,436,1958,2625,3832,336,263,352,453
1.325,435,2022,2615,3796,362,282,324,431
1.335,435,2060,2599,3915,364,299,281,413
1.345,436,2082,2578,3949,357,289,288,416
1.355,438,2093,2554,3977,324,289,321,414
1.365,441,2076,2528,3928,341,271,355,409
1.375,446,2030,2501,3938,333,306,295,439
1.385,451,1983,2472,3896,313,326,314,424
1.395,458,1944,2439,3852,275,312,336,439
1.405,465,1894,2402,3829,279,269,376,463
1.415,474,1813,2363,3761,270,280,396,425
1.425,484,1665,2326,3703,259,291,391,387
1.435,495,1529,2293,3631,225,297,379,406
1.445,507,1444,2263,3523,198,316,369,433
1.455,520,1390,2237,3433,171,325,375,444
1.465,536,1348,2215,3314,142,326,389,423
1.475,555,1302,2196,3200,126,328,407,393
1.485,576,1255,2177,3214,133,305,399,378
1.495,598,1230,2158,3273,172,305,358,379
1.505,619,1232,2138,3305,173,298,331,408
1.515,639,1248,2120,3364,183,301,318,432
1.525,655,1264,2108,3364,176,303,318,435
1.535,670,1275,2105,3433,176,311,317,436
1.545,681,1286,2106,3545,172,302,319,442
1.555,688,1296,2108,3672,173,311,330,439
1.565,688,1307,2106,3755,194,317,324,439
1.575,679,1317,2102,3833,194,311,303,447
1.585,659,1325,2100,3909,172,325,280,449
1.595,634,1334,2104,4035,235,331,303,470
1.605,607,1344,2119,4131,272,309,336,475
1.615,584,1358,2142,4174,305,263,370,430
1.625,564,1374,2169,4208,307,272,373,436
1.635,548,1393,2195,4198,330,281,363,437
1.645,535,1412,2216,4170,305,275,359,453
1.655,525,1431,2238,4133,287,329,340,461
1.665,519,1449,2264,4144,312,323,326,455
1.675,514,1464,2302,4050,325,296,330,441
1.685,506,1475,2354,3988,343,290,329,462
1.695,495,1483,2413,3910,302,297,361,465
1.705,482,1485,2460,3870,323,307,378,446
1.715,470,1481,2491,3970,311,332,369,410
1.725,462,1472,2513,3974,318,314,357,384
1.735,456,1457,2532,3904,266,368,372,397
1.745,451,1439,2555,3818,245,351,361,369
1.755,446,1417,2581,3873,260,359,380,367
1.765,441,1391,2602,3935,315,340,367,360
1.775,435,1362,2615,3964,310,297,345,394
1.785,431,1325,2621,3951,262,334,323,414
1.795,428,1280,2624,3913,277,301,344,422
