sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,471,1428,2554,3666,246,290,392,454
0.015,532,1338,2563,3788,260,286,354,454
0.025,584,1395,2491,3826,279,304,323,427
0.035,641,1514,2527,3945,284,320,323,451
0.045,673,1576,2478,3904,266,318,303,439
0.055,714,1459,2524,3861,285,305,303,425
0.065,529,1493,2480,3867,312,332,303,452
0.075,529,1493,2586,3899,269,328,316,444
0.085,529,1465,2567,3836,250,323,342,447
0.095,529,1417,2597,3822,262,294,378,443
0.105,529,1354,2569,3902,240,330,367,448
0.115,529,1283,2578,3980,238,353,354,453
0.125,529,1210,2521,4074,249,332,373,449
0.135,529,1142,2486,4223,202,344,370,457
0.145,529,1085,2625,4410,176,333,370,450
0.155,529,1046,2622,4491,203,305,353,412
0.165,529,1031,2596,4543,222,287,357,427
0.175,585,1047,2555,4581,243,293,353,433
0.185,546,1100,2497,4605,242,314,361,456
0.195,511,1103,2440,4537,225,307,340,440
0.205,482,1093,2378,4490,211,338,325,470
0.215,457,1068,2299,4335,171,341,304,436
0.225,431,1033,2221,4201,196,356,276,440
0.235,413,946,2155,3987,210,317,292,443
0.245,427,915,2106,3805,212,282,300,400
0.255,466,910,2064,3758,202,323,302,374
0.265,486,911,1995,3756,210,300,328,347
0.275,481,918,1861,3774,207,325,334,318
0.285,475,931,1817,3785,192,299,325,294
0.295,477,951,1781,3807,191,300,322,302
0.305,479,975,1691,3782,194,282,327,324
0.315,474,998,1625,3678,213,311,323,341
0.325,456,1020,1589,3614,210,278,317,332
0.335,436,1058,1558,3620,210,279,310,330
0.345,424,1128,1569,3582,212,297,304,333
0.355,424,1230,1609,3570,212,296,291,354
0.365,425,1321,1649,3577,218,308,302,369
0.375,424,1391,1687,3578,227,304,313,375
0.385,422,1475,1767,3566,219,317,306,379
0.395,407,1576,1895,3534,214,313,318,386
0.405,377,1672,2011,3552,214,293,346,382
0.415,344,1768,2209,3588,230,300,353,384
0.425,317,1881,2400,3596,242,306,333,395
0.435,303,1972,2544,3615,236,275,331,406
0.445,299,2033,2692,3612,225,289,324,431
0.455,303,2103,2706,3600,222,288,308,425
0.465,315,2143,2674,3538,208,283,305,438
0.475,332,2134,2675,3518,200,271,298,431
0.485,352,2132,2679,3519,206,299,322,436
0.495,369,2129,2668,3496,212,286,309,447
0.505,382,2092,2642,3465,201,302,297,452
0.515,392,1995,2609,3490,174,282,321,442
0.525,404,1912,2566,3586,190,301,323,444
0.535,421,1867,2512,3655,186,313,325,458
0.545,445,1830,2504,3695,184,309,307,431
0.555,471,1773,2533,3705,203,316,308,424
0.565,494,1713,2563,3742,238,305,340,398
0.575,512,1699,2592,3655,332,338,314,412
0.585,524,1695,2628,3710,356,378,339,421
0.595,534,1676,2666,3699,322,330,358,413
0.605,547,1658,2699,3695,348,349,371,445
0.615,561,1656,2721,3633,325,351,391,430
0.625,574,1667,2728,3604,274,351,371,436
0.635,579,1689,2726,3613,290,350,346,422
0.645,579,1719,2730,3674,242,341,380,399
0.655,576,1741,2751,3750,247,321,346,404
0.665,572,1765,2768,3794,223,303,330,408
0.675,569,1797,2768,3727,217,305,355,438
0.685,566,1808,2763,3728,207,307,366,406
0.695,564,1802,2758,3706,213,358,321,405
0.705,568,1798,2740,3758,225,396,337,427
0.715,583,1795,2718,3869,188,360,329,447
0.725,607,1787,2705,3905,204,324,359,467
0.735,631,1769,2676,3912,201,314,344,434
0.745,647,1731,2617,3904,202,311,352,426
0.755,653,1677,2569,3888,197,313,333,419
0.765,655,1617,2531,3891,191,303,316,434
0.775,658,1562,2491,4003,171,294,315,464
0.785,665,1518,2462,3954,191,310,308,454
0.795,673,1479,2409,3978,188,298,301,442
0.805,685,1464,2342,4025,188,305,299,448
0.815,697,1462,2282,4000,183,296,315,426
0.825,702,1460,2215,3981,183,299,306,408
0.835,694,1488,2169,4057,194,296,288,408
0.845,675,1522,2142,4061,178,290,327,384
0.855,660,1552,2132,4088,185,283,319,374
0.865,649,1617,2139,3994,220,298,358,447
0.875,624,1702,2152,4027,237,315,345,462
0.885,590,1769,2160,4038,245,301,335,467
0.895,568,1809,2160,4049,266,315,320,474
0.905,555,1830,2152,4129,277,313,342,476
0.915,544,1839,2141,4135,303,294,328,439
0.925,530,1842,2180,4151,290,322,325,446
0.935,513,1833,2299,4098,211,335,282,434
0.945,499,1808,2397,4077,248,331,287,461
0.955,493,1792,2438,4053,267,325,297,447
0.965,492,1779,2435,4060,298,306,326,446
0.975,483,1704,2425,4035,314,321,307,446
0.985,462,1671,2424,4057,330,290,294,454
0.995,435,1591,2405,4041,261,336,333,427
1.005,410,1567,2366,4003,231,334,361,441
1.015,394,1572,2345,3932,199,317,369,452
1.025,391,1554,2330,3855,198,317,393,484
1.035,394,1519,2314,3756,205,300,390,491
1.045,398,1482,2304,3732,205,356,337,491
1.055,398,1454,2302,3744,240,304,359,487
1.065,396,1441,2300,3739,233,330,341,500
1.075,395,1465,2302,3672,280,327,339,486
1.085,398,1533,2308,3678,275,333,296,433
1.095,406,1560,2312,3673,296,296,312,447
1.105,416,1568,2311,3629,291,295,340,439
1.115,426,1552,2306,3636,296,291,374,422
1.125,434,1506,2284,3680,298,307,354,445
1.135,438,1455,2229,3725,289,291,373,432
1.145,439,1408,2147,3798,228,297,364,463
1.155,441,1331,2053,3810,239,305,351,471
1.165,445,1195,1946,3781,251,297,361,483
1.175,452,1092,1833,3776,258,289,406,501
1.185,460,1092,1697,3762,221,276,438,473
1.195,470,1086,1575,3767,193,286,462,416
1.205,479,1083,1558,3696,162,266,445,399
1.215,492,1091,1630,3641,128,290,424,384
1.225,511,1094,1734,3591,137,324,357,393
1.235,540,1092,1836,3538,172,325,296,402
1.245,580,1091,1918,3497,184,307,299,401
