sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,561,1487,2508,3570,259,303,373,443
0.015,540,1550,2505,3518,280,304,346,440
0.025,577,1495,2465,3502,284,332,330,416
0.035,664,1554,2375,3534,268,338,324,397
0.045,672,1630,2396,3596,265,308,336,408
0.055,627,1672,2512,3593,278,246,363,425
0.065,644,1604,2566,3543,300,253,344,438
0.075,665,1610,2648,3630,288,281,346,437
0.085,712,1554,2725,3700,303,326,313,465
0.095,749,1642,2643,3657,285,309,347,449
0.105,725,1641,2748,3762,306,265,322,468
0.115,730,1625,2783,3815,331,239,330,459
0.125,706,1528,2825,3894,292,260,333,442
0.135,607,1538,2792,4028,273,311,328,459
0.145,665,1574,2793,4119,220,287,309,438
0.155,685,1588,2699,4180,225,298,301,439
0.165,641,1591,2746,4233,229,283,309,418
0.175,546,1567,2762,4315,226,286,305,406
0.185,514,1496,2810,4395,226,288,301,410
0.195,546,1432,2857,4371,227,287,291,383
0.205,546,1416,2857,4366,236,275,271,376
0.215,574,1337,2905,4435,227,281,273,375
0.225,546,1353,2905,4445,210,305,299,370
0.235,550,1306,2983,4471,216,292,305,364
0.245,534,1306,2920,4526,231,304,299,349
0.255,546,1321,2936,4519,235,297,289,352
0.265,521,1306,2905,4594,220,297,295,365
0.275,542,1290,2889,4705,198,296,300,348
0.285,545,1306,2889,4667,182,321,302,333
0.295,546,1369,2909,4637,165,300,315,337
0.305,531,1448,2873,4553,160,296,301,362
0.315,534,1511,2820,4527,145,292,312,379
0.325,515,1622,2844,4503,130,285,307,391
0.335,523,1796,2825,4544,138,304,301,393
0.345,532,1955,2746,4593,148,326,310,393
0.355,529,2002,2717,4566,153,343,311,393
0.365,497,1970,2683,4545,168,340,290,410
0.375,546,2002,2613,4530,180,343,290,390
0.385,482,1986,2699,4581,198,326,301,396
0.395,277,1923,2649,4607,202,301,312,413
0.405,280,1808,2730,4515,206,294,323,457
0.415,213,1807,2746,4379,197,328,307,444
0.425,182,1777,2746,4387,209,344,319,466
0.435,213,1774,2794,4507,189,317,285,436
0.445,229,1809,2760,4586,161,293,281,405
0.455,487,1875,2778,4542,153,301,273,389
0.465,419,1749,2715,4491,166,276,291,407
0.475,426,1796,2635,4349,192,267,287,442
0.485,435,1749,2536,4221,189,272,290,451
0.495,270,1644,2509,4211,192,284,343,440
0.505,263,1646,2606,4268,190,310,331,476
0.515,292,1654,2493,4240,191,316,367,480
0.525,313,1661,2503,4266,223,345,347,447
0.535,292,1647,2493,4222,234,333,323,428
0.545,356,1728,2493,4140,211,313,324,419
0.555,577,1711,2530,4170,163,302,310,400
0.565,623,1724,2509,4281,147,294,301,400
0.575,620,1796,2525,4370,139,287,302,409
0.585,652,1796,2525,4478,145,275,315,431
0.595,674,1796,2588,4622,144,275,306,416
0.605,649,1713,2572,4655,136,276,317,381
0.615,649,1796,2635,4720,139,276,315,367
0.625,630,1725,2715,4756,146,284,309,368
0.635,625,1781,2730,4818,153,278,322,355
0.645,625,1713,2762,4826,166,305,303,371
0.655,562,1796,2762,4872,190,313,274,360
0.665,530,1857,2778,4702,258,366,337,402
0.675,534,1881,2746,4556,287,393,360,462
0.685,308,1959,2730,4607,284,360,365,462
0.695,387,1945,2746,4546,331,334,376,427
0.705,435,1908,2683,4511,333,366,314,443
0.715,467,1871,2746,4440,292,365,324,481
0.725,451,1895,2683,4301,272,373,318,438
0.735,467,1819,2651,4156,257,352,343,427
0.745,467,1753,2635,4118,253,364,330,400
0.755,546,1739,2728,4105,244,330,340,430
0.765,625,1738,2691,4059,256,323,303,457
0.775,783,1760,2708,3984,243,326,315,461
0.785,862,1788,2657,3871,229,347,330,482
0.795,878,1726,2732,3919,256,336,377,478
0.805,831,1675,2703,3904,186,341,369,464
0.815,736,1700,2713,3987,240,333,349,449
0.825,530,1646,2622,4095,204,351,305,418
0.835,498,1546,2657,4219,231,312,316,407
