sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,604,1501,2537,3659,248,306,364,419
0.015,670,1549,2603,3684,266,286,344,435
0.025,763,1556,2582,3669,288,305,379,435
0.035,759,1540,2611,3739,309,314,353,438
0.045,767,1551,2613,3791,347,260,377,447
0.055,849,1515,2610,3796,296,316,367,454
0.065,793,1577,2550,3889,222,327,376,432
0.075,872,1566,2466,3961,267,317,337,452
0.085,857,1612,2410,3934,230,335,322,438
0.095,875,1639,2530,3872,296,301,350,386
0.105,833,1691,2597,3908,250,332,359,415
0.115,858,1739,2619,4000,252,324,363,444
0.125,930,1677,2622,4095,262,323,333,445
0.135,1057,1530,2621,4230,261,292,338,464
0.145,1049,1454,2614,4376,228,306,336,443
0.155,799,1487,2700,4518,238,323,347,461
0.165,688,1472,2692,4600,238,325,327,442
0.175,641,1566,2739,4645,229,337,383,435
0.185,593,1501,2683,4566,226,328,399,420
0.195,577,1413,2509,4314,211,318,351,421
0.205,546,1329,2445,4295,230,319,331,447
0.215,546,1161,2430,4224,221,318,300,459
0.225,546,1179,2319,4141,208,311,306,446
0.235,546,1061,2287,4061,228,283,332,435
0.245,546,1179,2192,4010,225,293,344,418
0.255,546,1211,2129,3952,225,295,342,419
0.265,562,1211,2081,3939,229,294,357,407
0.275,577,1179,2002,3924,229,295,351,397
0.285,593,1195,1955,3865,229,296,352,385
0.295,593,1179,1939,3877,226,296,366,341
0.305,577,1179,1907,3859,216,300,353,334
0.315,577,1195,1875,3866,214,290,357,340
0.325,577,1211,1828,3843,207,308,352,340
0.335,593,1179,1860,3879,203,296,354,337
0.345,562,1179,1844,3847,202,304,350,330
0.355,577,1179,1860,3864,206,289,354,331
0.365,577,1195,1891,3846,206,300,344,339
0.375,562,1242,1891,3828,209,285,341,346
0.385,562,1195,1923,3861,203,317,330,335
0.395,562,1211,1955,3914,213,304,318,340
0.405,562,1179,1936,3911,197,309,321,332
0.415,546,1147,2002,3928,199,288,323,344
0.425,562,1100,2050,3939,192,317,321,344
0.435,562,1100,2097,3903,195,297,320,357
0.445,593,1084,2160,3871,212,324,331,359
0.455,593,1052,2224,3956,224,307,329,351
0.465,593,1021,2303,3957,221,304,328,379
0.475,577,1005,2414,3885,231,333,336,410
0.485,577,957,2493,3838,238,304,362,432
0.495,577,957,2572,3821,238,329,379,429
0.505,562,973,2635,3827,234,300,372,373
0.515,530,957,2651,3906,227,333,362,385
0.525,451,926,2683,4029,219,307,330,361
0.535,387,964,2683,3989,225,321,325,369
0.545,372,927,2715,3959,220,301,330,374
0.555,387,893,2715,3981,221,320,303,381
0.565,356,878,2762,3997,222,306,316,384
0.575,292,898,2810,3998,269,282,302,385
0.585,340,970,2778,3978,263,282,313,378
0.595,340,1094,2683,3904,233,274,341,412
0.605,372,1235,2667,3998,219,310,339,375
0.615,419,1355,2651,4107,217,305,317,376
0.625,520,1484,2620,4108,222,314,310,388
0.635,513,1632,2620,4112,193,310,309,408
0.645,510,1738,2635,4162,182,309,293,412
0.655,520,1789,2572,4161,189,322,292,422
0.665,509,1793,2572,4135,190,314,327,417
0.675,503,1769,2572,4155,184,314,301,421
0.685,499,1737,2572,4124,189,313,313,413
0.695,496,1711,2572,4116,203,322,316,413
0.705,485,1691,2572,4114,217,322,309,414
0.715,442,1677,2588,4089,222,318,306,399
0.725,416,1666,2620,4017,229,325,295,399
0.735,387,1659,2667,3910,228,306,296,400
0.745,356,1655,2699,3841,251,299,289,436
0.755,340,1653,2699,4000,236,280,298,426
0.765,356,1654,2778,4068,268,332,384,427
0.775,308,1657,2794,4138,305,349,368,403
0.785,356,1662,2810,4112,289,333,395,392
0.795,372,1669,2810,4240,295,352,428,446
0.805,403,1678,2810,4408,313,376,438,417
0.815,467,1689,2825,4538,311,359,428,436
0.825,498,1700,2841,4560,297,319,458,417
0.835,498,1713,2825,4580,287,315,429,428
0.845,514,1727,2778,4525,278,289,427,420
0.855,482,1740,2762,4473,211,308,422,445
0.865,542,1753,2715,4466,174,286,355,437
0.875,498,1763,2715,4484,168,254,312,420
0.885,482,1770,2779,4477,162,256,273,422
0.895,493,1774,2730,4429,193,261,290,438
0.905,482,1774,2746,4389,234,304,290,421
0.915,419,1768,2778,4281,244,314,316,407
0.925,419,1756,2762,4122,231,291,282,413
0.935,451,1736,2843,3941,249,292,274,401
0.945,577,1709,2715,3832,262,297,307,371
0.955,641,1673,2730,3844,253,290,289,355
0.965,671,1628,2762,3853,234,297,274,350
0.975,694,1575,2778,3848,228,284,281,349
0.985,641,1517,2762,3851,238,271,313,335
0.995,656,1455,2794,3872,230,294,323,319
1.005,688,1392,2825,3828,218,305,308,331
1.015,641,1330,2825,3860,205,320,324,332
1.025,609,1272,2857,4014,203,314,321,374
1.035,609,1219,2841,4145,218,305,311,350
1.045,546,1175,2810,4062,198,287,335,330
1.055,562,1140,2730,3984,221,310,353,338
1.065,530,1117,2699,3968,197,299,363,338
1.075,498,1104,2699,3963,224,281,380,334
1.085,451,1101,2715,3959,218,315,383,337
1.095,451,1106,2715,3955,201,299,355,335
1.105,467,1119,2762,3968,204,324,304,305
1.115,562,1139,2746,3945,196,310,306,280
1.125,656,1165,2746,3902,203,288,300,328
1.135,672,1198,2778,3862,195,287,295,331
1.145,720,1235,2810,3858,192,274,296,344
1.155,736,1277,2841,3855,204,278,314,355
1.165,736,1324,2889,3839,207,286,325,355
1.175,751,1374,2857,3832,206,301,317,353
1.185,751,1427,2872,3825,201,301,331,341
1.195,751,1483,2810,3806,198,293,317,329
1.205,751,1538,2761,3809,202,288,310,324
1.215,751,1591,2746,3816,203,289,282,314
1.225,751,1638,2665,3840,230,309,275,307
1.235,736,1676,2660,3845,230,305,286,300
1.245,704,1702,2615,3880,226,297,270,298
1.255,679,1713,2599,3870,206,295,293,307
1.265,704,1706,2572,3875,188,282,308,322
1.275,669,1680,2575,3877,193,283,327,334
1.285,641,1639,2493,3837,220,291,321,336
1.295,658,1590,2493,3847,240,301,312,356
1.305,593,1540,2537,3788,237,281,320,366
1.315,467,1494,2540,3862,239,311,328,381
1.325,435,1460,2588,3975,232,292,351,392
1.335,435,1430,2620,4068,248,304,335,406
1.345,419,1378,2609,4056,242,298,335,412
1.355,435,1280,2611,4016,229,286,323,386
1.365,419,1162,2612,3986,222,297,315,381
1.375,435,1076,2611,4004,216,289,306,372
1.385,419,1047,2606,4031,231,279,327,373
1.395,419,1072,2596,4096,235,275,333,360
1.405,403,1147,2580,4134,244,268,336,358
1.415,419,1249,2558,4119,238,290,315,358
1.425,403,1355,2530,4124,227,304,333,368
1.435,403,1460,2501,4146,226,297,331,389
1.445,419,1568,2477,4161,209,289,354,403
1.455,403,1666,2466,4156,206,286,336,419
1.465,419,1736,2470,4112,216,295,342,431
1.475,451,1773,2494,4072,193,312,334,445
1.485,451,1787,2541,3981,162,316,328,456
1.495,530,1779,2615,3919,165,286,356,475
1.505,562,1746,2588,3837,167,287,365,479
1.515,562,1682,2715,3713,171,324,340,471
1.525,562,1603,2857,3681,167,269,344,439
1.535,562,1525,2920,3609,203,293,352,394
1.545,577,1458,2984,3649,203,322,429,390
1.555,562,1400,3015,3658,219,295,417,404
1.565,625,1346,2984,3685,245,282,384,385
1.575,720,1293,2984,3713,224,285,361,380
1.585,656,1243,2990,3755,221,283,353,374
1.595,641,1195,2920,3779,226,287,357,361
1.605,593,1151,2889,3826,232,280,358,349
1.615,593,1111,2889,3830,238,285,359,348
1.625,546,1076,2873,3848,227,283,363,343
1.635,593,1047,2825,3856,218,286,377,329
1.645,562,970,2778,3879,197,297,400,319
1.655,562,941,2778,3879,191,301,413,322
1.665,562,915,2762,3867,193,325,413,309
1.675,562,897,2762,3911,197,305,389,313
1.685,562,885,2762,3907,203,310,379,310
1.695,562,879,2778,3936,203,310,377,323
1.705,562,877,2762,3957,199,309,336,336
1.715,601,876,2746,3973,202,314,342,342
1.725,562,879,2778,4032,189,321,346,357
1.735,568,888,2783,4085,190,328,331,357
1.745,562,906,2746,4045,201,329,312,352
1.755,562,935,2784,4108,209,310,302,340
1.765,546,1116,2778,4122,244,288,288,317
1.775,585,1116,2778,4202,257,274,274,323
1.785,602,1100,2778,4190,251,270,266,324
1.795,620,1116,2746,4285,255,283,284,332
1.805,590,1100,2810,4353,256,282,295,358
1.815,516,1116,2778,4399,256,286,303,368
1.825,449,1131,2778,4415,243,304,310,359
1.835,374,1147,2742,4405,254,299,315,380
1.845,468,1131,2825,4470,244,328,322,380
1.855,391,1147,2905,4468,226,318,318,372
1.865,334,1147,2739,4411,231,294,339,368
1.875,480,1163,2765,4445,243,331,373,366
1.885,546,1163,2924,4448,280,351,413,389
1.895,636,1195,3074,4413,287,326,424,412
1.905,717,1163,3199,4391,299,325,365,431
1.915,720,1147,3188,4283,237,328,313,460
1.925,733,1147,3176,4108,271,322,310,474
1.935,771,1345,3177,3915,236,315,325,444
1.945,780,1397,3138,3853,215,325,324,437
1.955,742,1384,3065,3853,208,303,338,424
