sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,606,1482,2550,3688,221,283,413,457
0.015,640,1475,2610,3683,256,296,410,448
0.025,703,1492,2633,3711,266,311,390,439
0.035,770,1573,2645,3763,212,304,368,442
0.045,833,1642,2590,3732,192,338,382,433
0.055,814,1646,2608,3742,183,329,373,453
0.065,825,1655,2602,3764,218,327,351,451
0.075,765,1665,2600,3747,231,319,353,441
0.085,794,1614,2670,3830,288,272,377,446
0.095,862,1669,2666,3805,278,335,360,460
0.105,889,1717,2662,3707,278,321,386,472
0.115,846,1719,2691,3694,257,310,413,449
0.125,850,1624,2595,3675,269,328,378,437
0.135,796,1463,2474,3648,236,306,396,451
0.145,680,1453,2270,3544,215,308,407,425
0.155,578,1406,2183,3613,245,294,389,436
0.165,593,1318,2113,3694,254,298,338,407
0.175,530,1369,2034,3782,238,325,300,398
0.185,577,1353,2050,3870,233,317,273,387
0.195,530,1265,2034,3902,223,320,286,369
0.205,530,1321,2113,3895,211,316,287,378
0.215,577,1369,2176,3825,216,317,277,394
0.225,546,1313,2145,3901,209,316,304,397
0.235,593,1314,2192,3901,223,320,305,394
0.245,593,1313,2245,3966,226,324,305,403
0.255,625,1312,2240,3974,233,331,322,423
0.265,625,1312,2271,4016,237,323,333,424
0.275,656,1314,2319,3984,240,331,330,414
0.285,641,1317,2319,3948,233,329,340,417
0.295,688,1315,2319,3943,222,313,338,427
0.305,641,1302,2303,3927,215,316,333,437
0.315,625,1273,2272,3913,212,299,320,450
0.325,641,1163,2319,3858,205,293,333,460
0.335,641,1131,2319,3857,219,282,351,460
0.345,672,1100,2366,3845,205,311,354,457
0.355,593,1116,2493,3777,239,322,365,446
0.365,577,1179,2532,3704,217,315,351,435
0.375,482,1211,2572,3655,241,328,335,414
0.385,451,1416,2540,3619,252,342,321,383
0.395,356,1559,2461,3626,218,356,290,357
0.405,324,1781,2413,3702,204,338,257,336
0.415,327,1939,2366,3749,210,327,279,346
0.425,337,2018,2505,3785,214,311,297,349
0.435,321,2034,2579,3866,210,307,311,356
0.445,354,2081,2682,3886,218,322,327,371
0.455,315,2034,2715,3775,223,344,328,373
0.465,372,2018,2620,3804,247,370,336,342
0.475,379,1986,2604,3795,275,318,359,358
0.485,396,2002,2604,3917,286,345,321,383
0.495,401,1986,2588,3863,304,329,332,373
0.505,438,2002,2651,3799,284,336,361,357
