sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,547,1505,2377,3658,237,319,393,424
0.015,516,1424,2346,3674,281,315,338,440
0.025,526,1438,2402,3702,302,280,330,435
0.035,555,1499,2364,3723,304,292,322,444
0.045,605,1432,2404,3785,314,323,311,452
0.055,639,1478,2439,3775,277,295,306,473
0.065,697,1533,2447,3768,248,353,304,448
0.075,724,1616,2428,3733,241,330,324,437
0.085,770,1626,2472,3757,267,316,326,431
0.095,780,1671,2542,3728,250,315,337,426
0.105,849,1704,2572,3693,277,299,373,428
0.115,889,1767,2652,3783,251,311,413,478
0.125,804,1718,2697,3881,239,308,404,467
0.135,765,1701,2629,3872,240,292,346,448
0.145,664,1717,2567,3848,266,290,328,436
0.155,449,1731,2566,3791,228,292,269,390
0.165,457,1812,2562,3809,218,302,288,385
0.175,467,1883,2553,3773,215,294,308,367
0.185,439,1950,2541,3774,206,292,304,352
0.195,420,1994,2549,3742,204,304,309,342
0.205,403,2010,2539,3760,186,321,304,343
0.215,377,2001,2511,3750,195,317,330,347
0.225,371,1953,2530,3818,199,318,335,351
0.235,373,1920,2520,3846,202,327,334,360
0.245,379,1875,2482,3935,205,336,327,387
0.255,368,1816,2444,4080,206,353,344,394
0.265,356,1774,2444,4182,226,343,368,419
0.275,374,1701,2406,4190,240,295,393,408
0.285,396,1691,2397,4131,248,273,401,404
0.295,356,1713,2378,4023,255,262,386,377
0.305,414,1759,2368,4117,271,297,391,372
0.315,419,1701,2359,4062,257,282,395,443
0.325,430,1746,2408,3988,297,324,342,413
0.335,446,1669,2311,3827,257,273,403,420
0.345,467,1560,2292,3620,247,271,399,431
0.355,493,1433,2302,3469,266,292,389,381
0.365,485,1550,2311,3474,263,262,380,381
0.375,503,1541,2380,3436,288,287,364,427
0.385,544,1565,2311,3511,301,304,323,390
0.395,543,1595,2321,3598,289,302,349,425
0.405,536,1547,2330,3697,314,318,316,430
0.415,561,1546,2292,3853,298,289,344,460
0.425,563,1542,2235,4014,317,276,358,452
0.435,614,1515,2197,4087,341,242,375,416
0.445,618,1531,2207,4238,260,224,398,403
0.455,522,1573,2150,4291,256,260,385,415
0.465,548,1495,2045,4313,276,276,385,421
0.475,526,1477,1941,4264,308,278,375,422
0.485,507,1406,1893,3998,291,281,403,459
0.495,549,1290,1817,3694,286,307,372,460
0.505,567,1241,1764,3466,281,268,347,405
0.515,556,1232,1745,3466,262,268,316,343
0.525,546,1241,1707,3398,240,260,314,304
0.535,549,1222,1707,3468,231,281,304,310
0.545,552,1213,1688,3441,220,290,309,319
0.555,530,1213,1688,3465,209,281,295,300
0.565,533,1203,1688,3458,206,291,302,301
0.575,507,1203,1697,3436,232,273,297,296
0.585,485,1194,1688,3449,205,260,293,271
0.595,491,1203,1697,3454,225,272,290,296
0.605,478,1203,1688,3479,242,286,292,287
0.615,435,1232,1697,3530,211,271,288,270
0.625,419,1213,1716,3557,218,275,284,291
0.635,435,1213,1726,3492,218,287,294,340
0.645,396,1241,1735,3529,220,299,311,370
0.655,396,1279,1754,3606,230,291,312,388
0.665,387,1308,1792,3634,231,309,320,359
0.675,367,1317,1844,3618,225,311,323,354
0.685,358,1308,1840,3668,216,300,330,376
0.695,348,1336,1878,3737,196,289,371,368
0.705,358,1374,1931,3723,227,294,367,416
0.715,399,1457,1979,3762,274,321,293,445
0.725,372,1403,2140,3748,322,327,259,446
0.735,396,1431,2207,3722,332,328,212,462
0.745,424,1460,2245,3700,314,336,241,439
0.755,467,1481,2245,3664,337,396,346,455
0.765,472,1462,2235,3690,349,339,301,472
0.775,481,1450,2191,3749,331,320,341,452
0.785,482,1327,2077,3842,243,329,390,449
0.795,443,1241,1973,3899,215,360,396,465
0.805,435,1241,1954,3933,169,369,388,462
0.815,415,1061,1916,3950,130,374,353,463
0.825,405,928,1821,4006,127,334,329,491
0.835,403,880,1773,4048,123,289,308,513
0.845,377,918,1707,4058,149,313,299,515
0.855,386,998,1688,3967,196,272,314,480
0.865,372,1036,1688,3794,218,252,310,439
0.875,358,1100,1707,3679,212,260,287,432
0.885,348,1131,1745,3658,198,270,332,429
0.895,372,1245,1773,3726,207,237,399,418
0.905,325,1276,1840,3732,229,237,461,382
0.915,242,1333,1878,3757,209,270,444,391
0.925,277,1409,1969,3768,213,288,399,410
0.935,262,1437,2030,3803,212,304,321,429
0.945,292,1466,2036,3762,211,295,291,432
0.955,327,1589,2102,3705,203,302,319,430
0.965,324,1619,2150,3653,252,304,325,446
0.975,320,1644,2169,3593,267,311,337,443
0.985,320,1676,2178,3629,221,317,345,434
0.995,324,1657,2121,3677,208,299,328,417
1.005,320,1651,2011,3664,203,268,366,378
1.015,329,1581,1916,3680,220,275,419,367
1.025,372,1511,1821,3736,228,292,429,372
1.035,329,1423,1758,3781,232,322,409,383
1.045,348,1309,1676,3812,239,267,369,404
1.055,358,1252,1651,3788,230,265,328,428
1.065,372,1201,1594,3770,232,226,335,427
1.075,358,1087,1556,3799,239,215,301,460
1.085,367,1068,1537,3786,226,201,296,500
1.095,367,1068,1537,3754,212,202,317,479
1.105,403,1052,1562,3727,210,205,301,484
1.115,415,1055,1594,3742,189,257,304,459
1.125,492,1068,1632,3725,182,282,321,461
1.135,486,1116,1707,3720,162,297,335,443
1.145,536,1150,1773,3696,155,316,344,444
1.155,555,1176,1849,3651,127,297,342,467
1.165,586,1195,1916,3579,161,291,350,449
1.175,593,1220,1973,3507,141,338,388,439
1.185,614,1226,2037,3436,142,336,381,427
1.195,593,1239,2077,3386,141,322,399,430
1.205,609,1290,2105,3370,149,326,413,427
1.215,631,1328,2181,3374,161,313,411,417
1.225,612,1401,2229,3387,183,304,401,411
1.235,609,1448,2219,3392,195,304,365,411
1.245,612,1496,2257,3424,197,297,348,410
1.255,577,1511,2238,3436,207,304,345,397
1.265,587,1518,2238,3427,228,311,368,376
1.275,516,1518,2191,3425,225,315,367,366
1.285,543,1518,2219,3410,210,327,367,395
1.295,467,1473,2191,3345,221,322,325,403
1.305,429,1469,2140,3346,221,322,286,419
1.315,372,1416,2143,3257,224,275,276,390
1.325,340,1397,2105,3262,252,300,304,377
1.335,339,1378,2086,3278,248,312,341,401
1.345,320,1321,2067,3405,165,313,374,427
1.355,282,1328,2020,3462,165,314,363,413
1.365,277,1302,2030,3532,187,314,344,413
1.375,253,1271,2030,3557,187,317,363,453
1.385,263,1201,2020,3578,198,317,347,452
1.395,272,1205,2020,3658,203,333,324,444
1.405,277,1163,2049,3624,202,338,352,456
1.415,282,1144,2064,3588,207,364,344,436
1.425,282,1112,2055,3553,201,343,355,459
1.435,292,1093,2077,3410,200,349,307,465
1.445,310,1068,2143,3345,220,300,329,453
1.455,324,1047,2168,3235,228,287,332,418
1.465,403,1094,2223,3203,215,279,362,416
1.475,529,1146,2200,3223,219,311,385,403
1.485,624,1151,2248,3217,206,299,376,406
1.495,652,1236,2279,3238,209,326,360,398
1.505,671,1289,2279,3226,203,333,355,392
1.515,692,1319,2305,3259,221,313,372,396
1.525,679,1376,2388,3254,210,317,349,405
1.535,656,1418,2333,3298,208,321,344,400
1.545,649,1422,2401,3330,212,289,359,395
1.555,673,1488,2419,3352,219,285,329,374
1.565,656,1555,2468,3372,202,325,354,411
1.575,634,1612,2517,3416,168,300,356,407
1.585,593,1650,2457,3473,178,296,326,413
1.595,562,1707,2545,3644,161,279,318,422
1.605,593,1716,2495,3750,182,309,324,382
1.615,555,1764,2508,3764,180,282,336,392
1.625,555,1813,2446,3769,158,282,383,412
1.635,555,1849,2447,3804,143,278,395,432
1.645,567,1849,2447,3789,196,321,365,471
1.655,576,1868,2447,3756,255,307,350,444
1.665,567,1878,2447,3779,293,301,355,440
1.675,567,1849,2447,3817,314,285,373,426
1.685,586,1868,2447,3860,300,314,390,438
1.695,586,1863,2457,3871,272,342,386,442
1.705,586,1868,2438,3980,242,289,386,436
1.715,567,1833,2438,3949,258,294,348,464
1.725,548,1840,2438,3838,219,305,351,461
1.735,586,1768,2428,3741,193,342,327,439
1.745,586,1811,2438,3650,183,282,321,427
1.755,576,1800,2457,3634,180,271,328,380
1.765,614,1802,2457,3619,193,289,279,372
1.775,616,1773,2466,3596,179,297,310,373
1.785,589,1677,2466,3583,159,284,364,384
1.795,610,1640,2466,3603,185,298,304,405
1.805,600,1583,2476,3612,177,319,317,415
1.815,569,1517,2485,3661,177,295,335,413
1.825,511,1485,2466,3721,205,311,340,442
1.835,510,1437,2476,3667,232,303,322,426
1.845,462,1409,2466,3703,219,300,328,429
1.855,424,1380,2495,3702,207,322,353,426
1.865,436,1336,2464,3713,218,309,370,431
1.875,492,1314,2495,3608,229,340,333,433
1.885,517,1327,2485,3560,202,314,321,428
1.895,551,1276,2504,3570,194,329,300,417
1.905,560,1314,2514,3568,189,345,294,405
1.915,538,1371,2514,3536,190,352,286,396
1.925,547,1361,2497,3498,191,343,323,372
1.935,420,1323,2542,3577,194,356,306,368
1.945,418,1293,2533,3694,212,314,319,382
1.955,399,1312,2495,3768,218,311,325,406
1.965,411,1299,2485,3733,232,307,316,433
1.975,430,1299,2485,3704,236,308,308,428
1.985,478,1325,2495,3699,228,299,354,417
1.995,544,1403,2504,3591,207,318,326,365
2.005,567,1420,2590,3651,192,270,307,368
2.015,658,1437,2590,3579,177,283,304,389
2.025,677,1523,2580,3548,180,299,295,409
2.035,658,1589,2571,3495,217,288,290,427
2.045,668,1593,2552,3437,233,301,315,429
2.055,677,1589,2523,3383,225,276,309,448
2.065,668,1542,2514,3393,244,302,310,421
2.075,649,1437,2514,3376,246,317,327,413
2.085,586,1390,2514,3400,241,318,310,400
2.095,573,1352,2523,3428,240,309,313,401
2.105,567,1238,2522,3483,240,295,319,388
2.115,573,1171,2504,3533,233,298,328,377
2.125,586,1163,2553,3582,222,293,330,378
2.135,554,1124,2504,3602,213,305,317,378
2.145,576,1135,2496,3600,209,308,309,379
2.155,544,1105,2458,3590,208,313,307,395
2.165,567,1086,2463,3564,224,308,341,409
2.175,535,1105,2447,3563,217,301,333,394
2.185,567,1068,2428,3607,206,306,332,401
2.195,535,1124,2444,3564,238,297,342,393
2.205,576,1143,2368,3599,237,278,316,388
2.215,557,1162,2383,3546,247,289,322,405
2.225,544,1295,2412,3590,252,309,307,401
2.235,526,1373,2324,3565,283,302,314,408
2.245,538,1372,2412,3579,277,304,337,401
2.255,567,1393,2412,3625,281,300,368,437
2.265,462,1450,2412,3626,294,274,366,418
2.275,471,1528,2412,3661,269,325,363,402
2.285,462,1640,2412,3773,275,350,354,425
2.295,452,1676,2380,3913,304,329,388,433
2.305,443,1659,2409,3848,298,317,399,422
2.315,433,1678,2447,3901,298,326,385,388
2.325,443,1688,2380,3968,314,319,415,383
2.335,424,1669,2396,3950,308,322,429,396
2.345,414,1640,2380,3945,282,364,412,414
2.355,443,1574,2390,3912,277,391,377,451
2.365,424,1536,2409,3881,211,359,367,447
2.375,462,1488,2454,3629,234,357,323,415
2.385,471,1480,2380,3639,213,381,282,371
2.395,481,1450,2400,3652,207,360,304,372
2.405,515,1412,2353,3697,232,300,290,399
2.415,462,1403,2396,3704,203,310,278,373
2.425,483,1403,2377,3772,234,333,280,394
2.435,434,1403,2398,3969,232,314,297,421
2.445,386,1403,2396,4138,192,359,351,431
2.455,377,1403,2409,4412,257,284,352,474
2.465,377,1441,2443,4588,271,319,351,431
2.475,415,1403,2497,4497,294,355,357,381
2.485,453,1431,2491,4549,330,310,362,349
2.495,462,1403,2428,4615,321,299,360,345
2.505,462,1403,2485,4574,305,345,336,350
2.515,462,1384,2428,4591,326,314,350,359
2.525,481,1384,2400,4575,305,310,350,349
2.535,462,1346,2419,4409,280,356,336,345
2.545,491,1365,2400,4181,278,339,291,428
2.555,424,1346,2390,3939,263,314,290,420
2.565,443,1365,2342,3841,248,331,318,415
2.575,525,1336,2406,3686,222,342,325,421
2.585,500,1327,2412,3561,232,339,347,407
2.595,538,1241,2368,3574,204,329,368,391
2.605,500,1188,2311,3498,229,325,365,407
2.615,510,1241,2283,3328,245,341,356,428
2.625,500,1213,2283,3169,238,346,344,435
2.635,443,1222,2254,3146,244,308,327,396
2.645,476,1213,2245,3143,249,303,318,390
2.655,443,1213,2169,3174,254,299,309,384
2.665,480,1203,2169,3153,265,289,295,388
2.675,453,1173,2178,3178,267,302,278,378
2.685,490,1229,2188,3194,250,332,291,391
