sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,584,1482,2396,3618,261,314,344,422
0.015,620,1524,2480,3646,285,318,335,440
0.025,683,1585,2493,3694,289,310,316,443
0.035,692,1583,2553,3713,287,313,343,425
0.045,781,1656,2503,3735,264,336,346,444
0.055,843,1680,2520,3692,267,345,331,443
0.065,813,1718,2592,3712,254,324,360,441
0.075,854,1760,2673,3801,271,325,365,463
0.085,963,1783,2717,3799,281,329,372,450
0.095,992,1768,2760,3792,282,297,351,446
0.105,994,1830,2726,3795,242,332,357,441
0.115,930,1860,2722,3782,211,330,370,424
0.125,860,1825,2679,3753,242,282,389,417
0.135,942,1807,2550,3736,302,236,405,433
0.145,894,1664,2470,3891,256,264,405,440
0.155,896,1675,2208,3979,283,230,414,498
0.165,758,1650,2050,4103,230,281,415,500
0.175,638,1619,1907,4168,243,290,373,506
0.185,497,1585,1860,4221,205,299,354,475
0.195,467,1552,1907,4230,174,314,338,425
0.205,501,1522,2018,4177,192,299,358,417
0.215,467,1497,2414,4242,266,300,326,426
0.225,427,1480,2424,4241,268,308,303,409
0.235,439,1471,2414,4256,251,328,313,439
0.245,500,1471,2398,4204,280,335,307,442
0.255,577,1479,2382,4208,266,341,306,439
0.265,633,1497,2319,4189,295,301,320,429
0.275,641,1524,2271,4202,308,290,327,427
0.285,530,1486,2240,4256,340,314,318,433
0.295,435,1401,2176,4240,314,293,318,429
0.305,435,1290,2176,4241,258,298,353,405
0.315,498,1211,2145,4203,209,299,356,450
0.325,498,1116,2160,4131,199,309,376,392
0.335,547,1116,1844,4121,195,329,369,387
0.345,482,1116,1733,4031,200,330,369,413
0.355,467,1163,1796,3964,228,320,331,426
0.365,531,1211,1844,3791,234,333,318,441
0.375,492,1258,1913,3612,225,304,322,451
0.385,435,1274,1970,3503,202,301,309,429
0.395,427,1369,1938,3420,191,309,321,414
0.405,421,1385,2050,3343,196,341,318,413
0.415,403,1448,2113,3244,187,313,344,391
0.425,387,1527,2160,3292,246,303,358,364
0.435,387,1591,2319,3325,283,332,326,327
0.445,387,1548,2525,3288,302,338,340,324
0.455,372,1686,2604,3399,332,328,343,371
0.465,403,1641,2635,3413,270,369,342,416
0.475,451,1717,2588,3587,266,378,273,413
0.485,387,1701,2604,3653,282,372,266,419
0.495,356,1654,2509,3646,276,320,298,427
0.505,308,1559,2287,3601,255,303,338,451
0.515,292,1527,2208,3506,303,275,366,431
0.525,229,1480,2113,3448,268,309,365,431
0.535,292,1363,1986,3400,247,269,397,412
0.545,277,1321,1860,3452,239,262,407,393
0.555,308,1131,1819,3468,224,297,365,396
0.565,379,1100,1717,3451,249,282,359,391
0.575,372,1116,1666,3462,251,270,325,379
0.585,396,1131,1670,3454,248,295,317,395
0.595,440,1163,1748,3435,222,310,305,395
0.605,473,1163,1686,3423,238,292,326,399
0.615,494,1274,1765,3408,217,295,297,397
0.625,498,1353,1845,3404,205,313,287,378
0.635,498,1416,1875,3373,213,337,279,396
0.645,518,1464,1970,3354,227,334,310,396
0.655,545,1511,2100,3330,233,338,324,380
0.665,482,1543,2065,3295,231,315,353,396
0.675,451,1591,2129,3237,194,294,335,372
0.685,534,1622,2176,3148,210,281,332,393
0.695,451,1622,2145,3145,229,301,329,444
0.705,451,1622,2235,3308,251,343,255,492
0.715,387,1559,2224,3431,263,353,255,467
0.725,324,1543,2176,3564,234,339,286,460
0.735,340,1543,2099,3655,246,276,360,486
0.745,340,1496,2097,3665,265,270,343,481
0.755,340,1496,2034,3741,224,220,381,484
0.765,451,1461,1986,3784,212,200,419,499
0.775,532,1480,1939,3706,209,255,421,459
0.785,482,1372,1919,3529,202,276,440,456
0.795,488,1416,1902,3419,194,266,450,423
0.805,530,1401,1834,3425,189,232,464,426
0.815,457,1369,1761,3501,186,277,414,436
0.825,419,1385,1729,3580,185,297,389,450
0.835,308,1464,1784,3578,211,317,407,465
0.845,229,1591,1946,3565,201,281,404,448
0.855,229,1622,2131,3506,234,323,401,453
0.865,245,1686,2277,3435,230,302,378,429
0.875,314,1860,2380,3410,220,314,381,393
0.885,322,1844,2439,3440,219,296,370,396
0.895,334,1875,2447,3457,217,271,390,377
0.905,344,1860,2399,3448,216,241,390,365
0.915,361,1828,2382,3419,218,261,414,371
0.925,367,1830,2287,3426,223,256,408,380
0.935,357,1828,2224,3434,242,246,382,394
0.945,352,1749,2192,3477,236,278,353,389
0.955,361,1622,2151,3447,250,336,316,385
0.965,372,1496,2160,3451,259,377,298,382
0.975,372,1353,2129,3434,229,368,314,384
0.985,356,1195,2129,3433,192,356,330,393
0.995,372,1037,2129,3435,178,324,335,414
1.005,340,1052,2145,3415,210,308,313,396
1.015,340,1005,2065,3380,238,281,325,403
1.025,324,946,2081,3383,221,293,339,423
1.035,308,1008,2178,3458,227,292,320,423
1.045,308,1021,2093,3552,230,308,308,428
1.055,308,1116,2097,3572,229,300,325,410
1.065,340,1211,2095,3544,232,317,316,407
1.075,356,1274,2160,3588,247,300,320,420
1.085,356,1337,2271,3706,224,348,296,427
1.095,387,1448,2280,3881,229,311,310,461
1.105,467,1506,2303,3940,259,301,313,457
1.115,514,1543,2382,3921,294,301,282,466
1.125,467,1575,2477,3917,311,270,285,482
1.135,467,1638,2485,3917,319,292,357,490
1.145,564,1638,2493,3948,317,327,354,496
1.155,467,1654,2461,4057,301,315,357,475
1.165,517,1583,2483,4245,311,305,350,489
1.175,467,1586,2414,4414,302,324,349,462
1.185,467,1567,2398,4448,280,334,328,453
1.195,467,1562,2498,4344,277,366,362,479
1.205,451,1453,2398,4368,284,357,297,502
1.215,467,1498,2394,4327,233,342,268,510
1.225,467,1543,2382,4214,220,310,290,498
1.235,467,1590,2319,4064,203,313,296,499
1.245,498,1543,2335,3833,211,304,311,487
1.255,562,1596,2319,3673,203,297,299,475
1.265,562,1543,2360,3591,190,303,306,419
1.275,577,1597,2287,3661,174,307,329,416
1.285,577,1559,2287,3658,178,294,318,382
1.295,577,1578,2255,3745,180,299,296,377
1.305,599,1558,2303,3764,182,296,273,387
1.315,562,1559,2350,3838,181,306,258,366
1.325,507,1606,2414,3955,202,304,286,383
1.335,530,1559,2430,3979,196,369,310,425
1.345,532,1399,2444,4013,269,322,312,448
1.355,482,1369,2472,4129,320,286,294,452
1.365,467,1438,2501,4162,304,323,311,435
1.375,498,1422,2570,4067,299,328,336,411
1.385,530,1433,2588,4045,273,343,340,456
1.395,562,1511,2604,3961,308,337,340,461
1.405,530,1518,2588,3819,306,340,316,479
1.415,562,1860,2445,3735,294,366,289,492
