sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,601,1428,2500,3605,277,311,366,450
0.015,659,1460,2490,3611,337,267,344,429
0.025,752,1498,2549,3647,345,264,355,451
0.035,746,1517,2570,3664,314,296,378,442
0.045,753,1561,2540,3788,249,314,365,436
0.055,814,1536,2547,3871,266,293,325,438
0.065,853,1575,2619,3905,230,316,350,454
0.075,929,1596,2644,3825,252,308,378,476
0.085,952,1673,2610,3677,250,302,355,479
0.095,892,1804,2661,3688,264,315,368,459
0.105,940,1863,2720,3768,281,303,355,447
0.115,991,1854,2767,3828,258,322,365,432
0.125,1048,1872,2869,3754,267,333,333,430
0.135,961,1877,2937,3706,253,295,321,420
0.145,757,1900,2729,3651,259,298,269,439
0.155,621,1686,2509,3504,232,297,284,423
0.165,577,1717,2493,3444,221,291,316,409
0.175,484,1765,2509,3468,208,315,319,415
0.185,498,1812,2493,3435,196,290,297,417
0.195,435,1828,2509,3409,217,285,294,417
0.205,419,1828,2477,3455,204,274,298,402
0.215,387,1828,2418,3445,217,262,302,407
0.225,387,1828,2430,3459,231,264,356,400
0.235,298,1796,2414,3602,211,329,326,440
0.245,387,1765,2481,3624,207,314,340,459
0.255,285,1765,2398,3578,195,323,353,430
0.265,305,1717,2382,3583,202,308,363,434
0.275,372,1686,2430,3549,239,333,336,423
0.285,441,1654,2398,3541,246,343,293,404
0.295,419,1552,2445,3550,206,292,310,417
0.305,467,1606,2398,3466,215,314,331,415
0.315,648,1559,2475,3434,219,317,325,407
0.325,577,1496,2398,3373,200,320,307,393
0.335,609,1385,2450,3331,181,320,310,408
0.345,609,1353,2398,3335,167,322,289,420
0.355,641,1258,2366,3439,173,319,259,453
0.365,656,1274,2385,3511,177,313,252,459
0.375,641,1211,2303,3502,192,294,254,401
0.385,656,1211,2323,3407,181,305,282,411
0.395,656,1135,2224,3330,189,311,271,403
0.405,656,1306,2129,3328,181,312,295,395
0.415,625,1290,2034,3387,197,307,321,397
0.425,609,1337,1933,3447,234,302,335,387
0.435,624,1337,1879,3695,272,273,355,381
0.445,594,1434,1812,3791,318,261,344,412
0.455,645,1401,1759,3861,355,248,336,437
0.465,609,1448,1746,3748,293,286,282,405
0.475,609,1559,1800,3742,272,306,287,427
0.485,609,1576,1918,3631,296,285,321,422
0.495,593,1618,2036,3560,272,329,293,445
0.505,593,1659,2104,3592,263,328,318,433
0.515,609,1587,2142,3527,276,318,322,419
0.525,625,1617,2167,3566,284,312,347,425
0.535,625,1597,2178,3639,281,343,346,431
0.545,625,1595,2168,3641,265,345,324,447
0.555,609,1606,2138,3644,267,294,358,426
0.565,625,1575,2097,3598,232,281,395,384
0.575,609,1747,2054,3597,262,277,398,376
0.585,577,1632,2015,3613,291,258,378,389
0.595,577,1432,1978,3676,286,307,324,377
0.605,498,1385,1940,3709,305,277,300,387
0.615,467,1446,1897,3758,291,243,321,393
0.625,482,1337,1849,3818,271,242,330,414
0.635,451,1274,1801,3919,227,262,375,446
0.645,403,1179,1761,4055,181,293,401,490
0.655,435,1100,1679,4092,185,318,428,492
0.665,500,1068,1641,4117,180,334,435,499
0.675,435,1005,1626,4131,176,345,432,485
0.685,452,1024,1627,4086,205,349,407,469
0.695,387,941,1642,3890,238,316,326,461
0.705,413,878,1667,3762,242,270,313,487
0.715,419,846,1696,3610,222,266,310,463
0.725,387,910,1726,3513,236,307,296,440
0.735,451,1005,1763,3553,235,302,309,393
0.745,387,1084,1814,3553,218,309,299,376
0.755,403,1147,1890,3577,183,301,376,361
0.765,352,1211,1991,3576,208,286,364,400
0.775,403,1274,2102,3717,203,315,342,388
0.785,350,1337,2207,3928,216,355,394,410
0.795,372,1416,2291,4076,221,336,415,381
0.805,366,1415,2339,4212,253,335,379,392
0.815,372,1435,2335,4310,295,320,378,377
0.825,308,1454,2340,4334,282,329,374,365
0.835,292,1440,2367,4342,281,334,343,352
0.845,292,1410,2396,4217,237,369,347,372
0.855,308,1453,2425,4217,220,354,356,398
0.865,340,1468,2449,4165,212,328,366,396
0.875,324,1456,2465,3952,243,318,347,419
0.885,340,1471,2473,3633,245,330,326,396
0.895,403,1496,2471,3611,248,321,305,372
0.905,435,1549,2459,3561,230,305,325,368
0.915,467,1523,2437,3562,209,284,325,390
0.925,477,1464,2407,3555,188,286,338,376
0.935,482,1416,2376,3585,232,312,330,377
0.945,451,1401,2349,3701,234,322,278,393
0.955,403,1369,2327,3753,227,359,249,430
0.965,422,1353,2309,3814,216,371,251,436
0.975,387,1369,2295,3830,220,354,282,402
0.985,413,1353,2285,3844,233,362,274,423
0.995,372,1306,2277,3865,248,354,269,437
1.005,392,1274,2274,3802,239,332,285,417
1.015,372,1274,2275,3669,244,305,289,423
1.025,387,1274,2280,3572,218,291,341,424
1.035,457,1321,2291,3472,221,303,335,427
1.045,403,1337,2307,3426,229,302,313,407
1.055,419,1385,2328,3448,223,310,304,389
1.065,422,1511,2351,3478,202,306,312,351
1.075,411,1591,2375,3424,204,305,327,379
1.085,382,1701,2398,3435,210,298,325,390
1.095,371,1781,2419,3472,206,300,314,395
1.105,387,1844,2438,3402,219,303,311,381
1.115,372,1998,2456,3432,225,283,300,370
1.125,372,1923,2470,3456,196,298,311,378
1.135,387,1925,2481,3425,201,295,301,388
1.145,387,1907,2488,3459,177,294,300,361
1.155,451,1875,2492,3392,178,302,330,408
1.165,482,1843,2492,3423,156,275,333,423
1.175,498,1812,2491,3400,175,286,337,393
1.185,514,1859,2489,3531,171,312,306,399
1.195,546,1828,2489,3470,189,309,330,398
1.205,633,1828,2492,3519,192,303,316,384
1.215,625,1829,2495,3602,193,336,321,408
1.225,641,1828,2494,3610,210,342,318,407
1.235,641,1765,2486,3555,194,315,331,411
1.245,641,1771,2466,3554,185,309,322,410
1.255,665,1695,2432,3531,195,317,328,417
1.265,641,1733,2380,3584,205,316,299,434
1.275,719,1622,2308,3643,219,315,289,434
1.285,641,1464,2220,3711,227,348,374,434
1.295,577,1179,2129,3737,244,357,405,474
1.305,451,1131,2051,3730,252,337,369,467
1.315,387,1131,2003,3768,231,321,331,467
1.325,372,1180,1998,3790,230,317,309,458
1.335,324,1100,2052,3807,191,350,294,490
1.345,340,1100,2018,3791,200,341,319,469
1.355,340,1100,2127,3823,196,335,308,462
1.365,324,1195,2129,3790,217,317,339,475
1.375,340,1242,2097,3690,202,279,380,501
1.385,389,1385,2097,3424,244,264,383,470
1.395,340,1622,2113,3344,224,291,372,403
1.405,340,1608,2097,3419,226,307,355,380
1.415,340,1796,2081,3445,205,303,339,373
1.425,372,1622,2145,3487,210,319,347,385
1.435,419,1527,2224,3491,237,325,330,386
1.445,451,1337,2359,3545,230,328,307,398
1.455,435,1226,2382,3665,198,360,321,412
1.465,485,1116,2486,3830,217,334,303,404
1.475,419,1068,2461,3913,210,314,327,400
1.485,419,989,2572,3839,192,295,339,402
1.495,403,989,2620,3694,197,314,339,400
1.505,403,926,2683,3572,213,299,375,394
1.515,387,1036,2715,3544,195,301,350,417
1.525,419,1070,2794,3639,204,279,331,408
1.535,467,1079,2794,3647,215,281,352,407
1.545,530,1131,2810,3648,223,296,332,407
1.555,562,1171,2810,3565,245,284,327,385
1.565,577,1199,2825,3567,240,305,336,377
1.575,562,1239,2778,3563,232,320,343,385
1.585,451,1222,2683,3552,265,299,353,381
1.595,387,1298,2463,3531,263,324,339,402
1.605,387,1338,2467,3633,226,335,307,431
1.615,372,1361,2526,3679,224,318,312,450
1.625,387,1357,2468,3783,246,308,340,412
1.635,440,1364,2413,3910,236,349,358,397
1.645,403,1367,2487,4022,267,306,368,427
1.655,403,1406,2542,4140,285,314,377,416
1.665,387,1448,2560,4092,261,328,371,409
1.675,372,1463,2574,4005,260,358,405,401
1.685,356,1466,2746,3941,289,352,400,417
1.695,403,1438,2715,3887,259,362,348,415
1.705,435,1411,2683,3743,312,330,328,427
1.715,530,1465,2635,3625,289,302,316,413
1.725,609,1448,2556,3557,310,286,312,397
1.735,562,1500,2445,3598,319,309,300,382
1.745,514,1420,2382,3777,317,296,300,375
1.755,514,1353,2366,3877,276,314,318,401
1.765,482,1274,2303,3819,263,319,344,446
1.775,451,1258,2240,3671,251,301,350,438
1.785,435,1242,2255,3507,256,320,326,413
1.795,451,1226,2271,3459,253,323,305,383
1.805,506,1290,2271,3495,246,313,286,401
1.815,450,1403,2319,3479,249,306,292,413
