sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,512,1560,2460,3744,244,300,338,406
0.015,574,1523,2406,3735,283,344,322,417
0.025,679,1473,2374,3728,299,347,335,438
0.035,733,1492,2393,3770,283,340,322,471
0.045,746,1569,2477,3786,254,316,354,469
0.055,801,1603,2517,3770,278,306,356,455
0.065,875,1659,2551,3786,288,313,350,470
0.075,866,1691,2627,3811,285,304,353,454
0.085,841,1752,2659,3809,274,316,340,442
0.095,873,1744,2679,3788,269,312,332,429
0.105,963,1787,2632,3726,285,312,328,406
0.115,949,1815,2747,3764,261,321,321,401
0.125,933,1891,2830,3727,250,319,339,416
0.135,854,1850,2760,3732,228,314,340,445
0.145,862,1686,2648,3699,171,338,331,483
0.155,703,1486,2604,3624,171,322,363,468
0.165,656,1290,2560,3579,151,308,365,454
0.175,688,1226,2441,3511,236,315,334,441
0.185,704,1290,2455,3421,208,322,345,426
0.195,720,1321,2480,3375,238,306,346,416
0.205,704,1306,2461,3360,217,291,314,415
0.215,720,1306,2445,3349,220,302,341,416
0.225,774,1290,2483,3311,212,304,330,407
0.235,720,1290,2382,3273,209,307,313,414
0.245,768,1306,2271,3276,224,302,339,405
0.255,720,1306,2151,3286,213,308,353,399
0.265,767,1274,2129,3305,215,311,345,399
0.275,720,1290,2050,3323,216,310,304,391
0.285,704,1274,2018,3333,200,320,307,373
0.295,707,1290,1923,3355,197,322,290,396
0.305,663,1258,1891,3397,179,332,317,387
0.315,688,1329,1891,3475,147,331,293,385
0.325,625,1258,1860,3543,153,310,293,425
0.335,625,1290,1844,3545,159,300,293,466
0.345,653,1306,1844,3567,142,319,289,472
0.355,593,1337,1812,3508,153,301,288,468
0.365,625,1369,1812,3386,157,297,288,428
0.375,610,1432,1844,3403,161,262,287,390
0.385,621,1496,1875,3438,166,314,293,364
0.395,641,1527,1875,3503,168,299,308,374
0.405,642,1591,1939,3451,174,304,301,370
0.415,622,1606,2002,3495,170,314,275,363
0.425,626,1654,2065,3574,168,309,301,385
0.435,625,1684,2081,3619,159,298,312,397
0.445,646,1717,2097,3541,168,292,317,396
0.455,668,1733,2176,3529,172,316,305,393
0.465,682,1857,2271,3617,155,273,324,393
0.475,697,1860,2366,3627,176,315,344,380
0.485,712,1923,2525,3653,188,316,332,387
0.495,701,1955,2556,3737,191,316,316,383
0.505,650,1970,2588,3771,181,317,292,387
0.515,618,2018,2635,3774,184,326,285,387
0.525,615,2050,2683,3805,179,338,288,391
0.535,608,2081,2683,3838,170,356,297,383
0.545,616,2151,2699,3859,188,350,307,382
0.555,595,2176,2715,3882,178,345,294,379
0.565,596,2240,2683,3852,165,327,330,374
0.575,603,2281,2699,3844,179,315,331,371
0.585,602,2223,2683,3838,171,309,331,370
0.595,604,2213,2699,3833,175,327,316,379
0.605,602,2217,2683,3804,181,316,354,411
0.615,594,2192,2667,3839,183,310,331,399
0.625,567,2102,2604,3879,183,296,353,403
0.635,541,1924,2604,3897,244,385,400,399
0.645,498,1724,2440,3967,277,383,403,415
0.655,403,1575,2286,4004,252,414,330,435
0.665,403,1493,2307,4002,278,418,270,439
0.675,387,1443,2247,3987,282,416,241,453
0.685,387,1405,2251,3937,268,414,247,444
0.695,387,1378,2236,3854,239,380,261,457
0.705,387,1359,2275,3771,212,313,301,491
0.715,387,1346,2303,3718,216,284,350,470
0.725,451,1342,2319,3587,201,303,364,443
0.735,530,1352,2366,3602,180,313,371,409
0.745,593,1381,2445,3665,167,321,382,399
0.755,656,1415,2445,3729,163,312,364,397
0.765,671,1439,2461,3701,181,326,342,381
0.775,667,1446,2509,3686,173,313,341,365
0.785,643,1443,2556,3712,171,326,345,347
0.795,627,1433,2651,3718,191,304,354,340
0.805,618,1424,2730,3712,184,310,394,356
0.815,635,1420,2811,3938,203,298,361,403
0.825,654,1424,2825,4008,237,337,388,427
0.835,656,1440,2889,4117,284,327,423,448
0.845,743,1467,2952,4227,330,325,393,473
0.855,720,1497,2968,4131,306,344,408,453
0.865,751,1523,2936,4062,300,344,351,420
0.875,736,1542,2889,3907,303,335,352,419
0.885,767,1558,2825,3806,320,316,383,465
0.895,688,1573,2907,3753,305,331,358,450
0.905,672,1591,2778,3779,281,329,358,406
0.915,546,1610,2889,3828,292,307,366,423
0.925,467,1624,2920,3889,286,305,359,427
0.935,435,1626,2968,3969,297,303,366,429
0.945,419,1616,3015,3915,287,286,378,441
0.955,372,1621,3094,3980,288,299,367,447
0.965,387,1667,3126,3774,276,344,341,470
0.975,387,1777,3189,3669,262,353,342,436
0.985,356,1916,3174,3633,237,328,320,419
0.995,440,2001,3158,3652,220,327,299,427
1.005,387,2013,3050,3758,196,302,312,425
1.015,388,2025,3079,3768,215,297,320,425
1.025,374,2073,3045,3776,213,300,345,421
1.035,372,2101,3063,3837,192,302,383,409
1.045,356,2081,3062,3822,186,285,391,417
1.055,372,2056,2984,3932,219,308,354,432
1.065,356,2053,2889,3977,223,328,327,438
1.075,372,2059,2905,3986,239,339,340,458
1.085,453,2052,2873,4019,246,343,349,469
1.095,419,2025,2857,4145,245,349,365,458
1.105,451,1978,2841,4297,222,351,312,436
1.115,435,1915,2794,4385,210,300,326,427
1.125,435,1838,2762,4262,202,293,336,455
1.135,435,1755,2821,4124,208,296,326,459
1.145,426,1668,2746,4003,225,293,313,418
1.155,404,1585,2730,3899,202,293,282,387
1.165,402,1508,2652,3906,257,304,340,416
1.175,294,1442,2746,3842,272,305,365,475
1.185,339,1384,2715,3840,221,327,368,445
1.195,372,1335,2715,3987,211,308,343,458
1.205,379,1294,2762,4071,211,301,294,459
1.215,387,1261,2794,4101,216,295,296,454
1.225,456,1237,2841,4118,227,279,302,473
1.235,372,1225,2857,4084,228,294,289,431
1.245,387,1231,2857,4019,225,298,280,427
1.255,435,1256,2889,3868,215,304,298,424
1.265,498,1295,2746,3740,207,314,313,457
1.275,546,1338,2651,3666,200,329,308,464
1.285,593,1375,2540,3595,162,335,365,436
1.295,641,1397,2414,3509,151,333,420,431
1.305,641,1401,2287,3496,134,302,426,407
1.315,669,1396,2050,3521,149,260,445,392
1.325,641,1389,2050,3584,136,249,433,373
1.335,641,1386,1955,3602,152,276,442,376
1.345,611,1388,1923,3578,168,286,418,372
1.355,626,1393,1955,3513,193,295,371,385
1.365,641,1401,1923,3499,185,319,339,378
1.375,621,1411,1907,3478,184,325,310,380
1.385,617,1424,1923,3504,195,320,299,394
1.395,641,1438,1907,3479,197,311,312,431
1.405,550,1451,1923,3530,211,305,302,444
1.415,593,1465,1907,3548,220,328,328,432
1.425,577,1476,1955,3629,214,339,304,415
1.435,599,1486,1923,3590,212,336,309,398
1.445,589,1492,1970,3599,210,343,351,386
1.455,584,1493,2018,3623,208,333,355,359
1.465,517,1490,2002,3602,203,327,407,318
1.475,562,1480,2097,3574,197,335,413,346
1.485,499,1464,2113,3591,202,306,408,435
1.495,489,1480,2145,3706,189,343,394,409
1.505,498,1496,2172,3830,180,340,382,431
1.515,489,1401,2176,3940,196,359,342,444
1.525,451,1456,2240,3971,205,320,371,414
1.535,451,1385,2240,3971,250,322,368,396
1.545,435,1401,2240,3956,303,325,336,392
1.555,356,1385,2255,3945,334,321,335,415
1.565,387,1385,2176,3926,314,310,343,445
1.575,419,1436,2145,3938,272,330,357,485
1.585,435,1385,2145,4047,234,312,310,501
1.595,482,1337,2208,4155,258,319,280,505
