sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,567,1558,2476,3599,248,319,342,424
0.015,574,1564,2549,3650,259,321,334,436
0.025,566,1559,2555,3664,272,311,353,434
0.035,632,1540,2614,3740,289,316,361,439
0.045,664,1607,2612,3846,265,319,353,443
0.055,747,1585,2586,3829,302,326,363,445
0.065,784,1583,2589,3864,274,314,356,437
0.075,827,1684,2566,3951,270,342,392,476
0.085,900,1720,2558,3901,246,347,363,467
0.095,914,1775,2652,4019,254,332,358,475
0.105,847,1827,2617,4050,248,345,365,488
0.115,801,1753,2659,4101,228,308,382,495
0.125,785,1716,2625,4107,214,304,380,493
0.135,716,1666,2566,4070,231,282,360,468
0.145,768,1606,2411,4014,242,291,334,396
0.155,734,1514,2415,3926,287,286,354,371
0.165,648,1498,2461,3923,235,282,338,371
0.175,687,1412,2449,3921,217,307,314,375
0.185,748,1442,2454,3778,199,326,310,407
0.195,697,1459,2449,3876,203,310,341,390
0.205,695,1442,2318,3847,192,323,314,377
0.215,718,1477,2306,3829,193,314,312,386
0.225,752,1476,2331,3834,189,308,330,396
0.235,722,1576,2380,3877,178,316,329,415
0.245,660,1603,2393,3928,183,309,340,420
0.255,633,1694,2455,3894,193,303,328,401
0.265,568,1798,2479,3894,198,303,327,402
0.275,534,1867,2492,3859,196,317,308,390
0.285,465,1959,2578,3910,197,323,285,362
0.295,430,2028,2591,3891,202,331,278,364
0.305,407,2085,2578,3802,218,307,318,420
0.315,396,2131,2557,3809,222,301,324,428
0.325,384,2177,2643,3844,238,317,339,457
0.335,361,2189,2666,3842,215,290,372,444
0.345,384,2126,2668,3858,217,316,336,404
0.355,384,2166,2776,3880,233,283,373,395
0.365,377,2133,2844,3866,206,278,357,386
0.375,414,2104,2917,3943,197,281,354,407
0.385,414,2084,2945,4072,197,292,329,409
0.395,451,2069,2959,4112,177,304,303,390
0.405,453,2090,2985,4072,188,320,298,381
0.415,456,2085,3017,4045,195,332,320,376
0.425,453,2086,3038,3965,200,343,299,404
0.435,442,2083,3036,3935,193,336,297,392
0.445,448,2071,3017,3947,195,343,295,388
