sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,601,1596,2553,3668,204,308,390,434
0.015,740,1597,2519,3722,228,326,344,440
0.025,794,1677,2545,3768,214,317,375,448
0.035,807,1726,2560,3800,212,320,402,453
0.045,897,1709,2595,3760,239,317,362,443
0.055,884,1770,2607,3824,213,348,373,458
0.065,875,1783,2682,3911,201,349,330,437
0.075,939,1807,2695,3943,223,355,337,453
0.085,930,1884,2724,3944,248,322,391,451
0.095,928,1843,2697,3835,245,355,346,457
0.105,910,1735,2748,3782,259,326,360,472
0.115,891,1712,2777,3842,208,325,342,463
0.125,827,1666,2850,3894,199,296,383,482
0.135,750,1630,2833,3889,202,306,364,474
0.145,771,1615,2816,3933,239,329,365,477
0.155,696,1606,2714,3901,276,333,384,471
0.165,535,1573,2693,3911,260,355,381,479
0.175,481,1289,2665,3986,267,330,341,468
0.185,361,1245,2654,4072,296,285,337,458
0.195,324,1286,2702,4069,220,281,360,465
0.205,336,1286,2776,4135,226,311,332,457
0.215,336,1286,2806,4096,245,293,331,458
0.225,362,1312,2857,4003,215,295,290,413
0.235,387,1324,2781,4006,197,317,295,420
0.245,425,1424,2819,4042,208,299,308,417
0.255,412,1438,2844,3980,276,299,332,450
0.265,476,1489,2857,3987,299,302,336,471
0.275,539,1577,2895,4037,339,315,342,471
0.285,564,1641,2958,3989,324,300,349,449
0.295,602,1704,2983,3923,326,307,338,452
0.305,590,1690,2983,3913,329,293,315,435
0.315,602,1780,2971,3963,304,301,303,441
0.325,590,1755,2819,3931,299,300,327,449
0.335,577,1704,2629,3939,232,315,322,448
0.345,564,1716,2489,3758,226,334,333,437
0.355,539,1666,2451,3693,236,303,328,383
0.365,488,1641,2439,3694,219,307,338,365
0.375,488,1641,2439,3682,206,308,357,367
0.385,463,1641,2451,3659,197,316,364,351
0.395,514,1641,2477,3711,220,345,355,361
0.405,514,1641,2464,3726,223,346,356,346
0.415,526,1679,2477,3808,200,334,341,342
0.425,564,1653,2464,3819,203,324,342,346
0.435,551,1679,2477,3857,216,320,332,334
0.445,514,1729,2464,3927,221,320,344,328
0.455,476,1793,2444,3944,211,293,340,310
0.465,400,1869,2477,3921,199,290,326,299
0.475,349,1856,2471,3896,198,300,306,302
0.485,336,1881,2477,3919,192,297,306,307
0.495,349,1869,2477,3916,193,300,325,312
0.505,336,1869,2388,3991,195,297,322,336
0.515,349,1856,2413,4022,185,291,302,331
0.525,349,1843,2337,4055,191,286,292,328
0.535,349,1805,2274,3994,190,288,321,351
0.545,349,1793,2223,3942,196,300,309,349
0.555,374,1767,2173,3933,203,305,329,331
0.565,412,1755,2185,3918,206,308,313,337
0.575,438,1742,2160,3960,202,309,306,335
0.585,515,1729,2173,3947,205,317,309,341
0.595,499,1691,2173,3899,206,320,307,339
0.605,412,1679,2173,3869,208,315,305,341
0.615,387,1666,2211,3850,201,316,313,380
0.625,336,1666,2261,3914,202,292,338,438
0.635,298,1653,2249,3901,232,288,307,442
0.645,298,1641,2312,3799,246,318,281,472
0.655,298,1641,2299,3765,248,311,302,467
0.665,324,1717,2375,3828,266,301,325,438
0.675,324,1834,2413,3964,243,283,345,367
0.685,374,1901,2489,4051,207,263,356,341
0.695,387,1963,2527,4102,212,267,328,316
0.705,402,2020,2565,4101,219,284,304,335
0.715,400,2070,2591,4009,214,305,295,359
0.725,329,2112,2629,3993,207,318,311,392
0.735,320,2145,2577,3948,199,332,337,432
0.745,381,2167,2641,3907,224,330,374,475
0.755,409,2177,2628,3858,278,323,376,467
0.765,387,2174,2684,3836,289,333,372,481
0.775,374,2159,2759,3828,365,369,320,455
0.785,400,2137,2820,3810,355,423,297,437
0.795,400,2114,2920,3744,335,422,348,429
0.805,400,2096,3237,3761,242,415,346,422
0.815,400,2089,3249,3791,218,397,343,409
0.825,400,2099,3199,3864,192,405,326,422
0.835,400,2128,3161,3919,282,424,326,433
0.845,362,2168,3085,3879,290,408,316,426
0.855,362,2211,3012,3862,290,361,312,379
0.865,311,2245,3021,3849,232,338,334,340
