sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,527,1536,2426,3565,234,312,350,429
0.015,533,1536,2443,3525,282,332,331,480
0.025,589,1484,2411,3535,292,354,323,450
0.035,528,1564,2382,3561,269,360,327,427
0.045,555,1516,2418,3583,285,329,349,431
0.055,560,1462,2385,3568,303,321,313,428
0.065,531,1488,2390,3595,276,343,308,416
0.075,563,1473,2462,3518,291,315,332,434
0.085,616,1526,2447,3524,277,337,312,403
0.095,661,1475,2529,3530,287,337,303,421
0.105,703,1526,2594,3572,289,319,316,438
0.115,801,1470,2551,3556,307,319,338,436
0.125,829,1504,2655,3570,274,306,338,422
0.135,847,1650,2591,3698,281,328,358,394
0.145,917,1694,2598,3740,291,321,363,415
0.155,923,1804,2633,3776,272,327,377,431
0.165,945,1914,2628,3863,255,324,384,424
0.175,988,1938,2658,3925,248,326,370,432
0.185,929,1893,2716,3937,265,316,338,458
0.195,928,1941,2790,3950,244,312,346,475
0.205,1042,1941,2871,3848,266,315,322,415
0.215,1045,1981,2962,3981,208,345,359,398
0.225,1019,1930,3034,3869,268,353,365,375
0.235,1026,1964,3076,3793,256,339,353,378
0.245,978,2037,2976,3770,270,349,337,357
0.255,804,1917,3029,3830,255,336,346,351
0.265,762,1787,3055,3775,277,295,338,399
0.275,823,1742,3115,3826,273,315,339,431
0.285,812,1821,3072,3802,251,314,309,437
0.295,935,1832,3011,3860,253,323,345,419
0.305,829,1830,3046,3870,244,306,357,395
0.315,881,1770,2939,3985,262,287,325,393
0.325,865,1756,2898,3901,234,288,329,398
0.335,895,1728,2875,3853,258,289,357,393
0.345,934,1809,2898,3769,258,306,392,369
0.355,933,1752,2936,3855,281,266,356,340
0.365,864,1740,2950,3897,257,256,348,333
0.375,883,1674,2947,3894,277,257,338,356
0.385,867,1719,2881,3897,268,275,332,372
0.395,913,1744,2825,3931,270,279,339,403
0.405,855,1709,2763,3899,276,288,342,421
0.415,779,1680,2736,3916,245,304,331,417
0.425,814,1662,2742,3839,300,270,320,427
0.435,818,1716,2759,3829,247,282,313,417
0.445,846,1710,2797,3831,249,281,326,400
0.455,892,1730,2787,3851,245,293,312,394
0.465,971,1738,2815,3829,248,311,331,403
0.475,922,1712,2863,3920,245,290,319,411
