sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,547,1490,2477,3634,258,315,371,474
0.015,576,1577,2460,3637,270,329,345,472
0.025,611,1607,2496,3644,268,339,341,475
0.035,653,1578,2481,3737,285,321,324,455
0.045,723,1639,2423,3752,241,341,340,439
0.055,745,1648,2450,3788,267,324,342,437
0.065,746,1735,2538,3884,200,333,385,466
0.075,830,1815,2495,3936,216,369,404,494
0.085,808,1843,2528,3927,208,392,372,474
0.095,821,1852,2543,4023,227,355,350,455
0.105,878,1888,2567,4125,238,343,367,474
0.115,836,1849,2663,4166,224,335,329,435
0.125,845,1896,2654,4127,261,311,322,425
0.135,879,1920,2754,4115,304,302,334,448
0.145,907,1886,2756,4139,237,324,360,437
0.155,840,1838,2757,4129,234,301,364,433
0.165,892,1888,2715,4024,285,314,345,403
0.175,832,1865,2664,4087,210,308,369,438
0.185,837,1788,2575,4111,222,330,347,435
0.195,735,1761,2648,4088,216,348,394,429
0.205,733,1751,2617,4049,257,337,363,450
0.215,841,1756,2637,3955,278,339,362,453
0.225,898,1777,2732,3845,296,286,393,476
0.235,921,1789,2725,3762,260,301,381,448
0.245,950,1788,2740,3739,267,287,370,418
0.255,950,1809,2796,3763,260,317,379,420
0.265,891,1853,2880,3830,257,284,389,423
0.275,877,1819,2955,3914,255,287,347,442
0.285,884,1785,2928,3958,252,307,342,444
0.295,850,1811,2950,3933,248,290,359,445
0.305,851,1745,2923,3904,288,284,341,427
0.315,907,1767,2935,3894,266,273,353,440
0.325,981,1790,2898,3912,252,294,363,447
0.335,975,1825,2874,3899,238,307,354,432
0.345,936,1854,2885,3926,219,316,350,430
0.355,967,1882,2842,3966,229,335,347,455
0.365,906,1745,2783,3883,243,308,330,448
0.375,826,1794,2702,3915,228,318,334,439
0.385,795,1721,2705,3931,213,295,326,428
0.395,860,1720,2670,3906,203,304,351,458
0.405,828,1667,2638,3907,216,313,332,450
0.415,715,1581,2583,3824,208,310,290,433
0.425,651,1557,2527,3828,252,302,288,393
0.435,632,1516,2526,3829,255,305,306,394
0.445,584,1558,2558,3780,253,298,338,424
0.455,617,1546,2531,3690,279,333,339,433
0.465,607,1510,2585,3705,286,321,335,447
0.475,689,1485,2513,3645,273,304,342,432
0.485,711,1533,2466,3669,308,280,331,397
0.495,690,1560,2588,3791,282,285,320,407
0.505,661,1539,2630,3829,320,305,320,407
0.515,518,1557,2608,3872,291,301,311,427
0.525,424,1601,2608,3771,227,278,279,429
0.535,426,1540,2574,3721,213,274,301,406
0.545,402,1608,2574,3748,225,346,275,451
0.555,414,1619,2540,3686,251,358,258,476
0.565,448,1619,2551,3637,208,338,237,494
0.575,483,1619,2562,3550,200,336,224,502
0.585,505,1630,2551,3431,200,346,244,474
0.595,517,1642,2551,3373,211,344,246,464
0.605,501,1608,2562,3355,217,349,244,431
0.615,483,1630,2570,3374,231,357,273,375
0.625,403,1790,2562,3480,245,379,313,337
0.635,401,1892,2574,3566,220,316,324,344
0.645,358,1915,2551,3609,216,297,334,378
0.655,358,1960,2528,3582,212,299,310,350
0.665,358,1960,2517,3573,204,312,339,341
0.675,358,1937,2494,3498,215,287,352,320
0.685,358,1937,2472,3575,223,306,356,286
0.695,335,1926,2472,3587,213,291,356,323
0.705,358,1926,2506,3537,225,305,366,323
0.715,368,1962,2517,3635,221,287,362,315
0.725,358,1869,2551,3746,229,294,347,340
0.735,337,1858,2597,3943,224,306,324,348
0.745,335,1790,2642,4115,227,299,308,365
0.755,335,1744,2676,4152,226,312,375,404
0.765,335,1733,2744,4172,223,318,412,403
0.775,323,1665,2779,4194,227,339,415,425
0.785,323,1653,2744,4178,225,351,416,403
0.795,335,1639,2722,4202,210,353,361,431
0.805,358,1665,2744,4084,185,291,326,429
0.815,369,1687,2744,3975,203,297,318,402
0.825,358,1756,2744,3885,212,295,299,398
0.835,414,1824,2710,3784,215,305,302,404
0.845,471,1869,2642,3741,188,329,341,394
0.855,448,1892,2585,3712,208,313,335,427
0.865,448,1892,2540,3839,204,308,323,420
0.875,414,1915,2483,3776,212,303,337,413
0.885,426,1892,2472,3756,182,278,325,392
0.895,414,1881,2517,3567,214,295,307,376
0.905,389,1903,2562,3510,223,297,337,392
0.915,381,1915,2653,3543,228,314,310,406
0.925,348,1900,2608,3504,255,321,283,433
0.935,306,1903,2597,3483,264,320,295,434
0.945,323,1903,2551,3514,260,321,291,446
