sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,700,1646,2498,3680,221,315,361,426
0.015,798,1722,2468,3780,215,355,363,437
0.025,937,1597,2465,3891,270,343,321,456
0.035,916,1585,2475,3879,253,343,343,475
0.045,881,1610,2416,3859,236,345,353,487
0.055,886,1588,2526,3874,210,346,332,473
0.065,798,1693,2531,3831,222,340,337,460
0.075,845,1742,2560,3824,276,350,360,486
0.085,932,1681,2631,3829,285,335,342,474
0.095,894,1743,2646,3894,221,362,361,496
0.105,824,1819,2755,3902,260,320,384,482
0.115,829,1835,2724,3936,263,331,337,436
0.125,772,1948,2730,3948,234,354,331,433
0.135,681,1935,2682,3954,256,362,318,390
0.145,470,1916,2706,3884,298,330,340,396
0.155,292,1945,2648,3802,262,304,347,440
0.165,324,1935,2626,3849,230,328,359,426
0.175,292,1926,2556,3942,195,296,372,442
0.185,347,1945,2296,4048,177,309,366,434
0.195,292,1945,2293,4047,181,351,325,435
0.205,321,1954,2296,4022,182,334,306,415
0.215,358,1954,2287,3923,194,351,279,437
0.225,321,1954,2296,3940,196,347,259,430
0.235,321,1973,2325,3899,203,346,291,444
0.245,330,1983,2317,3870,212,335,332,463
0.255,340,1973,2353,3836,245,326,342,463
0.265,340,2021,2391,3649,225,325,330,439
0.275,368,2068,2458,3629,216,293,304,414
0.285,378,2021,2515,3627,225,272,316,425
0.295,387,2011,2657,3754,203,296,315,415
0.305,387,1983,2695,3792,198,303,312,403
0.315,406,1977,2724,3827,206,287,296,393
0.325,406,1935,2771,3842,199,312,302,401
0.335,416,1916,2790,3963,209,285,282,395
0.345,416,1878,2800,4182,202,301,292,397
0.355,425,1850,2800,4323,213,323,311,411
0.365,416,1850,2800,4265,222,352,327,407
0.375,360,1888,2800,4158,242,343,362,398
0.385,368,1859,2790,4143,241,363,405,376
0.395,343,1888,2800,4193,238,386,334,345
0.405,321,1897,2800,4215,234,378,325,348
0.415,273,1864,2819,4185,228,372,329,374
0.425,273,1869,2838,4198,230,317,372,374
0.435,273,1888,2828,4244,232,347,325,370
0.445,292,1897,2828,4289,232,352,340,392
0.455,311,1907,2828,4306,239,333,377,356
0.465,330,1935,2879,4302,207,304,357,364
0.475,321,1935,2790,4021,196,312,311,431
0.485,349,2002,2771,3762,218,297,289,415
0.495,349,1992,2714,3662,219,271,319,393
0.505,368,2017,2705,3706,219,343,305,424
0.515,387,2021,2686,3658,189,327,286,401
0.525,397,2078,2629,3601,192,300,252,420
0.535,406,2095,2619,3619,191,295,271,435
0.545,435,2057,2629,3569,175,302,253,405
0.555,463,2045,2610,3574,178,269,293,391
0.565,463,1996,2629,3576,190,296,254,362
0.575,501,1940,2619,3502,178,302,290,366
0.585,520,1900,2629,3430,182,281,258,364
0.595,530,1825,2629,3446,190,331,255,333
0.605,530,1755,2638,3388,191,320,252,357
0.615,539,1707,2648,3384,182,320,219,368
0.625,530,1669,2648,3349,196,315,249,393
0.635,539,1574,2657,3391,187,314,227,389
0.645,530,1536,2667,3439,193,291,255,391
0.655,577,1508,2667,3504,206,295,255,410
0.665,577,1451,2667,3519,278,285,331,417
0.675,500,1365,2619,3641,256,321,336,411
0.685,454,1147,2638,3733,253,308,323,439
0.695,330,1128,2610,3896,228,313,333,465
0.705,330,1156,2610,3984,248,295,318,431
0.715,330,1156,2562,4042,260,287,323,411
0.725,321,1156,2524,4159,249,275,338,419
0.735,311,1175,2496,4220,260,265,328,399
0.745,311,1175,2467,4317,247,263,335,410
0.755,321,1194,2439,4387,259,294,338,389
0.765,311,1166,2486,4449,223,328,373,418
0.775,321,1166,2486,4457,218,331,409,387
0.785,425,1147,2515,4512,258,328,422,385
0.795,548,1204,2488,4531,301,277,408,349
0.805,615,1289,2581,4486,276,295,407,365
0.815,672,1394,2610,4416,215,310,370,407
0.825,776,1460,2667,4330,221,292,340,451
0.835,824,1489,2676,4360,209,292,318,478
0.845,824,1479,2676,4336,194,323,346,497
0.855,833,1523,2733,4246,212,295,336,522
0.865,833,1441,2762,4231,235,297,318,505
0.875,824,1441,2781,4289,232,325,281,508
0.885,805,1432,2809,4332,211,280,280,507
0.895,805,1403,2857,4324,211,311,285,518
0.905,805,1375,2890,4300,205,287,309,517
0.915,786,1384,2847,4304,196,310,303,522
0.925,767,1384,2819,4302,207,271,296,540
0.935,776,1365,2812,4357,211,313,272,519
0.945,767,1365,2724,4446,175,301,296,506
0.955,757,1327,2686,4506,180,326,301,491
0.965,757,1299,2619,4516,193,329,338,492
0.975,798,1299,2581,4404,188,336,327,478
0.985,757,1299,2524,4213,184,356,281,478
0.995,771,1365,2477,4124,196,321,313,475
1.005,764,1318,2486,3955,191,324,335,465
1.015,753,1413,2439,3841,184,313,335,449
1.025,742,1508,2353,3786,183,305,317,436
1.035,691,1527,2334,3712,179,308,317,427
1.045,659,1555,2249,3637,185,293,346,416
1.055,653,1593,2230,3580,169,275,350,440
1.065,634,1603,2192,3575,154,268,341,461
1.075,596,1631,2154,3587,170,254,343,444
1.085,577,1641,2163,3591,154,262,359,428
1.095,539,1688,2144,3621,169,252,346,455
1.105,535,1698,2116,3631,186,262,356,462
1.115,518,1707,2116,3630,184,249,350,451
1.125,510,1726,2125,3692,179,273,369,439
1.135,475,1736,2144,3657,185,291,388,432
1.145,464,1745,2173,3628,215,329,338,432
1.155,438,1755,2173,3602,201,311,284,437
1.165,439,1783,2192,3530,210,324,360,426
1.175,446,1764,2201,3421,195,325,359,437
1.185,425,1783,2230,3341,205,315,342,442
1.195,406,1783,2258,3451,179,281,357,426
1.205,406,1802,2391,3428,265,288,354,397
1.215,378,1802,2486,3480,319,356,289,381
1.225,359,1802,2667,3562,321,399,316,375
1.235,340,1802,2724,3585,306,378,316,404
1.245,340,1793,2714,3495,279,338,368,450
1.255,349,1793,2676,3460,248,328,404,441
1.265,321,1698,2339,3400,241,306,383,426
1.275,292,1679,2183,3421,237,270,361,412
1.285,283,1665,2250,3605,173,296,348,439
1.295,273,1659,2173,3600,171,292,356,475
1.305,283,1663,2183,3649,189,334,364,465
1.315,283,1681,2230,3735,200,329,301,456
1.325,292,1711,2307,3784,206,337,285,457
1.335,311,1749,2633,3698,180,330,322,477
1.345,321,1792,2686,3719,230,370,307,466
1.355,349,1833,2724,3756,242,373,295,433
1.365,359,1863,2734,3872,207,320,305,427
1.375,401,1878,2772,3947,207,313,304,405
1.385,397,1877,2800,4034,208,317,358,394
1.395,397,1863,2791,4180,211,301,377,396
1.405,345,1838,2800,4160,216,379,381,376
1.415,397,1810,2791,4184,233,328,392,365
1.425,406,1785,2772,4189,234,332,363,386
1.435,349,1771,2772,4102,258,308,379,372
1.445,349,1767,2743,4175,288,315,377,396
1.455,349,1769,2762,4183,277,339,335,382
1.465,397,1775,2762,4133,212,325,308,366
1.475,378,1781,2743,4135,214,323,330,373
1.485,378,1784,2724,4136,186,326,304,412
1.495,378,1781,2724,4027,198,345,274,432
1.505,406,1774,2724,3849,216,354,267,427
1.515,406,1765,2715,3809,194,337,254,424
1.525,425,1755,2705,3841,199,310,265,396
1.535,425,1746,2715,3959,211,313,281,413
1.545,435,1741,2686,4036,296,342,309,427
1.555,473,1742,2677,4068,331,337,304,426
1.565,501,1750,2639,3963,331,348,315,435
1.575,548,1767,2601,3911,319,343,296,432
1.585,558,1788,2591,3920,319,343,303,418
1.595,558,1814,2591,3940,297,364,280,388
1.605,567,1840,2582,3926,313,311,290,391
1.615,530,1866,2582,3948,329,292,275,393
1.625,520,1888,2582,3844,319,321,282,429
1.635,539,1906,2572,3833,321,273,304,417
1.645,501,1916,2572,3807,326,270,322,421
1.655,473,1918,2572,3828,299,285,330,429
1.665,454,1910,2591,3827,219,316,295,452
1.675,435,1892,2563,3834,190,313,275,438
1.685,435,1863,2591,3933,209,317,249,461
1.695,425,1829,2610,4097,225,323,214,468
1.705,425,1791,2658,4231,221,329,249,451
1.715,416,1754,2734,4343,215,342,260,445
1.725,378,1722,2781,4473,198,355,267,433
1.735,311,1699,2838,4577,210,375,302,438
1.745,302,1685,2829,4468,230,359,350,393
1.755,311,1679,2810,4521,234,364,345,387
1.765,338,1679,2819,4619,195,345,369,387
1.775,311,1684,2810,4595,183,360,349,385
1.785,311,1691,2810,4667,193,349,352,369
1.795,311,1699,2781,4673,186,362,383,399
1.805,321,1706,2753,4689,197,368,407,393
1.815,349,1710,2705,4588,222,398,405,406
1.825,340,1711,2715,4402,239,413,373,431
1.835,359,1711,2715,4277,287,409,399,464
1.845,378,1708,2763,4199,311,412,414,454
1.855,435,1705,2772,4055,363,372,446,416
1.865,529,1700,2810,4076,355,380,400,385
1.875,586,1694,2905,4040,334,348,388,381
1.885,624,1688,2895,3966,324,301,371,389
1.895,672,1682,2905,3998,308,324,343,392
1.905,681,1676,2903,3980,255,352,331,422
1.915,691,1672,2905,4038,268,326,318,421
1.925,681,1668,2895,4006,283,291,364,390
1.935,672,1666,2867,4030,209,298,337,407
1.945,672,1666,2876,4082,221,292,335,435
1.955,662,1668,2905,4112,210,287,326,430
1.965,672,1672,2905,4094,220,275,310,449
1.975,681,1678,2914,4067,210,286,311,439
1.985,672,1687,2886,4116,232,292,328,481
1.995,681,1697,2895,4189,245,289,304,481
2.005,681,1710,2848,4273,278,283,303,456
2.015,681,1723,2829,4341,250,307,313,438
2.025,691,1738,2806,4317,293,330,322,446
2.035,681,1755,2757,4311,255,355,348,472
2.045,672,1772,2732,4300,249,353,326,485
2.055,634,1790,2699,4307,236,332,323,481
2.065,624,1809,2712,4178,219,318,332,477
2.075,606,1829,2696,3973,222,321,340,496
2.085,610,1848,2696,3782,188,302,344,455
