sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,587,1516,2377,3589,268,313,344,443
0.015,648,1593,2402,3648,273,307,343,459
0.025,695,1554,2512,3774,273,309,328,468
0.035,746,1542,2518,3854,240,327,319,454
0.045,809,1556,2465,3822,221,333,331,477
0.055,849,1507,2475,3780,250,299,329,461
0.065,771,1518,2480,3809,214,343,326,461
0.075,758,1516,2425,3820,236,316,304,451
0.085,716,1490,2448,3851,231,303,319,442
0.095,730,1476,2431,3887,281,289,322,477
0.105,696,1500,2396,3811,236,336,294,469
0.115,580,1550,2348,3788,251,286,272,423
0.125,500,1616,2331,3843,221,315,305,422
0.135,403,1688,2387,3874,192,294,307,433
0.145,451,1697,2456,3866,198,354,309,400
0.155,335,1740,2387,3842,217,344,279,418
0.165,345,1788,2470,3848,227,320,284,441
0.175,345,1853,2490,3800,237,318,289,404
0.185,356,1916,2511,3795,217,330,325,406
0.195,387,1950,2485,3769,215,327,346,390
0.205,376,1967,2553,3761,198,322,340,394
0.215,418,1993,2532,3760,205,323,338,386
0.225,418,1938,2501,3788,203,324,330,397
0.235,438,1972,2459,3785,201,316,330,388
0.245,470,1920,2428,3758,204,313,337,383
0.255,480,1879,2407,3755,193,312,335,396
0.265,532,1827,2436,3763,210,320,333,405
0.275,532,1796,2407,3732,199,322,323,386
0.285,532,1682,2428,3748,191,337,315,385
0.295,573,1568,2459,3721,174,355,315,365
0.305,563,1257,2511,3725,190,351,329,351
0.315,563,1185,2594,3746,181,317,344,332
0.325,612,1091,2698,3777,173,318,342,383
0.335,615,967,2726,3689,207,306,362,387
0.345,625,957,2781,3724,208,321,337,393
0.355,625,926,2801,3691,216,299,358,398
0.365,625,894,2801,3713,213,317,336,389
0.375,635,884,2832,3791,202,300,308,363
0.385,594,905,2832,3869,216,295,313,335
0.395,635,915,2801,3779,208,281,324,349
0.405,625,915,2812,3754,200,277,327,330
0.415,594,946,2770,3761,194,272,317,313
0.425,625,998,2760,3787,186,276,360,342
0.435,584,1008,2739,3845,245,304,372,405
0.445,262,1029,2687,3888,225,328,354,388
0.455,242,1050,2501,3941,219,309,302,396
0.465,212,1081,2459,3967,216,305,304,389
0.475,210,1060,2407,3978,220,312,300,390
0.485,221,1122,2376,3947,219,311,289,392
0.495,200,1154,2345,3892,210,296,313,392
0.505,210,1154,2356,3792,215,256,327,392
0.515,242,1205,2343,3661,216,278,358,379
0.525,262,1236,2262,3598,210,289,364,365
0.535,480,1288,2250,3605,202,306,357,346
0.545,552,1317,2290,3667,200,313,343,328
0.555,584,1408,2363,3630,197,313,340,322
0.565,581,1459,2450,3670,209,317,337,290
0.575,584,1476,2533,3669,197,324,332,280
0.585,596,1468,2593,3635,220,325,340,279
0.595,581,1442,2612,3670,219,329,329,336
0.605,584,1406,2574,3788,226,319,308,374
0.615,542,1368,2483,3899,246,305,338,466
0.625,507,1335,2354,4042,230,307,325,474
0.635,520,1306,2204,4137,224,280,330,458
0.645,501,1275,2056,4217,209,294,343,463
0.655,525,1234,1933,4229,220,284,360,427
0.665,459,1180,1843,4230,220,286,376,448
0.675,459,1126,1788,4167,197,292,354,425
0.685,459,1087,1768,4197,193,306,369,468
0.695,459,1079,1774,4259,211,294,362,475
0.705,438,1104,1794,4318,214,293,342,485
0.715,449,1147,1816,4323,212,280,312,484
0.725,438,1192,1830,4273,205,263,301,484
0.735,407,1229,1840,4192,195,246,343,466
0.745,376,1268,1857,4120,205,213,341,405
0.755,376,1331,1897,4102,205,221,339,404
0.765,376,1435,1973,4094,221,236,349,406
0.775,387,1571,2083,4057,212,241,364,403
0.785,376,1689,2205,3965,224,258,392,392
0.795,356,1758,2315,3955,203,228,367,396
0.805,378,1793,2392,3947,219,232,350,396
0.815,345,1815,2438,3975,219,233,323,424
0.825,357,1843,2464,3976,195,235,341,430
0.835,345,1879,2481,3904,232,246,363,437
0.845,376,1916,2502,3846,256,318,326,442
0.855,324,1943,2529,3864,264,323,293,427
0.865,314,1957,2559,3853,302,327,326,415
0.875,304,1960,2588,3864,313,317,358,416
0.885,324,1954,2614,3834,320,325,319,407
0.895,335,1942,2634,3768,306,328,322,393
0.905,324,1929,2647,3700,303,330,288,407
0.915,324,1914,2654,3641,288,306,278,434
0.925,324,1895,2655,3644,286,286,263,421
0.935,324,1873,2650,3590,326,301,274,428
0.945,345,1845,2639,3600,331,294,271,459
0.955,314,1811,2623,3617,283,331,315,433
0.965,324,1770,2602,3657,310,288,357,445
0.975,304,1721,2574,3589,325,312,353,444
0.985,314,1662,2542,3523,333,309,357,440
0.995,324,1594,2480,3393,285,307,346,450
