sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,546,1441,2462,3718,272,300,307,422
0.015,591,1486,2468,3715,266,305,315,426
0.025,652,1547,2542,3714,276,315,308,444
0.035,667,1539,2544,3654,278,316,334,438
0.045,748,1600,2489,3655,296,331,337,421
0.055,782,1560,2550,3709,283,354,313,445
0.065,821,1586,2532,3757,304,337,314,450
0.075,798,1634,2536,3759,251,376,336,433
0.085,777,1697,2506,3781,209,343,358,433
0.095,720,1686,2545,3906,187,330,341,443
0.105,771,1739,2509,3917,199,311,343,454
0.115,774,1803,2528,4078,186,288,354,444
0.125,812,1796,2511,4164,169,306,375,434
0.135,760,1802,2543,4248,204,282,388,431
0.145,696,1880,2672,4206,189,318,384,415
0.155,633,1897,2623,4126,221,320,371,429
0.165,581,1907,2655,4082,213,297,386,444
0.175,509,1907,2666,4010,191,310,395,450
0.185,475,1918,2697,3848,230,327,376,433
0.195,423,1949,2697,3798,202,322,388,442
0.205,401,1971,2697,3849,217,292,391,440
0.215,412,1981,2697,3972,224,284,374,440
0.225,424,1971,2676,4048,293,279,399,473
0.235,380,1960,2676,4058,278,293,394,480
0.245,370,1939,2666,4097,307,305,377,475
0.255,349,1907,2655,3996,322,327,357,445
0.265,380,1912,2655,3849,333,367,322,424
0.275,401,1878,2644,3781,350,390,361,416
0.285,444,1886,2644,3755,328,383,392,414
0.295,454,1876,2644,3733,341,397,351,411
0.305,465,1865,2644,3741,350,368,337,414
0.315,465,1838,2666,3799,358,348,344,390
0.325,475,1823,2666,3957,327,327,340,414
0.335,465,1781,2676,4004,304,321,371,432
0.345,465,1770,2666,4001,281,340,367,461
0.355,465,1760,2676,3986,342,310,358,465
0.365,465,1749,2666,3988,289,297,365,428
0.375,465,1684,2655,3848,301,307,376,390
0.385,486,1570,2676,3771,291,353,360,377
0.395,454,1470,2666,3884,265,336,358,365
0.405,391,1386,2634,3905,244,318,342,387
0.415,359,1318,2613,3809,235,311,353,442
0.425,370,1266,2539,3734,232,338,360,465
0.435,359,1231,2497,3680,192,376,356,467
0.445,370,1212,2497,3708,187,414,304,512
0.455,380,1207,2434,3711,177,398,258,517
0.465,401,1211,2444,3654,164,326,261,520
0.475,433,1223,2471,3688,209,316,238,512
0.485,444,1238,2487,3759,205,301,276,475
0.495,454,1255,2508,3792,191,287,294,426
0.505,465,1273,2516,3785,186,287,298,409
0.515,496,1291,2514,3765,192,276,310,410
0.525,538,1310,2542,3785,184,279,310,411
0.535,549,1328,2525,3767,179,281,313,400
0.545,581,1347,2523,3849,204,289,309,403
0.555,620,1365,2531,3842,191,275,304,391
0.565,591,1383,2522,3816,177,289,303,376
0.575,591,1400,2504,3792,174,287,296,367
0.585,591,1416,2465,3836,190,293,297,341
0.595,599,1430,2487,3864,177,301,307,337
0.605,581,1443,2444,3883,182,316,326,367
0.615,549,1455,2392,3942,184,322,328,369
0.625,570,1464,2360,3984,220,324,327,384
0.635,493,1470,2329,3970,206,323,340,406
0.645,496,1475,2276,3960,219,304,349,419
0.655,444,1478,2244,3880,213,334,320,431
0.665,391,1481,2202,3891,234,293,315,443
0.675,380,1486,2202,3902,227,337,275,429
0.685,412,1493,2244,3853,234,345,279,428
0.695,444,1505,2290,3844,254,342,253,405
0.705,454,1521,2339,3815,248,331,292,410
0.715,496,1545,2377,3787,248,365,291,422
0.725,496,1578,2487,3769,245,360,285,434
0.735,528,1623,2550,3736,226,365,331,439
0.745,538,1683,2560,3741,190,332,358,425
0.755,565,1753,2592,3781,192,279,376,433
0.765,549,1818,2581,3778,222,274,363,443
0.775,507,1859,2571,3831,205,264,380,444
0.785,486,1862,2571,3883,177,273,388,449
0.795,507,1834,2550,3871,183,254,365,428
0.805,532,1789,2529,3844,186,263,365,440
0.815,507,1743,2539,3788,176,269,350,441
0.825,507,1709,2529,3746,196,260,333,428
0.835,496,1705,2529,3780,213,353,325,456
0.845,299,1743,2518,3649,198,322,329,436
0.855,244,1718,2539,3625,190,332,357,425
0.865,222,1665,2494,3602,191,339,375,418
0.875,222,1665,2465,3639,208,353,345,438
0.885,244,1634,2465,3623,251,337,316,453
0.895,307,1612,2444,3642,253,320,308,437
0.905,328,1591,2444,3650,276,298,316,456
0.915,391,1591,2465,3629,308,310,313,476
0.925,401,1612,2465,3610,302,305,307,442
0.935,444,1634,2518,3661,313,310,313,446
0.945,496,1612,2503,3658,316,316,291,431
0.955,528,1634,2571,3672,285,303,299,444
0.965,591,1676,2644,3697,282,332,314,410
0.975,644,1707,2650,3693,287,341,331,392
0.985,665,1813,2656,3710,307,296,356,420
0.995,686,1799,2647,3756,247,312,375,445
1.005,654,1697,2627,3747,282,328,344,440
1.015,623,1476,2597,3700,267,334,343,448
1.025,612,1326,2561,3642,188,354,341,446
1.035,576,1223,2522,3533,161,354,344,433
1.045,370,1128,2480,3568,164,357,327,385
1.055,338,1021,2440,3617,186,348,346,399
1.065,349,1023,2404,3668,173,344,339,387
1.075,370,928,2374,3732,188,347,331,368
1.085,359,875,2351,3746,169,347,324,372
1.095,380,896,2335,3720,191,337,335,408
