sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,542,1524,2496,3687,260,299,335,454
0.015,547,1559,2420,3705,284,321,311,437
0.025,557,1534,2468,3769,298,306,315,426
0.035,559,1489,2480,3743,277,288,313,409
0.045,606,1471,2392,3678,296,332,292,419
0.055,635,1540,2471,3603,273,328,297,429
0.065,675,1589,2524,3624,254,333,303,455
0.075,767,1583,2550,3677,255,330,306,435
0.085,827,1562,2512,3659,258,340,314,406
0.095,880,1632,2513,3655,264,312,326,402
0.105,889,1640,2414,3626,240,339,344,388
0.115,842,1619,2373,3708,247,336,321,373
0.125,762,1559,2394,3748,268,282,362,384
0.135,604,1552,2455,3790,228,305,370,432
0.145,513,1455,2420,3813,249,291,351,452
0.155,469,1492,2539,3774,204,301,353,387
0.165,349,1386,2551,3656,227,325,344,392
0.175,348,1359,2515,3660,250,300,324,432
0.185,312,1227,2429,3665,217,323,367,445
0.195,315,1179,2515,3664,218,318,316,454
0.205,264,1167,2503,3583,207,345,335,433
0.215,264,1179,2451,3523,207,314,326,427
0.225,322,1179,2479,3574,205,319,347,418
0.235,264,1167,2491,3636,214,316,340,413
0.245,264,1179,2491,3694,202,320,361,455
0.255,264,1167,2479,3744,198,344,327,455
0.265,252,1143,2479,3741,226,322,345,463
0.275,264,1083,2479,3787,224,338,336,446
0.285,373,1107,2503,3710,221,304,365,455
0.295,529,1143,2479,3608,232,281,369,441
0.305,529,1155,2479,3545,218,299,374,423
0.315,589,1143,2479,3453,225,295,358,410
0.325,589,1179,2503,3458,228,291,364,378
0.335,601,1167,2479,3509,237,286,356,369
0.345,601,1167,2479,3639,224,303,349,387
0.355,601,1191,2515,3749,225,295,319,349
0.365,613,1203,2479,3702,236,294,330,361
0.375,613,1191,2479,3716,239,295,328,352
0.385,601,1215,2456,3699,236,292,328,356
0.395,625,1227,2479,3700,232,294,322,359
0.405,601,1227,2515,3653,242,290,325,387
0.415,577,1198,2491,3714,219,310,352,397
