sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,615,1597,2553,3681,203,315,384,431
0.015,616,1659,2514,3706,222,340,386,434
0.025,644,1648,2456,3745,276,344,381,451
0.035,677,1692,2473,3731,252,334,367,448
0.045,771,1672,2457,3712,282,354,330,463
0.055,737,1707,2507,3708,245,324,335,463
0.065,731,1658,2581,3679,243,338,327,478
0.075,733,1688,2460,3642,258,322,349,443
0.085,706,1633,2510,3642,253,316,329,418
0.095,684,1566,2489,3638,263,332,334,430
0.105,581,1526,2406,3647,255,357,317,461
0.115,576,1427,2329,3668,197,356,324,448
0.125,580,1404,2410,3752,187,311,354,460
0.135,631,1444,2454,3707,226,375,292,461
0.145,576,1516,2470,3624,257,355,310,456
0.155,588,1525,2547,3575,287,319,329,439
0.165,588,1505,2539,3589,273,310,344,426
0.175,576,1587,2572,3676,263,335,324,419
0.185,588,1608,2515,3678,297,323,337,441
0.195,576,1699,2466,3737,266,324,349,441
0.205,564,1663,2478,3693,274,312,380,418
0.215,515,1751,2454,3643,228,303,395,404
0.225,491,1679,2466,3651,196,370,385,414
0.235,455,1679,2478,3758,201,362,341,420
0.245,443,1557,2466,3844,199,383,349,394
0.255,394,1497,2515,3900,210,391,378,405
0.265,358,1012,2539,3908,212,403,374,410
0.275,358,952,2539,3939,157,451,351,399
0.285,370,927,2551,3963,174,455,270,413
0.295,370,927,2563,3934,168,445,293,430
0.305,394,927,2563,3908,179,389,313,454
0.315,443,952,2607,3744,219,306,340,415
0.325,455,952,2563,3735,235,268,318,391
0.335,527,1061,2588,3831,231,294,313,374
0.345,564,1182,2527,3892,228,307,317,364
0.355,600,1339,2543,3887,218,310,331,371
0.365,636,1388,2503,3860,208,334,344,376
0.375,636,1388,2472,3889,200,319,340,367
0.385,649,1448,2434,3892,192,302,339,359
0.395,649,1497,2381,3878,195,302,346,373
0.405,649,1509,2333,3902,193,304,350,401
0.415,649,1582,2321,3949,180,292,358,396
0.425,600,1594,2284,4026,164,276,354,377
0.435,561,1673,2236,3974,191,293,290,410
0.445,588,1703,2236,3967,247,314,320,402
0.455,577,1691,2260,3984,289,299,325,438
0.465,635,1679,2260,3873,277,317,345,464
0.475,624,1654,2272,3825,292,338,336,471
0.485,624,1630,2297,3796,280,315,351,455
0.495,612,1618,2321,3686,275,317,368,472
0.505,624,1656,2357,3753,279,322,393,458
0.515,612,1582,2345,3740,256,297,399,419
0.525,636,1533,2345,3898,328,268,377,413
0.535,624,1533,2369,3934,367,234,388,410
0.545,624,1533,2418,3995,346,244,396,401
0.555,624,1533,2394,3948,329,219,384,337
0.565,624,1557,2418,4043,326,216,374,308
0.575,624,1582,2430,4139,340,250,355,340
0.585,624,1630,2430,4103,327,278,366,401
0.595,624,1618,2430,4102,322,259,416,400
0.605,624,1666,2442,4172,336,257,381,397
0.615,576,1703,2454,4215,339,273,340,385
0.625,564,1751,2454,4083,326,249,367,444
0.635,503,1776,2478,4035,327,294,352,408
0.645,430,1800,2478,3988,326,323,308,399
0.655,408,1885,2490,3870,237,295,301,352
0.665,346,1969,2503,3851,219,305,289,344
0.675,285,2006,2478,3918,213,309,280,319
0.685,273,2018,2503,3857,203,314,288,302
0.695,261,2054,2503,3825,199,316,287,301
0.705,273,2066,2478,3871,201,311,287,290
0.715,261,2078,2503,3867,212,272,285,277
0.725,285,2078,2515,3854,212,274,277,290
0.735,273,2078,2490,3804,211,278,279,292
0.745,261,2078,2490,3826,194,267,256,281
0.755,200,2048,2478,3874,199,336,299,305
0.765,204,2066,2466,3904,178,351,334,368
0.775,176,2042,2478,3822,192,314,321,417
0.785,176,2006,2430,3878,201,311,322,435
0.795,170,1945,2442,3925,203,334,293,472
0.805,176,1848,2430,3977,222,305,315,468
0.815,187,1776,2463,3954,197,344,331,460
0.825,164,1666,2442,3903,212,314,353,464
0.835,188,1679,2442,3860,204,332,386,461
0.845,212,1606,2466,3822,214,302,382,502
0.855,200,1497,2442,3758,237,338,374,476
0.865,200,1495,2466,3712,245,319,362,468
0.875,212,1485,2448,3758,275,331,320,457
0.885,285,1485,2490,3738,276,304,328,442
0.895,346,1446,2479,3829,262,333,311,459
0.905,382,1448,2551,3736,234,304,310,474
0.915,382,1412,2563,3661,229,333,326,465
0.925,394,1351,2587,3596,224,313,332,414
0.935,430,1279,2612,3603,207,323,317,387
0.945,443,1158,2612,3610,205,322,311,405
0.955,430,1085,2649,3715,191,342,309,417
0.965,475,961,2636,3786,127,372,332,410
0.975,430,915,2660,3756,175,329,323,379
0.985,455,879,2672,3702,222,300,317,350
0.995,443,879,2721,3752,203,292,310,281
1.005,443,855,2709,3782,198,288,323,260
1.015,443,842,2721,3764,192,308,328,281
1.025,443,818,2721,3801,198,300,301,285
1.035,443,806,2733,3815,194,290,308,272
1.045,443,806,2733,3740,197,324,286,298
1.055,430,830,2733,3616,214,314,293,363
1.065,418,867,2733,3609,203,353,306,406
1.075,418,891,2733,3697,214,343,309,423
1.085,386,939,2733,3636,229,317,375,439
1.095,406,988,2733,3632,276,309,358,455
1.105,382,1036,2721,3639,255,345,363,446
1.115,406,1109,2745,3563,289,345,328,454
1.125,406,1145,2721,3639,278,363,323,416
1.135,418,1206,2721,3691,237,344,359,455
1.145,394,1218,2745,3829,258,316,331,445
1.155,406,1242,2745,3871,241,302,310,414
1.165,406,1230,2672,3859,226,317,302,382
1.175,394,1274,2636,3815,249,313,301,383
1.185,406,1263,2612,3830,236,310,294,368
1.195,394,1279,2587,3826,248,308,299,355
1.205,394,1266,2563,3906,249,308,317,372
1.215,382,1327,2539,3920,231,351,353,367
1.225,382,1339,2539,3935,273,360,339,349
1.235,370,1339,2515,3951,264,351,324,332
1.245,394,1327,2537,4096,267,352,391,345
1.255,394,1339,2509,4350,275,347,352,361
1.265,382,1327,2478,4305,292,375,373,321
1.275,394,1339,2478,4281,293,383,356,348
1.285,394,1351,2478,4288,312,347,361,349
1.295,394,1351,2490,4221,301,376,335,352
1.305,394,1351,2478,4165,313,334,332,368
1.315,394,1351,2478,4121,323,362,309,371
1.325,382,1351,2490,3996,339,313,308,385
1.335,358,1351,2503,3942,291,321,299,373
1.345,358,1376,2539,3685,237,297,305,421
1.355,346,1424,2563,3658,228,304,284,347
1.365,334,1412,2551,3728,228,313,263,310
1.375,346,1406,2575,3721,210,332,262,298
1.385,378,1388,2575,3735,186,326,260,291
1.395,346,1392,2575,3759,197,323,267,301
1.405,394,1403,2575,3761,177,330,257,312
1.415,370,1376,2600,3737,192,320,281,326
1.425,398,1364,2612,3730,186,331,298,322
1.435,408,1410,2587,3746,192,326,292,322
1.445,370,1364,2587,3837,201,325,311,338
1.455,394,1367,2600,4018,229,314,346,351
1.465,358,1362,2587,4152,256,316,367,361
1.475,358,1364,2563,4280,245,324,378,410
1.485,334,1407,2539,4271,260,355,385,387
1.495,309,1376,2539,4274,271,352,345,385
1.505,297,1376,2551,4212,276,389,384,350
1.515,285,1376,2551,4189,251,375,313,368
1.525,273,1388,2563,4246,227,396,333,376
1.535,285,1424,2527,4214,218,394,301,330
1.545,297,1465,2551,4039,206,305,363,378
