sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,623,1492,2489,3593,260,275,350,419
0.015,672,1522,2485,3583,303,271,350,440
0.025,740,1551,2466,3562,308,282,358,422
0.035,750,1540,2548,3609,279,272,358,431
0.045,760,1502,2597,3719,251,303,348,418
0.055,752,1472,2533,3752,235,283,341,422
0.065,777,1519,2469,3774,267,312,346,422
0.075,717,1627,2461,3773,222,316,354,448
0.085,656,1603,2549,3759,235,288,351,427
0.095,669,1622,2517,3784,224,323,345,433
0.105,719,1638,2522,3815,251,336,327,452
0.115,725,1593,2591,3874,255,313,344,448
0.125,772,1587,2637,4030,240,349,342,393
0.135,792,1617,2594,4135,279,353,345,387
0.145,786,1597,2607,4176,280,353,329,357
0.155,783,1599,2645,4270,283,361,353,355
0.165,745,1580,2683,4247,249,363,332,385
0.175,669,1589,2723,4180,246,375,324,393
0.185,618,1587,2721,4296,260,346,340,397
0.195,606,1605,2733,4283,243,349,315,428
0.205,593,1555,2746,4246,266,343,312,410
0.215,593,1695,2759,4150,303,330,313,381
0.225,606,1594,2837,4099,319,309,331,355
0.235,593,1581,2771,3919,225,342,339,397
0.245,580,1518,2822,3754,203,327,318,393
0.255,568,1480,2822,3657,185,335,288,399
0.265,568,1429,2822,3588,194,337,294,395
0.275,568,1328,2822,3440,190,332,308,412
0.285,580,1239,2822,3403,209,332,323,385
0.295,542,1125,2809,3465,187,318,332,387
0.305,542,1049,2746,3558,230,303,358,392
0.315,530,1036,2683,3583,232,316,374,363
0.325,492,998,2658,3594,224,356,393,359
0.335,492,998,2645,3641,177,376,351,414
0.345,428,1036,2480,3746,198,382,317,464
0.355,390,1077,2442,3795,208,380,317,453
0.365,428,1100,2430,3772,145,382,340,441
0.375,454,1125,2410,3824,157,391,310,431
0.385,479,1163,2387,3791,168,417,326,458
0.395,504,1176,2348,3687,222,350,333,410
0.405,517,1201,2417,3665,280,297,318,429
0.415,530,1214,2557,3709,200,333,355,454
0.425,517,1277,2730,3822,195,334,374,467
0.435,530,1315,2733,3940,189,304,376,462
0.445,568,1328,2771,3812,192,328,359,439
0.455,555,1315,2754,3571,190,350,337,397
0.465,593,1328,2645,3482,177,351,330,347
0.475,593,1340,2709,3520,197,346,344,322
0.485,580,1328,2594,3486,202,307,344,352
0.495,580,1340,2620,3383,199,318,355,374
0.505,580,1328,2658,3404,206,314,324,381
0.515,580,1328,2708,3333,185,322,313,378
0.525,580,1347,2746,3341,180,318,305,379
0.535,580,1328,2746,3437,210,302,309,403
0.545,580,1378,2759,3525,205,314,322,401
0.555,580,1340,2784,3498,200,297,325,429
0.565,580,1340,2797,3492,217,315,330,371
0.575,568,1377,2809,3518,219,309,316,402
0.585,542,1340,2809,3493,227,311,314,368
0.595,530,1373,2771,3589,233,355,341,360
0.605,492,1353,2746,3603,232,340,340,409
0.615,466,1373,2760,3633,215,329,326,422
0.625,441,1315,2771,3639,210,333,313,440
0.635,416,1356,2784,3633,210,365,306,437
0.645,365,1315,2868,3670,224,367,324,409
0.655,365,1354,2911,3738,232,408,309,393
0.665,416,1315,2771,3733,255,389,332,381
0.675,441,1248,2658,3777,239,359,352,329
0.685,428,1328,2645,3772,230,326,339,319
0.695,479,1277,2658,3689,225,308,338,302
0.705,492,1226,2658,3661,210,289,333,313
0.715,517,1214,2645,3516,218,301,350,341
0.725,517,1188,2645,3480,225,309,350,305
0.735,542,1138,2645,3475,221,287,347,309
0.745,517,1100,2620,3471,209,314,350,325
0.755,517,1062,2645,3572,196,317,334,353
