sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,539,1511,2468,3653,232,310,349,445
0.015,605,1425,2521,3763,278,313,319,468
0.025,697,1477,2455,3764,243,298,336,461
0.035,747,1517,2503,3797,230,328,335,445
0.045,769,1536,2530,3796,230,334,316,453
0.055,795,1550,2539,3765,238,337,341,455
0.065,802,1587,2524,3736,259,315,364,461
0.075,812,1551,2462,3719,269,325,334,425
0.085,661,1554,2401,3696,219,355,325,407
0.095,537,1449,2416,3720,252,351,293,421
0.105,334,1340,2432,3734,217,356,313,432
0.115,220,1219,2385,3718,246,331,308,455
0.125,248,1205,2376,3768,259,293,303,461
0.135,286,1283,2366,3678,286,269,324,459
0.145,324,1312,2433,3691,248,306,344,445
0.155,400,1340,2471,3795,225,319,305,410
0.165,476,1473,2461,3858,201,308,292,384
0.175,476,1540,2499,3842,189,297,289,372
0.185,495,1587,2518,3774,216,315,297,424
0.195,505,1625,2604,3825,216,315,318,420
0.205,467,1682,2642,3893,225,292,286,455
0.215,410,1720,2661,3868,230,306,304,455
0.225,315,1768,2661,3758,275,327,351,448
0.235,315,1882,2670,3785,252,293,377,425
0.245,315,1882,2651,3804,253,286,337,425
0.255,315,1882,2756,3810,208,278,306,440
0.265,381,1872,2756,3882,215,313,308,442
0.275,505,1853,2737,3901,211,304,305,421
0.285,533,1815,2699,3890,214,312,288,419
0.295,533,1768,2632,3836,226,311,307,454
0.305,552,1768,2566,3761,239,298,300,458
0.315,543,1711,2471,3722,303,386,363,475
0.325,457,1635,2376,3713,303,368,375,499
0.335,229,1540,2328,3717,282,350,389,494
0.345,229,1492,2309,3801,215,366,355,514
0.355,229,1483,2338,3834,196,369,389,516
0.365,229,1464,2357,3850,194,344,400,493
0.375,229,1464,2376,3882,190,353,376,493
0.385,229,1464,2366,3927,207,331,344,454
0.395,229,1494,2376,3923,214,306,374,484
0.405,258,1606,2433,3902,223,374,348,443
0.415,305,1863,2471,3905,249,393,342,414
0.425,296,1939,2566,3888,233,326,364,385
0.435,286,2015,2623,3844,214,310,356,367
0.445,296,2081,2642,3837,192,318,331,323
0.455,296,2081,2642,3815,206,314,333,307
0.465,286,2100,2613,3828,221,291,315,362
0.475,296,2119,2499,3970,211,354,357,403
0.485,305,2119,2471,3951,243,348,338,443
0.495,315,2138,2442,3945,293,339,328,453
0.505,315,2138,2461,3905,309,339,323,454
0.515,296,2138,2461,3837,355,312,331,428
0.525,315,2148,2471,3798,318,348,303,413
0.535,391,2148,2509,3860,318,358,320,427
0.545,391,2176,2537,3872,261,342,340,422
0.555,448,2100,2547,3899,276,320,360,416
0.565,448,2053,2566,4066,234,299,361,457
0.575,476,2005,2585,4166,229,300,357,463
0.585,552,1863,2613,4263,223,304,328,467
0.595,600,1635,2594,4298,202,292,348,471
0.605,590,1435,2547,4414,201,353,399,475
0.615,590,1388,2480,4537,198,331,388,493
0.625,581,1274,2485,4564,212,353,313,448
0.635,543,1217,2433,4570,236,311,287,400
0.645,372,1065,2482,4450,261,327,264,385
0.655,315,979,2414,4492,241,317,281,382
0.665,305,942,2423,4472,238,310,246,373
0.675,286,913,2423,4493,227,312,262,333
0.685,277,904,2480,4404,225,318,290,356
0.695,277,913,2547,4517,188,339,329,448
0.705,324,904,2623,4587,214,301,378,474
0.715,353,904,2661,4546,226,325,435,470
0.725,524,904,2661,4609,232,285,381,496
0.735,552,970,2661,4634,219,319,408,455
0.745,571,998,2632,4514,224,313,390,483
0.755,571,1036,2623,4363,225,349,357,533
0.765,600,1017,2651,4227,217,341,385,513
0.775,600,989,2594,4068,205,329,339,510
0.785,571,989,2623,3980,192,319,352,478
0.795,590,1008,2623,3850,181,294,320,473
0.805,590,1055,2623,3807,173,309,341,474
0.815,600,1103,2623,3801,180,293,348,461
0.825,600,1122,2623,3745,178,312,366,449
0.835,581,1179,2623,3699,182,301,368,439
0.845,590,1198,2623,3705,178,314,393,424
0.855,600,1217,2623,3710,179,306,391,416
0.865,600,1283,2623,3736,164,331,370,449
0.875,609,1331,2613,3869,215,324,343,497
0.885,628,1388,2585,4000,256,341,339,524
0.895,543,1359,2414,4082,292,314,309,502
0.905,505,1362,2366,4045,309,289,257,504
0.915,486,1378,2395,4041,313,307,285,487
0.925,505,1397,2509,3940,302,295,282,456
0.935,505,1397,2556,3923,225,312,385,440
0.945,524,1416,2661,3971,211,306,393,448
0.955,562,1435,2756,3936,200,285,343,428
0.965,590,1492,2965,3909,199,286,334,417
0.975,609,1502,2993,3982,196,295,320,387
0.985,647,1540,2993,3995,215,300,350,383
0.995,657,1568,2993,3885,269,323,379,421
