sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,631,1508,2489,3700,206,275,347,432
0.015,605,1440,2395,3614,276,304,317,443
0.025,569,1494,2374,3570,278,308,318,452
0.035,673,1451,2400,3529,266,371,292,454
0.045,729,1524,2457,3580,228,354,299,454
0.055,776,1505,2375,3519,257,339,303,453
0.065,730,1528,2455,3598,251,321,301,444
0.075,735,1525,2519,3595,219,353,310,461
0.085,638,1510,2434,3578,249,346,292,446
0.095,575,1494,2579,3597,304,336,254,452
0.105,416,1490,2605,3621,242,340,207,492
0.115,254,1511,2633,3578,207,327,274,477
0.125,245,1560,2661,3548,224,340,288,451
0.135,235,1612,2688,3515,241,331,270,483
0.145,254,1637,2713,3452,251,328,296,430
0.155,321,1626,2736,3466,232,324,290,399
0.165,340,1588,2754,3362,200,312,295,421
0.175,539,1529,2766,3292,233,312,305,426
0.185,549,1460,2772,3338,212,322,294,408
0.195,511,1390,2772,3410,212,328,279,427
0.205,501,1326,2766,3543,192,320,260,446
0.215,492,1277,2755,3625,206,317,268,451
0.225,473,1243,2738,3760,204,348,271,459
0.235,492,1221,2716,3810,217,330,310,429
0.245,463,1207,2689,3851,218,304,293,403
0.255,473,1197,2658,3875,205,327,260,414
0.265,473,1187,2625,3863,215,325,254,390
0.275,463,1178,2594,3870,206,314,238,398
0.285,463,1169,2570,3891,216,313,267,387
0.295,473,1163,2556,3908,214,314,263,378
0.305,463,1158,2555,3899,210,304,295,369
0.315,473,1156,2572,3878,207,306,303,375
0.325,492,1157,2611,3910,205,296,315,394
0.335,463,1159,2601,3971,199,290,323,395
0.345,463,1159,2601,4078,194,304,325,392
0.355,482,1155,2601,4203,256,303,304,385
0.365,473,1147,2544,4239,268,289,273,390
0.375,330,1141,2449,4220,273,282,279,391
0.385,302,1144,2455,4272,254,294,274,388
0.395,273,1163,2439,4309,272,291,281,396
0.405,283,1203,2431,4317,275,290,284,385
0.415,292,1262,2439,4263,278,292,306,399
0.425,302,1339,2417,4126,249,290,329,435
0.435,302,1428,2458,3959,218,287,308,422
0.445,606,1504,2487,3904,191,295,328,419
0.455,634,1536,2506,3878,180,283,328,410
0.465,634,1528,2534,3877,171,294,334,415
0.475,634,1494,2506,3865,175,293,345,436
0.485,634,1446,2534,3849,179,278,353,419
0.495,634,1395,2515,3810,202,291,371,420
0.505,634,1348,2477,3836,220,267,362,405
0.515,634,1311,2477,3805,231,266,396,402
0.525,634,1292,2458,3792,239,267,387,403
0.535,634,1296,2477,3771,223,281,385,386
0.545,653,1332,2496,3715,225,301,367,409
0.555,634,1366,2506,3563,220,311,373,416
0.565,634,1385,2527,3439,198,303,357,435
0.575,671,1413,2553,3379,197,313,318,458
0.585,634,1432,2553,3399,210,308,294,489
0.595,235,1461,2553,3547,250,355,266,468
0.605,216,1451,2534,3661,225,357,291,442
0.615,235,1423,2458,3676,224,344,271,457
0.625,235,1442,2449,3714,228,326,324,455
