sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,601,1581,2355,3499,255,318,320,403
0.015,586,1678,2301,3384,265,308,314,395
0.025,597,1702,2347,3390,267,284,323,412
0.035,661,1700,2435,3474,253,297,320,422
0.045,742,1759,2526,3579,240,337,312,427
0.055,795,1803,2527,3587,253,316,330,434
0.065,753,1814,2560,3682,251,299,327,451
0.075,722,1761,2595,3694,259,297,360,421
0.085,722,1731,2651,3691,246,337,362,423
0.095,712,1720,2542,3669,234,355,356,399
0.105,652,1768,2512,3779,216,318,383,427
0.115,652,1819,2517,3767,227,318,325,429
0.125,583,1866,2534,3667,233,321,334,454
0.135,563,1896,2581,3572,259,290,344,454
0.145,543,1906,2642,3500,276,289,331,424
0.155,454,1916,2592,3415,274,320,288,404
0.165,414,1885,2552,3405,255,309,282,392
0.175,438,1886,2532,3489,228,282,320,385
0.185,364,1856,2502,3530,189,293,315,395
0.195,344,1806,2492,3567,193,275,311,405
0.205,344,1746,2443,3566,205,266,317,427
0.215,344,1697,2413,3636,210,269,329,463
0.225,354,1687,2369,3591,200,281,341,430
0.235,344,1637,2393,3594,220,295,328,433
0.245,354,1617,2393,3699,227,281,359,467
0.255,344,1627,2433,3711,252,339,340,467
0.265,364,1597,2383,3647,227,300,356,488
0.275,344,1567,2382,3663,268,306,325,479
0.285,334,1524,2394,3754,293,289,338,487
0.295,344,1528,2363,3819,286,298,341,493
0.305,354,1548,2343,3870,324,287,343,495
0.315,364,1558,2353,3927,330,354,315,506
0.325,344,1548,2387,3993,330,317,313,490
0.335,354,1548,2373,4059,326,322,324,464
0.345,374,1577,2383,4145,307,341,295,460
0.355,384,1607,2464,4199,331,314,294,459
0.365,394,1577,2423,4296,255,342,310,469
0.375,434,1640,2403,4313,250,337,326,444
0.385,464,1617,2403,4302,271,342,337,409
0.395,464,1637,2383,4246,248,329,339,423
0.405,464,1647,2383,4195,294,324,360,433
0.415,473,1647,2343,4032,298,310,356,447
0.425,473,1637,2303,4019,274,290,398,467
0.435,473,1647,2303,3874,248,274,376,491
0.445,473,1637,2303,3790,250,266,389,487
0.455,473,1637,2303,3717,218,251,385,486
0.465,493,1677,2294,3595,201,289,351,480
0.475,483,1687,2353,3495,179,275,338,448
0.485,493,1677,2363,3516,212,291,341,448
0.495,503,1667,2398,3491,187,290,344,440
0.505,503,1657,2433,3547,174,286,334,452
0.515,513,1647,2482,3632,198,286,357,465
0.525,533,1597,2532,3790,200,306,355,468
0.535,513,1597,2572,3900,204,299,357,465
0.545,547,1577,2582,3937,199,288,408,452
0.555,513,1538,2592,3930,216,313,363,443
0.565,493,1567,2572,3890,221,310,362,451
0.575,473,1597,2552,3797,229,303,358,467
0.585,473,1617,2522,3712,231,320,360,461
0.595,424,1677,2443,3594,212,294,382,452
0.605,384,1737,2413,3514,189,279,383,445
0.615,364,1806,2403,3443,213,304,357,435
0.625,344,1866,2353,3384,207,314,351,405
0.635,324,1896,2343,3382,226,321,313,406
0.645,344,1945,2343,3408,232,311,294,404
0.655,334,1975,2343,3457,221,295,286,405
0.665,344,2005,2343,3506,214,326,291,394
0.675,334,1975,2343,3530,217,315,295,393
0.685,344,1985,2343,3558,224,310,304,388
0.695,344,1945,2332,3621,175,298,321,396
0.705,354,1856,2353,3680,163,279,392,388
0.715,384,1776,2294,3624,174,246,400,428
0.725,384,1737,2244,3578,190,278,388,449
0.735,394,1627,2164,3575,202,268,389,454
0.745,394,1552,2105,3590,204,268,389,436
0.755,432,1558,2055,3571,204,298,318,445
0.765,404,1558,1965,3559,218,318,312,448
0.775,404,1548,1955,3604,204,313,302,447
0.785,404,1528,1955,3637,211,292,304,456
0.795,412,1518,1926,3631,176,298,274,471
0.805,384,1498,1935,3695,225,323,288,483
0.815,374,1519,1896,3721,238,312,327,494
0.825,344,1498,1896,3679,243,296,321,476
0.835,294,1488,2075,3649,261,316,341,489
0.845,304,1498,2154,3629,285,303,312,423
0.855,294,1548,2353,3723,264,324,328,438
0.865,304,1677,2473,3844,213,353,340,432
0.875,294,1727,2532,4002,256,347,342,427
0.885,304,1766,2502,4131,312,343,361,449
0.895,314,1764,2473,4195,309,308,364,443
0.905,304,1796,2409,4265,276,340,335,432
0.915,304,1807,2403,4225,272,317,353,405
0.925,304,1786,2363,4156,257,305,375,447
0.935,304,1747,2303,4081,214,308,332,451
0.945,344,1707,2204,4050,219,302,296,426
0.955,364,1617,2204,4037,196,286,358,414
0.965,384,1518,2184,4001,226,317,343,413
0.975,414,1408,2184,3937,215,338,333,416
0.985,444,1339,2194,3864,175,321,342,443
0.995,444,1279,2234,3795,182,366,343,446
1.005,454,1219,2294,3736,179,366,341,455
1.015,493,1160,2333,3737,216,365,318,438
1.025,493,1110,2333,3828,233,334,292,460
1.035,493,1080,2393,3930,252,293,304,498
1.045,473,1040,2482,4008,226,280,297,503
1.055,483,1040,2502,4054,201,282,266,488
1.065,454,1030,2552,4114,215,291,278,495
1.075,414,1011,2562,4139,226,301,308,500
1.085,384,1011,2532,4142,221,296,303,449
1.095,344,981,2522,4165,211,310,308,424
1.105,364,981,2453,4267,192,302,340,439
1.115,314,1020,2433,4319,233,337,353,417
1.125,314,1020,2433,4490,261,305,325,422
1.135,294,1020,2433,4522,273,343,353,406
1.145,284,1040,2435,4498,317,362,353,411
1.155,284,1050,2443,4474,287,365,322,404
1.165,284,1060,2433,4479,236,353,322,432
1.175,275,1070,2463,4493,224,338,326,444
1.185,265,1100,2463,4431,240,319,331,454
1.195,275,1150,2482,4330,249,318,302,455
1.205,275,1150,2536,4295,259,309,277,400
1.215,255,1170,2552,4222,232,330,246,399
1.225,235,1190,2566,4198,248,335,264,405
1.235,215,1170,2602,4189,250,321,257,397
1.245,205,1219,2551,4167,249,331,265,403
1.255,195,1219,2512,4162,255,333,258,415
1.265,195,1219,2502,4093,261,308,293,441
1.275,185,1263,2473,3978,245,318,340,458
1.285,507,1269,2413,3865,224,328,325,469
1.295,523,1324,2393,3736,205,324,335,461
1.305,545,1349,2363,3620,217,319,333,426
1.315,593,1408,2333,3588,214,306,331,422
1.325,598,1458,2315,3541,196,360,311,407
1.335,623,1465,2383,3565,245,288,311,420
1.345,593,1518,2383,3526,295,271,337,438
1.355,563,1567,2403,3543,264,345,296,432
1.365,543,1577,2393,3585,280,296,298,425
1.375,533,1597,2383,3640,255,339,316,422
1.385,573,1617,2353,3722,237,312,309,434
1.395,553,1657,2343,3765,228,322,304,464
1.405,563,1667,2294,3712,218,331,310,458
1.415,573,1657,2313,3738,223,337,325,448
1.425,563,1687,2294,3781,264,315,348,444
1.435,583,1746,2333,3730,254,373,342,412
1.445,583,1816,2353,3654,226,368,329,401
1.455,573,1796,2373,3611,248,355,356,446
1.465,533,1776,2403,3753,244,340,297,448
1.475,523,1796,2403,3798,281,309,317,427
1.485,493,1756,2363,3737,309,305,337,428
1.495,464,1567,2274,3700,268,290,341,398
1.505,444,1488,2194,3702,237,329,328,419
1.515,454,1339,2114,3665,201,347,339,443
1.525,444,1299,2095,3593,155,368,328,439
1.535,444,1140,2105,3552,136,402,306,465
1.545,454,1090,2134,3573,132,415,268,471
1.555,454,1060,2144,3556,138,421,310,479
1.565,444,1020,2184,3551,143,399,266,463
1.575,454,982,2224,3558,161,380,306,455
1.585,444,1001,2264,3577,202,361,281,454
1.595,444,991,2264,3552,219,324,294,465
1.605,434,991,2224,3519,200,320,309,464
1.615,454,991,2164,3492,176,331,309,463
1.625,444,1020,2124,3465,151,335,322,464
1.635,454,1070,2065,3413,148,342,355,483
1.645,424,1080,1985,3339,149,351,374,488
1.655,434,1080,1886,3342,163,276,377,484
1.665,424,1120,1876,3303,172,266,392,486
1.675,404,1140,1856,3288,159,256,398,475
1.685,404,1190,1836,3230,170,287,393,456
1.695,384,1199,1816,3273,199,304,373,421
1.705,334,1249,1816,3423,233,290,358,422
1.715,275,1269,1836,3466,216,316,374,449
1.725,275,1279,1866,3478,213,304,377,463
1.735,275,1269,1945,3576,209,302,355,454
1.745,304,1249,2075,3517,233,311,347,426
1.755,364,1269,2134,3478,208,323,314,434
1.765,493,1259,2194,3344,218,300,315,437
1.775,533,1239,2254,3290,244,318,339,441
1.785,583,1279,2244,3316,219,317,349,409
1.795,593,1279,2244,3383,204,314,345,417
1.805,603,1289,2225,3463,220,321,350,413
1.815,603,1379,2244,3502,198,318,359,411
1.825,603,1448,2244,3521,187,290,378,407
1.835,623,1508,2283,3502,170,262,408,394
1.845,613,1518,2274,3462,178,322,344,415
1.855,613,1587,2303,3491,189,306,338,394
1.865,603,1657,2333,3589,181,280,328,395
1.875,593,1707,2373,3614,178,294,328,397
1.885,553,1766,2423,3550,183,257,359,364
1.895,573,1810,2413,3564,155,266,357,428
1.905,549,1806,2433,3525,212,288,327,386
1.915,503,1816,2413,3534,207,311,313,409
1.925,464,1826,2440,3594,170,289,297,400
1.935,444,1846,2453,3527,196,272,302,399
1.945,434,1866,2463,3590,172,263,336,395
1.955,414,1876,2473,3611,200,277,316,362
1.965,404,1886,2492,3546,190,292,312,376
1.975,414,1906,2512,3527,197,312,304,388
1.985,444,1945,2512,3471,206,323,318,391
1.995,414,1955,2512,3474,197,320,305,382
2.005,444,1975,2512,3432,207,328,302,400
2.015,444,2005,2532,3368,206,302,318,391
2.025,464,2005,2532,3341,205,290,311,400
2.035,444,2005,2532,3320,209,270,318,395
2.045,444,2025,2532,3314,217,297,303,370
2.055,444,2045,2532,3252,210,306,316,370
2.065,414,2065,2572,3278,208,290,307,367
2.075,394,2085,2562,3225,198,285,305,375
2.085,394,2085,2592,3199,220,294,306,373
2.095,364,2105,2592,3223,232,303,314,375
2.105,374,2183,2582,3236,224,298,299,393
2.115,334,2173,2592,3282,237,299,321,386
2.125,354,2193,2590,3281,231,306,325,411
2.135,314,2234,2619,3298,248,302,363,391
2.145,332,2286,2612,3359,243,298,353,396
2.155,294,2340,2622,3377,229,328,331,400
2.165,272,2385,2622,3422,217,313,356,382
2.175,265,2412,2578,3533,225,331,348,421
2.185,245,2414,2622,3628,241,322,347,438
2.195,255,2399,2632,3718,252,334,371,451
2.205,265,2373,2622,3732,232,339,377,469
2.215,294,2344,2577,3823,242,367,350,483
2.225,304,2315,2562,3834,287,335,365,490
2.235,344,2284,2562,3862,306,343,344,484
2.245,344,2252,2532,3884,314,335,319,494
2.255,384,2219,2482,3925,321,319,323,489
2.265,384,2186,2462,3886,299,323,296,467
2.275,394,2152,2403,3875,292,305,297,481
2.285,414,2119,2403,3812,280,302,318,476
2.295,424,2086,2383,3733,292,299,326,479
2.305,424,2055,2407,3759,310,299,345,463
2.315,453,2026,2420,3811,313,279,345,472
2.325,443,1999,2383,3850,272,342,307,492
2.335,453,1976,2416,3831,269,336,308,472
2.345,463,1954,2403,3888,272,349,294,495
2.355,463,1934,2393,3893,269,351,309,491
2.365,473,1916,2409,3886,294,358,301,473
2.375,463,1899,2403,3803,282,374,274,470
2.385,463,1883,2413,3724,297,348,263,457
2.395,493,1869,2393,3758,274,314,334,461
2.405,493,1855,2393,3733,229,337,359,447
2.415,523,1843,2353,3845,287,296,339,459
2.425,543,1832,2333,3902,306,285,361,475
2.435,543,1823,2303,3941,265,290,363,447
2.445,573,1814,2293,4037,249,270,378,423
2.455,563,1798,2322,4110,277,284,347,402
2.465,603,1769,2343,4105,305,269,344,418
2.475,623,1718,2283,4054,282,289,311,454
2.485,613,1639,2254,4029,257,283,318,506
2.495,623,1522,2295,4034,231,336,319,497
2.505,613,1418,2224,3956,185,310,313,523
2.515,603,1358,2224,3984,188,346,320,488
2.525,593,1279,2224,4002,184,325,298,461
2.535,593,1239,2224,4039,190,322,288,444
2.545,583,1259,2234,4057,189,321,289,420
2.555,573,1279,2283,4058,192,319,305,416
2.565,573,1299,2293,4094,199,324,301,453
2.575,563,1279,2313,4087,193,311,281,443
2.585,553,1319,2353,4145,193,337,318,481
2.595,563,1318,2363,4131,200,332,308,457
2.605,543,1339,2393,4111,209,321,278,429
2.615,533,1396,2453,4112,222,322,285,429
2.625,543,1378,2522,4168,231,309,281,442
2.635,563,1428,2502,4272,213,345,306,442
2.645,593,1448,2521,4311,216,336,358,441
2.655,603,1508,2512,4344,287,283,340,462
2.665,593,1557,2562,4331,308,340,315,492
2.675,593,1567,2594,4281,298,318,313,472
2.685,573,1607,2612,4293,311,315,335,504
2.695,543,1617,2612,4420,315,309,326,471
2.705,513,1617,2641,4466,297,351,323,479
2.715,513,1627,2588,4474,299,337,380,420
2.725,483,1627,2641,4430,299,308,353,457
2.735,443,1627,2632,4296,280,299,380,464
2.745,443,1637,2632,4143,277,346,326,473
2.755,434,1687,2586,4069,230,366,342,431
2.765,443,1703,2612,3972,260,356,348,430
2.775,443,1724,2632,3987,329,348,356,444
2.785,453,1696,2602,3922,337,346,319,471
2.795,453,1707,2598,3878,287,345,310,487
2.805,443,1726,2562,3736,252,309,317,449
2.815,443,1746,2532,3735,235,329,328,392
2.825,473,1697,2522,3740,255,301,331,412
2.835,463,1687,2443,3724,266,297,353,421
2.845,493,1637,2403,3722,274,287,362,428
2.855,533,1607,2393,3740,269,300,383,436
2.865,543,1567,2353,3806,292,343,407,473
2.875,553,1547,2313,3926,314,321,359,464
2.885,185,1557,2279,3999,297,332,286,472
2.895,205,1547,2264,4100,265,340,273,476
2.905,205,1611,2254,4224,235,308,314,438
2.915,205,1632,2293,4314,265,321,301,428
2.925,215,1597,2283,4286,269,308,324,430
2.935,225,1657,2313,4161,241,313,327,454
2.945,443,1707,2429,3991,224,317,333,439
2.955,434,1746,2462,3811,208,318,334,430
2.965,443,1736,2453,3658,203,304,334,408
2.975,443,1751,2443,3620,215,317,318,389
2.985,443,1707,2403,3603,199,302,318,399
2.995,414,1664,2363,3639,209,291,322,389
3.005,384,1677,2343,3654,216,307,324,400
3.015,374,1637,2364,3661,217,292,315,402
3.025,354,1613,2363,3798,205,299,334,447
3.035,344,1607,2383,3883,228,348,357,482
3.045,344,1586,2402,3844,232,309,362,523
3.055,354,1577,2413,3839,278,359,334,517
3.065,354,1577,2393,3862,305,337,317,526
3.075,334,1557,2393,4006,271,325,304,504
3.085,344,1557,2383,4248,288,314,296,482
3.095,334,1557,2383,4338,290,331,313,430
3.105,344,1577,2423,4333,294,359,307,416
3.115,344,1587,2492,4230,316,345,322,412
3.125,344,1676,2522,4166,320,370,352,427
3.135,344,1697,2572,4017,327,370,335,424
3.145,354,1806,2622,3931,307,381,341,435
3.155,354,1796,2602,3860,301,364,320,435
3.165,364,1796,2602,3831,296,321,301,426
3.175,374,1796,2582,3829,316,313,303,405
3.185,364,1776,2462,3905,286,278,289,425
3.195,374,1786,2462,3854,282,290,317,436
3.205,424,1726,2383,3758,303,291,312,396
3.215,453,1707,2353,3727,276,278,305,404
3.225,453,1657,2294,3642,246,273,305,428
3.235,473,1587,2292,3589,235,278,320,441
3.245,543,1577,2286,3460,241,279,318,458
3.255,563,1538,2277,3335,221,311,332,453
3.265,573,1518,2267,3334,202,307,322,433
3.275,583,1438,2256,3378,189,295,300,430
3.285,613,1420,2244,3467,173,318,299,440
3.295,652,1408,2233,3562,168,308,289,449
3.305,652,1388,2223,3642,169,332,314,419
3.315,652,1368,2216,3660,171,293,295,405
3.325,662,1358,2212,3690,180,314,321,400
3.335,652,1349,2212,3731,161,318,311,400
3.345,642,1339,2215,3767,166,324,304,408
3.355,652,1339,2222,3761,152,330,359,408
3.365,642,1339,2233,3815,131,331,379,430
3.375,652,1304,2249,3822,158,328,377,445
3.385,642,1319,2269,3837,150,323,352,463
3.395,642,1289,2292,3796,148,339,344,470
3.405,623,1279,2315,3766,159,330,330,464
3.415,613,1279,2335,3718,177,336,303,431
