sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,549,1453,2495,3610,265,302,369,444
0.015,618,1474,2429,3634,289,299,344,474
0.025,671,1538,2438,3599,238,329,317,460
0.035,622,1528,2552,3626,271,300,339,443
0.045,641,1475,2574,3746,268,311,313,446
0.055,641,1497,2557,3750,307,285,330,421
0.065,660,1527,2530,3798,246,337,339,425
0.075,650,1600,2499,3787,204,345,363,453
0.085,641,1546,2407,3699,229,337,362,473
0.095,641,1548,2466,3665,186,328,332,437
0.105,641,1500,2498,3680,167,314,336,448
0.115,641,1535,2446,3641,165,328,375,458
0.125,631,1417,2423,3629,170,313,365,442
0.135,622,1230,2405,3617,204,289,362,448
0.145,631,1163,1581,3642,231,309,352,446
0.155,561,1068,1534,3629,294,203,380,389
0.165,517,1097,1534,3606,320,201,432,393
0.175,465,1154,1610,3564,309,214,444,441
0.185,492,1249,1610,3477,285,247,401,441
0.195,441,1268,1743,3394,239,296,332,392
0.205,451,1420,1695,3401,222,300,333,398
0.215,489,1477,1876,3397,214,299,334,380
0.225,432,1524,2009,3340,201,285,329,365
0.235,436,1562,2037,3344,195,269,326,341
0.245,375,1600,2132,3343,193,265,331,327
0.255,346,1638,2208,3421,179,296,341,322
0.265,337,1657,2256,3445,209,304,324,290
0.275,318,1695,2373,3408,218,299,332,292
0.285,346,1705,2408,3412,218,291,328,299
0.295,337,1752,2455,3430,219,283,357,290
0.305,337,1771,2493,3425,213,264,380,285
0.315,308,1781,2484,3493,206,243,361,307
0.325,318,1800,2512,3520,212,238,340,290
0.335,299,1800,2484,3551,213,230,323,313
0.345,318,1809,2398,3552,211,203,336,345
0.355,308,1781,2360,3576,219,207,383,354
0.365,299,1771,2341,3623,236,218,381,371
0.375,299,1686,2303,3677,233,239,387,385
0.385,289,1562,2237,3692,267,296,400,401
0.395,299,1591,2218,3677,303,337,399,384
0.405,289,1420,2161,3700,294,369,403,392
0.415,308,1249,2132,3702,285,384,422,397
0.425,318,1106,2094,3754,273,395,413,412
0.435,308,1021,1959,3835,254,400,391,443
0.445,308,992,1820,3880,226,380,404,415
0.455,346,1030,1754,3745,248,337,417,386
0.465,327,1097,1748,3699,286,250,415,363
0.475,365,1182,1729,3654,289,263,391,373
0.485,365,1353,1706,3622,275,240,354,404
0.495,432,1448,1828,3679,258,277,325,399
0.505,394,1553,1947,3791,273,311,335,413
0.515,460,1781,2065,3854,304,356,331,411
0.525,403,1800,2322,3965,306,380,305,429
