sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,576,1490,2510,3607,249,305,355,416
0.015,618,1412,2520,3621,304,315,323,436
0.025,670,1483,2537,3570,269,300,342,441
0.035,751,1433,2551,3530,333,312,345,421
0.045,780,1524,2537,3599,297,300,352,407
0.055,900,1492,2487,3671,311,305,341,405
0.065,973,1508,2542,3802,287,302,324,422
0.075,914,1526,2572,3872,203,331,352,454
0.085,895,1568,2615,3883,218,294,364,476
0.095,884,1564,2593,3812,225,329,341,430
0.105,884,1509,2569,3894,220,334,352,427
0.115,874,1473,2482,3996,196,338,320,409
0.125,823,1493,2482,3992,193,339,334,398
0.135,782,1439,2482,4034,251,308,336,372
0.145,741,1422,2451,4009,230,300,349,384
0.155,710,1417,2471,3871,200,347,326,406
0.165,618,1417,2471,3680,167,370,313,421
0.175,618,1407,2451,3580,162,367,326,414
0.185,639,1355,2461,3520,182,340,338,425
0.195,629,1284,2451,3483,195,319,321,401
0.205,608,1212,2430,3455,188,323,344,389
0.215,536,1171,2410,3487,213,310,363,382
0.225,516,1089,2410,3541,249,326,309,396
0.235,393,1018,2400,3463,237,327,316,383
0.245,362,895,2400,3398,225,323,327,375
0.255,362,915,2400,3306,264,288,346,370
0.265,393,977,2400,3314,274,256,360,339
0.275,434,1079,2400,3309,286,264,361,345
0.285,444,1151,2389,3371,269,286,387,370
0.295,454,1263,2400,3572,259,306,358,357
0.305,454,1355,2359,3640,252,320,375,362
0.315,444,1437,2348,3841,266,336,329,374
0.325,393,1478,2318,3995,264,382,342,404
0.335,393,1540,2328,4068,270,376,347,408
0.345,270,1601,2359,4106,294,337,343,415
0.355,260,1642,2421,4088,298,324,321,405
0.365,280,1663,2421,4088,332,356,311,405
0.375,291,1652,2369,4000,295,365,316,415
0.385,291,1642,2359,3849,332,318,280,418
0.395,373,1591,2359,3716,247,381,289,415
0.405,444,1386,2421,3668,209,359,342,373
0.415,495,1233,2482,3623,211,366,336,388
0.425,454,1099,2523,3661,227,345,343,412
0.435,393,987,2584,3765,239,298,366,405
0.445,383,946,2666,3859,229,308,345,382
0.455,362,946,2687,3908,215,309,323,361
0.465,393,905,2748,3778,199,336,312,371
0.475,414,905,2779,3742,221,307,300,345
0.485,485,936,2789,3691,211,314,272,350
0.495,557,987,2820,3681,175,295,272,389
0.505,588,1079,2779,3594,166,306,229,419
0.515,608,1120,2779,3604,187,306,275,411
0.525,608,1222,2738,3601,177,314,256,407
0.535,608,1274,2707,3607,174,312,277,406
0.545,577,1264,2728,3594,184,322,284,401
0.555,557,1284,2718,3621,186,317,302,418
0.565,547,1247,2728,3596,195,334,313,397
0.575,536,1233,2769,3605,201,330,319,409
0.585,516,1149,2820,3614,181,322,324,407
0.595,516,1117,2871,3657,214,300,327,403
0.605,516,1079,2922,3686,212,303,331,399
0.615,516,1028,3004,3735,208,296,310,400
0.625,516,1038,3076,3789,211,302,324,385
0.635,516,1079,3137,3797,215,269,363,333
0.645,526,1099,3014,3749,214,263,392,339
0.655,506,1130,2871,3800,245,252,423,319
0.665,475,1171,2666,3848,259,255,401,314
0.675,434,1263,2615,3912,269,270,344,330
0.685,424,1233,2615,4035,263,292,335,392
0.695,434,1202,2595,4086,271,325,347,379
0.705,465,1263,2554,3997,290,335,325,408
0.715,444,1335,2513,4041,321,328,300,403
0.725,424,1419,2482,4042,330,328,293,404
0.735,475,1468,2478,4050,334,329,311,404
0.745,557,1458,2482,4093,304,339,296,434
0.755,577,1478,2533,4019,253,354,342,444
0.765,577,1489,2502,3866,281,306,340,469
0.775,526,1509,2471,3777,283,285,313,456
0.785,516,1550,2420,3761,257,337,305,443
0.795,454,1581,2359,3717,243,352,327,446
0.805,434,1611,2277,3686,283,364,368,446
0.815,393,1632,2277,3546,306,312,359,382
0.825,332,1642,2338,3634,276,296,361,384
0.835,321,1663,2420,3666,197,276,352,376
0.845,311,1693,2440,3608,229,266,351,400
0.855,311,1724,2484,3549,226,239,363,367
0.865,301,1795,2418,3615,223,225,355,385
0.875,301,1795,2479,3690,222,252,377,363
0.885,301,1795,2618,3661,214,243,392,363
0.895,311,1775,2786,3704,201,234,382,368
0.905,311,1744,2938,3574,210,214,394,346
0.915,311,1744,3031,3508,225,202,399,387
0.925,311,1693,3041,3555,231,235,393,393
0.935,311,1693,3020,3633,216,232,417,368
0.945,311,1703,3053,3604,222,237,419,332
0.955,311,1734,3129,3514,217,236,457,321
0.965,311,1765,3094,3374,223,247,443,327
0.975,301,1806,2936,3444,225,278,380,312
0.985,198,1990,2712,3472,222,305,322,358
0.995,198,1980,2528,3455,214,308,311,340
1.005,198,1980,2425,3404,213,312,310,333
1.015,198,1980,2374,3408,226,305,310,312
1.025,209,1980,2347,3388,224,306,295,303
1.035,290,1990,2318,3502,222,304,302,307
1.045,321,1949,2338,3521,218,309,332,345
1.055,352,1888,2410,3541,182,307,314,369
1.065,362,1888,2410,3539,193,285,338,358
1.075,383,1857,2410,3595,192,264,306,354
1.085,383,1816,2397,3566,181,250,331,398
1.095,413,1744,2410,3660,158,245,368,379
1.105,413,1693,2400,3695,203,260,353,375
1.115,444,1693,2430,3585,221,278,341,394
1.125,454,1673,2430,3555,223,279,328,409
1.135,454,1611,2430,3580,219,294,308,368
1.145,475,1570,2440,3630,196,278,305,351
1.155,475,1560,2440,3650,214,305,313,379
1.165,503,1529,2440,3654,225,299,276,343
1.175,495,1488,2440,3808,203,286,279,376
1.185,474,1458,2451,3777,231,305,306,379
1.195,434,1468,2512,3873,285,311,331,418
1.205,422,1499,2501,3867,273,317,372,466
1.215,384,1509,2512,3740,267,331,345,459
1.225,403,1491,2512,3610,284,320,315,469
1.235,413,1497,2522,3538,279,339,325,433
1.245,475,1476,2522,3612,304,355,305,388
1.255,516,1516,2522,3627,282,351,289,391
1.265,577,1513,2522,3554,293,340,276,406
1.275,598,1596,2505,3486,298,315,293,396
1.285,633,1618,2522,3487,295,275,294,415
1.295,598,1509,2522,3406,324,311,328,416
1.305,577,1442,2568,3419,278,287,321,428
1.315,587,1407,2543,3407,255,288,350,410
1.325,598,1451,2553,3457,234,306,362,420
1.335,649,1484,2592,3596,225,283,376,444
1.345,670,1525,2632,3681,222,290,385,457
1.355,635,1513,2621,3740,258,280,401,444
1.365,647,1492,2584,3794,243,318,361,446
1.375,634,1487,2529,3811,212,323,346,412
