sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,522,1503,2443,3586,245,323,367,437
0.015,593,1416,2456,3566,312,311,319,438
0.025,608,1442,2444,3577,321,282,338,396
0.035,580,1443,2364,3543,262,325,328,365
0.045,567,1408,2335,3542,272,320,303,383
0.055,597,1411,2383,3552,271,303,307,431
0.065,490,1451,2493,3551,299,288,327,423
0.075,521,1403,2454,3476,301,311,317,448
0.085,531,1399,2486,3477,285,298,304,419
0.095,543,1422,2428,3610,283,333,329,387
0.105,524,1481,2497,3825,285,302,320,398
0.115,554,1579,2501,3906,282,303,337,438
0.125,584,1625,2468,3851,282,329,333,464
0.135,672,1619,2525,3704,313,352,327,439
0.145,719,1655,2513,3568,270,349,333,404
0.155,633,1731,2665,3559,270,318,361,399
0.165,634,1864,2608,3620,285,285,337,433
0.175,498,1841,2529,3641,282,313,334,424
0.185,397,1728,2428,3638,257,304,336,429
0.195,376,1536,2394,3448,259,324,322,390
0.205,284,1446,2383,3575,237,334,310,373
0.215,295,1401,2405,3651,233,330,328,379
0.225,340,1333,2439,3678,219,307,351,402
0.235,374,1198,2428,3661,243,304,339,423
0.245,397,1119,2461,3585,230,302,359,417
0.255,408,1006,2484,3608,237,317,365,402
0.265,419,950,2507,3604,200,338,383,404
0.275,408,950,2529,3659,175,340,345,391
0.285,442,972,2586,3620,225,303,333,401
0.295,352,961,2608,3624,229,306,284,404
0.305,340,916,2608,3686,222,314,245,402
0.315,340,905,2653,3712,236,308,222,411
0.325,340,882,2732,3742,235,287,218,441
0.335,340,882,2800,3775,237,299,216,469
0.345,329,859,2845,3837,237,300,198,474
0.355,318,859,2834,3885,225,288,173,463
0.365,363,848,2834,3902,217,286,200,429
0.375,363,814,2845,3867,213,287,220,436
0.385,329,859,2834,3840,215,296,212,443
0.395,352,893,2834,3848,232,310,272,440
0.405,340,927,2834,3822,272,294,365,435
0.415,216,927,2811,3832,246,292,403,391
0.425,194,905,2811,3845,272,304,376,399
0.435,205,916,2777,3922,250,333,304,420
0.445,205,916,2755,3837,216,315,315,459
0.455,216,938,2698,3855,236,333,311,481
0.465,284,995,2642,3815,244,360,303,459
0.475,329,1051,2405,3595,272,365,311,451
0.485,329,1074,2416,3495,231,364,312,411
0.495,340,1074,2405,3515,240,356,279,369
0.505,329,1074,2416,3475,245,340,283,335
0.515,329,1074,2405,3356,252,323,322,332
0.525,329,1074,2360,3318,240,300,325,323
0.535,329,1288,2371,3316,239,320,338,312
0.545,374,1356,2360,3352,242,300,332,317
0.555,397,1536,2360,3380,244,306,317,337
0.565,397,1570,2383,3382,247,308,300,349
0.575,386,1581,2383,3395,259,304,282,367
0.585,329,1604,2383,3506,286,338,314,379
0.595,295,1514,2394,3568,268,340,324,399
0.605,329,1469,2383,3616,239,288,348,403
0.615,329,1469,2428,3683,217,300,353,405
0.625,329,1525,2597,3642,179,314,328,396
0.635,329,1660,2631,3703,199,302,327,400
0.645,340,1785,2631,3733,188,286,324,405
0.655,340,1841,2608,3778,200,269,344,409
0.665,340,1920,2574,3885,211,302,319,431
0.675,340,1909,2540,3918,245,371,313,454
0.685,329,1920,2473,3906,285,342,322,446
0.695,329,1909,2416,3968,258,299,360,477
0.705,340,1920,2371,4054,262,323,360,456
0.715,340,1909,2326,4170,261,332,304,436
0.725,386,1943,2326,4285,264,305,331,431
0.735,431,1864,2349,4269,279,315,306,416
0.745,476,1751,2371,4158,287,292,299,427
0.755,634,1660,2461,4087,279,263,313,419
0.765,735,1548,2631,3972,284,248,297,453
0.775,766,1514,2653,3740,251,321,329,460
0.785,769,1491,2653,3549,219,306,322,422
0.795,758,1439,2416,3480,189,323,306,387
0.805,758,1401,2416,3494,178,317,316,377
0.815,735,1378,2416,3455,178,317,310,389
0.825,713,1377,2416,3422,186,320,307,389
0.835,735,1378,2428,3408,185,314,294,401
0.845,713,1381,2439,3371,186,312,310,404
0.855,701,1378,2416,3343,194,309,320,415
0.865,701,1367,2394,3330,198,323,318,403
0.875,690,1322,2337,3460,205,325,326,376
0.885,690,1220,2300,3545,247,327,300,342
0.895,634,1187,2292,3550,257,341,245,336
0.905,261,1175,2270,3691,232,363,255,371
0.915,261,1164,2258,3758,212,376,267,416
0.925,295,1187,2225,3800,223,369,296,429
0.935,363,1288,2236,3809,249,343,312,450
0.945,419,1311,2270,3799,279,284,339,485
0.955,465,1412,2315,3751,239,319,340,469
0.965,487,1457,2360,3648,241,308,287,426
0.975,487,1469,2439,3583,238,273,281,394
0.985,476,1525,2428,3551,212,266,240,407
0.995,465,1548,2428,3585,192,274,271,408
1.005,487,1548,2450,3614,196,267,268,407
1.015,589,1548,2495,3638,207,278,263,400
1.025,634,1548,2518,3552,229,284,277,398
1.035,690,1559,2518,3473,229,279,288,419
1.045,735,1559,2518,3445,201,251,322,399
1.055,769,1593,2495,3439,202,255,329,404
1.065,747,1638,2473,3498,218,228,340,385
1.075,735,1672,2416,3659,203,238,352,390
1.085,724,1717,2310,3715,186,240,358,425
1.095,645,1785,2315,3790,193,253,318,452
1.105,589,1864,2236,3779,197,303,304,447
1.115,521,1841,2225,3675,237,352,308,434
1.125,397,1830,2225,3504,297,353,359,434
1.135,340,1807,2236,3557,320,338,349,421
1.145,340,1717,2225,3535,321,304,351,431
1.155,318,1615,2191,3540,271,337,340,409
1.165,318,1390,2213,3614,240,342,294,428
1.175,295,1333,2179,3813,215,357,277,403
1.185,239,1153,2157,3871,205,358,244,381
1.195,228,1085,2123,3851,218,351,256,350
1.205,216,1085,2112,3837,229,325,291,388
1.215,216,1130,2089,3920,257,315,326,449
1.225,239,1164,2078,3938,257,342,324,460
1.235,239,1243,2134,3889,282,347,327,481
1.245,239,1277,2168,3799,275,328,329,465
1.255,273,1435,2258,3651,231,285,339,422
1.265,273,1525,2416,3508,219,273,337,406
1.275,600,1672,2563,3479,224,254,333,410
1.285,724,1694,2597,3520,197,239,278,409
1.295,724,1717,2597,3536,204,247,297,421
1.305,713,1694,2597,3551,213,264,283,422
1.315,713,1694,2597,3532,203,259,271,433
1.325,713,1694,2597,3495,195,247,257,435
1.335,701,1672,2597,3533,197,255,288,422
1.345,701,1649,2619,3550,210,269,280,425
1.355,712,1627,2619,3581,223,253,295,408
1.365,679,1615,2619,3577,234,268,295,406
1.375,679,1604,2608,3673,227,267,275,395
1.385,724,1593,2619,3731,214,273,267,369
1.395,724,1581,2653,3802,199,266,260,393
1.405,724,1581,2732,3872,193,282,270,371
1.415,713,1548,2777,3985,202,292,274,383
1.425,679,1525,2845,3977,207,324,335,404
1.435,634,1536,2853,4055,292,323,377,414
1.445,510,1559,2890,4156,310,352,402,431
1.455,442,1559,2958,4085,348,345,394,415
1.465,419,1559,2958,3994,322,327,352,405
1.475,419,1559,2947,3961,341,296,288,420
1.485,397,1548,2913,3996,344,308,261,465
1.495,408,1514,2721,3978,294,312,277,470
1.505,408,1457,2665,3909,256,320,292,452
1.515,408,1220,2665,3799,245,339,309,446
1.525,419,1029,2665,3751,228,331,293,443
1.535,408,1029,2676,3603,237,316,309,429
1.545,352,1051,2662,3527,256,301,251,402
1.555,318,1108,2712,3521,248,298,282,407
1.565,340,1187,2762,3450,253,302,266,398
1.575,367,1243,2821,3462,232,321,250,433
1.585,340,1299,2991,3561,258,313,279,438
1.595,340,1344,3071,3617,307,305,300,448
1.605,385,1423,3170,3702,340,300,300,435
1.615,397,1457,3150,3708,348,288,314,404
1.625,442,1491,3139,3810,367,306,350,403
1.635,453,1502,3118,3735,377,305,375,398
1.645,476,1548,3130,3857,338,280,364,393
1.655,476,1581,2990,4025,270,305,372,428
1.665,476,1570,2822,4011,225,365,427,494
1.675,476,1525,2684,4113,191,383,395,489
1.685,476,1491,2607,4207,191,362,308,472
1.695,464,1378,2592,4197,229,316,345,441
1.705,453,1277,2622,4144,256,368,381,390
1.715,431,1108,2682,4139,244,335,341,383
1.725,453,1101,2682,3910,196,343,320,407
1.735,442,1062,2682,3650,231,307,294,411
1.745,464,1062,2702,3508,225,295,278,380
1.755,464,1085,2682,3457,226,295,260,390
1.765,464,1062,2712,3406,225,289,258,427
1.775,442,1062,2682,3469,241,285,260,426
1.785,442,1117,2712,3466,248,283,275,391
1.795,408,1119,2712,3507,238,280,291,403
1.805,374,1153,2722,3561,252,272,301,384
1.815,340,1175,2712,3595,242,263,277,360
1.825,318,1220,2772,3698,251,282,310,406
1.835,318,1288,2762,3862,298,323,360,403
1.845,318,1390,2961,3890,323,326,363,392
1.855,329,1423,3110,3913,299,331,325,367
1.865,307,1458,3190,3880,309,323,319,400
1.875,329,1480,3236,3895,344,305,249,432
1.885,374,1501,3210,3921,301,348,219,459
1.895,374,1593,3101,3888,307,334,326,456
1.905,374,1593,2961,3834,297,342,330,444
1.915,397,1593,2722,3774,285,340,321,454
1.925,419,1593,2562,3756,319,310,331,424
1.935,453,1559,2409,3783,315,310,356,406
1.945,487,1491,2283,3804,298,298,383,422
1.955,476,1511,2223,3807,213,278,379,460
1.965,464,1423,2134,3748,231,265,337,446
1.975,464,1367,2124,3703,222,270,294,433
1.985,431,1356,2074,3640,236,277,334,402
1.995,431,1367,2024,3700,240,274,306,409
2.005,453,1356,1984,3670,243,285,343,391
2.015,453,1356,1954,3691,227,285,330,387
2.025,453,1401,1914,3608,214,277,321,403
2.035,431,1378,1904,3569,212,268,338,418
2.045,419,1401,1884,3548,216,275,315,438
2.055,388,1423,1874,3471,211,283,333,403
2.065,385,1446,1884,3368,210,301,340,452
2.075,329,1480,1874,3399,180,282,340,464
2.085,329,1423,1874,3509,237,312,352,449
2.095,307,1367,1984,3607,254,289,293,434
2.105,284,1367,2273,3612,210,334,321,426
2.115,273,1367,2333,3564,230,344,333,395
2.125,307,1390,2343,3602,226,326,322,388
2.135,307,1390,2363,3579,221,332,333,381
2.145,307,1367,2387,3550,245,342,321,366
2.155,318,1390,2333,3568,208,340,341,377
2.165,318,1390,2333,3600,216,333,347,375
2.175,340,1390,2313,3685,223,326,333,374
2.185,340,1390,2313,3720,228,329,323,402
2.195,340,1390,2293,3651,215,313,342,376
2.205,340,1378,2273,3747,224,330,331,365
2.215,378,1364,2344,3699,222,340,333,400
2.225,340,1390,2263,3640,269,328,310,390
2.235,442,1412,2248,3612,266,327,305,427
2.245,506,1412,2263,3569,266,311,292,421
2.255,544,1412,2253,3575,254,314,313,419
2.265,594,1396,2285,3543,254,314,318,421
2.275,554,1412,2267,3537,287,296,323,393
2.285,582,1423,2243,3529,236,327,335,433
2.295,623,1445,2236,3604,221,338,325,425
2.305,584,1391,2198,3708,257,324,311,421
2.315,523,1405,2272,3726,270,295,317,432
